           N LOWER =  2  N UPPER=  3  WAVELENGTH (angstroms)=  6564.70
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   2.564E-03

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           1.876E-02
width incl.Dop.                                                       1.876E-02

  0.000E+00                                                    1.582E+01 ( 1.582E+01 )
  1.585E-03                                                    1.562E+01 ( 1.562E+01 )
  2.512E-03                                                    1.537E+01 ( 1.537E+01 )
  3.981E-03                                                    1.485E+01 ( 1.485E+01 )
  6.310E-03                                                    1.377E+01 ( 1.377E+01 )
  1.000E-02                                                    1.178E+01 ( 1.178E+01 )
  1.585E-02                                                    8.882E+00 ( 8.882E+00 )
  2.512E-02                                                    5.786E+00 ( 5.786E+00 )
  3.981E-02                                                    3.330E+00 ( 3.330E+00 )
  6.310E-02                                                    1.710E+00 ( 1.710E+00 )
  1.000E-01                                                    7.630E-01 ( 7.630E-01 )
  1.585E-01                                                    2.964E-01 ( 2.964E-01 )
  2.512E-01                                                    1.065E-01 ( 1.065E-01 )
  3.981E-01                                                    3.756E-02 ( 3.756E-02 )
  6.310E-01                                                    1.306E-02 ( 1.306E-02 )
  1.000E+00                                                    4.706E-03 ( 4.706E-03 )
  1.585E+00                                                    1.694E-03 ( 1.694E-03 )
  2.512E+00                                                    6.393E-04 ( 6.393E-04 )
  3.981E+00                                                    2.454E-04 ( 2.454E-04 )
  6.310E+00                                                    9.538E-05 ( 9.538E-05 )
  1.000E+01                                                    3.738E-05 ( 3.738E-05 )
  1.585E+01                                                    1.473E-05 ( 1.473E-05 )
  2.512E+01                                                    5.827E-06 ( 5.827E-06 )
  3.981E+01                                                    2.310E-06 ( 2.310E-06 )
  6.310E+01                                                    9.173E-07 ( 9.173E-07 )
  1.000E+02                                                    3.646E-07 ( 3.646E-07 )
  1.585E+02                                                    1.450E-07 ( 1.450E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         1.867E-02                1.817E-02                1.743E-02
width incl.Dop.     1.867E-02                1.817E-02                1.743E-02

  0.000E+00  1.568E+01 ( 1.568E+01 )  1.585E+01 ( 1.585E+01 )  1.623E+01 ( 1.623E+01 )
  1.585E-03  1.546E+01 ( 1.546E+01 )  1.562E+01 ( 1.562E+01 )  1.598E+01 ( 1.598E+01 )
  2.512E-03  1.523E+01 ( 1.523E+01 )  1.538E+01 ( 1.538E+01 )  1.571E+01 ( 1.571E+01 )
  3.981E-03  1.471E+01 ( 1.471E+01 )  1.482E+01 ( 1.482E+01 )  1.509E+01 ( 1.509E+01 )
  6.310E-03  1.362E+01 ( 1.362E+01 )  1.367E+01 ( 1.367E+01 )  1.383E+01 ( 1.383E+01 )
  1.000E-02  1.163E+01 ( 1.163E+01 )  1.159E+01 ( 1.159E+01 )  1.163E+01 ( 1.163E+01 )
  1.585E-02  8.761E+00 ( 8.761E+00 )  8.676E+00 ( 8.676E+00 )  8.626E+00 ( 8.626E+00 )
  2.512E-02  5.731E+00 ( 5.731E+00 )  5.669E+00 ( 5.669E+00 )  5.627E+00 ( 5.627E+00 )
  3.981E-02  3.338E+00 ( 3.338E+00 )  3.328E+00 ( 3.328E+00 )  3.324E+00 ( 3.324E+00 )
  6.310E-02  1.740E+00 ( 1.740E+00 )  1.755E+00 ( 1.755E+00 )  1.761E+00 ( 1.761E+00 )
  1.000E-01  7.818E-01 ( 7.818E-01 )  7.895E-01 ( 7.895E-01 )  7.842E-01 ( 7.842E-01 )
  1.585E-01  3.020E-01 ( 3.020E-01 )  3.019E-01 ( 3.019E-01 )  2.948E-01 ( 2.948E-01 )
  2.512E-01  1.074E-01 ( 1.074E-01 )  1.060E-01 ( 1.060E-01 )  1.022E-01 ( 1.022E-01 )
  3.981E-01  3.757E-02 ( 3.757E-02 )  3.677E-02 ( 3.677E-02 )  3.526E-02 ( 3.526E-02 )
  6.310E-01  1.290E-02 ( 1.290E-02 )  1.254E-02 ( 1.254E-02 )  1.201E-02 ( 1.201E-02 )
  1.000E+00  4.658E-03 ( 4.658E-03 )  4.542E-03 ( 4.542E-03 )  4.358E-03 ( 4.358E-03 )
  1.585E+00  1.698E-03 ( 1.698E-03 )  1.688E-03 ( 1.688E-03 )
  2.512E+00  6.404E-04 ( 6.404E-04 )  6.402E-04 ( 6.402E-04 )
  3.981E+00  2.458E-04 ( 2.458E-04 )  2.460E-04 ( 2.460E-04 )
  6.310E+00  9.552E-05 ( 9.552E-05 )  9.560E-05 ( 9.560E-05 )
  1.000E+01  3.744E-05 ( 3.744E-05 )  3.746E-05 ( 3.746E-05 )
  1.585E+01  1.475E-05 ( 1.475E-05 )  1.476E-05 ( 1.476E-05 )
  2.512E+01  5.836E-06 ( 5.836E-06 )  5.840E-06 ( 5.840E-06 )
  3.981E+01  2.314E-06 ( 2.314E-06 )  2.315E-06 ( 2.315E-06 )
  6.310E+01  9.187E-07 ( 9.187E-07 )  9.193E-07 ( 9.193E-07 )
  1.000E+02  3.651E-07 ( 3.651E-07 )  3.654E-07 ( 3.654E-07 )
  1.585E+02  1.452E-07 ( 1.452E-07 )  1.453E-07 ( 1.453E-07 )

T(K)                1.259E+06
RO/Debye            1.424E-01
width Stark         1.668E-02
width incl.Dop.     1.668E-02

  0.000E+00  1.666E+01 ( 1.666E+01 )
  1.000E-03  1.653E+01 ( 1.653E+01 )
  1.585E-03  1.640E+01 ( 1.640E+01 )
  2.512E-03  1.607E+01 ( 1.607E+01 )
  3.981E-03  1.539E+01 ( 1.539E+01 )
  6.310E-03  1.402E+01 ( 1.402E+01 )
  1.000E-02  1.168E+01 ( 1.168E+01 )
  1.585E-02  8.599E+00 ( 8.599E+00 )
  2.512E-02  5.610E+00 ( 5.610E+00 )
  3.981E-02  3.333E+00 ( 3.333E+00 )
  6.310E-02  1.764E+00 ( 1.764E+00 )
  1.000E-01  7.732E-01 ( 7.732E-01 )
  1.585E-01  2.850E-01 ( 2.850E-01 )
  2.512E-01  9.749E-02 ( 9.749E-02 )
  3.981E-01  3.338E-02 ( 3.338E-02 )
  6.310E-01  1.136E-02 ( 1.136E-02 )
  1.000E+00  4.128E-03 ( 4.128E-03 )
  1.585E+00  1.540E-03 ( 1.540E-03 )
  2.512E+00  5.857E-04 ( 5.857E-04 )
  3.981E+00  2.261E-04 ( 2.261E-04 )
  6.310E+00  8.821E-05 ( 8.821E-05 )
  1.000E+01  3.466E-05 ( 3.466E-05 )
  1.585E+01  1.368E-05 ( 1.368E-05 )
  2.512E+01  5.417E-06 ( 5.417E-06 )
  3.981E+01  2.149E-06 ( 2.149E-06 )
  6.310E+01  8.536E-07 ( 8.536E-07 )
  1.000E+02  3.394E-07 ( 3.394E-07 )
  1.585E+02  1.350E-07 ( 1.350E-07 )
  2.512E+02  5.371E-08 ( 5.371E-08 )
  3.981E+02  2.137E-08 ( 2.137E-08 )
  6.310E+02  8.507E-09 ( 8.507E-09 )
  1.000E+03  3.386E-09 ( 3.386E-09 )
  1.585E+03  1.348E-09 ( 1.348E-09 )
  2.512E+03  5.366E-10 ( 5.366E-10 )
  3.981E+03  2.136E-10 ( 2.136E-10 )
  6.310E+03  8.504E-11 ( 8.504E-11 )
  1.000E+04  3.386E-11 ( 3.386E-11 )
  1.585E+04  1.348E-11 ( 1.348E-11 )
  2.512E+04  5.366E-12 ( 5.366E-12 )
  3.981E+04  2.136E-12 ( 2.136E-12 )
