           N LOWER =  2  N UPPER=  7  WAVELENGTH (angstroms)=  3971.24
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   2.948E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         1.490E-01                1.385E-01                1.239E-01
width incl.Dop.     5.732E+00                8.148E+00                1.155E+01

  0.000E+00  8.230E-02 ( 2.563E+00 )  5.831E-02 ( 2.752E+00 )  4.128E-02 ( 3.055E+00 )
  6.310E-03  8.230E-02 ( 2.558E+00 )  5.831E-02 ( 2.748E+00 )  4.128E-02 ( 3.049E+00 )
  1.000E-02  8.230E-02 ( 2.550E+00 )  5.831E-02 ( 2.740E+00 )  4.128E-02 ( 3.037E+00 )
  1.585E-02  8.230E-02 ( 2.530E+00 )  5.831E-02 ( 2.719E+00 )  4.128E-02 ( 3.009E+00 )
  2.512E-02  8.230E-02 ( 2.492E+00 )  5.831E-02 ( 2.671E+00 )  4.128E-02 ( 2.941E+00 )
  3.981E-02  8.229E-02 ( 2.401E+00 )  5.831E-02 ( 2.557E+00 )  4.128E-02 ( 2.783E+00 )
  6.310E-02  8.229E-02 ( 2.199E+00 )  5.831E-02 ( 2.307E+00 )  4.128E-02 ( 2.446E+00 )
  1.000E-01  8.228E-02 ( 1.798E+00 )  5.831E-02 ( 1.828E+00 )  4.127E-02 ( 1.842E+00 )
  1.585E-01  8.225E-02 ( 1.181E+00 )  5.830E-02 ( 1.141E+00 )  4.127E-02 ( 1.072E+00 )
  2.512E-01  8.219E-02 ( 5.677E-01 )  5.827E-02 ( 5.252E-01 )  4.126E-02 ( 4.706E-01 )
  3.981E-01  8.202E-02 ( 2.107E-01 )  5.822E-02 ( 1.934E-01 )  4.124E-02 ( 1.727E-01 )
  6.310E-01  8.160E-02 ( 6.880E-02 )  5.807E-02 ( 6.404E-02 )  4.119E-02 ( 5.837E-02 )
  1.000E+00  8.057E-02 ( 2.166E-02 )  5.770E-02 ( 2.046E-02 )  4.106E-02 ( 1.907E-02 )
  1.585E+00  7.802E-02 ( 6.596E-03 )  5.677E-02 ( 6.505E-03 )  4.073E-02 ( 6.152E-03 )
  2.512E+00  7.197E-02 ( 2.127E-03 )  5.452E-02 ( 2.004E-03 )  3.991E-02 ( 1.902E-03 )
  3.981E+00  5.877E-02 ( 6.973E-04 )  4.925E-02 ( 6.530E-04 )  3.793E-02 ( 6.155E-04 )
  6.310E+00  3.533E-02 ( 2.303E-04 )  3.815E-02 ( 2.149E-04 )  3.337E-02 ( 2.014E-04 )
  1.000E+01  9.876E-03 ( 7.636E-05 )  2.009E-02 ( 7.106E-05 )  2.420E-02 ( 6.632E-05 )
  1.585E+01  4.330E-04 ( 2.530E-05 )  4.030E-03 ( 2.355E-05 )  1.080E-02 ( 2.193E-05 )
  2.512E+01  1.016E-05 ( 8.367E-06 )  8.138E-05 ( 7.810E-06 )  1.429E-03 ( 7.267E-06 )
  3.981E+01  2.936E-06 ( 2.754E-06 )  2.971E-06 ( 2.586E-06 )  1.203E-05 ( 2.410E-06 )
  6.310E+01  9.235E-07 ( 9.011E-07 )  8.973E-07 ( 8.537E-07 )  8.880E-07 ( 7.990E-07 )
  1.000E+02  2.955E-07 ( 2.926E-07 )  2.858E-07 ( 2.803E-07 )  2.748E-07 ( 2.643E-07 )
  1.585E+02  9.460E-08 ( 9.424E-08 )  9.210E-08 ( 9.140E-08 )  8.837E-08 ( 8.703E-08 )
  2.512E+02  2.954E-08 ( 2.949E-08 )  2.965E-08 ( 2.956E-08 )  2.866E-08 ( 2.849E-08 )
  3.981E+02  9.335E-09 ( 9.329E-09 )  9.341E-09 ( 9.329E-09 )  9.280E-09 ( 9.258E-09 )
  6.310E+02                           2.952E-09 ( 2.951E-09 )  2.986E-09 ( 2.983E-09 )
  1.000E+03                                                    9.341E-10 ( 9.337E-10 )
  1.585E+03                                                    2.956E-10 ( 2.956E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         1.043E-01                8.727E-02                7.085E-02
width incl.Dop.     1.614E+01                2.279E+01                3.240E+01

  0.000E+00  2.925E-02 ( 3.510E+00 )  2.071E-02 ( 4.142E+00 )  1.467E-02 ( 5.014E+00 )
  3.981E-03  2.925E-02 ( 3.505E+00 )  2.071E-02 ( 4.129E+00 )  1.467E-02 ( 5.005E+00 )
  6.310E-03  2.925E-02 ( 3.497E+00 )  2.071E-02 ( 4.118E+00 )  1.467E-02 ( 4.978E+00 )
  1.000E-02  2.925E-02 ( 3.477E+00 )  2.071E-02 ( 4.083E+00 )  1.467E-02 ( 4.920E+00 )
  1.585E-02  2.925E-02 ( 3.428E+00 )  2.071E-02 ( 4.007E+00 )  1.467E-02 ( 4.776E+00 )
  2.512E-02  2.925E-02 ( 3.322E+00 )  2.071E-02 ( 3.827E+00 )  1.467E-02 ( 4.454E+00 )
  3.981E-02  2.925E-02 ( 3.082E+00 )  2.071E-02 ( 3.436E+00 )  1.467E-02 ( 3.801E+00 )
  6.310E-02  2.925E-02 ( 2.595E+00 )  2.071E-02 ( 2.715E+00 )  1.467E-02 ( 2.753E+00 )
  1.000E-01  2.925E-02 ( 1.817E+00 )  2.071E-02 ( 1.732E+00 )  1.467E-02 ( 1.582E+00 )
  1.585E-01  2.925E-02 ( 9.743E-01 )  2.071E-02 ( 8.536E-01 )  1.467E-02 ( 7.231E-01 )
  2.512E-01  2.924E-02 ( 4.090E-01 )  2.071E-02 ( 3.454E-01 )  1.467E-02 ( 2.845E-01 )
  3.981E-01  2.924E-02 ( 1.500E-01 )  2.071E-02 ( 1.269E-01 )  1.467E-02 ( 1.049E-01 )
