           N LOWER =  2  N UPPER=  9  WAVELENGTH (angstroms)=  3836.51
                electronic density(1/cm**3)       3.162E+15
                conversion factor for wlengths=f0 2.696E+01
                wings factor                  =   6.377E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            6.882E-01                4.866E-01                3.441E-01
width Stark         3.861E-01                4.204E-01                4.445E-01
width incl.Dop.     3.861E-01                4.204E-01                4.445E-01

  0.000E+00  1.015E+00 ( 1.015E+00 )  9.519E-01 ( 9.519E-01 )  9.137E-01 ( 9.137E-01 )
  1.000E-02  1.012E+00 ( 1.012E+00 )  9.497E-01 ( 9.497E-01 )  9.121E-01 ( 9.121E-01 )
  1.585E-02  1.011E+00 ( 1.011E+00 )  9.485E-01 ( 9.485E-01 )  9.111E-01 ( 9.111E-01 )
  2.512E-02  1.008E+00 ( 1.008E+00 )  9.465E-01 ( 9.465E-01 )  9.096E-01 ( 9.096E-01 )
  3.981E-02  1.004E+00 ( 1.004E+00 )  9.434E-01 ( 9.434E-01 )  9.073E-01 ( 9.073E-01 )
  6.310E-02  9.921E-01 ( 9.921E-01 )  9.341E-01 ( 9.341E-01 )  8.992E-01 ( 8.992E-01 )
  1.000E-01  9.626E-01 ( 9.626E-01 )  9.115E-01 ( 9.115E-01 )  8.800E-01 ( 8.800E-01 )
  1.585E-01  8.935E-01 ( 8.935E-01 )  8.566E-01 ( 8.566E-01 )  8.330E-01 ( 8.330E-01 )
  2.512E-01  7.427E-01 ( 7.427E-01 )  7.318E-01 ( 7.318E-01 )  7.229E-01 ( 7.229E-01 )
  3.981E-01  4.865E-01 ( 4.865E-01 )  5.010E-01 ( 5.010E-01 )  5.085E-01 ( 5.085E-01 )
  6.310E-01  2.251E-01 ( 2.251E-01 )  2.396E-01 ( 2.396E-01 )  2.489E-01 ( 2.489E-01 )
  1.000E+00  7.858E-02 ( 7.858E-02 )  8.326E-02 ( 8.326E-02 )  8.641E-02 ( 8.641E-02 )
  1.585E+00  2.447E-02 ( 2.447E-02 )  2.534E-02 ( 2.534E-02 )  2.592E-02 ( 2.592E-02 )
  2.512E+00  7.528E-03 ( 7.528E-03 )  7.373E-03 ( 7.373E-03 )  7.429E-03 ( 7.429E-03 )
  3.981E+00  2.268E-03 ( 2.268E-03 )  2.256E-03 ( 2.256E-03 )  2.261E-03 ( 2.261E-03 )
  6.310E+00  7.154E-04 ( 7.154E-04 )  7.147E-04 ( 7.147E-04 )  7.155E-04 ( 7.155E-04 )
  1.000E+01  2.347E-04 ( 2.347E-04 )  2.347E-04 ( 2.347E-04 )  2.349E-04 ( 2.349E-04 )
