           N LOWER =  2  N UPPER= 15  WAVELENGTH (angstroms)=  3713.06
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   2.721E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         1.124E+00                1.094E+00                1.048E+00
width incl.Dop.     1.285E+00                1.395E+00                1.593E+00

  0.000E+00  3.237E-01 ( 3.604E-01 )  3.012E-01 ( 3.683E-01 )  2.678E-01 ( 3.807E-01 )
  1.585E-02  3.237E-01 ( 3.602E-01 )  3.012E-01 ( 3.681E-01 )  2.677E-01 ( 3.805E-01 )
  2.512E-02  3.237E-01 ( 3.600E-01 )  3.011E-01 ( 3.679E-01 )  2.677E-01 ( 3.803E-01 )
  3.981E-02  3.235E-01 ( 3.598E-01 )  3.010E-01 ( 3.677E-01 )  2.676E-01 ( 3.801E-01 )
  6.310E-02  3.231E-01 ( 3.595E-01 )  3.008E-01 ( 3.674E-01 )  2.674E-01 ( 3.797E-01 )
  1.000E-01  3.222E-01 ( 3.582E-01 )  3.000E-01 ( 3.660E-01 )  2.670E-01 ( 3.782E-01 )
  1.585E-01  3.200E-01 ( 3.549E-01 )  2.983E-01 ( 3.625E-01 )  2.658E-01 ( 3.743E-01 )
  2.512E-01  3.143E-01 ( 3.469E-01 )  2.939E-01 ( 3.539E-01 )  2.629E-01 ( 3.647E-01 )
  3.981E-01  3.007E-01 ( 3.276E-01 )  2.833E-01 ( 3.331E-01 )  2.558E-01 ( 3.415E-01 )
  6.310E-01  2.695E-01 ( 2.839E-01 )  2.585E-01 ( 2.863E-01 )  2.389E-01 ( 2.902E-01 )
  1.000E+00  2.067E-01 ( 2.016E-01 )  2.068E-01 ( 2.005E-01 )  2.018E-01 ( 1.989E-01 )
  1.585E+00  1.148E-01 ( 1.008E-01 )  1.236E-01 ( 9.850E-02 )  1.346E-01 ( 9.503E-02 )
  2.512E+00  4.066E-02 ( 3.543E-02 )  4.532E-02 ( 3.426E-02 )  5.564E-02 ( 3.254E-02 )
  3.981E+00  1.139E-02 ( 1.068E-02 )  1.186E-02 ( 1.035E-02 )  1.340E-02 ( 9.854E-03 )
  6.310E+00  3.244E-03 ( 3.166E-03 )  3.259E-03 ( 3.100E-03 )  3.314E-03 ( 2.987E-03 )
  1.000E+01  9.277E-04 ( 9.182E-04 )  9.615E-04 ( 9.439E-04 )  9.575E-04 ( 9.221E-04 )
  1.585E+01  2.822E-04 ( 2.812E-04 )  2.841E-04 ( 2.819E-04 )  2.919E-04 ( 2.878E-04 )
  2.512E+01  8.739E-05 ( 8.726E-05 )  8.750E-05 ( 8.726E-05 )  8.797E-05 ( 8.743E-05 )
  3.981E+01  2.746E-05 ( 2.744E-05 )  2.747E-05 ( 2.744E-05 )  2.750E-05 ( 2.744E-05 )
  6.309E+01  8.669E-06 ( 8.667E-06 )  8.671E-06 ( 8.667E-06 )  8.675E-06 ( 8.667E-06 )
  1.000E+02  2.744E-06 ( 2.744E-06 )  2.744E-06 ( 2.744E-06 )  2.745E-06 ( 2.744E-06 )
  1.585E+02  8.705E-07 ( 8.705E-07 )  8.706E-07 ( 8.705E-07 )  8.706E-07 ( 8.705E-07 )
  2.512E+02  2.768E-07 ( 2.768E-07 )  2.768E-07 ( 2.768E-07 )  2.770E-07 ( 2.770E-07 )
  3.981E+02  8.840E-08 ( 8.840E-08 )  8.841E-08 ( 8.840E-08 )  8.841E-08 ( 8.841E-08 )
  6.309E+02  2.840E-08 ( 2.840E-08 )  2.840E-08 ( 2.840E-08 )  2.840E-08 ( 2.840E-08 )
  1.000E+03  9.205E-09 ( 9.205E-09 )  9.205E-09 ( 9.205E-09 )  9.205E-09 ( 9.205E-09 )
  0.000E+00                                                    3.026E-09 ( 3.026E-09 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            6.358E-02                4.501E-02                3.187E-02
width Stark         9.952E-01                9.552E-01                9.151E-01
width incl.Dop.     1.970E+00                2.483E+00                3.326E+00

  0.000E+00  2.253E-01 ( 3.963E-01 )  1.801E-01 ( 4.141E-01 )  1.380E-01 ( 4.338E-01 )
  2.512E-02  2.253E-01 ( 3.956E-01 )  1.800E-01 ( 4.132E-01 )  1.380E-01 ( 4.328E-01 )
  3.981E-02  2.252E-01 ( 3.952E-01 )  1.800E-01 ( 4.128E-01 )  1.380E-01 ( 4.323E-01 )
  6.310E-02  2.251E-01 ( 3.945E-01 )  1.800E-01 ( 4.120E-01 )  1.379E-01 ( 4.314E-01 )
  1.000E-01  2.249E-01 ( 3.935E-01 )  1.799E-01 ( 4.108E-01 )  1.379E-01 ( 4.300E-01 )
  1.585E-01  2.242E-01 ( 3.891E-01 )  1.795E-01 ( 4.057E-01 )  1.378E-01 ( 4.240E-01 )
  2.512E-01  2.226E-01 ( 3.780E-01 )  1.788E-01 ( 3.931E-01 )  1.374E-01 ( 4.096E-01 )
  3.981E-01  2.186E-01 ( 3.518E-01 )  1.768E-01 ( 3.634E-01 )  1.366E-01 ( 3.760E-01 )
  6.310E-01  2.089E-01 ( 2.950E-01 )  1.720E-01 ( 3.002E-01 )  1.345E-01 ( 3.053E-01 )
  1.000E+00  1.864E-01 ( 1.969E-01 )  1.605E-01 ( 1.942E-01 )  1.293E-01 ( 1.904E-01 )
  1.585E+00  1.410E-01 ( 9.089E-02 )  1.352E-01 ( 8.635E-02 )  1.173E-01 ( 8.152E-02 )
  2.512E+00  7.277E-02 ( 3.057E-02 )  8.856E-02 ( 2.851E-02 )  9.197E-02 ( 2.655E-02 )
  3.981E+00  1.891E-02 ( 9.264E-03 )  3.285E-02 ( 8.640E-03 )  5.050E-02 ( 8.056E-03 )
  6.310E+00  3.591E-03 ( 2.834E-03 )  5.201E-03 ( 2.663E-03 )  1.250E-02 ( 2.484E-03 )
  1.000E+01  9.600E-04 ( 8.895E-04 )  9.954E-04 ( 8.423E-04 )  1.298E-03 ( 7.893E-04 )
  1.585E+01  2.894E-04 ( 2.813E-04 )  2.817E-04 ( 2.652E-04 )  2.847E-04 ( 2.507E-04 )
  2.512E+01  8.925E-05 ( 8.824E-05 )  8.754E-05 ( 8.569E-05 )  8.544E-05 ( 8.182E-05 )
  3.981E+01  2.759E-05 ( 2.746E-05 )  2.783E-05 ( 2.759E-05 )  2.714E-05 ( 2.668E-05 )
  6.310E+01  8.680E-06 ( 8.665E-06 )  8.701E-06 ( 8.670E-06 )  8.699E-06 ( 8.641E-06 )
  1.000E+02  2.745E-06 ( 2.743E-06 )  2.747E-06 ( 2.743E-06 )  2.788E-06 ( 2.781E-06 )
  1.585E+02  8.706E-07 ( 8.703E-07 )  8.708E-07 ( 8.703E-07 )  8.725E-07 ( 8.715E-07 )
  2.512E+02  2.769E-07 ( 2.769E-07 )  2.770E-07 ( 2.769E-07 )  2.770E-07 ( 2.769E-07 )
  3.981E+02  8.839E-08 ( 8.839E-08 )  8.838E-08 ( 8.838E-08 )  8.839E-08 ( 8.838E-08 )
  6.310E+02  2.839E-08 ( 2.839E-08 )  2.839E-08 ( 2.839E-08 )  2.839E-08 ( 2.839E-08 )
  1.000E+03  9.203E-09 ( 9.203E-09 )  9.203E-09 ( 9.203E-09 )  9.203E-09 ( 9.203E-09 )
  1.585E+03  3.026E-09 ( 3.026E-09 )  3.026E-09 ( 3.026E-09 )  3.026E-09 ( 3.026E-09 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.256E-02                1.597E-02                1.131E-02
width Stark         8.736E-01                8.277E-01                7.727E-01
width incl.Dop.     4.543E+00                6.182E+00                8.667E+00

  0.000E+00  1.026E-01 ( 4.558E-01 )  7.484E-02 ( 4.820E-01 )  5.393E-02 ( 5.153E-01 )
  2.512E-02  1.026E-01 ( 4.547E-01 )  7.483E-02 ( 4.807E-01 )  5.393E-02 ( 5.137E-01 )
  3.981E-02  1.026E-01 ( 4.540E-01 )  7.483E-02 ( 4.799E-01 )  5.393E-02 ( 5.127E-01 )
