           N LOWER =  2  N UPPER= 18  WAVELENGTH (angstroms)=  3692.64
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   4.635E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         1.822E+00                1.880E+00                1.897E+00
width incl.Dop.     1.822E+00                1.880E+00                1.897E+00

  0.000E+00  2.306E-01 ( 2.306E-01 )  2.244E-01 ( 2.244E-01 )  2.223E-01 ( 2.223E-01 )
  2.512E-02  2.304E-01 ( 2.304E-01 )  2.243E-01 ( 2.243E-01 )  2.221E-01 ( 2.221E-01 )
  3.981E-02  2.303E-01 ( 2.303E-01 )  2.242E-01 ( 2.242E-01 )  2.221E-01 ( 2.221E-01 )
  6.310E-02  2.301E-01 ( 2.301E-01 )  2.241E-01 ( 2.241E-01 )  2.220E-01 ( 2.220E-01 )
  1.000E-01  2.298E-01 ( 2.298E-01 )  2.239E-01 ( 2.239E-01 )  2.218E-01 ( 2.218E-01 )
  1.585E-01  2.289E-01 ( 2.289E-01 )  2.232E-01 ( 2.232E-01 )  2.211E-01 ( 2.211E-01 )
  2.512E-01  2.270E-01 ( 2.270E-01 )  2.214E-01 ( 2.214E-01 )  2.195E-01 ( 2.195E-01 )
  3.981E-01  2.228E-01 ( 2.228E-01 )  2.177E-01 ( 2.177E-01 )  2.160E-01 ( 2.160E-01 )
  6.310E-01  2.125E-01 ( 2.125E-01 )  2.086E-01 ( 2.086E-01 )  2.074E-01 ( 2.074E-01 )
  1.000E+00  1.873E-01 ( 1.873E-01 )  1.857E-01 ( 1.857E-01 )  1.851E-01 ( 1.851E-01 )
  1.585E+00  1.333E-01 ( 1.333E-01 )  1.345E-01 ( 1.345E-01 )  1.345E-01 ( 1.345E-01 )
  2.512E+00  6.294E-02 ( 6.294E-02 )  6.459E-02 ( 6.459E-02 )  6.507E-02 ( 6.507E-02 )
  3.981E+00  2.036E-02 ( 2.036E-02 )  2.086E-02 ( 2.086E-02 )  2.105E-02 ( 2.105E-02 )
  6.310E+00  5.833E-03 ( 5.833E-03 )  5.916E-03 ( 5.916E-03 )  5.952E-03 ( 5.952E-03 )
  1.000E+01  1.631E-03 ( 1.631E-03 )  1.636E-03 ( 1.636E-03 )  1.639E-03 ( 1.639E-03 )
  1.585E+01  4.930E-04 ( 4.930E-04 )  4.935E-04 ( 4.935E-04 )  4.939E-04 ( 4.939E-04 )
  2.512E+01  1.522E-04 ( 1.522E-04 )  1.522E-04 ( 1.522E-04 )  1.522E-04 ( 1.522E-04 )
  3.981E+01  4.809E-05 ( 4.809E-05 )  4.809E-05 ( 4.809E-05 )  4.811E-05 ( 4.811E-05 )
  6.310E+01  1.537E-05 ( 1.537E-05 )  1.538E-05 ( 1.538E-05 )  1.538E-05 ( 1.538E-05 )
  1.000E+02  4.972E-06 ( 4.972E-06 )  4.972E-06 ( 4.972E-06 )  4.972E-06 ( 4.972E-06 )
  1.585E+02  1.631E-06 ( 1.631E-06 )  1.631E-06 ( 1.631E-06 )  1.631E-06 ( 1.631E-06 )
  2.512E+02  5.480E-07 ( 5.480E-07 )  5.480E-07 ( 5.480E-07 )  5.480E-07 ( 5.480E-07 )
  3.981E+02  1.904E-07 ( 1.904E-07 )  1.904E-07 ( 1.904E-07 )  1.904E-07 ( 1.904E-07 )
  6.310E+02  6.951E-08 ( 6.951E-08 )  6.951E-08 ( 6.951E-08 )  6.951E-08 ( 6.951E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         1.879E+00                1.827E+00                1.745E+00
width incl.Dop.     1.879E+00                1.845E+00                1.780E+00

  0.000E+00  2.236E-01 ( 2.236E-01 )  2.270E-01 ( 2.284E-01 )  2.335E-01 ( 2.364E-01 )
  6.310E-02  2.229E-01 ( 2.229E-01 )  2.269E-01 ( 2.277E-01 )  2.334E-01 ( 2.357E-01 )
  1.000E-01  2.226E-01 ( 2.226E-01 )  2.267E-01 ( 2.273E-01 )  2.331E-01 ( 2.353E-01 )
  1.585E-01  2.219E-01 ( 2.219E-01 )  2.261E-01 ( 2.267E-01 )  2.324E-01 ( 2.346E-01 )
  2.512E-01  2.210E-01 ( 2.210E-01 )  2.247E-01 ( 2.258E-01 )  2.307E-01 ( 2.336E-01 )
  3.981E-01  2.175E-01 ( 2.175E-01 )  2.209E-01 ( 2.220E-01 )  2.263E-01 ( 2.292E-01 )
  6.310E-01  2.086E-01 ( 2.086E-01 )  2.110E-01 ( 2.122E-01 )  2.151E-01 ( 2.179E-01 )
  1.000E+00  1.855E-01 ( 1.855E-01 )  1.859E-01 ( 1.869E-01 )  1.873E-01 ( 1.891E-01 )
  1.585E+00  1.338E-01 ( 1.338E-01 )  1.330E-01 ( 1.323E-01 )  1.314E-01 ( 1.303E-01 )
  2.512E+00  6.445E-02 ( 6.445E-02 )  6.334E-02 ( 6.272E-02 )  6.164E-02 ( 6.020E-02 )
  3.981E+00  2.090E-02 ( 2.090E-02 )  2.055E-02 ( 2.037E-02 )  1.989E-02 ( 1.953E-02 )
  6.310E+00  5.935E-03 ( 5.935E-03 )  5.876E-03 ( 5.854E-03 )  5.736E-03 ( 5.692E-03 )
  1.000E+01  1.715E-03 ( 1.715E-03 )  1.711E-03 ( 1.709E-03 )  1.691E-03 ( 1.686E-03 )
  1.585E+01  4.959E-04 ( 4.959E-04 )  4.962E-04 ( 4.960E-04 )  5.126E-04 ( 5.120E-04 )
  2.512E+01  1.533E-04 ( 1.533E-04 )  1.533E-04 ( 1.533E-04 )  1.538E-04 ( 1.537E-04 )
  3.981E+01  4.814E-05 ( 4.814E-05 )  4.815E-05 ( 4.814E-05 )  4.815E-05 ( 4.814E-05 )
  6.310E+01  1.538E-05 ( 1.538E-05 )  1.538E-05 ( 1.538E-05 )  1.538E-05 ( 1.538E-05 )
  1.000E+02  4.972E-06 ( 4.972E-06 )  4.972E-06 ( 4.972E-06 )  4.972E-06 ( 4.972E-06 )
  1.585E+02  1.631E-06 ( 1.631E-06 )  1.633E-06 ( 1.633E-06 )  1.633E-06 ( 1.633E-06 )
  2.512E+02  5.480E-07 ( 5.480E-07 )  5.481E-07 ( 5.481E-07 )  5.481E-07 ( 5.481E-07 )
  3.981E+02  1.904E-07 ( 1.904E-07 )  1.904E-07 ( 1.904E-07 )  1.904E-07 ( 1.904E-07 )
  6.310E+02  6.951E-08 ( 6.951E-08 )  6.951E-08 ( 6.951E-08 )  6.951E-08 ( 6.951E-08 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-02                2.840E-02                2.011E-02
width Stark         1.641E+00                1.543E+00                1.465E+00
width incl.Dop.     1.718E+00                1.699E+00                1.768E+00

  0.000E+00  2.404E-01 ( 2.472E-01 )  2.435E-01 ( 2.599E-01 )  2.379E-01 ( 2.741E-01 )
  3.981E-02  2.403E-01 ( 2.468E-01 )  2.434E-01 ( 2.595E-01 )  2.378E-01 ( 2.736E-01 )
  6.310E-02  2.402E-01 ( 2.466E-01 )  2.432E-01 ( 2.593E-01 )  2.377E-01 ( 2.733E-01 )
  1.000E-01  2.398E-01 ( 2.463E-01 )  2.429E-01 ( 2.589E-01 )  2.373E-01 ( 2.729E-01 )
  1.585E-01  2.390E-01 ( 2.458E-01 )  2.419E-01 ( 2.584E-01 )  2.365E-01 ( 2.722E-01 )
  2.512E-01  2.369E-01 ( 2.438E-01 )  2.396E-01 ( 2.558E-01 )  2.343E-01 ( 2.690E-01 )
  3.981E-01  2.317E-01 ( 2.385E-01 )  2.338E-01 ( 2.493E-01 )  2.289E-01 ( 2.610E-01 )
  6.310E-01  2.187E-01 ( 2.249E-01 )  2.199E-01 ( 2.329E-01 )  2.160E-01 ( 2.414E-01 )
  1.000E+00  1.886E-01 ( 1.916E-01 )  1.886E-01 ( 1.943E-01 )  1.872E-01 ( 1.968E-01 )
  1.585E+00  1.303E-01 ( 1.278E-01 )  1.304E-01 ( 1.250E-01 )  1.327E-01 ( 1.217E-01 )
  2.512E+00  6.016E-02 ( 5.717E-02 )  6.018E-02 ( 5.388E-02 )  6.307E-02 ( 5.052E-02 )
  3.981E+00  1.915E-02 ( 1.844E-02 )  1.862E-02 ( 1.723E-02 )  1.883E-02 ( 1.599E-02 )
  6.310E+00  5.531E-03 ( 5.448E-03 )  5.298E-03 ( 5.137E-03 )  5.110E-03 ( 4.797E-03 )
  1.000E+01  1.648E-03 ( 1.639E-03 )  1.586E-03 ( 1.568E-03 )  1.514E-03 ( 1.479E-03 )
  1.585E+01  5.060E-04 ( 5.049E-04 )  4.927E-04 ( 4.905E-04 )  4.737E-04 ( 4.697E-04 )
  2.512E+01  1.538E-04 ( 1.536E-04 )  1.535E-04 ( 1.533E-04 )  1.491E-04 ( 1.486E-04 )
  3.981E+01  4.817E-05 ( 4.815E-05 )  4.818E-05 ( 4.815E-05 )  4.821E-05 ( 4.815E-05 )
  6.310E+01  1.538E-05 ( 1.538E-05 )  1.538E-05 ( 1.538E-05 )  1.539E-05 ( 1.538E-05 )
  1.000E+02  4.973E-06 ( 4.973E-06 )  4.974E-06 ( 4.973E-06 )  4.974E-06 ( 4.973E-06 )
  1.585E+02  1.633E-06 ( 1.633E-06 )  1.633E-06 ( 1.633E-06 )  1.633E-06 ( 1.633E-06 )
  2.512E+02  5.482E-07 ( 5.482E-07 )  5.482E-07 ( 5.482E-07 )  5.486E-07 ( 5.485E-07 )
  3.981E+02  1.904E-07 ( 1.904E-07 )  1.904E-07 ( 1.904E-07 )  1.905E-07 ( 1.905E-07 )

T(K)                1.259E+06
RO/Debye            1.423E-02
width Stark         8.626E-02
width incl.Dop.     3.234E-01

  0.000E+00  2.201E-01 ( 2.893E-01 )
  3.981E-02  2.201E-01 ( 2.887E-01 )
  6.310E-02  2.200E-01 ( 2.884E-01 )
  1.000E-01  2.197E-01 ( 2.878E-01 )
  1.585E-01  2.190E-01 ( 2.869E-01 )
  2.512E-01  2.174E-01 ( 2.830E-01 )
  3.981E-01  2.133E-01 ( 2.734E-01 )
  6.310E-01  2.035E-01 ( 2.501E-01 )
  1.000E+00  1.809E-01 ( 1.991E-01 )
