           N LOWER =  2  N UPPER= 26  WAVELENGTH (angstroms)=  3668.76
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   1.375E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         3.334E+00                3.197E+00                3.048E+00
width incl.Dop.     1.248E+01                1.701E+01                2.337E+01

  0.000E+00  3.724E-02 ( 1.223E-01 )  2.748E-02 ( 1.275E-01 )  1.994E-02 ( 1.336E-01 )
  3.981E-02  3.724E-02 ( 1.223E-01 )  2.748E-02 ( 1.275E-01 )  1.994E-02 ( 1.335E-01 )
  6.310E-02  3.724E-02 ( 1.223E-01 )  2.748E-02 ( 1.274E-01 )  1.994E-02 ( 1.335E-01 )
  1.000E-01  3.723E-02 ( 1.223E-01 )  2.748E-02 ( 1.274E-01 )  1.994E-02 ( 1.334E-01 )
  1.585E-01  3.723E-02 ( 1.222E-01 )  2.748E-02 ( 1.274E-01 )  1.994E-02 ( 1.334E-01 )
  2.512E-01  3.723E-02 ( 1.219E-01 )  2.747E-02 ( 1.270E-01 )  1.994E-02 ( 1.330E-01 )
  3.981E-01  3.721E-02 ( 1.211E-01 )  2.747E-02 ( 1.262E-01 )  1.994E-02 ( 1.319E-01 )
  6.310E-01  3.717E-02 ( 1.193E-01 )  2.745E-02 ( 1.240E-01 )  1.993E-02 ( 1.294E-01 )
  1.000E+00  3.706E-02 ( 1.147E-01 )  2.741E-02 ( 1.187E-01 )  1.992E-02 ( 1.232E-01 )
  1.585E+00  3.681E-02 ( 1.038E-01 )  2.731E-02 ( 1.062E-01 )  1.988E-02 ( 1.090E-01 )
  2.512E+00  3.617E-02 ( 8.062E-02 )  2.705E-02 ( 8.069E-02 )  1.978E-02 ( 8.065E-02 )
  3.981E+00  3.461E-02 ( 4.586E-02 )  2.643E-02 ( 4.436E-02 )  1.954E-02 ( 4.266E-02 )
  6.310E+00  3.099E-02 ( 1.751E-02 )  2.491E-02 ( 1.652E-02 )  1.895E-02 ( 1.547E-02 )
  1.000E+01  2.352E-02 ( 5.346E-03 )  2.149E-02 ( 5.045E-03 )  1.755E-02 ( 4.710E-03 )
  1.585E+01  1.193E-02 ( 1.585E-03 )  1.485E-02 ( 1.513E-03 )  1.447E-02 ( 1.424E-03 )
  2.512E+01  2.477E-03 ( 4.798E-04 )  5.973E-03 ( 4.649E-04 )  8.927E-03 ( 4.432E-04 )
  3.981E+01  2.283E-04 ( 1.476E-04 )  7.432E-04 ( 1.451E-04 )  2.709E-03 ( 1.406E-04 )
  6.310E+01  5.005E-05 ( 4.420E-05 )  5.957E-05 ( 4.417E-05 )  1.877E-04 ( 4.411E-05 )
  1.000E+02  1.443E-05 ( 1.386E-05 )  1.511E-05 ( 1.386E-05 )  1.711E-05 ( 1.408E-05 )
  1.585E+02  4.439E-06 ( 4.366E-06 )  4.514E-06 ( 4.366E-06 )  4.694E-06 ( 4.369E-06 )
  2.512E+02  1.387E-06 ( 1.378E-06 )  1.396E-06 ( 1.378E-06 )  1.414E-06 ( 1.379E-06 )
  3.981E+02  4.369E-07 ( 4.358E-07 )  4.380E-07 ( 4.358E-07 )  4.403E-07 ( 4.358E-07 )
  6.310E+02  1.380E-07 ( 1.378E-07 )  1.381E-07 ( 1.378E-07 )  1.384E-07 ( 1.378E-07 )
  1.000E+03  4.366E-08 ( 4.364E-08 )  4.367E-08 ( 4.364E-08 )  4.371E-08 ( 4.364E-08 )
  1.585E+03  1.382E-08 ( 1.382E-08 )  1.383E-08 ( 1.382E-08 )  1.383E-08 ( 1.382E-08 )
  2.512E+03  4.384E-09 ( 4.384E-09 )  4.384E-09 ( 4.384E-09 )  4.385E-09 ( 4.384E-09 )
  3.981E+03  1.393E-09 ( 1.393E-09 )  1.393E-09 ( 1.393E-09 )  1.393E-09 ( 1.393E-09 )
  6.310E+03  4.436E-10 ( 4.436E-10 )  4.436E-10 ( 4.436E-10 )  4.436E-10 ( 4.436E-10 )
