           N LOWER =  1  N UPPER=  3  WAVELENGTH (angstroms)=  1025.73
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   3.586E-05

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         9.306E-04                8.050E-04                6.542E-04
width incl.Dop.     3.202E-01                4.539E-01                6.339E-01

  0.000E+00  1.489E+00 ( 3.714E+02 )  1.053E+00 ( 4.288E+02 )  7.440E-01 ( 5.128E+02 )
  3.981E-05  1.489E+00 ( 3.705E+02 )  1.053E+00 ( 4.297E+02 )  7.440E-01 ( 5.112E+02 )
  6.310E-05  1.489E+00 ( 3.692E+02 )  1.053E+00 ( 4.287E+02 )  7.440E-01 ( 5.089E+02 )
  1.000E-04  1.489E+00 ( 3.660E+02 )  1.053E+00 ( 4.225E+02 )  7.440E-01 ( 5.030E+02 )
  1.585E-04  1.489E+00 ( 3.605E+02 )  1.053E+00 ( 4.134E+02 )  7.440E-01 ( 4.834E+02 )
  2.512E-04  1.489E+00 ( 3.455E+02 )  1.053E+00 ( 3.902E+02 )  7.440E-01 ( 4.477E+02 )
  3.981E-04  1.489E+00 ( 3.126E+02 )  1.053E+00 ( 3.426E+02 )  7.440E-01 ( 3.730E+02 )
  6.310E-04  1.489E+00 ( 2.531E+02 )  1.053E+00 ( 2.612E+02 )  7.440E-01 ( 2.635E+02 )
  1.000E-03  1.489E+00 ( 1.701E+02 )  1.053E+00 ( 1.629E+02 )  7.440E-01 ( 1.507E+02 )
  1.585E-03  1.489E+00 ( 9.171E+01 )  1.053E+00 ( 8.236E+01 )  7.440E-01 ( 7.150E+01 )
  2.512E-03  1.489E+00 ( 4.090E+01 )  1.053E+00 ( 3.549E+01 )  7.440E-01 ( 2.991E+01 )
  3.981E-03  1.489E+00 ( 1.603E+01 )  1.053E+00 ( 1.381E+01 )  7.440E-01 ( 1.157E+01 )
  6.310E-03  1.489E+00 ( 5.805E+00 )  1.052E+00 ( 5.052E+00 )  7.440E-01 ( 4.274E+00 )
  1.000E-02  1.488E+00 ( 2.005E+00 )  1.052E+00 ( 1.781E+00 )  7.439E-01 ( 1.532E+00 )
  1.585E-02  1.487E+00 ( 6.735E-01 )  1.052E+00 ( 6.116E-01 )  7.437E-01 ( 5.383E-01 )
  2.512E-02  1.483E+00 ( 2.224E-01 )  1.050E+00 ( 2.064E-01 )  7.432E-01 ( 1.868E-01 )
  3.981E-02  1.473E+00 ( 6.962E-02 )  1.047E+00 ( 6.885E-02 )  7.420E-01 ( 6.345E-02 )
  6.310E-02  1.449E+00 ( 2.267E-02 )  1.038E+00 ( 2.167E-02 )  7.389E-01 ( 2.120E-02 )
