           N LOWER =  1  N UPPER=  3  WAVELENGTH (angstroms)=  1025.73
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   3.586E-05

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         1.965E-03                1.959E-03                1.878E-03
width incl.Dop.     7.570E-03                1.025E-02                1.418E-02

  0.000E+00  6.141E+01 ( 1.973E+02 )  4.536E+01 ( 1.997E+02 )  3.301E+01 ( 2.087E+02 )
  1.000E-04  6.140E+01 ( 1.979E+02 )  4.536E+01 ( 2.000E+02 )  3.301E+01 ( 2.088E+02 )
  1.585E-04  6.139E+01 ( 1.986E+02 )  4.535E+01 ( 2.005E+02 )  3.301E+01 ( 2.090E+02 )
  2.512E-04  6.136E+01 ( 1.999E+02 )  4.534E+01 ( 2.016E+02 )  3.300E+01 ( 2.095E+02 )
  3.981E-04  6.128E+01 ( 2.005E+02 )  4.531E+01 ( 2.016E+02 )  3.299E+01 ( 2.082E+02 )
  6.310E-04  6.110E+01 ( 1.956E+02 )  4.524E+01 ( 1.956E+02 )  3.296E+01 ( 2.001E+02 )
  1.000E-03  6.063E+01 ( 1.737E+02 )  4.505E+01 ( 1.733E+02 )  3.289E+01 ( 1.747E+02 )
  1.585E-03  5.949E+01 ( 1.246E+02 )  4.460E+01 ( 1.247E+02 )  3.272E+01 ( 1.236E+02 )
  2.512E-03  5.670E+01 ( 6.521E+01 )  4.348E+01 ( 6.553E+01 )  3.229E+01 ( 6.400E+01 )
  3.981E-03  5.029E+01 ( 2.581E+01 )  4.078E+01 ( 2.576E+01 )  3.123E+01 ( 2.493E+01 )
  6.310E-03  3.730E+01 ( 8.803E+00 )  3.474E+01 ( 8.640E+00 )  2.872E+01 ( 8.325E+00 )
  1.000E-02  1.798E+01 ( 2.872E+00 )  2.330E+01 ( 2.768E+00 )  2.329E+01 ( 2.650E+00 )
  1.585E-02  3.526E+00 ( 9.364E-01 )  8.758E+00 ( 8.537E-01 )  1.379E+01 ( 8.085E-01 )
  2.512E-02  4.158E-01 ( 2.967E-01 )  1.026E+00 ( 2.786E-01 )  3.817E+00 ( 2.618E-01 )
  3.981E-02  1.079E-01 ( 9.842E-02 )  1.154E-01 ( 9.217E-02 )  2.544E-01 ( 8.629E-02 )
  6.310E-02  3.392E-02 ( 3.274E-02 )  3.295E-02 ( 3.066E-02 )  3.361E-02 ( 2.858E-02 )
  1.000E-01  1.093E-02 ( 1.078E-02 )  1.044E-02 ( 1.016E-02 )  1.004E-02 ( 9.480E-03 )
