           N LOWER =  1  N UPPER=  4  WAVELENGTH (angstroms)=   972.55
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   7.965E-05

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           3.818E-03
width incl.Dop.                                                       3.818E-03

  0.000E+00                                                    9.854E+01 ( 9.854E+01 )
  1.585E-04                                                    9.739E+01 ( 9.739E+01 )
  2.512E-04                                                    9.613E+01 ( 9.613E+01 )
  3.981E-04                                                    9.361E+01 ( 9.361E+01 )
  6.310E-04                                                    8.881E+01 ( 8.881E+01 )
  1.000E-03                                                    8.104E+01 ( 8.104E+01 )
  1.585E-03                                                    7.143E+01 ( 7.143E+01 )
  2.512E-03                                                    6.174E+01 ( 6.174E+01 )
  3.981E-03                                                    4.771E+01 ( 4.771E+01 )
  6.310E-03                                                    2.688E+01 ( 2.688E+01 )
  1.000E-02                                                    1.062E+01 ( 1.062E+01 )
  1.585E-02                                                    3.481E+00 ( 3.481E+00 )
  2.512E-02                                                    1.112E+00 ( 1.112E+00 )
  3.981E-02                                                    3.308E-01 ( 3.308E-01 )
  6.310E-02                                                    1.124E-01 ( 1.124E-01 )
  1.000E-01                                                    3.885E-02 ( 3.885E-02 )
  1.585E-01                                                    1.410E-02 ( 1.410E-02 )
  2.512E-01                                                    5.246E-03 ( 5.246E-03 )
  3.981E-01                                                    1.992E-03 ( 1.992E-03 )
  6.310E-01                                                    7.679E-04 ( 7.679E-04 )
  1.000E+00                                                    2.993E-04 ( 2.993E-04 )
  1.585E+00                                                    1.175E-04 ( 1.175E-04 )
  2.512E+00                                                    4.636E-05 ( 4.636E-05 )
  3.981E+00                                                    1.835E-05 ( 1.835E-05 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         4.072E-03                4.180E-03                4.155E-03
width incl.Dop.     4.072E-03                4.180E-03                4.155E-03

  0.000E+00  9.440E+01 ( 9.440E+01 )  9.277E+01 ( 9.277E+01 )  9.359E+01 ( 9.359E+01 )
  1.585E-04  9.330E+01 ( 9.330E+01 )  9.170E+01 ( 9.170E+01 )  9.245E+01 ( 9.245E+01 )
  2.512E-04  9.219E+01 ( 9.219E+01 )  9.058E+01 ( 9.058E+01 )  9.122E+01 ( 9.122E+01 )
  3.981E-04  8.979E+01 ( 8.979E+01 )  8.812E+01 ( 8.812E+01 )  8.848E+01 ( 8.848E+01 )
  6.310E-04  8.515E+01 ( 8.515E+01 )  8.332E+01 ( 8.332E+01 )  8.319E+01 ( 8.319E+01 )
  1.000E-03  7.758E+01 ( 7.758E+01 )  7.554E+01 ( 7.554E+01 )  7.475E+01 ( 7.475E+01 )
  1.585E-03  6.839E+01 ( 6.839E+01 )  6.637E+01 ( 6.637E+01 )  6.539E+01 ( 6.539E+01 )
  2.512E-03  5.990E+01 ( 5.990E+01 )  5.861E+01 ( 5.861E+01 )  5.826E+01 ( 5.826E+01 )
  3.981E-03  4.798E+01 ( 4.798E+01 )  4.803E+01 ( 4.803E+01 )  4.824E+01 ( 4.824E+01 )
  6.310E-03  2.805E+01 ( 2.805E+01 )  2.874E+01 ( 2.874E+01 )  2.886E+01 ( 2.886E+01 )
  1.000E-02  1.119E+01 ( 1.119E+01 )  1.155E+01 ( 1.155E+01 )  1.155E+01 ( 1.155E+01 )
  1.585E-02  3.626E+00 ( 3.626E+00 )  3.710E+00 ( 3.710E+00 )  3.706E+00 ( 3.706E+00 )
  2.512E-02  1.137E+00 ( 1.137E+00 )  1.151E+00 ( 1.151E+00 )  1.150E+00 ( 1.150E+00 )
