           N LOWER =  1  N UPPER=  6  WAVELENGTH (angstroms)=   937.81
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   2.651E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         7.826E-03                7.824E-03                7.671E-03
width incl.Dop.     6.474E-02                9.027E-02                1.276E-01

  0.000E+00  7.236E+00 ( 5.007E+01 )  5.204E+00 ( 5.049E+01 )  3.717E+00 ( 5.173E+01 )
  3.981E-04  7.236E+00 ( 4.994E+01 )  5.204E+00 ( 5.035E+01 )  3.717E+00 ( 5.158E+01 )
  6.310E-04  7.236E+00 ( 4.972E+01 )  5.204E+00 ( 5.015E+01 )  3.717E+00 ( 5.136E+01 )
  1.000E-03  7.235E+00 ( 4.917E+01 )  5.203E+00 ( 4.963E+01 )  3.717E+00 ( 5.080E+01 )
  1.585E-03  7.233E+00 ( 4.799E+01 )  5.202E+00 ( 4.847E+01 )  3.717E+00 ( 4.965E+01 )
  2.512E-03  7.228E+00 ( 4.542E+01 )  5.201E+00 ( 4.597E+01 )  3.716E+00 ( 4.705E+01 )
  3.981E-03  7.217E+00 ( 4.007E+01 )  5.196E+00 ( 4.060E+01 )  3.714E+00 ( 4.138E+01 )
  6.310E-03  7.188E+00 ( 3.032E+01 )  5.186E+00 ( 3.066E+01 )  3.711E+00 ( 3.093E+01 )
  1.000E-02  7.116E+00 ( 1.746E+01 )  5.159E+00 ( 1.746E+01 )  3.701E+00 ( 1.720E+01 )
  1.585E-02  6.937E+00 ( 7.241E+00 )  5.092E+00 ( 7.087E+00 )  3.677E+00 ( 6.819E+00 )
  2.512E-02  6.509E+00 ( 2.438E+00 )  4.929E+00 ( 2.341E+00 )  3.616E+00 ( 2.227E+00 )
  3.981E-02  5.549E+00 ( 7.762E-01 )  4.541E+00 ( 7.333E-01 )  3.469E+00 ( 6.920E-01 )
  6.310E-02  3.722E+00 ( 2.381E-01 )  3.697E+00 ( 2.233E-01 )  3.125E+00 ( 2.092E-01 )
  1.000E-01  1.385E+00 ( 7.746E-02 )  2.210E+00 ( 7.262E-02 )  2.404E+00 ( 6.778E-02 )
  1.585E-01  1.414E-01 ( 2.531E-02 )  6.171E-01 ( 2.384E-02 )  1.247E+00 ( 2.226E-02 )
  2.512E-01  1.059E-02 ( 8.240E-03 )  3.451E-02 ( 7.832E-03 )  2.443E-01 ( 7.347E-03 )
  3.981E-01  2.887E-03 ( 2.663E-03 )  3.059E-03 ( 2.561E-03 )  7.212E-03 ( 2.422E-03 )
  6.310E-01  8.799E-04 ( 8.536E-04 )  8.850E-04 ( 8.316E-04 )  9.078E-04 ( 7.952E-04 )
  1.000E+00  2.689E-04 ( 2.654E-04 )  2.743E-04 ( 2.678E-04 )  2.725E-04 ( 2.595E-04 )
  1.585E+00  8.428E-05 ( 8.389E-05 )  8.473E-05 ( 8.389E-05 )  8.557E-05 ( 8.398E-05 )
  2.512E+00  2.658E-05 ( 2.653E-05 )  2.663E-05 ( 2.653E-05 )  2.673E-05 ( 2.653E-05 )
  3.981E+00  8.396E-06 ( 8.390E-06 )  8.403E-06 ( 8.390E-06 )  8.415E-06 ( 8.390E-06 )
  6.310E+00                                                    2.656E-06 ( 2.653E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         7.360E-03                6.840E-03                6.112E-03
width incl.Dop.     1.799E-01                2.499E-01                3.540E-01

  0.000E+00  2.647E+00 ( 5.384E+01 )  1.881E+00 ( 5.723E+01 )  1.334E+00 ( 6.247E+01 )
  6.310E-04  2.647E+00 ( 5.345E+01 )  1.881E+00 ( 5.678E+01 )  1.334E+00 ( 6.178E+01 )
  1.000E-03  2.647E+00 ( 5.286E+01 )  1.881E+00 ( 5.609E+01 )  1.334E+00 ( 6.092E+01 )
  1.585E-03  2.647E+00 ( 5.159E+01 )  1.881E+00 ( 5.460E+01 )  1.334E+00 ( 5.900E+01 )
  2.512E-03  2.646E+00 ( 4.872E+01 )  1.881E+00 ( 5.116E+01 )  1.334E+00 ( 5.451E+01 )
  3.981E-03  2.646E+00 ( 4.244E+01 )  1.881E+00 ( 4.377E+01 )  1.334E+00 ( 4.518E+01 )
  6.310E-03  2.644E+00 ( 3.103E+01 )  1.880E+00 ( 3.079E+01 )  1.334E+00 ( 2.994E+01 )
  1.000E-02  2.641E+00 ( 1.659E+01 )  1.879E+00 ( 1.564E+01 )  1.334E+00 ( 1.432E+01 )
  1.585E-02  2.632E+00 ( 6.441E+00 )  1.876E+00 ( 5.953E+00 )  1.333E+00 ( 5.371E+00 )
  2.512E-02  2.610E+00 ( 2.100E+00 )  1.868E+00 ( 1.958E+00 )  1.330E+00 ( 1.796E+00 )
  3.981E-02  2.556E+00 ( 6.533E-01 )  1.848E+00 ( 6.155E-01 )  1.323E+00 ( 5.762E-01 )
  6.310E-02  2.424E+00 ( 1.966E-01 )  1.800E+00 ( 1.934E-01 )  1.305E+00 ( 1.830E-01 )
  1.000E-01  2.123E+00 ( 6.331E-02 )  1.683E+00 ( 5.939E-02 )  1.262E+00 ( 5.609E-02 )
  1.585E-01  1.522E+00 ( 2.074E-02 )  1.423E+00 ( 1.936E-02 )  1.160E+00 ( 1.817E-02 )
  2.512E-01  6.603E-01 ( 6.847E-03 )  9.335E-01 ( 6.377E-03 )  9.381E-01 ( 5.956E-03 )
  3.981E-01  8.315E-02 ( 2.267E-03 )  3.244E-01 ( 2.110E-03 )  5.508E-01 ( 1.965E-03 )
  6.310E-01  1.423E-03 ( 7.494E-04 )  2.357E-02 ( 6.994E-04 )  1.449E-01 ( 6.508E-04 )
  1.000E+00  2.731E-04 ( 2.468E-04 )  3.197E-04 ( 2.316E-04 )  5.330E-03 ( 2.158E-04 )
  1.585E+00  8.393E-05 ( 8.082E-05 )  8.269E-05 ( 7.647E-05 )  8.607E-05 ( 7.156E-05 )
  2.512E+00  2.667E-05 ( 2.627E-05 )  2.588E-05 ( 2.513E-05 )  2.515E-05 ( 2.367E-05 )
  3.981E+00  8.520E-06 ( 8.470E-06 )  8.298E-06 ( 8.202E-06 )  7.986E-06 ( 7.802E-06 )
  6.310E+00  2.660E-06 ( 2.653E-06 )  2.668E-06 ( 2.656E-06 )  2.580E-06 ( 2.556E-06 )
  1.000E+01  8.402E-07 ( 8.394E-07 )  8.411E-07 ( 8.395E-07 )  8.345E-07 ( 8.314E-07 )
  1.585E+01                           2.659E-07 ( 2.657E-07 )  2.686E-07 ( 2.683E-07 )
  2.512E+01                                                    8.417E-08 ( 8.412E-08 )
  3.981E+01                                                    2.666E-08 ( 2.666E-08 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.733E-02                1.935E-02                1.370E-02
width Stark         5.435E-03                4.634E-03                3.742E-03
width incl.Dop.     5.029E-01                7.115E-01                9.914E-01

  0.000E+00  9.460E-01 ( 7.005E+01 )  6.702E-01 ( 8.112E+01 )  4.748E-01 ( 9.684E+01 )
  3.981E-04  9.460E-01 ( 6.972E+01 )  6.702E-01 ( 8.075E+01 )  4.748E-01 ( 9.599E+01 )
  6.310E-04  9.460E-01 ( 6.921E+01 )  6.702E-01 ( 7.973E+01 )  4.748E-01 ( 9.446E+01 )
  1.000E-03  9.460E-01 ( 6.798E+01 )  6.702E-01 ( 7.771E+01 )  4.748E-01 ( 9.066E+01 )
