           N LOWER =  1  N UPPER= 26  WAVELENGTH (angstroms)=   913.11
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   2.120E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         2.384E-01                2.352E-01                2.287E-01
width incl.Dop.     3.861E-01                4.930E-01                6.377E-01

  0.000E+00  1.146E+00 ( 1.744E+00 )  9.260E-01 ( 1.762E+00 )  7.174E-01 ( 1.807E+00 )
  1.000E-02  1.146E+00 ( 1.740E+00 )  9.257E-01 ( 1.760E+00 )  7.173E-01 ( 1.805E+00 )
  1.585E-02  1.145E+00 ( 1.737E+00 )  9.253E-01 ( 1.757E+00 )  7.171E-01 ( 1.802E+00 )
  2.512E-02  1.143E+00 ( 1.730E+00 )  9.243E-01 ( 1.749E+00 )  7.167E-01 ( 1.794E+00 )
  3.981E-02  1.138E+00 ( 1.713E+00 )  9.216E-01 ( 1.732E+00 )  7.155E-01 ( 1.775E+00 )
  6.310E-02  1.125E+00 ( 1.672E+00 )  9.150E-01 ( 1.689E+00 )  7.125E-01 ( 1.728E+00 )
  1.000E-01  1.092E+00 ( 1.567E+00 )  8.986E-01 ( 1.579E+00 )  7.051E-01 ( 1.604E+00 )
  1.585E-01  1.016E+00 ( 1.303E+00 )  8.588E-01 ( 1.302E+00 )  6.868E-01 ( 1.303E+00 )
  2.512E-01  8.491E-01 ( 8.032E-01 )  7.668E-01 ( 7.935E-01 )  6.430E-01 ( 7.755E-01 )
  3.981E-01  5.485E-01 ( 3.133E-01 )  5.791E-01 ( 3.086E-01 )  5.454E-01 ( 2.983E-01 )
  6.310E-01  2.042E-01 ( 9.137E-02 )  2.942E-01 ( 9.049E-02 )  3.628E-01 ( 8.826E-02 )
  1.000E+00  3.888E-02 ( 2.575E-02 )  6.838E-02 ( 2.569E-02 )  1.363E-01 ( 2.538E-02 )
  1.585E+00  8.256E-03 ( 7.216E-03 )  9.930E-03 ( 7.222E-03 )  1.883E-02 ( 7.522E-03 )
  2.512E+00  2.293E-03 ( 2.202E-03 )  2.403E-03 ( 2.203E-03 )  2.745E-03 ( 2.204E-03 )
  3.981E+00  6.915E-04 ( 6.799E-04 )  7.037E-04 ( 6.800E-04 )  7.309E-04 ( 6.839E-04 )
  6.310E+00  2.148E-04 ( 2.135E-04 )  2.162E-04 ( 2.135E-04 )  2.193E-04 ( 2.135E-04 )
  1.000E+01  6.747E-05 ( 6.730E-05 )  6.764E-05 ( 6.730E-05 )  6.796E-05 ( 6.730E-05 )
  1.585E+01  2.127E-05 ( 2.125E-05 )  2.129E-05 ( 2.125E-05 )  2.133E-05 ( 2.125E-05 )
  2.512E+01  6.717E-06 ( 6.715E-06 )  6.720E-06 ( 6.715E-06 )  6.725E-06 ( 6.715E-06 )
  3.981E+01                                                    2.125E-06 ( 2.124E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-02                3.716E-02                2.630E-02
width Stark         2.198E-01                2.098E-01                1.992E-01
width incl.Dop.     8.624E-01                1.191E+00                1.639E+00

  0.000E+00  5.390E-01 ( 1.876E+00 )  3.960E-01 ( 1.965E+00 )  2.867E-01 ( 2.068E+00 )
  2.512E-02  5.387E-01 ( 1.862E+00 )  3.958E-01 ( 1.949E+00 )  2.867E-01 ( 2.048E+00 )
  3.981E-02  5.382E-01 ( 1.840E+00 )  3.956E-01 ( 1.922E+00 )  2.866E-01 ( 2.016E+00 )
  6.310E-02  5.369E-01 ( 1.785E+00 )  3.952E-01 ( 1.855E+00 )  2.864E-01 ( 1.933E+00 )
  1.000E-01  5.339E-01 ( 1.641E+00 )  3.940E-01 ( 1.684E+00 )  2.860E-01 ( 1.731E+00 )
  1.585E-01  5.262E-01 ( 1.303E+00 )  3.910E-01 ( 1.303E+00 )  2.848E-01 ( 1.301E+00 )
  2.512E-01  5.075E-01 ( 7.514E-01 )  3.835E-01 ( 7.233E-01 )  2.820E-01 ( 6.926E-01 )
  3.981E-01  4.634E-01 ( 2.838E-01 )  3.655E-01 ( 2.667E-01 )  2.750E-01 ( 2.488E-01 )
  6.310E-01  3.692E-01 ( 8.466E-02 )  3.238E-01 ( 8.000E-02 )  2.583E-01 ( 7.473E-02 )
  1.000E+00  2.102E-01 ( 2.475E-02 )  2.393E-01 ( 2.374E-02 )  2.207E-01 ( 2.244E-02 )
  1.585E+00  5.463E-02 ( 7.437E-03 )  1.129E-01 ( 7.250E-03 )  1.488E-01 ( 6.952E-03 )
  2.512E+00  4.540E-03 ( 2.204E-03 )  1.881E-02 ( 2.250E-03 )  5.581E-02 ( 2.195E-03 )
  3.981E+00  7.896E-04 ( 6.800E-04 )  1.093E-03 ( 6.800E-04 )  5.471E-03 ( 6.857E-04 )
  6.310E+00  2.252E-04 ( 2.135E-04 )  2.384E-04 ( 2.135E-04 )  2.859E-04 ( 2.135E-04 )
  1.000E+01  6.866E-05 ( 6.730E-05 )  7.017E-05 ( 6.730E-05 )  7.333E-05 ( 6.730E-05 )
  1.585E+01  2.142E-05 ( 2.125E-05 )  2.158E-05 ( 2.125E-05 )  2.195E-05 ( 2.125E-05 )
  2.512E+01  6.736E-06 ( 6.715E-06 )  6.757E-06 ( 6.715E-06 )  6.799E-06 ( 6.715E-06 )
  3.981E+01  2.126E-06 ( 2.124E-06 )  2.129E-06 ( 2.124E-06 )  2.134E-06 ( 2.124E-06 )
  6.310E+01                           6.726E-07 ( 6.719E-07 )  6.732E-07 ( 6.719E-07 )
  1.000E+02                                                    2.129E-07 ( 2.127E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.862E-02                1.318E-02                9.333E-03
width Stark         1.884E-01                1.774E-01                1.655E-01
width incl.Dop.     2.285E+00                3.231E+00                4.563E+00

  0.000E+00  2.057E-01 ( 2.182E+00 )  1.468E-01 ( 2.303E+00 )  1.044E-01 ( 2.434E+00 )
