           N LOWER =  3  N UPPER=  7  WAVELENGTH (angstroms)= 10052.10
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   4.001E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         7.135E-01                6.131E-01                5.277E-01
width incl.Dop.     3.151E+01                4.457E+01                6.215E+01

  0.000E+00  1.510E-02 ( 5.266E-01 )  1.069E-02 ( 5.920E-01 )  7.571E-03 ( 6.867E-01 )
  6.310E-02  1.510E-02 ( 5.223E-01 )  1.069E-02 ( 5.850E-01 )  7.571E-03 ( 6.766E-01 )
  1.000E-01  1.510E-02 ( 5.157E-01 )  1.069E-02 ( 5.765E-01 )  7.571E-03 ( 6.627E-01 )
  1.585E-01  1.510E-02 ( 5.016E-01 )  1.069E-02 ( 5.560E-01 )  7.571E-03 ( 6.300E-01 )
  2.512E-01  1.510E-02 ( 4.695E-01 )  1.069E-02 ( 5.103E-01 )  7.571E-03 ( 5.599E-01 )
  3.981E-01  1.510E-02 ( 4.033E-01 )  1.069E-02 ( 4.208E-01 )  7.570E-03 ( 4.344E-01 )
  6.310E-01  1.509E-02 ( 2.922E-01 )  1.069E-02 ( 2.856E-01 )  7.570E-03 ( 2.708E-01 )
  1.000E+00  1.509E-02 ( 1.630E-01 )  1.069E-02 ( 1.488E-01 )  7.569E-03 ( 1.313E-01 )
  1.585E+00  1.507E-02 ( 6.946E-02 )  1.068E-02 ( 6.138E-02 )  7.567E-03 ( 5.262E-02 )
  2.512E+00  1.503E-02 ( 2.498E-02 )  1.067E-02 ( 2.218E-02 )  7.562E-03 ( 1.914E-02 )
  3.981E+00  1.493E-02 ( 8.300E-03 )  1.063E-02 ( 7.537E-03 )  7.549E-03 ( 6.658E-03 )
  6.310E+00  1.467E-02 ( 2.677E-03 )  1.054E-02 ( 2.489E-03 )  7.517E-03 ( 2.258E-03 )
  1.000E+01  1.406E-02 ( 8.584E-04 )  1.032E-02 ( 8.107E-04 )  7.436E-03 ( 7.527E-04 )
  1.585E+01  1.262E-02 ( 2.654E-04 )  9.773E-03 ( 2.526E-04 )  7.237E-03 ( 2.478E-04 )
  2.512E+01  9.617E-03 ( 8.654E-05 )  8.529E-03 ( 8.180E-05 )  6.760E-03 ( 7.791E-05 )
  3.981E+01  4.868E-03 ( 2.847E-05 )  6.059E-03 ( 2.675E-05 )  5.696E-03 ( 2.532E-05 )
  6.310E+01  8.864E-04 ( 9.413E-06 )  2.569E-03 ( 8.801E-06 )  3.704E-03 ( 8.284E-06 )
  1.000E+02  1.638E-05 ( 3.119E-06 )  3.003E-04 ( 2.907E-06 )  1.258E-03 ( 2.724E-06 )
  1.585E+02  1.175E-06 ( 1.035E-06 )  2.611E-06 ( 9.630E-07 )  8.451E-05 ( 8.987E-07 )
  2.512E+02  3.592E-07 ( 3.430E-07 )  3.523E-07 ( 3.193E-07 )  4.639E-07 ( 2.973E-07 )
  3.981E+02  1.155E-07 ( 1.134E-07 )  1.098E-07 ( 1.059E-07 )  1.064E-07 ( 9.856E-08 )
  6.310E+02  3.761E-08 ( 3.734E-08 )  3.557E-08 ( 3.508E-08 )  3.365E-08 ( 3.270E-08 )
  1.000E+03  1.225E-08 ( 1.222E-08 )  1.164E-08 ( 1.158E-08 )  1.096E-08 ( 1.084E-08 )
