           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       1.000E+13
                conversion factor for wlengths=f0 5.808E-01
                wings factor                  =   5.549E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.637E-01                1.864E-01                1.318E-01
width Stark         1.439E+00                1.438E+00                1.423E+00
width incl.Dop.     1.482E+00                1.521E+00                1.581E+00

  0.000E+00  2.636E-01 ( 2.705E-01 )  2.596E-01 ( 2.726E-01 )  2.533E-01 ( 2.776E-01 )
  6.310E-02  2.632E-01 ( 2.702E-01 )  2.592E-01 ( 2.722E-01 )  2.530E-01 ( 2.772E-01 )
  1.000E-01  2.626E-01 ( 2.693E-01 )  2.586E-01 ( 2.714E-01 )  2.525E-01 ( 2.763E-01 )
  1.585E-01  2.610E-01 ( 2.673E-01 )  2.572E-01 ( 2.693E-01 )  2.513E-01 ( 2.741E-01 )
  2.512E-01  2.571E-01 ( 2.626E-01 )  2.538E-01 ( 2.646E-01 )  2.483E-01 ( 2.693E-01 )
  3.981E-01  2.478E-01 ( 2.520E-01 )  2.455E-01 ( 2.542E-01 )  2.411E-01 ( 2.587E-01 )
  6.310E-01  2.270E-01 ( 2.293E-01 )  2.264E-01 ( 2.318E-01 )  2.241E-01 ( 2.357E-01 )
  1.000E+00  1.851E-01 ( 1.852E-01 )  1.868E-01 ( 1.874E-01 )  1.878E-01 ( 1.898E-01 )
  1.585E+00  1.204E-01 ( 1.186E-01 )  1.228E-01 ( 1.192E-01 )  1.262E-01 ( 1.192E-01 )
  2.512E+00  5.595E-02 ( 5.463E-02 )  5.659E-02 ( 5.381E-02 )  5.826E-02 ( 5.250E-02 )
  3.981E+00  1.954E-02 ( 1.924E-02 )  1.914E-02 ( 1.852E-02 )  1.894E-02 ( 1.766E-02 )
  6.310E+00  6.145E-03 ( 6.104E-03 )  5.893E-03 ( 5.811E-03 )  5.632E-03 ( 5.471E-03 )
  1.000E+01  1.916E-03 ( 1.910E-03 )  1.829E-03 ( 1.819E-03 )  1.729E-03 ( 1.710E-03 )
  1.585E+01  5.961E-04 ( 5.954E-04 )  5.749E-04 ( 5.736E-04 )  5.475E-04 ( 5.452E-04 )
  2.512E+01  1.864E-04 ( 1.863E-04 )  1.820E-04 ( 1.818E-04 )  1.717E-04 ( 1.714E-04 )
  3.981E+01  5.619E-05 ( 5.618E-05 )  5.697E-05 ( 5.695E-05 )  5.550E-05 ( 5.547E-05 )
  6.310E+01  1.768E-05 ( 1.768E-05 )  1.769E-05 ( 1.768E-05 )  1.783E-05 ( 1.783E-05 )
  1.000E+02  5.582E-06 ( 5.581E-06 )  5.582E-06 ( 5.582E-06 )  5.582E-06 ( 5.582E-06 )
  1.585E+02  1.765E-06 ( 1.765E-06 )  1.766E-06 ( 1.766E-06 )  1.766E-06 ( 1.766E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            9.333E-02                6.607E-02                4.678E-02
width Stark         1.395E+00                1.354E+00                1.299E+00
width incl.Dop.     1.724E+00                1.943E+00                2.279E+00

  0.000E+00  2.413E-01 ( 2.849E-01 )  2.205E-01 ( 2.950E-01 )  1.911E-01 ( 3.084E-01 )
  6.310E-02  2.410E-01 ( 2.844E-01 )  2.204E-01 ( 2.942E-01 )  1.910E-01 ( 3.076E-01 )
  1.000E-01  2.406E-01 ( 2.835E-01 )  2.201E-01 ( 2.931E-01 )  1.908E-01 ( 3.065E-01 )
  1.585E-01  2.397E-01 ( 2.812E-01 )  2.194E-01 ( 2.907E-01 )  1.904E-01 ( 3.036E-01 )
  2.512E-01  2.373E-01 ( 2.762E-01 )  2.177E-01 ( 2.855E-01 )  1.894E-01 ( 2.980E-01 )
  3.981E-01  2.314E-01 ( 2.653E-01 )  2.135E-01 ( 2.740E-01 )  1.869E-01 ( 2.853E-01 )
  6.310E-01  2.175E-01 ( 2.411E-01 )  2.035E-01 ( 2.478E-01 )  1.807E-01 ( 2.558E-01 )
  1.000E+00  1.868E-01 ( 1.925E-01 )  1.805E-01 ( 1.953E-01 )  1.661E-01 ( 1.976E-01 )
  1.585E+00  1.309E-01 ( 1.183E-01 )  1.352E-01 ( 1.163E-01 )  1.350E-01 ( 1.127E-01 )
  2.512E+00  6.230E-02 ( 5.058E-02 )  7.059E-02 ( 4.814E-02 )  8.227E-02 ( 4.518E-02 )
  3.981E+00  1.936E-02 ( 1.667E-02 )  2.168E-02 ( 1.568E-02 )  2.862E-02 ( 1.467E-02 )
  6.310E+00  5.445E-03 ( 5.128E-03 )  5.471E-03 ( 4.810E-03 )  6.074E-03 ( 4.514E-03 )
  1.000E+01  1.638E-03 ( 1.602E-03 )  1.566E-03 ( 1.496E-03 )  1.493E-03 ( 1.342E-03 )
  1.585E+01  5.156E-04 ( 5.113E-04 )  4.854E-04 ( 4.773E-04 )  4.462E-04 ( 4.320E-04 )
  2.512E+01  1.627E-04 ( 1.622E-04 )  1.529E-04 ( 1.518E-04 )  1.433E-04 ( 1.414E-04 )
  3.981E+01  5.311E-05 ( 5.304E-05 )  5.010E-05 ( 4.998E-05 )  4.690E-05 ( 4.666E-05 )
  6.310E+01  1.728E-05 ( 1.727E-05 )  1.645E-05 ( 1.643E-05 )  1.546E-05 ( 1.542E-05 )
  1.000E+02  5.586E-06 ( 5.584E-06 )  5.380E-06 ( 5.378E-06 )  5.095E-06 ( 5.091E-06 )
  1.585E+02  1.766E-06 ( 1.766E-06 )  1.749E-06 ( 1.748E-06 )  1.674E-06 ( 1.673E-06 )
  2.512E+02                           5.646E-07 ( 5.646E-07 )  5.475E-07 ( 5.474E-07 )
  3.981E+02                           1.776E-07 ( 1.776E-07 )  1.778E-07 ( 1.778E-07 )
  6.310E+02                           5.655E-08 ( 5.655E-08 )  5.655E-08 ( 5.655E-08 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            3.311E-02                2.344E-02                1.660E-02
width Stark         1.223E+00                1.117E+00                9.738E-01
width incl.Dop.     2.885E+00                3.721E+00                5.062E+00

  0.000E+00  1.564E-01 ( 3.271E-01 )  1.221E-01 ( 3.537E-01 )  9.190E-02 ( 3.928E-01 )
  3.981E-02  1.564E-01 ( 3.268E-01 )  1.221E-01 ( 3.533E-01 )  9.190E-02 ( 3.922E-01 )
  6.310E-02  1.564E-01 ( 3.262E-01 )  1.220E-01 ( 3.526E-01 )  9.189E-02 ( 3.912E-01 )
  1.000E-01  1.563E-01 ( 3.249E-01 )  1.220E-01 ( 3.508E-01 )  9.188E-02 ( 3.889E-01 )
  1.585E-01  1.561E-01 ( 3.216E-01 )  1.219E-01 ( 3.472E-01 )  9.184E-02 ( 3.840E-01 )
  2.512E-01  1.556E-01 ( 3.152E-01 )  1.217E-01 ( 3.392E-01 )  9.174E-02 ( 3.727E-01 )
  3.981E-01  1.542E-01 ( 3.002E-01 )  1.211E-01 ( 3.200E-01 )  9.150E-02 ( 3.457E-01 )
  6.310E-01  1.510E-01 ( 2.656E-01 )  1.196E-01 ( 2.768E-01 )  9.088E-02 ( 2.879E-01 )
  1.000E+00  1.432E-01 ( 1.984E-01 )  1.160E-01 ( 1.963E-01 )  8.936E-02 ( 1.894E-01 )
