           N LOWER =  3  N UPPER= 17  WAVELENGTH (angstroms)=  8469.63
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   4.711E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         8.206E+00                8.416E+00                8.467E+00
width incl.Dop.     8.206E+00                8.416E+00                8.467E+00

  0.000E+00  4.947E-02 ( 4.947E-02 )  4.825E-02 ( 4.825E-02 )  4.789E-02 ( 4.789E-02 )
  3.981E-02  4.945E-02 ( 4.945E-02 )  4.824E-02 ( 4.824E-02 )  4.788E-02 ( 4.788E-02 )
  6.310E-02  4.943E-02 ( 4.943E-02 )  4.823E-02 ( 4.823E-02 )  4.787E-02 ( 4.787E-02 )
  1.000E-01  4.941E-02 ( 4.941E-02 )  4.821E-02 ( 4.821E-02 )  4.786E-02 ( 4.786E-02 )
  1.585E-01  4.938E-02 ( 4.938E-02 )  4.819E-02 ( 4.819E-02 )  4.783E-02 ( 4.783E-02 )
  2.512E-01  4.934E-02 ( 4.934E-02 )  4.816E-02 ( 4.816E-02 )  4.780E-02 ( 4.780E-02 )
  3.981E-01  4.926E-02 ( 4.926E-02 )  4.810E-02 ( 4.810E-02 )  4.775E-02 ( 4.775E-02 )
  6.310E-01  4.914E-02 ( 4.914E-02 )  4.801E-02 ( 4.801E-02 )  4.767E-02 ( 4.767E-02 )
  1.000E+00  4.885E-02 ( 4.885E-02 )  4.776E-02 ( 4.776E-02 )  4.743E-02 ( 4.743E-02 )
  1.585E+00  4.811E-02 ( 4.811E-02 )  4.707E-02 ( 4.707E-02 )  4.679E-02 ( 4.679E-02 )
  2.512E+00  4.632E-02 ( 4.632E-02 )  4.547E-02 ( 4.547E-02 )  4.525E-02 ( 4.525E-02 )
  3.981E+00  4.189E-02 ( 4.189E-02 )  4.142E-02 ( 4.142E-02 )  4.129E-02 ( 4.129E-02 )
