           N LOWER =  3  N UPPER= 22  WAVELENGTH (angstroms)=  8361.35
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   9.849E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         1.386E+01                1.396E+01                1.383E+01
width incl.Dop.     1.386E+01                1.396E+01                1.383E+01

  0.000E+00  2.917E-02 ( 2.917E-02 )  2.892E-02 ( 2.892E-02 )  2.913E-02 ( 2.913E-02 )
  3.981E-02  2.917E-02 ( 2.917E-02 )  2.892E-02 ( 2.892E-02 )  2.913E-02 ( 2.913E-02 )
  6.310E-02  2.916E-02 ( 2.916E-02 )  2.891E-02 ( 2.891E-02 )  2.913E-02 ( 2.913E-02 )
  1.000E-01  2.916E-02 ( 2.916E-02 )  2.891E-02 ( 2.891E-02 )  2.913E-02 ( 2.913E-02 )
  1.585E-01  2.915E-02 ( 2.915E-02 )  2.891E-02 ( 2.891E-02 )  2.912E-02 ( 2.912E-02 )
  2.512E-01  2.914E-02 ( 2.914E-02 )  2.890E-02 ( 2.890E-02 )  2.912E-02 ( 2.912E-02 )
  3.981E-01  2.912E-02 ( 2.912E-02 )  2.889E-02 ( 2.889E-02 )  2.911E-02 ( 2.911E-02 )
  6.310E-01  2.910E-02 ( 2.910E-02 )  2.887E-02 ( 2.887E-02 )  2.909E-02 ( 2.909E-02 )
  1.000E+00  2.903E-02 ( 2.903E-02 )  2.882E-02 ( 2.882E-02 )  2.904E-02 ( 2.904E-02 )
  1.585E+00  2.887E-02 ( 2.887E-02 )  2.866E-02 ( 2.866E-02 )  2.889E-02 ( 2.889E-02 )
  2.512E+00  2.852E-02 ( 2.852E-02 )  2.831E-02 ( 2.831E-02 )  2.854E-02 ( 2.854E-02 )
  3.981E+00  2.765E-02 ( 2.765E-02 )  2.749E-02 ( 2.749E-02 )  2.769E-02 ( 2.769E-02 )
  6.310E+00  2.544E-02 ( 2.544E-02 )  2.534E-02 ( 2.534E-02 )  2.546E-02 ( 2.546E-02 )
  1.000E+01  2.022E-02 ( 2.022E-02 )  2.019E-02 ( 2.019E-02 )  2.015E-02 ( 2.015E-02 )
  1.585E+01  1.169E-02 ( 1.169E-02 )  1.173E-02 ( 1.173E-02 )  1.162E-02 ( 1.162E-02 )
  2.512E+01  4.472E-03 ( 4.472E-03 )  4.507E-03 ( 4.507E-03 )  4.460E-03 ( 4.460E-03 )
  3.981E+01  1.324E-03 ( 1.324E-03 )  1.332E-03 ( 1.332E-03 )  1.324E-03 ( 1.324E-03 )
  6.310E+01  3.703E-04 ( 3.703E-04 )  3.716E-04 ( 3.716E-04 )  3.713E-04 ( 3.713E-04 )
  1.000E+02  1.065E-04 ( 1.065E-04 )  1.066E-04 ( 1.066E-04 )  1.067E-04 ( 1.067E-04 )
  1.585E+02  3.262E-05 ( 3.262E-05 )  3.264E-05 ( 3.264E-05 )  3.265E-05 ( 3.265E-05 )
  2.512E+02  1.017E-05 ( 1.017E-05 )  1.018E-05 ( 1.018E-05 )  1.018E-05 ( 1.018E-05 )
  3.981E+02  3.231E-06 ( 3.231E-06 )  3.232E-06 ( 3.232E-06 )  3.232E-06 ( 3.232E-06 )
  6.310E+02  1.036E-06 ( 1.036E-06 )  1.036E-06 ( 1.036E-06 )  1.036E-06 ( 1.036E-06 )
  1.000E+03  3.117E-06 ( 3.117E-06 )  3.117E-06 ( 3.117E-06 )  3.361E-07 ( 3.361E-07 )
  1.585E+03  9.945E-07 ( 9.945E-07 )  9.945E-07 ( 9.945E-07 )  9.945E-07 ( 9.945E-07 )
  2.512E+03  3.189E-07 ( 3.189E-07 )  3.189E-07 ( 3.189E-07 )  3.189E-07 ( 3.189E-07 )
  3.981E+03  1.030E-07 ( 1.030E-07 )  1.030E-07 ( 1.030E-07 )  1.030E-07 ( 1.030E-07 )
  6.310E+03  3.365E-08 ( 3.365E-08 )  3.365E-08 ( 3.365E-08 )  3.365E-08 ( 3.365E-08 )
  1.000E+04  1.116E-08 ( 1.116E-08 )  1.116E-08 ( 1.116E-08 )  1.116E-08 ( 1.116E-08 )
  1.585E+04  3.771E-09 ( 3.771E-09 )  3.771E-09 ( 3.771E-09 )  3.771E-09 ( 3.771E-09 )
  2.512E+04  1.305E-09 ( 1.305E-09 )  1.305E-09 ( 1.305E-09 )  1.305E-09 ( 1.305E-09 )
  3.981E+04  4.635E-10 ( 4.635E-10 )  4.635E-10 ( 4.635E-10 )  4.635E-10 ( 4.635E-10 )
  6.310E+04  1.690E-10 ( 1.690E-10 )  1.690E-10 ( 1.690E-10 )  1.690E-10 ( 1.690E-10 )
  1.000E+05  6.305E-11 ( 6.305E-11 )  6.305E-11 ( 6.305E-11 )  6.305E-11 ( 6.305E-11 )
  0.000E+00                                                    2.398E-11 ( 2.398E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         1.349E+01                1.299E+01                1.238E+01
width incl.Dop.     1.358E+01                1.318E+01                1.283E+01

  0.000E+00  2.964E-02 ( 2.979E-02 )  3.051E-02 ( 3.087E-02 )  3.137E-02 ( 3.229E-02 )
  6.310E-02  2.964E-02 ( 2.978E-02 )  3.051E-02 ( 3.086E-02 )  3.137E-02 ( 3.228E-02 )
  1.000E-01  2.964E-02 ( 2.978E-02 )  3.051E-02 ( 3.085E-02 )  3.137E-02 ( 3.227E-02 )
  1.585E-01  2.964E-02 ( 2.977E-02 )  3.050E-02 ( 3.085E-02 )  3.137E-02 ( 3.226E-02 )
  2.512E-01  2.964E-02 ( 2.976E-02 )  3.050E-02 ( 3.083E-02 )  3.137E-02 ( 3.225E-02 )
  3.981E-01  2.963E-02 ( 2.974E-02 )  3.049E-02 ( 3.082E-02 )  3.135E-02 ( 3.223E-02 )
  6.310E-01  2.961E-02 ( 2.972E-02 )  3.046E-02 ( 3.079E-02 )  3.132E-02 ( 3.220E-02 )
  1.000E+00  2.955E-02 ( 2.967E-02 )  3.039E-02 ( 3.074E-02 )  3.124E-02 ( 3.214E-02 )
  1.585E+00  2.941E-02 ( 2.954E-02 )  3.022E-02 ( 3.060E-02 )  3.104E-02 ( 3.197E-02 )
  2.512E+00  2.904E-02 ( 2.917E-02 )  2.979E-02 ( 3.018E-02 )  3.053E-02 ( 3.146E-02 )
  3.981E+00  2.809E-02 ( 2.824E-02 )  2.869E-02 ( 2.908E-02 )  2.927E-02 ( 3.014E-02 )
  6.310E+00  2.562E-02 ( 2.578E-02 )  2.596E-02 ( 2.625E-02 )  2.627E-02 ( 2.683E-02 )
  1.000E+01  2.011E-02 ( 2.009E-02 )  2.005E-02 ( 2.002E-02 )  2.003E-02 ( 1.992E-02 )
  1.585E+01  1.146E-02 ( 1.138E-02 )  1.124E-02 ( 1.103E-02 )  1.105E-02 ( 1.062E-02 )
  2.512E+01  4.378E-03 ( 4.336E-03 )  4.237E-03 ( 4.150E-03 )  4.094E-03 ( 3.921E-03 )
  3.981E+01  1.305E-03 ( 1.298E-03 )  1.266E-03 ( 1.252E-03 )  1.216E-03 ( 1.190E-03 )
  6.310E+01  3.753E-04 ( 3.746E-04 )  3.684E-04 ( 3.669E-04 )  3.570E-04 ( 3.541E-04 )
  1.000E+02  1.097E-04 ( 1.096E-04 )  1.090E-04 ( 1.088E-04 )  1.084E-04 ( 1.080E-04 )
  1.585E+02  3.275E-05 ( 3.274E-05 )  3.276E-05 ( 3.274E-05 )  3.325E-05 ( 3.321E-05 )
  2.512E+02  1.022E-05 ( 1.022E-05 )  1.022E-05 ( 1.022E-05 )  1.023E-05 ( 1.022E-05 )
  3.981E+02  3.232E-06 ( 3.231E-06 )  3.232E-06 ( 3.231E-06 )  3.232E-06 ( 3.231E-06 )
  6.310E+02  1.036E-06 ( 1.036E-06 )  1.036E-06 ( 1.036E-06 )  1.036E-06 ( 1.036E-06 )
  1.000E+03  3.360E-07 ( 3.360E-07 )  3.360E-07 ( 3.360E-07 )  3.360E-07 ( 3.360E-07 )
  1.585E+03  9.943E-07 ( 9.943E-07 )  9.943E-07 ( 9.943E-07 )  1.108E-07 ( 1.107E-07 )
  2.512E+03  3.189E-07 ( 3.189E-07 )  3.189E-07 ( 3.189E-07 )  3.189E-07 ( 3.189E-07 )
  3.981E+03  1.030E-07 ( 1.030E-07 )  1.030E-07 ( 1.030E-07 )  1.030E-07 ( 1.030E-07 )
  6.310E+03  3.365E-08 ( 3.365E-08 )  3.365E-08 ( 3.365E-08 )  3.365E-08 ( 3.365E-08 )
  1.000E+04  1.115E-08 ( 1.115E-08 )  1.115E-08 ( 1.115E-08 )  1.115E-08 ( 1.115E-08 )
  1.585E+04  3.770E-09 ( 3.770E-09 )  3.770E-09 ( 3.770E-09 )  3.770E-09 ( 3.770E-09 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.733E-02                1.935E-02                1.370E-02
width Stark         1.171E+01                1.100E+01                1.026E+01
width incl.Dop.     1.275E+01                1.320E+01                1.447E+01

  0.000E+00  3.176E-02 ( 3.396E-02 )  3.103E-02 ( 3.583E-02 )  2.873E-02 ( 3.783E-02 )
  6.310E-02  3.176E-02 ( 3.395E-02 )  3.103E-02 ( 3.582E-02 )  2.873E-02 ( 3.781E-02 )
  1.000E-01  3.176E-02 ( 3.394E-02 )  3.103E-02 ( 3.581E-02 )  2.873E-02 ( 3.780E-02 )
  1.585E-01  3.175E-02 ( 3.393E-02 )  3.103E-02 ( 3.580E-02 )  2.872E-02 ( 3.778E-02 )
  2.512E-01  3.175E-02 ( 3.391E-02 )  3.102E-02 ( 3.578E-02 )  2.872E-02 ( 3.776E-02 )
  3.981E-01  3.173E-02 ( 3.389E-02 )  3.101E-02 ( 3.574E-02 )  2.871E-02 ( 3.772E-02 )
