           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       1.000E+13
                conversion factor for wlengths=f0 5.808E-01
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.637E-01                1.864E-01                1.318E-01
width Stark         2.073E-01                1.983E-01                1.808E-01
width incl.Dop.     6.999E-01                9.210E-01                1.259E+00

  0.000E+00  6.341E-01 ( 1.665E+00 )  4.891E-01 ( 1.743E+00 )  3.677E-01 ( 1.897E+00 )
  1.000E-02  6.340E-01 ( 1.660E+00 )  4.890E-01 ( 1.737E+00 )  3.677E-01 ( 1.890E+00 )
  1.585E-02  6.339E-01 ( 1.653E+00 )  4.890E-01 ( 1.728E+00 )  3.677E-01 ( 1.879E+00 )
  2.512E-02  6.335E-01 ( 1.636E+00 )  4.888E-01 ( 1.710E+00 )  3.676E-01 ( 1.853E+00 )
  3.981E-02  6.326E-01 ( 1.598E+00 )  4.884E-01 ( 1.666E+00 )  3.675E-01 ( 1.800E+00 )
  6.310E-02  6.303E-01 ( 1.510E+00 )  4.874E-01 ( 1.568E+00 )  3.671E-01 ( 1.676E+00 )
  1.000E-01  6.246E-01 ( 1.331E+00 )  4.850E-01 ( 1.369E+00 )  3.661E-01 ( 1.431E+00 )
  1.585E-01  6.104E-01 ( 1.028E+00 )  4.788E-01 ( 1.039E+00 )  3.636E-01 ( 1.050E+00 )
  2.512E-01  5.765E-01 ( 6.566E-01 )  4.638E-01 ( 6.485E-01 )  3.573E-01 ( 6.276E-01 )
  3.981E-01  5.001E-01 ( 3.422E-01 )  4.281E-01 ( 3.306E-01 )  3.422E-01 ( 3.088E-01 )
  6.310E-01  3.534E-01 ( 1.507E-01 )  3.509E-01 ( 1.433E-01 )  3.070E-01 ( 1.312E-01 )
  1.000E+00  1.588E-01 ( 5.835E-02 )  2.156E-01 ( 5.512E-02 )  2.342E-01 ( 5.022E-02 )
  1.585E+00  3.667E-02 ( 2.055E-02 )  7.055E-02 ( 1.945E-02 )  1.206E-01 ( 1.788E-02 )
  2.512E+00  8.234E-03 ( 6.829E-03 )  1.096E-02 ( 6.507E-03 )  2.650E-02 ( 6.066E-03 )
  3.981E+00  2.375E-03 ( 2.218E-03 )  2.457E-03 ( 2.121E-03 )  2.980E-03 ( 2.007E-03 )
  6.310E+00  7.388E-04 ( 7.203E-04 )  7.253E-04 ( 6.881E-04 )  7.328E-04 ( 6.554E-04 )
  1.000E+01  2.318E-04 ( 2.294E-04 )  2.216E-04 ( 2.167E-04 )  2.155E-04 ( 2.060E-04 )
  1.585E+01  7.616E-05 ( 7.588E-05 )  7.174E-05 ( 7.121E-05 )  6.822E-05 ( 6.718E-05 )
  2.512E+01  2.527E-05 ( 2.523E-05 )  2.364E-05 ( 2.356E-05 )  2.224E-05 ( 2.210E-05 )
  3.981E+01  8.396E-06 ( 8.391E-06 )  7.828E-06 ( 7.819E-06 )  7.319E-06 ( 7.302E-06 )
  6.310E+01  2.785E-06 ( 2.784E-06 )  2.598E-06 ( 2.597E-06 )  2.421E-06 ( 2.419E-06 )
  1.000E+02  9.209E-07 ( 9.208E-07 )  8.618E-07 ( 8.616E-07 )  8.030E-07 ( 8.027E-07 )
