           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       1.000E+18
                conversion factor for wlengths=f0 1.251E+03
                wings factor                  =   1.998E-01

T(K)                                                                  1.000E+04
RO/Debye                                                              8.982E-01
width Stark                                                           7.548E-01
width incl.Dop.                                                       7.548E-01

  0.000E+00                                                    5.054E-01 ( 5.054E-01 )
  1.000E-01                                                    4.914E-01 ( 4.914E-01 )
  1.585E-01                                                    4.798E-01 ( 4.798E-01 )
  2.512E-01                                                    4.551E-01 ( 4.551E-01 )
  3.981E-01                                                    4.003E-01 ( 4.003E-01 )
  6.310E-01                                                    2.964E-01 ( 2.964E-01 )
  1.000E+00                                                    1.661E-01 ( 1.661E-01 )
  1.585E+00                                                    7.044E-02 ( 7.044E-02 )
  2.512E+00                                                    2.520E-02 ( 2.520E-02 )
  3.981E+00                                                    8.549E-03 ( 8.549E-03 )
  6.310E+00                                                    2.720E-03 ( 2.720E-03 )
  1.000E+01                                                    9.441E-04 ( 9.441E-04 )
  1.585E+01                                                    3.331E-04 ( 3.331E-04 )
  2.512E+01                                                    1.214E-04 ( 1.214E-04 )
  3.981E+01                                                    4.542E-05 ( 4.542E-05 )
  6.310E+01                                                    1.732E-05 ( 1.732E-05 )
  1.000E+02                                                    6.701E-06 ( 6.701E-06 )
  1.585E+02                                                    2.618E-06 ( 2.618E-06 )
  2.512E+02                                                    1.030E-06 ( 1.030E-06 )
  3.981E+02                                                    4.068E-07 ( 4.068E-07 )
  6.310E+02                                                    1.612E-07 ( 1.612E-07 )
  1.000E+03                                                    6.395E-08 ( 6.395E-08 )
  1.585E+03                                                    2.541E-08 ( 2.541E-08 )
  2.512E+03                                                    1.010E-08 ( 1.010E-08 )
  3.981E+03                                                    4.018E-09 ( 4.018E-09 )
  6.310E+03                                                    1.599E-09 ( 1.599E-09 )
  1.000E+04                                                    6.364E-10 ( 6.364E-10 )
  1.585E+04                                                    2.533E-10 ( 2.533E-10 )
  2.512E+04                                                    1.008E-10 ( 1.008E-10 )
  3.981E+04                                                    4.014E-11 ( 4.014E-11 )
  6.310E+04                                                    1.598E-11 ( 1.598E-11 )
  1.000E+05                                                    6.362E-12 ( 6.362E-12 )
  1.585E+05                                                    2.533E-12 ( 2.533E-12 )
  2.512E+05                                                    1.008E-12 ( 1.008E-12 )
  3.981E+05                                                    4.013E-13 ( 4.013E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            6.358E-01                4.501E-01                3.187E-01
width Stark         8.303E-01                8.798E-01                9.098E-01
width incl.Dop.     8.303E-01                8.798E-01                9.098E-01

  0.000E+00  4.641E-01 ( 4.641E-01 )  4.387E-01 ( 4.387E-01 )  4.239E-01 ( 4.239E-01 )
  1.000E-01  4.532E-01 ( 4.532E-01 )  4.301E-01 ( 4.301E-01 )  4.173E-01 ( 4.173E-01 )
  1.585E-01  4.452E-01 ( 4.452E-01 )  4.245E-01 ( 4.245E-01 )  4.138E-01 ( 4.138E-01 )
  2.512E-01  4.280E-01 ( 4.280E-01 )  4.122E-01 ( 4.122E-01 )  4.052E-01 ( 4.052E-01 )
  3.981E-01  3.867E-01 ( 3.867E-01 )  3.790E-01 ( 3.790E-01 )  3.771E-01 ( 3.771E-01 )
  6.310E-01  2.988E-01 ( 2.988E-01 )  3.002E-01 ( 3.002E-01 )  3.021E-01 ( 3.021E-01 )
  1.000E+00  1.752E-01 ( 1.752E-01 )  1.803E-01 ( 1.803E-01 )  1.828E-01 ( 1.828E-01 )
  1.585E+00  7.564E-02 ( 7.564E-02 )  7.868E-02 ( 7.868E-02 )  7.979E-02 ( 7.979E-02 )
  2.512E+00  2.688E-02 ( 2.688E-02 )  2.782E-02 ( 2.782E-02 )  2.804E-02 ( 2.804E-02 )
  3.981E+00  8.950E-03 ( 8.950E-03 )  9.161E-03 ( 9.161E-03 )  9.182E-03 ( 9.182E-03 )
  6.310E+00  2.988E-03 ( 2.988E-03 )  3.030E-03 ( 3.030E-03 )  3.029E-03 ( 3.029E-03 )
  1.000E+01  9.694E-04 ( 9.694E-04 )  9.773E-04 ( 9.773E-04 )  1.029E-03 ( 1.029E-03 )
  1.585E+01  3.413E-04 ( 3.413E-04 )  3.431E-04 ( 3.431E-04 )  3.443E-04 ( 3.443E-04 )
  2.512E+01  1.222E-04 ( 1.222E-04 )  1.225E-04 ( 1.225E-04 )  1.249E-04 ( 1.249E-04 )
  3.981E+01  4.567E-05 ( 4.567E-05 )  4.578E-05 ( 4.578E-05 )  4.584E-05 ( 4.584E-05 )
  6.310E+01  1.741E-05 ( 1.741E-05 )  1.746E-05 ( 1.746E-05 )  1.748E-05 ( 1.748E-05 )
  1.000E+02  6.735E-06 ( 6.735E-06 )  6.750E-06 ( 6.750E-06 )  6.759E-06 ( 6.759E-06 )
  1.585E+02  2.631E-06 ( 2.631E-06 )  2.637E-06 ( 2.637E-06 )  2.640E-06 ( 2.640E-06 )
  2.512E+02  1.035E-06 ( 1.035E-06 )  1.037E-06 ( 1.037E-06 )  1.038E-06 ( 1.038E-06 )
  3.981E+02  4.087E-07 ( 4.087E-07 )  4.096E-07 ( 4.096E-07 )  4.100E-07 ( 4.100E-07 )
  6.310E+02  1.619E-07 ( 1.619E-07 )  1.622E-07 ( 1.622E-07 )  1.624E-07 ( 1.624E-07 )
  1.000E+03  6.425E-08 ( 6.425E-08 )  6.438E-08 ( 6.438E-08 )  6.444E-08 ( 6.444E-08 )
  1.585E+03  2.553E-08 ( 2.553E-08 )  2.558E-08 ( 2.558E-08 )  2.561E-08 ( 2.561E-08 )
  2.512E+03  1.015E-08 ( 1.015E-08 )  1.017E-08 ( 1.017E-08 )  1.018E-08 ( 1.018E-08 )
  3.981E+03  4.037E-09 ( 4.037E-09 )  4.046E-09 ( 4.046E-09 )  4.049E-09 ( 4.049E-09 )
  6.310E+03  1.606E-09 ( 1.606E-09 )  1.610E-09 ( 1.610E-09 )  1.612E-09 ( 1.612E-09 )
  1.000E+04  6.393E-10 ( 6.393E-10 )  6.407E-10 ( 6.407E-10 )  6.413E-10 ( 6.413E-10 )
  1.585E+04  2.544E-10 ( 2.544E-10 )  2.550E-10 ( 2.550E-10 )  2.553E-10 ( 2.553E-10 )
