           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         2.087E+00                2.062E+00                2.018E+00
width incl.Dop.     2.205E+00                2.294E+00                2.458E+00

  0.000E+00  1.812E-01 ( 1.898E-01 )  1.763E-01 ( 1.931E-01 )  1.672E-01 ( 1.983E-01 )
  2.512E-02  1.812E-01 ( 1.897E-01 )  1.763E-01 ( 1.930E-01 )  1.672E-01 ( 1.982E-01 )
  3.981E-02  1.812E-01 ( 1.897E-01 )  1.763E-01 ( 1.930E-01 )  1.672E-01 ( 1.981E-01 )
  6.310E-02  1.811E-01 ( 1.897E-01 )  1.762E-01 ( 1.929E-01 )  1.671E-01 ( 1.980E-01 )
  1.000E-01  1.809E-01 ( 1.896E-01 )  1.761E-01 ( 1.928E-01 )  1.670E-01 ( 1.979E-01 )
  1.585E-01  1.805E-01 ( 1.891E-01 )  1.757E-01 ( 1.923E-01 )  1.667E-01 ( 1.974E-01 )
  2.512E-01  1.793E-01 ( 1.878E-01 )  1.747E-01 ( 1.910E-01 )  1.659E-01 ( 1.960E-01 )
  3.981E-01  1.765E-01 ( 1.844E-01 )  1.722E-01 ( 1.875E-01 )  1.639E-01 ( 1.921E-01 )
  6.310E-01  1.697E-01 ( 1.761E-01 )  1.662E-01 ( 1.788E-01 )  1.591E-01 ( 1.829E-01 )
  1.000E+00  1.540E-01 ( 1.576E-01 )  1.522E-01 ( 1.596E-01 )  1.477E-01 ( 1.626E-01 )
  1.585E+00  1.224E-01 ( 1.219E-01 )  1.233E-01 ( 1.229E-01 )  1.232E-01 ( 1.240E-01 )
  2.512E+00  7.490E-02 ( 7.200E-02 )  7.734E-02 ( 7.164E-02 )  8.114E-02 ( 7.077E-02 )
  3.981E+00  3.175E-02 ( 3.015E-02 )  3.265E-02 ( 2.931E-02 )  3.509E-02 ( 2.816E-02 )
  6.310E+00  1.031E-02 ( 1.001E-02 )  1.016E-02 ( 9.540E-03 )  1.030E-02 ( 9.005E-03 )
  1.000E+01  3.148E-03 ( 3.110E-03 )  3.026E-03 ( 2.952E-03 )  2.917E-03 ( 2.771E-03 )
  1.585E+01  9.700E-04 ( 9.654E-04 )  9.304E-04 ( 9.216E-04 )  8.868E-04 ( 8.702E-04 )
  2.512E+01  3.013E-04 ( 3.007E-04 )  2.927E-04 ( 2.916E-04 )  2.794E-04 ( 2.774E-04 )
  3.981E+01  9.423E-05 ( 9.416E-05 )  9.087E-05 ( 9.073E-05 )  8.785E-05 ( 8.759E-05 )
  6.310E+01  2.849E-05 ( 2.848E-05 )  2.899E-05 ( 2.897E-05 )  2.834E-05 ( 2.831E-05 )
  1.000E+02  8.986E-06 ( 8.985E-06 )  8.989E-06 ( 8.987E-06 )  9.103E-06 ( 9.099E-06 )
  1.585E+02  2.847E-06 ( 2.847E-06 )  2.847E-06 ( 2.847E-06 )  2.848E-06 ( 2.847E-06 )
  2.512E+02  9.047E-07 ( 9.047E-07 )  9.048E-07 ( 9.048E-07 )  9.049E-07 ( 9.048E-07 )
  3.981E+02  2.887E-07 ( 2.887E-07 )  2.887E-07 ( 2.887E-07 )  2.887E-07 ( 2.887E-07 )
  6.310E+02  8.967E-08 ( 8.966E-08 )  9.271E-08 ( 9.271E-08 )  9.271E-08 ( 9.271E-08 )
  1.000E+03  2.850E-08 ( 2.850E-08 )  2.850E-08 ( 2.850E-08 )  2.850E-08 ( 2.850E-08 )
  1.585E+03                           9.088E-09 ( 9.088E-09 )  9.088E-09 ( 9.088E-09 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         1.961E+00                1.889E+00                1.795E+00
width incl.Dop.     2.824E+00                3.355E+00                4.214E+00

  0.000E+00  1.519E-01 ( 2.050E-01 )  1.308E-01 ( 2.132E-01 )  1.067E-01 ( 2.236E-01 )
  6.310E-02  1.519E-01 ( 2.043E-01 )  1.308E-01 ( 2.124E-01 )  1.067E-01 ( 2.227E-01 )
  1.000E-01  1.518E-01 ( 2.039E-01 )  1.308E-01 ( 2.120E-01 )  1.066E-01 ( 2.222E-01 )
  1.585E-01  1.516E-01 ( 2.033E-01 )  1.306E-01 ( 2.113E-01 )  1.066E-01 ( 2.214E-01 )
  2.512E-01  1.510E-01 ( 2.023E-01 )  1.303E-01 ( 2.102E-01 )  1.064E-01 ( 2.201E-01 )
  3.981E-01  1.496E-01 ( 1.980E-01 )  1.295E-01 ( 2.054E-01 )  1.060E-01 ( 2.148E-01 )
  6.310E-01  1.462E-01 ( 1.881E-01 )  1.275E-01 ( 1.946E-01 )  1.050E-01 ( 2.026E-01 )
  1.000E+00  1.381E-01 ( 1.664E-01 )  1.225E-01 ( 1.708E-01 )  1.024E-01 ( 1.758E-01 )
  1.585E+00  1.199E-01 ( 1.251E-01 )  1.111E-01 ( 1.259E-01 )  9.629E-02 ( 1.258E-01 )
  2.512E+00  8.550E-02 ( 6.931E-02 )  8.721E-02 ( 6.711E-02 )  8.258E-02 ( 6.399E-02 )
  3.981E+00  4.057E-02 ( 2.673E-02 )  4.924E-02 ( 2.519E-02 )  5.666E-02 ( 2.352E-02 )
  6.310E+00  1.137E-02 ( 8.452E-03 )  1.511E-02 ( 7.925E-03 )  2.346E-02 ( 7.410E-03 )
  1.000E+01  2.893E-03 ( 2.594E-03 )  3.118E-03 ( 2.424E-03 )  4.425E-03 ( 2.272E-03 )
  1.585E+01  8.455E-04 ( 8.132E-04 )  8.232E-04 ( 7.587E-04 )  8.303E-04 ( 6.820E-04 )
  2.512E+01  2.644E-04 ( 2.606E-04 )  2.508E-04 ( 2.435E-04 )  2.342E-04 ( 2.211E-04 )
  3.981E+01  8.361E-05 ( 8.311E-05 )  7.886E-05 ( 7.793E-05 )  7.433E-05 ( 7.262E-05 )
  6.310E+01  2.724E-05 ( 2.718E-05 )  2.579E-05 ( 2.568E-05 )  2.421E-05 ( 2.401E-05 )
  1.000E+02  8.854E-06 ( 8.846E-06 )  8.461E-06 ( 8.446E-06 )  7.975E-06 ( 7.947E-06 )
  1.585E+02  2.863E-06 ( 2.862E-06 )  2.768E-06 ( 2.766E-06 )  2.633E-06 ( 2.629E-06 )
  2.512E+02  9.049E-07 ( 9.048E-07 )  9.015E-07 ( 9.012E-07 )  8.670E-07 ( 8.665E-07 )
  3.981E+02  2.887E-07 ( 2.887E-07 )  2.926E-07 ( 2.926E-07 )  2.847E-07 ( 2.846E-07 )
  6.310E+02  9.270E-08 ( 9.270E-08 )  9.275E-08 ( 9.275E-08 )  9.326E-08 ( 9.325E-08 )
  1.000E+03  3.003E-08 ( 3.003E-08 )  3.003E-08 ( 3.003E-08 )  3.004E-08 ( 3.004E-08 )
  1.585E+03  9.087E-09 ( 9.087E-09 )  9.870E-09 ( 9.870E-09 )  9.870E-09 ( 9.870E-09 )
  2.512E+03  2.911E-09 ( 2.911E-09 )  2.911E-09 ( 2.911E-09 )  2.911E-09 ( 2.911E-09 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.733E-02                1.935E-02                1.370E-02
width Stark         1.661E+00                1.509E+00                1.358E+00
width incl.Dop.     5.507E+00                7.484E+00                1.016E+01

  0.000E+00  8.300E-02 ( 2.378E-01 )  6.239E-02 ( 2.576E-01 )  4.581E-02 ( 2.860E-01 )
  3.981E-02  8.300E-02 ( 2.374E-01 )  6.239E-02 ( 2.570E-01 )  4.581E-02 ( 2.852E-01 )
  6.310E-02  8.300E-02 ( 2.371E-01 )  6.238E-02 ( 2.567E-01 )  4.581E-02 ( 2.848E-01 )
  1.000E-01  8.299E-02 ( 2.367E-01 )  6.238E-02 ( 2.561E-01 )  4.580E-02 ( 2.841E-01 )
  1.585E-01  8.296E-02 ( 2.361E-01 )  6.237E-02 ( 2.553E-01 )  4.580E-02 ( 2.830E-01 )
  2.512E-01  8.288E-02 ( 2.335E-01 )  6.234E-02 ( 2.521E-01 )  4.579E-02 ( 2.784E-01 )
  3.981E-01  8.270E-02 ( 2.272E-01 )  6.226E-02 ( 2.442E-01 )  4.576E-02 ( 2.674E-01 )
  6.310E-01  8.223E-02 ( 2.128E-01 )  6.207E-02 ( 2.260E-01 )  4.568E-02 ( 2.422E-01 )
  1.000E+00  8.107E-02 ( 1.813E-01 )  6.159E-02 ( 1.868E-01 )  4.550E-02 ( 1.906E-01 )
  1.585E+00  7.824E-02 ( 1.242E-01 )  6.040E-02 ( 1.201E-01 )  4.503E-02 ( 1.128E-01 )
  2.512E+00  7.156E-02 ( 5.971E-02 )  5.752E-02 ( 5.447E-02 )  4.389E-02 ( 4.838E-02 )
  3.981E+00  5.730E-02 ( 2.165E-02 )  5.090E-02 ( 1.960E-02 )  4.114E-02 ( 1.738E-02 )
  6.310E+00  3.319E-02 ( 6.898E-03 )  3.750E-02 ( 6.360E-03 )  3.497E-02 ( 5.774E-03 )
  1.000E+01  9.356E-03 ( 2.133E-03 )  1.768E-02 ( 2.002E-03 )  2.332E-02 ( 1.863E-03 )
  1.585E+01  1.119E-03 ( 6.407E-04 )  3.135E-03 ( 6.061E-04 )  8.577E-03 ( 5.959E-04 )
  2.512E+01  2.350E-04 ( 2.065E-04 )  2.799E-04 ( 1.940E-04 )  8.892E-04 ( 1.836E-04 )
  3.981E+01  7.095E-05 ( 6.765E-05 )  6.992E-05 ( 6.325E-05 )  7.580E-05 ( 5.950E-05 )
  6.310E+01  2.274E-05 ( 2.235E-05 )  2.159E-05 ( 2.083E-05 )  2.106E-05 ( 1.950E-05 )
  1.000E+02  7.469E-06 ( 7.417E-06 )  6.999E-06 ( 6.901E-06 )  6.622E-06 ( 6.439E-06 )
  1.585E+02  2.472E-06 ( 2.465E-06 )  2.308E-06 ( 2.296E-06 )  2.161E-06 ( 2.137E-06 )
  2.512E+02  8.197E-07 ( 8.188E-07 )  7.672E-07 ( 7.656E-07 )  7.157E-07 ( 7.126E-07 )
  3.981E+02  2.718E-07 ( 2.717E-07 )  2.559E-07 ( 2.557E-07 )  2.389E-07 ( 2.385E-07 )
  6.310E+02  9.014E-08 ( 9.012E-08 )  8.559E-08 ( 8.556E-08 )  8.029E-08 ( 8.023E-08 )
  1.000E+03  2.992E-08 ( 2.991E-08 )  2.873E-08 ( 2.872E-08 )  2.714E-08 ( 2.713E-08 )
  1.585E+03  9.993E-09 ( 9.992E-09 )  9.709E-09 ( 9.709E-09 )  9.264E-09 ( 9.263E-09 )

T(K)                1.259E+06
RO/Debye            9.698E-03
width Stark         1.177E-02
width incl.Dop.     1.387E+00

  0.000E+00  3.315E-02 ( 3.272E-01 )
  2.512E-02  3.315E-02 ( 3.269E-01 )
  3.981E-02  3.315E-02 ( 3.267E-01 )
  6.310E-02  3.315E-02 ( 3.264E-01 )
  1.000E-01  3.315E-02 ( 3.259E-01 )
  1.585E-01  3.315E-02 ( 3.229E-01 )
