           N LOWER =  3  N UPPER= 11  WAVELENGTH (angstroms)=  8865.27
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   1.449E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         3.407E+00                3.488E+00                3.492E+00
width incl.Dop.     3.407E+00                3.488E+00                3.492E+00

  0.000E+00  1.178E-01 ( 1.178E-01 )  1.151E-01 ( 1.151E-01 )  1.149E-01 ( 1.149E-01 )
  6.310E-03  1.177E-01 ( 1.177E-01 )  1.151E-01 ( 1.151E-01 )  1.149E-01 ( 1.149E-01 )
  1.000E-02  1.177E-01 ( 1.177E-01 )  1.151E-01 ( 1.151E-01 )  1.149E-01 ( 1.149E-01 )
  1.585E-02  1.177E-01 ( 1.177E-01 )  1.150E-01 ( 1.150E-01 )  1.148E-01 ( 1.148E-01 )
  2.512E-02  1.177E-01 ( 1.177E-01 )  1.150E-01 ( 1.150E-01 )  1.148E-01 ( 1.148E-01 )
  3.981E-02  1.177E-01 ( 1.177E-01 )  1.150E-01 ( 1.150E-01 )  1.148E-01 ( 1.148E-01 )
  6.310E-02  1.176E-01 ( 1.176E-01 )  1.150E-01 ( 1.150E-01 )  1.148E-01 ( 1.148E-01 )
  1.000E-01  1.175E-01 ( 1.175E-01 )  1.149E-01 ( 1.149E-01 )  1.148E-01 ( 1.148E-01 )
  1.585E-01  1.174E-01 ( 1.174E-01 )  1.148E-01 ( 1.148E-01 )  1.147E-01 ( 1.147E-01 )
  2.512E-01  1.171E-01 ( 1.171E-01 )  1.145E-01 ( 1.145E-01 )  1.144E-01 ( 1.144E-01 )
  3.981E-01  1.163E-01 ( 1.163E-01 )  1.138E-01 ( 1.138E-01 )  1.138E-01 ( 1.138E-01 )
  6.310E-01  1.145E-01 ( 1.145E-01 )  1.122E-01 ( 1.122E-01 )  1.121E-01 ( 1.121E-01 )
  1.000E+00  1.101E-01 ( 1.101E-01 )  1.081E-01 ( 1.081E-01 )  1.081E-01 ( 1.081E-01 )
  1.585E+00  9.981E-02 ( 9.981E-02 )  9.857E-02 ( 9.857E-02 )  9.863E-02 ( 9.863E-02 )
  2.512E+00  7.841E-02 ( 7.841E-02 )  7.832E-02 ( 7.832E-02 )  7.834E-02 ( 7.834E-02 )
  3.981E+00  4.635E-02 ( 4.635E-02 )  4.705E-02 ( 4.705E-02 )  4.698E-02 ( 4.698E-02 )
  6.310E+00  1.887E-02 ( 1.887E-02 )  1.930E-02 ( 1.930E-02 )  1.921E-02 ( 1.921E-02 )
  1.000E+01  5.953E-03 ( 5.953E-03 )  6.049E-03 ( 6.049E-03 )  6.019E-03 ( 6.019E-03 )
  1.585E+01  1.749E-03 ( 1.749E-03 )  1.774E-03 ( 1.774E-03 )  1.770E-03 ( 1.770E-03 )
  2.512E+01  5.034E-04 ( 5.034E-04 )  5.253E-04 ( 5.253E-04 )  5.253E-04 ( 5.253E-04 )
  3.981E+01  1.550E-04 ( 1.550E-04 )  1.554E-04 ( 1.554E-04 )  1.554E-04 ( 1.554E-04 )
  6.310E+01  4.860E-05 ( 4.860E-05 )  4.892E-05 ( 4.892E-05 )  4.894E-05 ( 4.894E-05 )
  1.000E+02  1.565E-05 ( 1.565E-05 )  1.565E-05 ( 1.565E-05 )  1.565E-05 ( 1.565E-05 )
  1.585E+02  5.129E-06 ( 5.129E-06 )  5.130E-06 ( 5.130E-06 )  5.130E-06 ( 5.130E-06 )
  2.512E+02  1.503E-06 ( 1.503E-06 )  1.503E-06 ( 1.503E-06 )  1.503E-06 ( 1.503E-06 )
  3.981E+02  4.851E-07 ( 4.851E-07 )  4.851E-07 ( 4.851E-07 )  4.851E-07 ( 4.851E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         3.430E+00                3.326E+00                3.200E+00
width incl.Dop.     3.430E+00                3.326E+00                3.223E+00

  0.000E+00  1.168E-01 ( 1.168E-01 )  1.203E-01 ( 1.203E-01 )  1.244E-01 ( 1.251E-01 )
  1.585E-02  1.168E-01 ( 1.168E-01 )  1.203E-01 ( 1.203E-01 )  1.244E-01 ( 1.250E-01 )
  2.512E-02  1.167E-01 ( 1.167E-01 )  1.203E-01 ( 1.203E-01 )  1.244E-01 ( 1.250E-01 )
  3.981E-02  1.167E-01 ( 1.167E-01 )  1.202E-01 ( 1.202E-01 )  1.244E-01 ( 1.250E-01 )
  6.310E-02  1.166E-01 ( 1.166E-01 )  1.202E-01 ( 1.202E-01 )  1.244E-01 ( 1.249E-01 )
  1.000E-01  1.165E-01 ( 1.165E-01 )  1.201E-01 ( 1.201E-01 )  1.243E-01 ( 1.248E-01 )
  1.585E-01  1.164E-01 ( 1.164E-01 )  1.199E-01 ( 1.199E-01 )  1.242E-01 ( 1.246E-01 )
  2.512E-01  1.161E-01 ( 1.161E-01 )  1.197E-01 ( 1.197E-01 )  1.239E-01 ( 1.243E-01 )
  3.981E-01  1.156E-01 ( 1.156E-01 )  1.191E-01 ( 1.191E-01 )  1.231E-01 ( 1.237E-01 )
  6.310E-01  1.139E-01 ( 1.139E-01 )  1.171E-01 ( 1.171E-01 )  1.209E-01 ( 1.215E-01 )
  1.000E+00  1.096E-01 ( 1.096E-01 )  1.124E-01 ( 1.124E-01 )  1.156E-01 ( 1.160E-01 )
  1.585E+00  9.952E-02 ( 9.952E-02 )  1.012E-01 ( 1.012E-01 )  1.031E-01 ( 1.035E-01 )
  2.512E+00  7.835E-02 ( 7.835E-02 )  7.848E-02 ( 7.848E-02 )  7.893E-02 ( 7.868E-02 )
  3.981E+00  4.642E-02 ( 4.642E-02 )  4.545E-02 ( 4.545E-02 )  4.441E-02 ( 4.420E-02 )
  6.309E+00  1.879E-02 ( 1.879E-02 )  1.804E-02 ( 1.804E-02 )  1.721E-02 ( 1.710E-02 )
  1.000E+01  5.880E-03 ( 5.880E-03 )  5.633E-03 ( 5.633E-03 )  5.334E-03 ( 5.316E-03 )
  1.585E+01  1.742E-03 ( 1.742E-03 )  1.686E-03 ( 1.686E-03 )  1.608E-03 ( 1.606E-03 )
  2.512E+01  5.217E-04 ( 5.217E-04 )  5.145E-04 ( 5.145E-04 )  4.970E-04 ( 4.968E-04 )
  3.981E+01  1.556E-04 ( 1.556E-04 )  1.594E-04 ( 1.594E-04 )  1.564E-04 ( 1.564E-04 )
  6.309E+01  4.894E-05 ( 4.894E-05 )  4.896E-05 ( 4.896E-05 )  4.924E-05 ( 4.924E-05 )
  1.000E+02  1.566E-05 ( 1.566E-05 )  1.566E-05 ( 1.566E-05 )  1.566E-05 ( 1.566E-05 )
  1.585E+02  5.131E-06 ( 5.131E-06 )  5.131E-06 ( 5.131E-06 )  5.131E-06 ( 5.131E-06 )
  2.512E+02  1.503E-06 ( 1.503E-06 )  1.720E-06 ( 1.720E-06 )  1.720E-06 ( 1.720E-06 )
  3.981E+02  4.852E-07 ( 4.852E-07 )  5.978E-07 ( 5.978E-07 )  5.978E-07 ( 5.978E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
