           N LOWER =  3  N UPPER= 30  WAVELENGTH (angstroms)=  8288.76
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   2.438E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         2.308E+01                2.219E+01                2.119E+01
width incl.Dop.     3.680E+01                4.609E+01                5.887E+01

  0.000E+00  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.860E-02 )
  6.310E-02  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.860E-02 )
  1.000E-01  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.860E-02 )
  1.585E-01  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.860E-02 )
  2.512E-01  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.860E-02 )
  3.981E-01  1.157E-02 ( 1.707E-02 )  9.566E-03 ( 1.775E-02 )  7.538E-03 ( 1.859E-02 )
  6.310E-01  1.157E-02 ( 1.706E-02 )  9.565E-03 ( 1.774E-02 )  7.538E-03 ( 1.859E-02 )
  1.000E+00  1.157E-02 ( 1.706E-02 )  9.563E-03 ( 1.774E-02 )  7.537E-03 ( 1.857E-02 )
  1.585E+00  1.156E-02 ( 1.703E-02 )  9.558E-03 ( 1.771E-02 )  7.535E-03 ( 1.854E-02 )
  2.512E+00  1.153E-02 ( 1.695E-02 )  9.545E-03 ( 1.762E-02 )  7.529E-03 ( 1.843E-02 )
  3.981E+00  1.147E-02 ( 1.675E-02 )  9.513E-03 ( 1.738E-02 )  7.514E-03 ( 1.816E-02 )
  6.310E+00  1.133E-02 ( 1.625E-02 )  9.434E-03 ( 1.680E-02 )  7.477E-03 ( 1.747E-02 )
  1.000E+01  1.096E-02 ( 1.501E-02 )  9.239E-03 ( 1.537E-02 )  7.385E-03 ( 1.580E-02 )
  1.585E+01  1.011E-02 ( 1.218E-02 )  8.768E-03 ( 1.222E-02 )  7.160E-03 ( 1.228E-02 )
  2.512E+01  8.283E-03 ( 7.512E-03 )  7.695E-03 ( 7.327E-03 )  6.626E-03 ( 7.110E-03 )
  3.981E+01  5.142E-03 ( 3.166E-03 )  5.582E-03 ( 3.019E-03 )  5.461E-03 ( 2.851E-03 )
  6.310E+01  1.848E-03 ( 1.003E-03 )  2.618E-03 ( 9.556E-04 )  3.394E-03 ( 8.980E-04 )
  1.000E+02  3.951E-04 ( 2.937E-04 )  5.819E-04 ( 2.832E-04 )  1.117E-03 ( 2.689E-04 )
  1.585E+02  9.609E-05 ( 8.720E-05 )  1.060E-04 ( 8.536E-05 )  1.533E-04 ( 8.226E-05 )
  2.512E+02  2.706E-05 ( 2.610E-05 )  2.788E-05 ( 2.590E-05 )  2.993E-05 ( 2.565E-05 )
  3.981E+02  7.995E-06 ( 7.885E-06 )  8.109E-06 ( 7.886E-06 )  8.418E-06 ( 7.959E-06 )
  6.310E+02  2.474E-06 ( 2.461E-06 )  2.487E-06 ( 2.461E-06 )  2.515E-06 ( 2.461E-06 )
  1.000E+03  7.769E-07 ( 7.753E-07 )  7.785E-07 ( 7.753E-07 )  7.816E-07 ( 7.753E-07 )
  1.585E+03  2.451E-07 ( 2.449E-07 )  2.453E-07 ( 2.449E-07 )  2.457E-07 ( 2.449E-07 )
  2.512E+03  7.751E-08 ( 7.748E-08 )  7.753E-08 ( 7.748E-08 )  7.758E-08 ( 7.748E-08 )
  3.981E+03  2.455E-08 ( 2.455E-08 )  2.455E-08 ( 2.455E-08 )  2.456E-08 ( 2.455E-08 )
  6.310E+03  7.791E-09 ( 7.790E-09 )  7.791E-09 ( 7.790E-09 )  7.792E-09 ( 7.790E-09 )
  1.000E+04  2.478E-09 ( 2.478E-09 )  2.478E-09 ( 2.478E-09 )  2.478E-09 ( 2.478E-09 )
  1.585E+04  7.752E-10 ( 7.751E-10 )  7.752E-10 ( 7.751E-10 )  7.911E-10 ( 7.911E-10 )
  2.512E+04  2.459E-10 ( 2.459E-10 )  2.459E-10 ( 2.459E-10 )  2.459E-10 ( 2.459E-10 )
  3.981E+04                                                    7.816E-11 ( 7.816E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            2.951E-02                2.089E-02                1.479E-02
