           N LOWER =  2  N UPPER=  3  WAVELENGTH (angstroms)=  6564.70
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   2.564E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         1.706E-02                1.742E-02                1.698E-02
width incl.Dop.     5.393E-02                7.214E-02                9.584E-02

  0.000E+00  8.083E+00 ( 1.970E+01 )  6.255E+00 ( 1.951E+01 )  4.740E+00 ( 2.002E+01 )
  1.585E-03  8.078E+00 ( 1.950E+01 )  6.253E+00 ( 1.931E+01 )  4.739E+00 ( 1.974E+01 )
  2.512E-03  8.070E+00 ( 1.920E+01 )  6.249E+00 ( 1.902E+01 )  4.738E+00 ( 1.948E+01 )
  3.981E-03  8.050E+00 ( 1.855E+01 )  6.241E+00 ( 1.839E+01 )  4.734E+00 ( 1.882E+01 )
  6.310E-03  8.001E+00 ( 1.712E+01 )  6.219E+00 ( 1.704E+01 )  4.726E+00 ( 1.740E+01 )
  1.000E-02  7.879E+00 ( 1.441E+01 )  6.167E+00 ( 1.441E+01 )  4.704E+00 ( 1.464E+01 )
  1.585E-02  7.583E+00 ( 1.040E+01 )  6.036E+00 ( 1.047E+01 )  4.649E+00 ( 1.054E+01 )
  2.512E-02  6.892E+00 ( 6.187E+00 )  5.721E+00 ( 6.249E+00 )  4.515E+00 ( 6.203E+00 )
  3.981E-02  5.448E+00 ( 3.070E+00 )  5.006E+00 ( 3.092E+00 )  4.196E+00 ( 3.021E+00 )
  6.310E-02  3.128E+00 ( 1.314E+00 )  3.604E+00 ( 1.313E+00 )  3.495E+00 ( 1.265E+00 )
  1.000E-01  1.004E+00 ( 4.997E-01 )  1.660E+00 ( 4.942E-01 )  2.227E+00 ( 4.722E-01 )
  1.585E-01  2.277E-01 ( 1.736E-01 )  3.619E-01 ( 1.700E-01 )  7.694E-01 ( 1.624E-01 )
  2.512E-01  6.359E-02 ( 5.771E-02 )  7.006E-02 ( 5.590E-02 )  1.078E-01 ( 5.350E-02 )
  3.981E-01  1.965E-02 ( 1.895E-02 )  1.961E-02 ( 1.814E-02 )  2.063E-02 ( 1.736E-02 )
  6.310E-01  6.189E-03 ( 6.097E-03 )  5.943E-03 ( 5.760E-03 )  5.832E-03 ( 5.462E-03 )
  1.000E+00  2.030E-03 ( 2.019E-03 )  1.914E-03 ( 1.894E-03 )  1.822E-03 ( 1.782E-03 )
  1.585E+00  6.742E-04 ( 6.727E-04 )  6.311E-04 ( 6.283E-04 )  5.929E-04 ( 5.876E-04 )
  2.512E+00  2.241E-04 ( 2.239E-04 )  2.093E-04 ( 2.090E-04 )  1.954E-04 ( 1.947E-04 )
  3.981E+00  7.416E-05 ( 7.413E-05 )  6.945E-05 ( 6.941E-05 )  6.474E-05 ( 6.465E-05 )
  6.310E+00  2.438E-05 ( 2.438E-05 )  2.298E-05 ( 2.298E-05 )  2.147E-05 ( 2.146E-05 )
  1.000E+01  7.955E-06 ( 7.955E-06 )  7.572E-06 ( 7.571E-06 )  7.109E-06 ( 7.109E-06 )
  1.585E+01  2.573E-06 ( 2.573E-06 )  2.480E-06 ( 2.479E-06 )  2.348E-06 ( 2.348E-06 )
  2.512E+01  8.151E-07 ( 8.151E-07 )  8.064E-07 ( 8.064E-07 )  7.719E-07 ( 7.719E-07 )
  3.981E+01                           2.585E-07 ( 2.585E-07 )  2.523E-07 ( 2.523E-07 )
  6.310E+01                           8.213E-08 ( 8.213E-08 )  8.213E-08 ( 8.213E-08 )
  1.000E+02                                                    2.616E-08 ( 2.616E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         1.568E-02                1.437E-02                1.252E-02
width incl.Dop.     1.319E-01                1.829E-01                2.511E-01

  0.000E+00  3.524E+00 ( 2.136E+01 )  2.576E+00 ( 2.354E+01 )  1.860E+00 ( 2.713E+01 )
  1.585E-03  3.524E+00 ( 2.109E+01 )  2.576E+00 ( 2.334E+01 )  1.860E+00 ( 2.673E+01 )
  2.512E-03  3.523E+00 ( 2.069E+01 )  2.576E+00 ( 2.289E+01 )  1.860E+00 ( 2.606E+01 )
  3.981E-03  3.522E+00 ( 1.996E+01 )  2.575E+00 ( 2.182E+01 )  1.860E+00 ( 2.456E+01 )
  6.310E-03  3.519E+00 ( 1.825E+01 )  2.574E+00 ( 1.963E+01 )  1.860E+00 ( 2.138E+01 )
  1.000E-02  3.510E+00 ( 1.510E+01 )  2.571E+00 ( 1.568E+01 )  1.858E+00 ( 1.621E+01 )
  1.585E-02  3.488E+00 ( 1.055E+01 )  2.562E+00 ( 1.044E+01 )  1.855E+00 ( 1.008E+01 )
  2.512E-02  3.434E+00 ( 6.013E+00 )  2.541E+00 ( 5.660E+00 )  1.847E+00 ( 5.145E+00 )
  3.981E-02  3.302E+00 ( 2.849E+00 )  2.490E+00 ( 2.587E+00 )  1.828E+00 ( 2.264E+00 )
  6.310E-02  2.994E+00 ( 1.174E+00 )  2.365E+00 ( 1.048E+00 )  1.780E+00 ( 9.029E-01 )
  1.000E-01  2.343E+00 ( 4.364E-01 )  2.079E+00 ( 3.895E-01 )  1.666E+00 ( 3.365E-01 )
  1.585E-01  1.278E+00 ( 1.514E-01 )  1.506E+00 ( 1.369E-01 )  1.410E+00 ( 1.200E-01 )
  2.512E-01  3.065E-01 ( 5.049E-02 )  6.780E-01 ( 4.652E-02 )  9.293E-01 ( 4.164E-02 )
  3.981E-01  2.834E-02 ( 1.652E-02 )  1.038E-01 ( 1.548E-02 )  3.300E-01 ( 1.417E-02 )
  6.310E-01  6.112E-03 ( 5.365E-03 )  7.299E-03 ( 5.089E-03 )  2.950E-02 ( 4.749E-03 )
  1.000E+00  1.775E-03 ( 1.685E-03 )  1.788E-03 ( 1.605E-03 )  1.990E-03 ( 1.571E-03 )
  1.585E+00  5.618E-04 ( 5.521E-04 )  5.415E-04 ( 5.223E-04 )  5.410E-04 ( 4.978E-04 )
  2.512E+00  1.834E-04 ( 1.821E-04 )  1.737E-04 ( 1.712E-04 )  1.668E-04 ( 1.621E-04 )
  3.981E+00  6.041E-05 ( 6.025E-05 )  5.669E-05 ( 5.637E-05 )  5.371E-05 ( 5.310E-05 )
  6.310E+00  2.000E-05 ( 1.998E-05 )  1.867E-05 ( 1.863E-05 )  1.754E-05 ( 1.746E-05 )
  1.000E+01  6.632E-06 ( 6.629E-06 )  6.177E-06 ( 6.172E-06 )  5.774E-06 ( 5.764E-06 )
  1.585E+01  2.199E-06 ( 2.199E-06 )  2.049E-06 ( 2.048E-06 )  1.910E-06 ( 1.908E-06 )
  2.512E+01  7.279E-07 ( 7.279E-07 )  6.800E-07 ( 6.800E-07 )  6.333E-07 ( 6.331E-07 )
  3.981E+01  2.402E-07 ( 2.402E-07 )  2.256E-07 ( 2.256E-07 )  2.104E-07 ( 2.104E-07 )
  6.310E+01  7.894E-08 ( 7.894E-08 )  7.476E-08 ( 7.476E-08 )  6.999E-08 ( 6.999E-08 )
  1.000E+02  2.582E-08 ( 2.582E-08 )  2.470E-08 ( 2.470E-08 )  2.328E-08 ( 2.328E-08 )
  1.585E+02  8.368E-09 ( 8.368E-09 )  8.141E-09 ( 8.141E-09 )  7.743E-09 ( 7.743E-09 )
  2.512E+02  2.693E-09 ( 2.693E-09 )  2.679E-09 ( 2.679E-09 )  2.575E-09 ( 2.575E-09 )
  3.981E+02                           8.746E-10 ( 8.746E-10 )  8.578E-10 ( 8.578E-10 )
  6.310E+02                           2.877E-10 ( 2.877E-10 )  2.877E-10 ( 2.877E-10 )
  1.000E+03                                                    9.630E-11 ( 9.630E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.861E-02                3.441E-02                2.436E-02
width Stark         1.025E-02                8.499E-03                6.739E-03
width incl.Dop.     3.533E-01                5.000E-01                7.052E-01

  0.000E+00  1.333E+00 ( 3.224E+01 )  9.500E-01 ( 3.928E+01 )  6.756E-01 ( 4.884E+01 )
  6.310E-04  1.333E+00 ( 3.216E+01 )  9.500E-01 ( 3.905E+01 )  6.756E-01 ( 4.843E+01 )
  1.000E-03  1.333E+00 ( 3.203E+01 )  9.500E-01 ( 3.870E+01 )  6.756E-01 ( 4.791E+01 )
  1.585E-03  1.333E+00 ( 3.164E+01 )  9.500E-01 ( 3.800E+01 )  6.756E-01 ( 4.645E+01 )
  2.512E-03  1.333E+00 ( 3.051E+01 )  9.500E-01 ( 3.604E+01 )  6.756E-01 ( 4.286E+01 )
  3.981E-03  1.333E+00 ( 2.798E+01 )  9.500E-01 ( 3.201E+01 )  6.756E-01 ( 3.602E+01 )
  6.310E-03  1.333E+00 ( 2.331E+01 )  9.499E-01 ( 2.492E+01 )  6.755E-01 ( 2.567E+01 )
  1.000E-02  1.333E+00 ( 1.642E+01 )  9.498E-01 ( 1.602E+01 )  6.755E-01 ( 1.493E+01 )
  1.585E-02  1.331E+00 ( 9.409E+00 )  9.494E-01 ( 8.426E+00 )  6.753E-01 ( 7.247E+00 )
  2.512E-02  1.329E+00 ( 4.512E+00 )  9.483E-01 ( 3.820E+00 )  6.750E-01 ( 3.142E+00 )
  3.981E-02  1.322E+00 ( 1.917E+00 )  9.458E-01 ( 1.580E+00 )  6.740E-01 ( 1.274E+00 )
  6.310E-02  1.304E+00 ( 7.553E-01 )  9.393E-01 ( 6.174E-01 )  6.717E-01 ( 4.951E-01 )
