           N LOWER =  2  N UPPER=  5  WAVELENGTH (angstroms)=  4341.73
                electronic density(1/cm**3)       3.162E+17
                conversion factor for wlengths=f0 5.808E+02
                wings factor                  =   1.189E-02

T(K)                                                                  1.000E+04
RO/Debye                                                              7.413E-01
width Stark                                                           1.061E-01
width incl.Dop.                                                       1.061E-01

  0.000E+00                                                    3.655E+00 ( 3.655E+00 )
  6.310E-03                                                    3.606E+00 ( 3.606E+00 )
  1.000E-02                                                    3.549E+00 ( 3.549E+00 )
  1.585E-02                                                    3.430E+00 ( 3.430E+00 )
  2.512E-02                                                    3.219E+00 ( 3.219E+00 )
  3.981E-02                                                    2.919E+00 ( 2.919E+00 )
  6.310E-02                                                    2.532E+00 ( 2.532E+00 )
  1.000E-01                                                    1.915E+00 ( 1.915E+00 )
  1.585E-01                                                    1.076E+00 ( 1.076E+00 )
  2.512E-01                                                    4.339E-01 ( 4.339E-01 )
  3.981E-01                                                    1.444E-01 ( 1.444E-01 )
  6.310E-01                                                    4.594E-02 ( 4.594E-02 )
  1.000E+00                                                    1.327E-02 ( 1.327E-02 )
  1.585E+00                                                    4.260E-03 ( 4.260E-03 )
  2.512E+00                                                    1.387E-03 ( 1.387E-03 )
  3.981E+00                                                    4.678E-04 ( 4.678E-04 )
  6.310E+00                                                    1.620E-04 ( 1.620E-04 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-01                3.716E-01                2.630E-01
width Stark         1.145E-01                1.187E-01                1.195E-01
width incl.Dop.     1.145E-01                1.187E-01                1.195E-01

  0.000E+00  3.464E+00 ( 3.464E+00 )  3.377E+00 ( 3.377E+00 )  3.372E+00 ( 3.372E+00 )
  6.310E-03  3.419E+00 ( 3.419E+00 )  3.331E+00 ( 3.331E+00 )  3.322E+00 ( 3.322E+00 )
  1.000E-02  3.363E+00 ( 3.363E+00 )  3.273E+00 ( 3.273E+00 )  3.258E+00 ( 3.258E+00 )
  1.585E-02  3.248E+00 ( 3.248E+00 )  3.154E+00 ( 3.154E+00 )  3.126E+00 ( 3.126E+00 )
  2.512E-02  3.045E+00 ( 3.045E+00 )  2.946E+00 ( 2.946E+00 )  2.903E+00 ( 2.903E+00 )
  3.981E-02  2.769E+00 ( 2.769E+00 )  2.675E+00 ( 2.675E+00 )  2.626E+00 ( 2.626E+00 )
  6.310E-02  2.446E+00 ( 2.446E+00 )  2.389E+00 ( 2.389E+00 )  2.361E+00 ( 2.361E+00 )
  1.000E-01  1.930E+00 ( 1.930E+00 )  1.935E+00 ( 1.935E+00 )  1.940E+00 ( 1.940E+00 )
  1.585E-01  1.132E+00 ( 1.132E+00 )  1.165E+00 ( 1.165E+00 )  1.179E+00 ( 1.179E+00 )
