           N LOWER =  2  N UPPER=  5  WAVELENGTH (angstroms)=  4341.73
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   1.189E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         6.937E-02                6.103E-02                5.334E-02
width incl.Dop.     2.940E+00                4.116E+00                5.799E+00

  0.000E+00  1.623E-01 ( 5.399E+00 )  1.150E-01 ( 5.963E+00 )  8.139E-02 ( 6.811E+00 )
  3.981E-03  1.623E-01 ( 5.380E+00 )  1.150E-01 ( 5.931E+00 )  8.139E-02 ( 6.749E+00 )
  6.310E-03  1.623E-01 ( 5.351E+00 )  1.150E-01 ( 5.883E+00 )  8.139E-02 ( 6.687E+00 )
  1.000E-02  1.623E-01 ( 5.278E+00 )  1.150E-01 ( 5.792E+00 )  8.139E-02 ( 6.551E+00 )
  1.585E-02  1.623E-01 ( 5.123E+00 )  1.150E-01 ( 5.583E+00 )  8.139E-02 ( 6.234E+00 )
  2.512E-02  1.623E-01 ( 4.777E+00 )  1.150E-01 ( 5.119E+00 )  8.139E-02 ( 5.558E+00 )
  3.981E-02  1.622E-01 ( 4.074E+00 )  1.150E-01 ( 4.218E+00 )  8.138E-02 ( 4.340E+00 )
  6.310E-02  1.622E-01 ( 2.922E+00 )  1.149E-01 ( 2.861E+00 )  8.138E-02 ( 2.731E+00 )
  1.000E-01  1.621E-01 ( 1.613E+00 )  1.149E-01 ( 1.493E+00 )  8.137E-02 ( 1.336E+00 )
  1.585E-01  1.619E-01 ( 6.819E-01 )  1.148E-01 ( 6.145E-01 )  8.134E-02 ( 5.358E-01 )
  2.512E-01  1.614E-01 ( 2.425E-01 )  1.147E-01 ( 2.196E-01 )  8.128E-02 ( 1.929E-01 )
  3.981E-01  1.602E-01 ( 7.979E-02 )  1.142E-01 ( 7.368E-02 )  8.112E-02 ( 6.617E-02 )
  6.310E-01  1.570E-01 ( 2.563E-02 )  1.131E-01 ( 2.409E-02 )  8.072E-02 ( 2.217E-02 )
  1.000E+00  1.494E-01 ( 8.217E-03 )  1.103E-01 ( 7.805E-03 )  7.972E-02 ( 7.321E-03 )
  1.585E+00  1.319E-01 ( 2.549E-03 )  1.036E-01 ( 2.419E-03 )  7.726E-02 ( 2.393E-03 )
  2.512E+00  9.643E-02 ( 8.342E-04 )  8.854E-02 ( 7.863E-04 )  7.141E-02 ( 7.467E-04 )
  3.981E+00  4.395E-02 ( 2.751E-04 )  5.967E-02 ( 2.578E-04 )  5.859E-02 ( 2.433E-04 )
  6.310E+00  6.183E-03 ( 9.107E-05 )  2.216E-02 ( 8.498E-05 )  3.566E-02 ( 7.977E-05 )
  1.000E+01  8.414E-05 ( 3.020E-05 )  1.871E-03 ( 2.811E-05 )  1.025E-02 ( 2.627E-05 )
  1.585E+01  1.115E-05 ( 1.001E-05 )  1.549E-05 ( 9.317E-06 )  4.582E-04 ( 8.680E-06 )
  2.512E+01  3.450E-06 ( 3.315E-06 )  3.360E-06 ( 3.090E-06 )  3.641E-06 ( 2.875E-06 )
  3.981E+01  1.110E-06 ( 1.093E-06 )  1.057E-06 ( 1.024E-06 )  1.018E-06 ( 9.533E-07 )
  6.310E+01  3.609E-07 ( 3.587E-07 )  3.426E-07 ( 3.384E-07 )  3.240E-07 ( 3.161E-07 )
  1.000E+02  1.171E-07 ( 1.169E-07 )  1.119E-07 ( 1.114E-07 )  1.057E-07 ( 1.047E-07 )
  1.585E+02  3.764E-08 ( 3.761E-08 )  3.651E-08 ( 3.644E-08 )  3.467E-08 ( 3.454E-08 )
