           N LOWER =  2  N UPPER= 11  WAVELENGTH (angstroms)=  3771.74
                electronic density(1/cm**3)       3.162E+14
                conversion factor for wlengths=f0 5.808E+00
                wings factor                  =   1.116E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            4.689E-01                3.315E-01                2.344E-01
width Stark         6.117E-01                6.403E-01                6.562E-01
width incl.Dop.     6.117E-01                6.403E-01                6.562E-01

  0.000E+00  6.518E-01 ( 6.518E-01 )  6.274E-01 ( 6.274E-01 )  6.167E-01 ( 6.167E-01 )
  1.585E-02  6.502E-01 ( 6.502E-01 )  6.260E-01 ( 6.260E-01 )  6.155E-01 ( 6.155E-01 )
  2.512E-02  6.493E-01 ( 6.493E-01 )  6.252E-01 ( 6.252E-01 )  6.147E-01 ( 6.147E-01 )
  3.981E-02  6.479E-01 ( 6.479E-01 )  6.239E-01 ( 6.239E-01 )  6.135E-01 ( 6.135E-01 )
  6.310E-02  6.456E-01 ( 6.456E-01 )  6.218E-01 ( 6.218E-01 )  6.117E-01 ( 6.117E-01 )
  1.000E-01  6.380E-01 ( 6.380E-01 )  6.158E-01 ( 6.158E-01 )  6.062E-01 ( 6.062E-01 )
  1.585E-01  6.198E-01 ( 6.198E-01 )  6.005E-01 ( 6.005E-01 )  5.919E-01 ( 5.919E-01 )
  2.512E-01  5.771E-01 ( 5.771E-01 )  5.630E-01 ( 5.630E-01 )  5.570E-01 ( 5.570E-01 )
  3.981E-01  4.808E-01 ( 4.808E-01 )  4.769E-01 ( 4.769E-01 )  4.750E-01 ( 4.750E-01 )
  6.310E-01  3.119E-01 ( 3.119E-01 )  3.181E-01 ( 3.181E-01 )  3.202E-01 ( 3.202E-01 )
  1.000E+00  1.387E-01 ( 1.387E-01 )  1.442E-01 ( 1.442E-01 )  1.464E-01 ( 1.464E-01 )
  1.585E+00  4.579E-02 ( 4.579E-02 )  4.734E-02 ( 4.734E-02 )  4.796E-02 ( 4.796E-02 )
  2.512E+00  1.367E-02 ( 1.367E-02 )  1.392E-02 ( 1.392E-02 )  1.403E-02 ( 1.403E-02 )
  3.981E+00  3.928E-03 ( 3.928E-03 )  3.949E-03 ( 3.949E-03 )  3.961E-03 ( 3.961E-03 )
  6.309E+00  1.194E-03 ( 1.194E-03 )  1.196E-03 ( 1.196E-03 )  1.197E-03 ( 1.197E-03 )
  1.000E+01  3.713E-04 ( 3.713E-04 )  3.717E-04 ( 3.717E-04 )  3.718E-04 ( 3.718E-04 )
  1.585E+01  1.183E-04 ( 1.183E-04 )  1.183E-04 ( 1.183E-04 )  1.184E-04 ( 1.184E-04 )
  2.512E+01  3.831E-05 ( 3.831E-05 )  3.833E-05 ( 3.833E-05 )  3.834E-05 ( 3.834E-05 )
  3.981E+01  1.264E-05 ( 1.264E-05 )  1.265E-05 ( 1.265E-05 )  1.265E-05 ( 1.265E-05 )
  6.309E+01  4.279E-06 ( 4.279E-06 )  4.279E-06 ( 4.279E-06 )  4.279E-06 ( 4.279E-06 )
  1.000E+02  1.505E-06 ( 1.505E-06 )  1.505E-06 ( 1.505E-06 )  1.505E-06 ( 1.505E-06 )
  1.585E+02  5.594E-07 ( 5.594E-07 )  5.594E-07 ( 5.594E-07 )  5.594E-07 ( 5.594E-07 )
  2.512E+02  2.236E-07 ( 2.236E-07 )  2.236E-07 ( 2.236E-07 )  2.236E-07 ( 2.236E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.660E-01                1.175E-01                8.318E-02
width Stark         6.528E-01                6.324E-01                6.103E-01
width incl.Dop.     6.528E-01                6.324E-01                6.140E-01

  0.000E+00  6.179E-01 ( 6.179E-01 )  6.304E-01 ( 6.304E-01 )  6.484E-01 ( 6.518E-01 )
  1.585E-02  6.169E-01 ( 6.169E-01 )  6.293E-01 ( 6.293E-01 )  6.481E-01 ( 6.505E-01 )
  2.512E-02  6.163E-01 ( 6.163E-01 )  6.286E-01 ( 6.286E-01 )  6.477E-01 ( 6.498E-01 )
  3.981E-02  6.154E-01 ( 6.154E-01 )  6.276E-01 ( 6.276E-01 )  6.467E-01 ( 6.486E-01 )
  6.310E-02  6.140E-01 ( 6.140E-01 )  6.259E-01 ( 6.259E-01 )  6.440E-01 ( 6.467E-01 )
  1.000E-01  6.081E-01 ( 6.081E-01 )  6.199E-01 ( 6.199E-01 )  6.372E-01 ( 6.402E-01 )
  1.585E-01  5.939E-01 ( 5.939E-01 )  6.046E-01 ( 6.046E-01 )  6.198E-01 ( 6.222E-01 )
  2.512E-01  5.584E-01 ( 5.584E-01 )  5.661E-01 ( 5.661E-01 )  5.762E-01 ( 5.789E-01 )
  3.981E-01  4.752E-01 ( 4.752E-01 )  4.772E-01 ( 4.772E-01 )  4.805E-01 ( 4.810E-01 )
  6.310E-01  3.192E-01 ( 3.192E-01 )  3.158E-01 ( 3.158E-01 )  3.119E-01 ( 3.108E-01 )
  1.000E+00  1.454E-01 ( 1.454E-01 )  1.419E-01 ( 1.419E-01 )  1.375E-01 ( 1.364E-01 )
  1.585E+00  4.761E-02 ( 4.761E-02 )  4.638E-02 ( 4.638E-02 )  4.458E-02 ( 4.434E-02 )
  2.512E+00  1.397E-02 ( 1.397E-02 )  1.372E-02 ( 1.372E-02 )  1.327E-02 ( 1.324E-02 )
  3.981E+00  4.121E-03 ( 4.121E-03 )  4.086E-03 ( 4.086E-03 )  4.001E-03 ( 3.998E-03 )
