           N LOWER =  2  N UPPER= 12  WAVELENGTH (angstroms)=  3751.25
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   1.427E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         6.121E-01                5.987E-01                5.817E-01
width incl.Dop.     1.425E+00                1.885E+00                2.498E+00

  0.000E+00  3.110E-01 ( 6.332E-01 )  2.422E-01 ( 6.506E-01 )  1.825E-01 ( 6.733E-01 )
  6.310E-03  3.109E-01 ( 6.332E-01 )  2.422E-01 ( 6.503E-01 )  1.825E-01 ( 6.730E-01 )
  1.000E-02  3.109E-01 ( 6.332E-01 )  2.422E-01 ( 6.501E-01 )  1.825E-01 ( 6.729E-01 )
  1.585E-02  3.109E-01 ( 6.332E-01 )  2.422E-01 ( 6.499E-01 )  1.825E-01 ( 6.726E-01 )
  2.512E-02  3.109E-01 ( 6.332E-01 )  2.422E-01 ( 6.494E-01 )  1.825E-01 ( 6.722E-01 )
  3.981E-02  3.108E-01 ( 6.316E-01 )  2.421E-01 ( 6.483E-01 )  1.825E-01 ( 6.711E-01 )
  6.310E-02  3.105E-01 ( 6.282E-01 )  2.420E-01 ( 6.450E-01 )  1.824E-01 ( 6.672E-01 )
  1.000E-01  3.098E-01 ( 6.198E-01 )  2.417E-01 ( 6.361E-01 )  1.823E-01 ( 6.572E-01 )
  1.585E-01  3.082E-01 ( 5.996E-01 )  2.409E-01 ( 6.148E-01 )  1.820E-01 ( 6.336E-01 )
  2.512E-01  3.040E-01 ( 5.534E-01 )  2.391E-01 ( 5.656E-01 )  1.812E-01 ( 5.807E-01 )
  3.981E-01  2.939E-01 ( 4.585E-01 )  2.344E-01 ( 4.648E-01 )  1.793E-01 ( 4.722E-01 )
  6.310E-01  2.701E-01 ( 3.041E-01 )  2.232E-01 ( 3.028E-01 )  1.745E-01 ( 3.002E-01 )
  1.000E+00  2.189E-01 ( 1.436E-01 )  1.975E-01 ( 1.392E-01 )  1.631E-01 ( 1.335E-01 )
  1.585E+00  1.316E-01 ( 5.032E-02 )  1.457E-01 ( 4.766E-02 )  1.378E-01 ( 4.486E-02 )
  2.512E+00  4.243E-02 ( 1.567E-02 )  6.971E-02 ( 1.475E-02 )  9.054E-02 ( 1.379E-02 )
  3.981E+00  7.280E-03 ( 4.836E-03 )  1.412E-02 ( 4.567E-03 )  3.271E-02 ( 4.280E-03 )
  6.310E+00  1.701E-03 ( 1.507E-03 )  1.932E-03 ( 1.442E-03 )  3.905E-03 ( 1.358E-03 )
  1.000E+01  4.958E-04 ( 4.748E-04 )  4.960E-04 ( 4.514E-04 )  5.307E-04 ( 4.299E-04 )
  1.585E+01  1.477E-04 ( 1.450E-04 )  1.494E-04 ( 1.446E-04 )  1.491E-04 ( 1.393E-04 )
  2.512E+01  4.574E-05 ( 4.544E-05 )  4.610E-05 ( 4.547E-05 )  4.631E-05 ( 4.510E-05 )
  3.981E+01  1.437E-05 ( 1.434E-05 )  1.441E-05 ( 1.434E-05 )  1.464E-05 ( 1.449E-05 )
  6.310E+01  4.533E-06 ( 4.528E-06 )  4.538E-06 ( 4.528E-06 )  4.555E-06 ( 4.535E-06 )
  1.000E+02  1.434E-06 ( 1.433E-06 )  1.434E-06 ( 1.433E-06 )  1.435E-06 ( 1.433E-06 )
  1.585E+02  4.538E-07 ( 4.537E-07 )  4.539E-07 ( 4.537E-07 )  4.540E-07 ( 4.537E-07 )
  2.512E+02  1.439E-07 ( 1.439E-07 )  1.439E-07 ( 1.439E-07 )  1.439E-07 ( 1.439E-07 )
  3.981E+02  4.570E-08 ( 4.570E-08 )  4.570E-08 ( 4.570E-08 )  4.571E-08 ( 4.570E-08 )
  6.310E+02  1.456E-08 ( 1.456E-08 )  1.456E-08 ( 1.456E-08 )  1.456E-08 ( 1.456E-08 )
  1.000E+03  4.657E-09 ( 4.657E-09 )  4.657E-09 ( 4.657E-09 )  4.657E-09 ( 4.657E-09 )
  1.585E+03  1.500E-09 ( 1.500E-09 )  1.500E-09 ( 1.500E-09 )  1.500E-09 ( 1.500E-09 )
  0.000E+00                           4.880E-10 ( 4.880E-10 )  4.880E-10 ( 4.880E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-02                3.716E-02                2.630E-02
width Stark         5.621E-01                5.391E-01                5.105E-01
width incl.Dop.     3.445E+00                4.810E+00                6.687E+00

  0.000E+00  1.345E-01 ( 7.003E-01 )  9.753E-02 ( 7.326E-01 )  7.001E-02 ( 7.746E-01 )
  1.585E-02  1.345E-01 ( 6.984E-01 )  9.753E-02 ( 7.306E-01 )  7.001E-02 ( 7.721E-01 )
  2.512E-02  1.345E-01 ( 6.973E-01 )  9.753E-02 ( 7.295E-01 )  7.001E-02 ( 7.707E-01 )
  3.981E-02  1.344E-01 ( 6.956E-01 )  9.753E-02 ( 7.276E-01 )  7.001E-02 ( 7.685E-01 )
  6.310E-02  1.344E-01 ( 6.929E-01 )  9.752E-02 ( 7.247E-01 )  7.001E-02 ( 7.649E-01 )
  1.000E-01  1.344E-01 ( 6.824E-01 )  9.750E-02 ( 7.125E-01 )  7.000E-02 ( 7.511E-01 )
  1.585E-01  1.343E-01 ( 6.566E-01 )  9.746E-02 ( 6.839E-01 )  6.999E-02 ( 7.174E-01 )
  2.512E-01  1.340E-01 ( 5.982E-01 )  9.734E-02 ( 6.185E-01 )  6.994E-02 ( 6.423E-01 )
  3.981E-01  1.332E-01 ( 4.798E-01 )  9.705E-02 ( 4.866E-01 )  6.984E-02 ( 4.911E-01 )
  6.310E-01  1.313E-01 ( 2.956E-01 )  9.634E-02 ( 2.880E-01 )  6.957E-02 ( 2.761E-01 )
  1.000E+00  1.267E-01 ( 1.269E-01 )  9.456E-02 ( 1.194E-01 )  6.891E-02 ( 1.110E-01 )
  1.585E+00  1.158E-01 ( 4.204E-02 )  9.025E-02 ( 3.931E-02 )  6.729E-02 ( 3.653E-02 )
  2.512E+00  9.242E-02 ( 1.289E-02 )  8.026E-02 ( 1.205E-02 )  6.336E-02 ( 1.129E-02 )
  3.981E+00  5.274E-02 ( 3.993E-03 )  5.983E-02 ( 3.731E-03 )  5.450E-02 ( 3.370E-03 )
  6.310E+00  1.350E-02 ( 1.269E-03 )  2.875E-02 ( 1.184E-03 )  3.734E-02 ( 1.072E-03 )
  1.000E+01  9.354E-04 ( 4.041E-04 )  4.849E-03 ( 3.771E-04 )  1.453E-02 ( 3.500E-04 )
  1.585E+01  1.530E-04 ( 1.321E-04 )  2.137E-04 ( 1.237E-04 )  1.471E-03 ( 1.153E-04 )
  2.512E+01  4.560E-05 ( 4.324E-05 )  4.563E-05 ( 4.081E-05 )  5.252E-05 ( 3.813E-05 )
  3.981E+01  1.436E-05 ( 1.407E-05 )  1.398E-05 ( 1.342E-05 )  1.374E-05 ( 1.262E-05 )
  6.309E+01  4.582E-06 ( 4.545E-06 )  4.458E-06 ( 4.387E-06 )  4.298E-06 ( 4.162E-06 )
  1.000E+02  1.439E-06 ( 1.434E-06 )  1.434E-06 ( 1.425E-06 )  1.385E-06 ( 1.367E-06 )
  1.585E+02  4.544E-07 ( 4.538E-07 )  4.605E-07 ( 4.593E-07 )  4.482E-07 ( 4.459E-07 )
  2.512E+02  1.440E-07 ( 1.439E-07 )  1.443E-07 ( 1.441E-07 )  1.448E-07 ( 1.445E-07 )
  3.981E+02  4.572E-08 ( 4.571E-08 )  4.573E-08 ( 4.571E-08 )  4.579E-08 ( 4.575E-08 )
  6.309E+02  1.456E-08 ( 1.456E-08 )  1.456E-08 ( 1.456E-08 )  1.457E-08 ( 1.456E-08 )
  1.000E+03  4.658E-09 ( 4.658E-09 )  4.658E-09 ( 4.658E-09 )  4.659E-09 ( 4.658E-09 )
  1.585E+03  1.500E-09 ( 1.500E-09 )  1.500E-09 ( 1.500E-09 )  1.500E-09 ( 1.500E-09 )
  2.512E+03  4.881E-10 ( 4.881E-10 )  4.881E-10 ( 4.881E-10 )  4.881E-10 ( 4.881E-10 )
  3.981E+03  1.614E-10 ( 1.614E-10 )  1.614E-10 ( 1.614E-10 )  1.614E-10 ( 1.614E-10 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.862E-02                1.318E-02                9.333E-03
width Stark         4.730E-01                4.212E-01                3.666E-01
width incl.Dop.     9.320E+00                1.320E+01                1.871E+01

  0.000E+00  5.000E-02 ( 8.321E-01 )  3.559E-02 ( 9.130E-01 )  2.528E-02 ( 1.030E+00 )
  1.000E-02  5.000E-02 ( 8.308E-01 )  3.559E-02 ( 9.114E-01 )  2.528E-02 ( 1.027E+00 )
  1.585E-02  5.000E-02 ( 8.300E-01 )  3.559E-02 ( 9.105E-01 )  2.528E-02 ( 1.026E+00 )
  2.512E-02  5.000E-02 ( 8.289E-01 )  3.559E-02 ( 9.090E-01 )  2.528E-02 ( 1.024E+00 )
  3.981E-02  5.000E-02 ( 8.270E-01 )  3.559E-02 ( 9.067E-01 )  2.528E-02 ( 1.021E+00 )
  6.310E-02  5.000E-02 ( 8.198E-01 )  3.559E-02 ( 8.973E-01 )  2.527E-02 ( 1.006E+00 )
  1.000E-01  5.000E-02 ( 8.029E-01 )  3.558E-02 ( 8.738E-01 )  2.527E-02 ( 9.710E-01 )
  1.585E-01  4.999E-02 ( 7.620E-01 )  3.558E-02 ( 8.193E-01 )  2.527E-02 ( 8.915E-01 )
  2.512E-01  4.997E-02 ( 6.699E-01 )  3.558E-02 ( 6.992E-01 )  2.527E-02 ( 7.248E-01 )
  3.981E-01  4.994E-02 ( 4.905E-01 )  3.556E-02 ( 4.807E-01 )  2.527E-02 ( 4.576E-01 )
  6.310E-01  4.984E-02 ( 2.592E-01 )  3.553E-02 ( 2.367E-01 )  2.525E-02 ( 2.100E-01 )
  1.000E+00  4.960E-02 ( 1.013E-01 )  3.544E-02 ( 9.060E-02 )  2.522E-02 ( 7.905E-02 )
  1.585E+00  4.900E-02 ( 3.365E-02 )  3.523E-02 ( 3.053E-02 )  2.515E-02 ( 2.714E-02 )
  2.512E+00  4.753E-02 ( 1.055E-02 )  3.469E-02 ( 9.804E-03 )  2.495E-02 ( 8.958E-03 )
  3.981E+00  4.403E-02 ( 3.179E-03 )  3.337E-02 ( 3.110E-03 )  2.447E-02 ( 2.906E-03 )
  6.310E+00  3.633E-02 ( 1.006E-03 )  3.029E-02 ( 9.550E-04 )  2.331E-02 ( 9.371E-04 )
  1.000E+01  2.244E-02 ( 3.269E-04 )  2.374E-02 ( 3.071E-04 )  2.062E-02 ( 2.919E-04 )
  1.585E+01  6.728E-03 ( 1.074E-04 )  1.288E-02 ( 1.004E-04 )  1.515E-02 ( 9.446E-05 )
  2.512E+01  3.690E-04 ( 3.551E-05 )  2.793E-03 ( 3.308E-05 )  6.995E-03 ( 3.099E-05 )
  3.981E+01  1.441E-05 ( 1.177E-05 )  7.429E-05 ( 1.095E-05 )  1.013E-03 ( 1.022E-05 )
  6.310E+01  4.167E-06 ( 3.899E-06 )  4.199E-06 ( 3.632E-06 )  1.230E-05 ( 3.381E-06 )
  1.000E+02  1.324E-06 ( 1.291E-06 )  1.270E-06 ( 1.206E-06 )  1.253E-06 ( 1.122E-06 )
  1.585E+02  4.295E-07 ( 4.253E-07 )  4.077E-07 ( 3.997E-07 )  3.881E-07 ( 3.727E-07 )
  2.512E+02  1.400E-07 ( 1.394E-07 )  1.333E-07 ( 1.322E-07 )  1.258E-07 ( 1.239E-07 )
  3.981E+02  4.552E-08 ( 4.545E-08 )  4.372E-08 ( 4.358E-08 )  4.139E-08 ( 4.114E-08 )
  6.310E+02  1.474E-08 ( 1.473E-08 )  1.432E-08 ( 1.430E-08 )  1.366E-08 ( 1.363E-08 )
  1.000E+03  4.667E-09 ( 4.666E-09 )  4.678E-09 ( 4.675E-09 )  4.514E-09 ( 4.509E-09 )
  1.585E+03  1.500E-09 ( 1.500E-09 )  1.502E-09 ( 1.501E-09 )  1.491E-09 ( 1.490E-09 )
  2.512E+03  4.880E-10 ( 4.880E-10 )  4.881E-10 ( 4.880E-10 )  4.936E-10 ( 4.935E-10 )

T(K)                1.259E+06
RO/Debye            6.607E-03
width Stark         1.913E-02
width incl.Dop.     6.373E+00

  0.000E+00  1.793E-02 ( 1.197E+00 )
  1.000E-02  1.793E-02 ( 1.193E+00 )
  1.585E-02  1.793E-02 ( 1.190E+00 )
  2.512E-02  1.793E-02 ( 1.186E+00 )
  3.981E-02  1.793E-02 ( 1.180E+00 )
  6.310E-02  1.793E-02 ( 1.156E+00 )
  1.000E-01  1.793E-02 ( 1.099E+00 )
  1.585E-01  1.793E-02 ( 9.727E-01 )
  2.512E-01  1.793E-02 ( 7.354E-01 )
  3.981E-01  1.792E-02 ( 4.196E-01 )
  6.310E-01  1.792E-02 ( 1.808E-01 )
  1.000E+00  1.791E-02 ( 6.729E-02 )
  1.585E+00  1.788E-02 ( 2.354E-02 )
  2.512E+00  1.781E-02 ( 7.994E-03 )
  3.981E+00  1.764E-02 ( 2.665E-03 )
  6.310E+00  1.721E-02 ( 8.767E-04 )
  1.000E+01  1.618E-02 ( 2.777E-04 )
  1.585E+01  1.386E-02 ( 8.962E-05 )
  2.512E+01  9.399E-03 ( 2.922E-05 )
  3.981E+01  3.544E-03 ( 9.589E-06 )
  6.310E+01  3.088E-04 ( 3.160E-06 )
  1.000E+02  1.997E-06 ( 1.046E-06 )
  1.585E+02  3.778E-07 ( 3.470E-07 )
  2.512E+02  1.191E-07 ( 1.154E-07 )
  3.981E+02  3.891E-08 ( 3.844E-08 )
  6.310E+02  1.287E-08 ( 1.281E-08 )
  1.000E+03  4.284E-09 ( 4.275E-09 )
  1.585E+03  1.429E-09 ( 1.428E-09 )
  2.512E+03  4.788E-10 ( 4.787E-10 )
  3.981E+03  1.618E-10 ( 1.618E-10 )
  6.310E+03  5.483E-11 ( 5.483E-11 )
  1.000E+04  1.927E-11 ( 1.927E-11 )
  1.585E+04  7.168E-12 ( 7.168E-12 )
  2.512E+04  2.869E-12 ( 2.869E-12 )
  3.981E+04  1.243E-12 ( 1.243E-12 )
