           N LOWER =  2  N UPPER= 25  WAVELENGTH (angstroms)=  3670.54
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   1.224E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         3.407E+00                3.312E+00                3.179E+00
width incl.Dop.     4.368E+00                5.077E+00                6.159E+00

  0.000E+00  9.889E-02 ( 1.214E-01 )  8.664E-02 ( 1.246E-01 )  7.193E-02 ( 1.294E-01 )
  3.981E-02  9.888E-02 ( 1.214E-01 )  8.664E-02 ( 1.246E-01 )  7.193E-02 ( 1.294E-01 )
  6.310E-02  9.887E-02 ( 1.214E-01 )  8.663E-02 ( 1.245E-01 )  7.193E-02 ( 1.294E-01 )
  1.000E-01  9.885E-02 ( 1.213E-01 )  8.662E-02 ( 1.245E-01 )  7.192E-02 ( 1.293E-01 )
  1.585E-01  9.879E-02 ( 1.213E-01 )  8.658E-02 ( 1.244E-01 )  7.190E-02 ( 1.293E-01 )
  2.512E-01  9.864E-02 ( 1.210E-01 )  8.649E-02 ( 1.241E-01 )  7.185E-02 ( 1.289E-01 )
  3.981E-01  9.827E-02 ( 1.203E-01 )  8.625E-02 ( 1.235E-01 )  7.172E-02 ( 1.281E-01 )
  6.310E-01  9.735E-02 ( 1.187E-01 )  8.565E-02 ( 1.217E-01 )  7.140E-02 ( 1.261E-01 )
  1.000E+00  9.508E-02 ( 1.149E-01 )  8.418E-02 ( 1.174E-01 )  7.059E-02 ( 1.210E-01 )
  1.585E+00  8.964E-02 ( 1.051E-01 )  8.060E-02 ( 1.065E-01 )  6.861E-02 ( 1.086E-01 )
  2.512E+00  7.745E-02 ( 8.261E-02 )  7.233E-02 ( 8.236E-02 )  6.389E-02 ( 8.201E-02 )
  3.981E+00  5.436E-02 ( 4.667E-02 )  5.544E-02 ( 4.551E-02 )  5.353E-02 ( 4.394E-02 )
  6.310E+00  2.472E-02 ( 1.724E-02 )  2.968E-02 ( 1.665E-02 )  3.475E-02 ( 1.583E-02 )
  1.000E+01  6.533E-03 ( 5.074E-03 )  8.482E-03 ( 4.941E-03 )  1.293E-02 ( 4.733E-03 )
  1.585E+01  1.600E-03 ( 1.461E-03 )  1.762E-03 ( 1.441E-03 )  2.325E-03 ( 1.401E-03 )
  2.512E+01  4.310E-04 ( 4.157E-04 )  4.609E-04 ( 4.310E-04 )  4.903E-04 ( 4.248E-04 )
  3.981E+01  1.284E-04 ( 1.269E-04 )  1.307E-04 ( 1.272E-04 )  1.342E-04 ( 1.271E-04 )
  6.310E+01  3.946E-05 ( 3.927E-05 )  3.963E-05 ( 3.927E-05 )  4.002E-05 ( 3.927E-05 )
  1.000E+02  1.236E-05 ( 1.234E-05 )  1.239E-05 ( 1.234E-05 )  1.243E-05 ( 1.234E-05 )
  1.585E+02  3.896E-06 ( 3.893E-06 )  3.898E-06 ( 3.893E-06 )  3.904E-06 ( 3.893E-06 )
  2.512E+02  1.231E-06 ( 1.231E-06 )  1.232E-06 ( 1.231E-06 )  1.233E-06 ( 1.231E-06 )
  3.981E+02  3.898E-07 ( 3.898E-07 )  3.899E-07 ( 3.898E-07 )  3.900E-07 ( 3.898E-07 )
  6.310E+02  1.236E-07 ( 1.236E-07 )  1.236E-07 ( 1.236E-07 )  1.236E-07 ( 1.236E-07 )
  1.000E+03  3.928E-08 ( 3.928E-08 )  3.928E-08 ( 3.928E-08 )  3.930E-08 ( 3.930E-08 )
  1.585E+03  1.253E-08 ( 1.253E-08 )  1.253E-08 ( 1.253E-08 )  1.253E-08 ( 1.253E-08 )
  2.512E+03  4.016E-09 ( 4.016E-09 )  4.016E-09 ( 4.016E-09 )  4.016E-09 ( 4.016E-09 )
  3.981E+03  1.297E-09 ( 1.297E-09 )  1.297E-09 ( 1.297E-09 )  1.297E-09 ( 1.297E-09 )
  0.000E+00                                                    4.243E-10 ( 4.243E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-02                3.067E-02                2.171E-02
width Stark         3.028E+00                2.865E+00                2.694E+00
width incl.Dop.     8.038E+00                1.070E+01                1.450E+01

  0.000E+00  5.683E-02 ( 1.354E-01 )  4.318E-02 ( 1.424E-01 )  3.195E-02 ( 1.499E-01 )
  1.000E-01  5.683E-02 ( 1.351E-01 )  4.318E-02 ( 1.419E-01 )  3.195E-02 ( 1.494E-01 )
  1.585E-01  5.682E-02 ( 1.348E-01 )  4.318E-02 ( 1.416E-01 )  3.195E-02 ( 1.490E-01 )
  2.512E-01  5.679E-02 ( 1.345E-01 )  4.317E-02 ( 1.412E-01 )  3.194E-02 ( 1.485E-01 )
  3.981E-01  5.673E-02 ( 1.339E-01 )  4.314E-02 ( 1.405E-01 )  3.193E-02 ( 1.477E-01 )
  6.310E-01  5.658E-02 ( 1.315E-01 )  4.308E-02 ( 1.377E-01 )  3.191E-02 ( 1.442E-01 )
  1.000E+00  5.620E-02 ( 1.255E-01 )  4.291E-02 ( 1.305E-01 )  3.184E-02 ( 1.358E-01 )
  1.585E+00  5.525E-02 ( 1.111E-01 )  4.251E-02 ( 1.137E-01 )  3.168E-02 ( 1.164E-01 )
  2.512E+00  5.295E-02 ( 8.160E-02 )  4.151E-02 ( 8.101E-02 )  3.128E-02 ( 8.019E-02 )
  3.981E+00  4.761E-02 ( 4.211E-02 )  3.911E-02 ( 4.013E-02 )  3.030E-02 ( 3.805E-02 )
  6.310E+00  3.654E-02 ( 1.486E-02 )  3.369E-02 ( 1.385E-02 )  2.797E-02 ( 1.285E-02 )
  1.000E+01  1.919E-02 ( 4.465E-03 )  2.325E-02 ( 4.168E-03 )  2.290E-02 ( 3.873E-03 )
  1.585E+01  4.557E-03 ( 1.339E-03 )  9.419E-03 ( 1.263E-03 )  1.390E-02 ( 1.183E-03 )
  2.512E+01  5.950E-04 ( 4.127E-04 )  1.330E-03 ( 3.944E-04 )  4.115E-03 ( 3.726E-04 )
  3.981E+01  1.432E-04 ( 1.289E-04 )  1.600E-04 ( 1.253E-04 )  3.317E-04 ( 1.194E-04 )
  6.310E+01  4.097E-05 ( 3.929E-05 )  4.272E-05 ( 3.937E-05 )  4.541E-05 ( 3.802E-05 )
  1.000E+02  1.252E-05 ( 1.234E-05 )  1.273E-05 ( 1.234E-05 )  1.305E-05 ( 1.229E-05 )
  1.585E+02  3.916E-06 ( 3.892E-06 )  3.938E-06 ( 3.892E-06 )  4.036E-06 ( 3.942E-06 )
  2.512E+02  1.234E-06 ( 1.231E-06 )  1.237E-06 ( 1.231E-06 )  1.244E-06 ( 1.232E-06 )
  3.981E+02  3.901E-07 ( 3.897E-07 )  3.905E-07 ( 3.897E-07 )  3.911E-07 ( 3.897E-07 )
  6.310E+02  1.236E-07 ( 1.236E-07 )  1.237E-07 ( 1.236E-07 )  1.238E-07 ( 1.236E-07 )
  1.000E+03  3.930E-08 ( 3.929E-08 )  3.930E-08 ( 3.929E-08 )  3.931E-08 ( 3.929E-08 )
  1.585E+03  1.253E-08 ( 1.253E-08 )  1.253E-08 ( 1.253E-08 )  1.253E-08 ( 1.253E-08 )
  2.512E+03  4.016E-09 ( 4.016E-09 )  4.016E-09 ( 4.016E-09 )  4.017E-09 ( 4.017E-09 )
  3.981E+03  1.297E-09 ( 1.297E-09 )  1.297E-09 ( 1.297E-09 )  1.297E-09 ( 1.297E-09 )
  6.310E+03  4.243E-10 ( 4.243E-10 )  4.243E-10 ( 4.243E-10 )  4.243E-10 ( 4.243E-10 )
  1.000E+04  1.414E-10 ( 1.414E-10 )  1.414E-10 ( 1.414E-10 )  1.414E-10 ( 1.414E-10 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.537E-02                1.088E-02                7.703E-03
width Stark         2.511E+00                2.379E+00                2.241E+00
width incl.Dop.     2.023E+01                2.829E+01                3.915E+01

  0.000E+00  2.324E-02 ( 1.580E-01 )  1.671E-02 ( 1.670E-01 )  1.193E-02 ( 1.775E-01 )
  6.310E-02  2.324E-02 ( 1.578E-01 )  1.671E-02 ( 1.667E-01 )  1.193E-02 ( 1.771E-01 )
  1.000E-01  2.324E-02 ( 1.576E-01 )  1.671E-02 ( 1.665E-01 )  1.193E-02 ( 1.769E-01 )
  1.585E-01  2.323E-02 ( 1.574E-01 )  1.671E-02 ( 1.662E-01 )  1.193E-02 ( 1.765E-01 )
  2.512E-01  2.323E-02 ( 1.570E-01 )  1.671E-02 ( 1.657E-01 )  1.193E-02 ( 1.760E-01 )
  3.981E-01  2.323E-02 ( 1.553E-01 )  1.671E-02 ( 1.637E-01 )  1.193E-02 ( 1.735E-01 )
  6.310E-01  2.322E-02 ( 1.512E-01 )  1.671E-02 ( 1.589E-01 )  1.193E-02 ( 1.677E-01 )
  1.000E+00  2.320E-02 ( 1.414E-01 )  1.670E-02 ( 1.473E-01 )  1.192E-02 ( 1.540E-01 )
  1.585E+00  2.313E-02 ( 1.191E-01 )  1.668E-02 ( 1.216E-01 )  1.191E-02 ( 1.238E-01 )
  2.512E+00  2.298E-02 ( 7.899E-02 )  1.662E-02 ( 7.713E-02 )  1.189E-02 ( 7.427E-02 )
  3.981E+00  2.260E-02 ( 3.587E-02 )  1.648E-02 ( 3.354E-02 )  1.184E-02 ( 3.096E-02 )
  6.310E+00  2.168E-02 ( 1.192E-02 )  1.613E-02 ( 1.106E-02 )  1.172E-02 ( 1.022E-02 )
  1.000E+01  1.953E-02 ( 3.603E-03 )  1.529E-02 ( 3.354E-03 )  1.140E-02 ( 3.131E-03 )
  1.585E+01  1.502E-02 ( 1.102E-03 )  1.336E-02 ( 1.027E-03 )  1.065E-02 ( 9.204E-04 )
  2.512E+01  7.810E-03 ( 3.482E-04 )  9.529E-03 ( 3.248E-04 )  8.964E-03 ( 2.934E-04 )
  3.981E+01  1.581E-03 ( 1.102E-04 )  4.098E-03 ( 1.029E-04 )  5.824E-03 ( 9.565E-05 )
  6.310E+01  7.446E-05 ( 3.606E-05 )  5.218E-04 ( 3.381E-05 )  1.981E-03 ( 3.150E-05 )
  1.000E+02  1.341E-05 ( 1.179E-05 )  1.718E-05 ( 1.115E-05 )  1.436E-04 ( 1.042E-05 )
  1.585E+02  4.017E-06 ( 3.834E-06 )  4.035E-06 ( 3.660E-06 )  4.434E-06 ( 3.446E-06 )
  2.512E+02  1.260E-06 ( 1.238E-06 )  1.241E-06 ( 1.197E-06 )  1.226E-06 ( 1.137E-06 )
  3.981E+02  3.928E-07 ( 3.898E-07 )  3.944E-07 ( 3.888E-07 )  3.843E-07 ( 3.734E-07 )
  6.310E+02  1.239E-07 ( 1.236E-07 )  1.260E-07 ( 1.253E-07 )  1.233E-07 ( 1.219E-07 )
  1.000E+03  3.934E-08 ( 3.929E-08 )  3.942E-08 ( 3.932E-08 )  3.973E-08 ( 3.956E-08 )
  1.585E+03  1.253E-08 ( 1.253E-08 )  1.254E-08 ( 1.253E-08 )  1.256E-08 ( 1.253E-08 )
  2.512E+03  4.017E-09 ( 4.017E-09 )  4.018E-09 ( 4.017E-09 )  4.020E-09 ( 4.017E-09 )
  3.981E+03  1.298E-09 ( 1.297E-09 )  1.298E-09 ( 1.297E-09 )  1.298E-09 ( 1.297E-09 )
  6.310E+03  4.243E-10 ( 4.243E-10 )  4.244E-10 ( 4.243E-10 )  4.244E-10 ( 4.243E-10 )

T(K)                1.259E+06
RO/Debye            5.454E-03
width Stark         1.300E-01
width incl.Dop.     1.373E+01

  0.000E+00  8.493E-03 ( 1.908E-01 )
  6.310E-02  8.493E-03 ( 1.904E-01 )
  1.000E-01  8.493E-03 ( 1.901E-01 )
  1.585E-01  8.493E-03 ( 1.896E-01 )
  2.512E-01  8.493E-03 ( 1.889E-01 )
  3.981E-01  8.493E-03 ( 1.860E-01 )
  6.310E-01  8.493E-03 ( 1.788E-01 )
  1.000E+00  8.491E-03 ( 1.618E-01 )
  1.585E+00  8.488E-03 ( 1.251E-01 )
  2.512E+00  8.481E-03 ( 7.017E-02 )
  3.981E+00  8.463E-03 ( 2.819E-02 )
  6.310E+00  8.416E-03 ( 9.365E-03 )
  1.000E+01  8.301E-03 ( 2.918E-03 )
  1.585E+01  8.019E-03 ( 9.053E-04 )
  2.512E+01  7.352E-03 ( 2.757E-04 )
  3.981E+01  5.912E-03 ( 8.931E-05 )
  6.310E+01  3.420E-03 ( 2.933E-05 )
  1.000E+02  8.699E-04 ( 9.704E-06 )
  1.585E+02  3.195E-05 ( 3.215E-06 )
  2.512E+02  1.262E-06 ( 1.066E-06 )
  3.981E+02  3.742E-07 ( 3.529E-07 )
  6.310E+02  1.190E-07 ( 1.164E-07 )
  1.000E+03  3.857E-08 ( 3.823E-08 )
  1.585E+03  1.254E-08 ( 1.250E-08 )
  2.512E+03  4.078E-09 ( 4.073E-09 )
  3.981E+03  1.300E-09 ( 1.299E-09 )
  6.310E+03  4.244E-10 ( 4.243E-10 )
  1.000E+04  1.415E-10 ( 1.415E-10 )
  1.585E+04  4.855E-11 ( 4.855E-11 )
  2.512E+04  1.741E-11 ( 1.741E-11 )
  3.981E+04  6.644E-12 ( 6.644E-12 )
  6.310E+04  2.750E-12 ( 2.750E-12 )
