           N LOWER =  1  N UPPER=  4  WAVELENGTH (angstroms)=   972.55
                electronic density(1/cm**3)       1.000E+18
                conversion factor for wlengths=f0 1.251E+03
                wings factor                  =   7.965E-05

T(K)                                                                  1.000E+04
RO/Debye                                                              8.982E-01
width Stark                                                           3.263E-03
width incl.Dop.                                                       3.263E-03

  0.000E+00                                                    1.150E+02 ( 1.150E+02 )
  1.585E-04                                                    1.139E+02 ( 1.139E+02 )
  2.512E-04                                                    1.126E+02 ( 1.126E+02 )
  3.981E-04                                                    1.096E+02 ( 1.096E+02 )
  6.310E-04                                                    1.037E+02 ( 1.037E+02 )
  1.000E-03                                                    9.436E+01 ( 9.436E+01 )
  1.585E-03                                                    8.288E+01 ( 8.288E+01 )
  2.512E-03                                                    6.861E+01 ( 6.861E+01 )
  3.981E-03                                                    4.689E+01 ( 4.689E+01 )
  6.310E-03                                                    2.333E+01 ( 2.333E+01 )
  1.000E-02                                                    8.788E+00 ( 8.788E+00 )
  1.585E-02                                                    2.921E+00 ( 2.921E+00 )
  2.512E-02                                                    9.377E-01 ( 9.377E-01 )
  3.981E-02                                                    2.678E-01 ( 2.678E-01 )
  6.310E-02                                                    8.459E-02 ( 8.459E-02 )
  1.000E-01                                                    2.688E-02 ( 2.688E-02 )
  1.585E-01                                                    8.758E-03 ( 8.758E-03 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            6.358E-01                4.501E-01                3.187E-01
width Stark         3.536E-03                3.710E-03                3.770E-03
width incl.Dop.     3.536E-03                3.710E-03                3.770E-03

  0.000E+00  1.079E+02 ( 1.079E+02 )  1.044E+02 ( 1.044E+02 )  1.037E+02 ( 1.037E+02 )
  1.585E-04  1.069E+02 ( 1.069E+02 )  1.035E+02 ( 1.035E+02 )  1.027E+02 ( 1.027E+02 )
  2.512E-04  1.057E+02 ( 1.057E+02 )  1.021E+02 ( 1.021E+02 )  1.013E+02 ( 1.013E+02 )
  3.981E-04  1.028E+02 ( 1.028E+02 )  9.914E+01 ( 9.914E+01 )  9.794E+01 ( 9.794E+01 )
  6.310E-04  9.703E+01 ( 9.703E+01 )  9.325E+01 ( 9.325E+01 )  9.152E+01 ( 9.152E+01 )
  1.000E-03  8.809E+01 ( 8.809E+01 )  8.418E+01 ( 8.418E+01 )  8.196E+01 ( 8.196E+01 )
  1.585E-03  7.782E+01 ( 7.782E+01 )  7.444E+01 ( 7.444E+01 )  7.239E+01 ( 7.239E+01 )
  2.512E-03  6.665E+01 ( 6.665E+01 )  6.516E+01 ( 6.516E+01 )  6.432E+01 ( 6.432E+01 )
  3.981E-03  4.843E+01 ( 4.843E+01 )  4.927E+01 ( 4.927E+01 )  4.976E+01 ( 4.976E+01 )
  6.310E-03  2.522E+01 ( 2.522E+01 )  2.639E+01 ( 2.639E+01 )  2.700E+01 ( 2.700E+01 )
  1.000E-02  9.507E+00 ( 9.507E+00 )  9.949E+00 ( 9.949E+00 )  1.013E+01 ( 1.013E+01 )
  1.585E-02  3.069E+00 ( 3.069E+00 )  3.153E+00 ( 3.153E+00 )  3.173E+00 ( 3.173E+00 )
  2.512E-02  9.549E-01 ( 9.549E-01 )  9.629E-01 ( 9.629E-01 )  9.612E-01 ( 9.612E-01 )
  3.981E-02  2.691E-01 ( 2.691E-01 )  2.699E-01 ( 2.699E-01 )  2.704E-01 ( 2.704E-01 )
  6.310E-02  8.479E-02 ( 8.479E-02 )  8.490E-02 ( 8.490E-02 )  8.496E-02 ( 8.496E-02 )
  1.000E-01  2.693E-02 ( 2.693E-02 )  2.695E-02 ( 2.695E-02 )  2.696E-02 ( 2.696E-02 )
  1.585E-01  8.767E-03 ( 8.767E-03 )  8.772E-03 ( 8.772E-03 )  8.774E-03 ( 8.774E-03 )
  2.512E-01  2.902E-03 ( 2.902E-03 )  2.903E-03 ( 2.903E-03 )  2.904E-03 ( 2.904E-03 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.256E-01                1.597E-01                1.131E-01
width Stark         3.734E-03                3.632E-03                3.527E-03
width incl.Dop.     3.734E-03                3.632E-03                3.527E-03

  0.000E+00  1.052E+02 ( 1.052E+02 )  1.082E+02 ( 1.082E+02 )  1.119E+02 ( 1.119E+02 )
  1.585E-04  1.041E+02 ( 1.041E+02 )  1.068E+02 ( 1.068E+02 )  1.100E+02 ( 1.100E+02 )
  2.512E-04  1.024E+02 ( 1.024E+02 )  1.047E+02 ( 1.047E+02 )  1.075E+02 ( 1.075E+02 )
  3.981E-04  9.852E+01 ( 9.852E+01 )  1.001E+02 ( 1.001E+02 )  1.020E+02 ( 1.020E+02 )
  6.310E-04  9.125E+01 ( 9.125E+01 )  9.180E+01 ( 9.180E+01 )  9.264E+01 ( 9.264E+01 )
  1.000E-03  8.095E+01 ( 8.095E+01 )  8.080E+01 ( 8.080E+01 )  8.127E+01 ( 8.127E+01 )
  1.585E-03  7.157E+01 ( 7.157E+01 )  7.181E+01 ( 7.181E+01 )  7.308E+01 ( 7.308E+01 )
  2.512E-03  6.442E+01 ( 6.442E+01 )  6.532E+01 ( 6.532E+01 )  6.702E+01 ( 6.702E+01 )
  3.981E-03  5.021E+01 ( 5.021E+01 )  5.061E+01 ( 5.061E+01 )  5.100E+01 ( 5.100E+01 )
  6.310E-03  2.705E+01 ( 2.705E+01 )  2.672E+01 ( 2.672E+01 )  2.610E+01 ( 2.610E+01 )
  1.000E-02  1.002E+01 ( 1.002E+01 )  9.707E+00 ( 9.707E+00 )  9.232E+00 ( 9.232E+00 )
  1.585E-02  3.120E+00 ( 3.120E+00 )  3.003E+00 ( 3.003E+00 )  2.843E+00 ( 2.843E+00 )
  2.512E-02  9.460E-01 ( 9.460E-01 )  9.160E-01 ( 9.160E-01 )  8.722E-01 ( 8.722E-01 )
  3.981E-02  2.888E-01 ( 2.888E-01 )  2.833E-01 ( 2.833E-01 )  2.732E-01 ( 2.732E-01 )
  6.310E-02  8.498E-02 ( 8.498E-02 )  8.502E-02 ( 8.502E-02 )  8.696E-02 ( 8.696E-02 )
  1.000E-01  2.714E-02 ( 2.714E-02 )  2.696E-02 ( 2.696E-02 )  2.697E-02 ( 2.697E-02 )
  1.585E-01  8.775E-03 ( 8.775E-03 )  8.776E-03 ( 8.776E-03 )  8.776E-03 ( 8.776E-03 )
  2.512E-01  2.904E-03 ( 2.904E-03 )  2.904E-03 ( 2.904E-03 )  2.904E-03 ( 2.904E-03 )

T(K)                1.259E+06
RO/Debye            8.005E-02
width Stark         3.464E-03
width incl.Dop.     3.464E-03

  0.000E+00  1.154E+02 ( 1.154E+02 )
  1.585E-04  1.132E+02 ( 1.132E+02 )
  2.512E-04  1.099E+02 ( 1.099E+02 )
  3.981E-04  1.036E+02 ( 1.036E+02 )
  6.310E-04  9.337E+01 ( 9.337E+01 )
  1.000E-03  8.230E+01 ( 8.230E+01 )
  1.585E-03  7.542E+01 ( 7.542E+01 )
  2.512E-03  6.947E+01 ( 6.947E+01 )
  3.981E-03  5.131E+01 ( 5.131E+01 )
  6.310E-03  2.522E+01 ( 2.522E+01 )
  1.000E-02  8.699E+00 ( 8.699E+00 )
  1.585E-02  2.662E+00 ( 2.662E+00 )
  2.512E-02  8.198E-01 ( 8.198E-01 )
  3.981E-02  2.593E-01 ( 2.593E-01 )
  6.310E-02  8.354E-02 ( 8.354E-02 )
  1.000E-01  2.682E-02 ( 2.682E-02 )
  1.585E-01  8.776E-03 ( 8.776E-03 )
