           N LOWER =  1  N UPPER=  5  WAVELENGTH (angstroms)=   949.75
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   1.563E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         5.861E-03                5.945E-03                5.941E-03
width incl.Dop.     9.365E-03                1.184E-02                1.502E-02

  0.000E+00  4.532E+01 ( 6.346E+01 )  3.745E+01 ( 6.285E+01 )  2.983E+01 ( 6.354E+01 )
  2.512E-04  4.530E+01 ( 6.365E+01 )  3.744E+01 ( 6.320E+01 )  2.983E+01 ( 6.387E+01 )
  3.981E-04  4.526E+01 ( 6.395E+01 )  3.742E+01 ( 6.358E+01 )  2.982E+01 ( 6.436E+01 )
  6.310E-04  4.517E+01 ( 6.469E+01 )  3.737E+01 ( 6.430E+01 )  2.979E+01 ( 6.510E+01 )
  1.000E-03  4.494E+01 ( 6.530E+01 )  3.725E+01 ( 6.497E+01 )  2.974E+01 ( 6.567E+01 )
  1.585E-03  4.436E+01 ( 6.424E+01 )  3.695E+01 ( 6.390E+01 )  2.959E+01 ( 6.430E+01 )
  2.512E-03  4.296E+01 ( 5.854E+01 )  3.621E+01 ( 5.828E+01 )  2.924E+01 ( 5.847E+01 )
  3.981E-03  3.967E+01 ( 4.645E+01 )  3.442E+01 ( 4.665E+01 )  2.837E+01 ( 4.706E+01 )
  6.310E-03  3.262E+01 ( 2.935E+01 )  3.035E+01 ( 2.985E+01 )  2.631E+01 ( 3.016E+01 )
  1.000E-02  2.059E+01 ( 1.365E+01 )  2.231E+01 ( 1.378E+01 )  2.180E+01 ( 1.363E+01 )
  1.585E-02  7.985E+00 ( 4.960E+00 )  1.093E+01 ( 4.879E+00 )  1.377E+01 ( 4.715E+00 )
  2.512E-02  2.057E+00 ( 1.634E+00 )  2.786E+00 ( 1.573E+00 )  4.802E+00 ( 1.494E+00 )
  3.981E-02  5.471E-01 ( 4.982E-01 )  5.860E-01 ( 4.765E-01 )  7.818E-01 ( 4.502E-01 )
  6.310E-02  1.642E-01 ( 1.594E-01 )  1.633E-01 ( 1.535E-01 )  1.671E-01 ( 1.456E-01 )
  1.000E-01  5.152E-02 ( 5.087E-02 )  5.081E-02 ( 4.954E-02 )  4.989E-02 ( 4.740E-02 )
  1.585E-01  1.581E-02 ( 1.573E-02 )  1.605E-02 ( 1.590E-02 )  1.569E-02 ( 1.539E-02 )
