           N LOWER =  1  N UPPER=  6  WAVELENGTH (angstroms)=   937.81
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   2.651E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         7.158E-03                6.854E-03                6.293E-03
width incl.Dop.     2.947E-01                4.127E-01                5.812E-01

  0.000E+00  1.619E+00 ( 5.459E+01 )  1.147E+00 ( 5.670E+01 )  8.118E-01 ( 6.034E+01 )
  6.310E-04  1.619E+00 ( 5.416E+01 )  1.147E+00 ( 5.622E+01 )  8.118E-01 ( 5.971E+01 )
  1.000E-03  1.619E+00 ( 5.352E+01 )  1.147E+00 ( 5.549E+01 )  8.118E-01 ( 5.887E+01 )
  1.585E-03  1.619E+00 ( 5.211E+01 )  1.147E+00 ( 5.394E+01 )  8.118E-01 ( 5.701E+01 )
  2.512E-03  1.619E+00 ( 4.890E+01 )  1.147E+00 ( 5.041E+01 )  8.118E-01 ( 5.281E+01 )
  3.981E-03  1.619E+00 ( 4.218E+01 )  1.147E+00 ( 4.305E+01 )  8.118E-01 ( 4.417E+01 )
  6.310E-03  1.619E+00 ( 3.053E+01 )  1.147E+00 ( 3.050E+01 )  8.118E-01 ( 3.007E+01 )
  1.000E-02  1.618E+00 ( 1.645E+01 )  1.146E+00 ( 1.592E+01 )  8.117E-01 ( 1.500E+01 )
  1.585E-02  1.616E+00 ( 6.489E+00 )  1.146E+00 ( 6.169E+00 )  8.114E-01 ( 5.715E+00 )
  2.512E-02  1.611E+00 ( 2.139E+00 )  1.144E+00 ( 2.029E+00 )  8.108E-01 ( 1.897E+00 )
  3.981E-02  1.599E+00 ( 6.714E-01 )  1.139E+00 ( 6.363E-01 )  8.092E-01 ( 6.015E-01 )
  6.310E-02  1.567E+00 ( 2.048E-01 )  1.128E+00 ( 1.930E-01 )  8.052E-01 ( 1.900E-01 )
  1.000E-01  1.492E+00 ( 6.644E-02 )  1.101E+00 ( 6.217E-02 )  7.953E-01 ( 5.844E-02 )
  1.585E-01  1.317E+00 ( 2.186E-02 )  1.034E+00 ( 2.038E-02 )  7.708E-01 ( 1.905E-02 )
  2.512E-01  9.644E-01 ( 7.226E-03 )  8.843E-01 ( 6.731E-03 )  7.127E-01 ( 6.272E-03 )
  3.981E-01  4.409E-01 ( 2.387E-03 )  5.970E-01 ( 2.230E-03 )  5.854E-01 ( 2.075E-03 )
  6.310E-01  6.237E-02 ( 7.854E-04 )  2.227E-01 ( 7.382E-04 )  3.571E-01 ( 6.881E-04 )
  1.000E+00  7.954E-04 ( 2.570E-04 )  1.896E-02 ( 2.436E-04 )  1.032E-01 ( 2.280E-04 )
  1.585E+00  9.331E-05 ( 8.338E-05 )  1.400E-04 ( 7.992E-05 )  4.666E-03 ( 7.538E-05 )
  2.512E+00  2.798E-05 ( 2.683E-05 )  2.840E-05 ( 2.604E-05 )  3.185E-05 ( 2.481E-05 )
  3.981E+00  8.530E-06 ( 8.384E-06 )  8.697E-06 ( 8.418E-06 )  8.681E-06 ( 8.118E-06 )
  6.310E+00  2.668E-06 ( 2.651E-06 )  2.687E-06 ( 2.651E-06 )  2.704E-06 ( 2.635E-06 )
  1.000E+01  8.406E-07 ( 8.384E-07 )  8.427E-07 ( 8.384E-07 )  8.570E-07 ( 8.484E-07 )
  1.585E+01  2.655E-07 ( 2.652E-07 )  2.658E-07 ( 2.652E-07 )  2.664E-07 ( 2.652E-07 )
  2.512E+01                                                    8.401E-08 ( 8.388E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-02                3.716E-02                2.630E-02
width Stark         5.740E-03                5.067E-03                4.204E-03
width incl.Dop.     8.259E-01                1.172E+00                1.642E+00

