           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.737E-01                1.935E-01
width Stark         2.198E-01                2.235E-01                2.220E-01
width incl.Dop.     2.840E-01                3.309E-01                3.882E-01

  0.000E+00  1.301E+00 ( 1.543E+00 )  1.166E+00 ( 1.527E+00 )  1.025E+00 ( 1.549E+00 )
  1.000E-02  1.300E+00 ( 1.542E+00 )  1.165E+00 ( 1.523E+00 )  1.025E+00 ( 1.541E+00 )
  1.585E-02  1.298E+00 ( 1.537E+00 )  1.164E+00 ( 1.517E+00 )  1.024E+00 ( 1.538E+00 )
  2.512E-02  1.292E+00 ( 1.523E+00 )  1.161E+00 ( 1.503E+00 )  1.022E+00 ( 1.523E+00 )
  3.981E-02  1.278E+00 ( 1.489E+00 )  1.152E+00 ( 1.472E+00 )  1.017E+00 ( 1.492E+00 )
  6.310E-02  1.245E+00 ( 1.413E+00 )  1.131E+00 ( 1.400E+00 )  1.004E+00 ( 1.418E+00 )
  1.000E-01  1.168E+00 ( 1.256E+00 )  1.081E+00 ( 1.250E+00 )  9.740E-01 ( 1.266E+00 )
  1.585E-01  1.003E+00 ( 9.916E-01 )  9.673E-01 ( 9.941E-01 )  9.028E-01 ( 1.005E+00 )
  2.512E-01  7.220E-01 ( 6.590E-01 )  7.485E-01 ( 6.650E-01 )  7.513E-01 ( 6.683E-01 )
  3.981E-01  4.017E-01 ( 3.617E-01 )  4.433E-01 ( 3.657E-01 )  4.952E-01 ( 3.634E-01 )
  6.310E-01  1.778E-01 ( 1.660E-01 )  1.930E-01 ( 1.672E-01 )  2.226E-01 ( 1.637E-01 )
  1.000E+00  6.778E-02 ( 6.537E-02 )  7.035E-02 ( 6.520E-02 )  7.451E-02 ( 6.306E-02 )
  1.585E+00  2.336E-02 ( 2.296E-02 )  2.343E-02 ( 2.261E-02 )  2.342E-02 ( 2.175E-02 )
