           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       1.000E+17
                conversion factor for wlengths=f0 2.696E+02
                wings factor                  =   2.785E-01

T(K)                                         5.000E+03                1.000E+04
RO/Debye                                     8.654E-01                6.119E-01
width Stark                                  8.915E-01                9.700E-01
width incl.Dop.                              8.915E-01                9.700E-01

  0.000E+00                           4.303E-01 ( 4.303E-01 )  3.984E-01 ( 3.984E-01 )
  1.000E-01                           4.221E-01 ( 4.221E-01 )  3.918E-01 ( 3.918E-01 )
  1.585E-01                           4.132E-01 ( 4.132E-01 )  3.846E-01 ( 3.846E-01 )
  2.512E-01                           3.943E-01 ( 3.943E-01 )  3.694E-01 ( 3.694E-01 )
  3.981E-01                           3.561E-01 ( 3.561E-01 )  3.387E-01 ( 3.387E-01 )
  6.310E-01                           2.866E-01 ( 2.866E-01 )  2.817E-01 ( 2.817E-01 )
  1.000E+00                           1.854E-01 ( 1.854E-01 )  1.919E-01 ( 1.919E-01 )
  1.585E+00                           8.803E-02 ( 8.803E-02 )  9.482E-02 ( 9.482E-02 )
  2.512E+00                           3.231E-02 ( 3.231E-02 )  3.481E-02 ( 3.481E-02 )
  3.981E+00                           1.059E-02 ( 1.059E-02 )  1.115E-02 ( 1.115E-02 )
  6.309E+00                           3.428E-03 ( 3.428E-03 )  3.510E-03 ( 3.510E-03 )
  1.000E+01                           1.046E-03 ( 1.046E-03 )  1.056E-03 ( 1.056E-03 )
  1.585E+01                           3.411E-04 ( 3.411E-04 )  3.431E-04 ( 3.431E-04 )
  2.512E+01                           1.139E-04 ( 1.139E-04 )  1.143E-04 ( 1.143E-04 )
  3.981E+01                           3.961E-05 ( 3.961E-05 )  3.972E-05 ( 3.972E-05 )
  6.309E+01                           1.418E-05 ( 1.418E-05 )  1.421E-05 ( 1.421E-05 )
  1.000E+02                           5.211E-06 ( 5.211E-06 )  5.221E-06 ( 5.221E-06 )
  1.585E+02                           1.959E-06 ( 1.959E-06 )  1.962E-06 ( 1.962E-06 )
  2.512E+02                           7.495E-07 ( 7.495E-07 )  7.507E-07 ( 7.507E-07 )
  3.981E+02                                                    2.910E-07 ( 2.910E-07 )
  6.310E+02                                                    1.138E-07 ( 1.138E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-01                3.067E-01                2.171E-01
width Stark         1.030E+00                1.063E+00                1.063E+00
width incl.Dop.     1.030E+00                1.063E+00                1.063E+00

  0.000E+00  3.805E-01 ( 3.805E-01 )  3.728E-01 ( 3.728E-01 )  3.740E-01 ( 3.740E-01 )
  1.585E-01  3.681E-01 ( 3.681E-01 )  3.609E-01 ( 3.609E-01 )  3.613E-01 ( 3.613E-01 )
  2.512E-01  3.545E-01 ( 3.545E-01 )  3.476E-01 ( 3.476E-01 )  3.473E-01 ( 3.473E-01 )
  3.981E-01  3.275E-01 ( 3.275E-01 )  3.217E-01 ( 3.217E-01 )  3.210E-01 ( 3.210E-01 )
  6.310E-01  2.774E-01 ( 2.774E-01 )  2.748E-01 ( 2.748E-01 )  2.750E-01 ( 2.750E-01 )
  1.000E+00  1.952E-01 ( 1.952E-01 )  1.967E-01 ( 1.967E-01 )  1.973E-01 ( 1.973E-01 )
  1.585E+00  9.912E-02 ( 9.912E-02 )  1.012E-01 ( 1.012E-01 )  1.010E-01 ( 1.010E-01 )
  2.512E+00  3.641E-02 ( 3.641E-02 )  3.710E-02 ( 3.710E-02 )  3.673E-02 ( 3.673E-02 )
  3.981E+00  1.149E-02 ( 1.149E-02 )  1.161E-02 ( 1.161E-02 )  1.148E-02 ( 1.148E-02 )
  6.309E+00  3.557E-03 ( 3.557E-03 )  3.568E-03 ( 3.568E-03 )  3.534E-03 ( 3.534E-03 )
  1.000E+01  1.061E-03 ( 1.061E-03 )  1.065E-03 ( 1.065E-03 )  1.111E-03 ( 1.111E-03 )
  1.585E+01  3.442E-04 ( 3.442E-04 )  3.448E-04 ( 3.448E-04 )  3.452E-04 ( 3.452E-04 )
  2.512E+01  1.145E-04 ( 1.145E-04 )  1.146E-04 ( 1.146E-04 )  1.157E-04 ( 1.157E-04 )
  3.981E+01  3.978E-05 ( 3.978E-05 )  3.980E-05 ( 3.980E-05 )  3.982E-05 ( 3.982E-05 )
  6.309E+01  1.423E-05 ( 1.423E-05 )  1.424E-05 ( 1.424E-05 )  1.424E-05 ( 1.424E-05 )
  1.000E+02  5.226E-06 ( 5.226E-06 )  5.229E-06 ( 5.229E-06 )  5.230E-06 ( 5.230E-06 )
  1.585E+02  1.964E-06 ( 1.964E-06 )  1.965E-06 ( 1.965E-06 )  1.965E-06 ( 1.965E-06 )
  2.512E+02  7.514E-07 ( 7.514E-07 )  7.516E-07 ( 7.516E-07 )  7.518E-07 ( 7.518E-07 )
  3.981E+02  2.912E-07 ( 2.912E-07 )  2.913E-07 ( 2.913E-07 )  2.914E-07 ( 2.914E-07 )
  6.310E+02  1.139E-07 ( 1.139E-07 )  1.139E-07 ( 1.139E-07 )  1.140E-07 ( 1.140E-07 )
  1.000E+03  4.483E-08 ( 4.483E-08 )  4.484E-08 ( 4.484E-08 )  4.485E-08 ( 4.485E-08 )
  1.585E+03  1.771E-08 ( 1.771E-08 )  1.772E-08 ( 1.772E-08 )  1.772E-08 ( 1.772E-08 )
  2.512E+03  7.019E-09 ( 7.019E-09 )  7.022E-09 ( 7.022E-09 )  7.022E-09 ( 7.022E-09 )
  3.981E+03  2.786E-09 ( 2.786E-09 )  2.787E-09 ( 2.787E-09 )  2.788E-09 ( 2.788E-09 )
  6.310E+03  1.107E-09 ( 1.107E-09 )  1.107E-09 ( 1.107E-09 )  1.108E-09 ( 1.108E-09 )
  1.000E+04                           4.404E-10 ( 4.404E-10 )  4.404E-10 ( 4.404E-10 )
  1.585E+04                           1.752E-10 ( 1.752E-10 )  1.752E-10 ( 1.752E-10 )
  2.512E+04                           6.970E-11 ( 6.970E-11 )  6.972E-11 ( 6.972E-11 )
  3.981E+04                           2.774E-11 ( 2.774E-11 )  2.775E-11 ( 2.775E-11 )
  6.310E+04                           1.104E-11 ( 1.104E-11 )  1.104E-11 ( 1.104E-11 )
  1.000E+05                           4.396E-12 ( 4.396E-12 )  4.396E-12 ( 4.396E-12 )
  1.585E+05                           1.750E-12 ( 1.750E-12 )  1.750E-12 ( 1.750E-12 )
  2.512E+05                           6.965E-13 ( 6.965E-13 )  6.967E-13 ( 6.967E-13 )
  3.981E+05                           2.773E-13 ( 2.773E-13 )  2.774E-13 ( 2.774E-13 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.537E-01                1.088E-01                7.703E-02
width Stark         1.038E+00                9.993E-01                9.648E-01
width incl.Dop.     1.038E+00                9.993E-01                9.648E-01

  0.000E+00  3.818E-01 ( 3.818E-01 )  3.947E-01 ( 3.947E-01 )  4.106E-01 ( 4.106E-01 )
  3.981E-02  3.806E-01 ( 3.806E-01 )  3.934E-01 ( 3.934E-01 )  4.090E-01 ( 4.090E-01 )
  6.310E-02  3.789E-01 ( 3.789E-01 )  3.912E-01 ( 3.912E-01 )  4.064E-01 ( 4.064E-01 )
  1.000E-01  3.753E-01 ( 3.753E-01 )  3.868E-01 ( 3.868E-01 )  4.008E-01 ( 4.008E-01 )
  1.585E-01  3.674E-01 ( 3.674E-01 )  3.775E-01 ( 3.775E-01 )  3.893E-01 ( 3.893E-01 )
  2.512E-01  3.518E-01 ( 3.518E-01 )  3.594E-01 ( 3.594E-01 )  3.688E-01 ( 3.688E-01 )
  3.981E-01  3.238E-01 ( 3.238E-01 )  3.294E-01 ( 3.294E-01 )  3.374E-01 ( 3.374E-01 )
  6.310E-01  2.769E-01 ( 2.769E-01 )  2.809E-01 ( 2.809E-01 )  2.869E-01 ( 2.869E-01 )
  1.000E+00  1.973E-01 ( 1.973E-01 )  1.972E-01 ( 1.972E-01 )  1.967E-01 ( 1.967E-01 )
  1.585E+00  9.942E-02 ( 9.942E-02 )  9.664E-02 ( 9.664E-02 )  9.301E-02 ( 9.301E-02 )
  2.512E+00  3.565E-02 ( 3.565E-02 )  3.398E-02 ( 3.398E-02 )  3.201E-02 ( 3.201E-02 )
  3.981E+00  1.111E-02 ( 1.111E-02 )  1.057E-02 ( 1.057E-02 )  9.922E-03 ( 9.922E-03 )
  6.309E+00  3.445E-03 ( 3.445E-03 )  3.301E-03 ( 3.301E-03 )  3.115E-03 ( 3.115E-03 )
  1.000E+01  1.093E-03 ( 1.093E-03 )  1.060E-03 ( 1.060E-03 )  1.010E-03 ( 1.010E-03 )
  1.585E+01  3.568E-04 ( 3.568E-04 )  3.496E-04 ( 3.496E-04 )  3.368E-04 ( 3.368E-04 )
  2.512E+01  1.158E-04 ( 1.158E-04 )  1.157E-04 ( 1.157E-04 )  1.128E-04 ( 1.128E-04 )
  3.981E+01  3.982E-05 ( 3.982E-05 )  3.983E-05 ( 3.983E-05 )  3.977E-05 ( 3.977E-05 )
  6.309E+01  1.424E-05 ( 1.424E-05 )  1.424E-05 ( 1.424E-05 )  1.424E-05 ( 1.424E-05 )
  1.000E+02  5.231E-06 ( 5.231E-06 )  5.232E-06 ( 5.232E-06 )  5.232E-06 ( 5.232E-06 )
  1.585E+02  1.966E-06 ( 1.966E-06 )  1.966E-06 ( 1.966E-06 )  1.966E-06 ( 1.966E-06 )
  2.512E+02  7.519E-07 ( 7.519E-07 )  7.519E-07 ( 7.519E-07 )  7.519E-07 ( 7.519E-07 )
  3.981E+02  2.914E-07 ( 2.914E-07 )  2.914E-07 ( 2.914E-07 )  2.914E-07 ( 2.914E-07 )
  6.310E+02  1.140E-07 ( 1.140E-07 )  1.140E-07 ( 1.140E-07 )  1.140E-07 ( 1.140E-07 )
  1.000E+03  4.486E-08 ( 4.486E-08 )  4.486E-08 ( 4.486E-08 )  4.486E-08 ( 4.486E-08 )
  1.585E+03  1.773E-08 ( 1.773E-08 )  1.773E-08 ( 1.773E-08 )  1.773E-08 ( 1.773E-08 )
  2.512E+03  7.024E-09 ( 7.024E-09 )  7.024E-09 ( 7.024E-09 )  7.024E-09 ( 7.024E-09 )
  3.981E+03  2.788E-09 ( 2.788E-09 )  2.788E-09 ( 2.788E-09 )  2.788E-09 ( 2.788E-09 )
  6.310E+03  1.108E-09 ( 1.108E-09 )  1.108E-09 ( 1.108E-09 )  1.108E-09 ( 1.108E-09 )
  1.000E+04  4.405E-10 ( 4.405E-10 )  4.405E-10 ( 4.405E-10 )  4.405E-10 ( 4.405E-10 )
