           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+19
                conversion factor for wlengths=f0 1.251E+04
                wings factor                  =   2.785E-01

T(K)                                                                  7.943E+04
RO/Debye                                                              5.667E-01
width Stark                                                           3.318E-01
width incl.Dop.                                                       3.318E-01

  0.000E+00                                                    3.649E-01 ( 3.649E-01 )
  3.981E-02                                                    3.323E-01 ( 3.323E-01 )
  6.310E-02                                                    3.144E-01 ( 3.144E-01 )
  1.000E-01                                                    2.886E-01 ( 2.886E-01 )
  1.585E-01                                                    2.535E-01 ( 2.535E-01 )
  2.512E-01                                                    2.096E-01 ( 2.096E-01 )
  3.981E-01                                                    1.601E-01 ( 1.601E-01 )
  6.310E-01                                                    1.106E-01 ( 1.106E-01 )
  1.000E+00                                                    6.823E-02 ( 6.823E-02 )
  1.585E+00                                                    3.761E-02 ( 3.761E-02 )
  2.512E+00                                                    1.879E-02 ( 1.879E-02 )
  3.981E+00                                                    8.705E-03 ( 8.705E-03 )
  6.310E+00                                                    3.821E-03 ( 3.821E-03 )
  1.000E+01                                                    1.619E-03 ( 1.619E-03 )
  1.585E+01                                                    6.702E-04 ( 6.702E-04 )
  2.512E+01                                                    2.735E-04 ( 2.735E-04 )
  3.981E+01                                                    1.106E-04 ( 1.106E-04 )
  6.310E+01                                                    4.445E-05 ( 4.445E-05 )
  1.000E+02                                                    1.781E-05 ( 1.781E-05 )
  1.585E+02                                                    7.116E-06 ( 7.116E-06 )
  2.512E+02                                                    2.840E-06 ( 2.840E-06 )
  3.981E+02                                                    1.132E-06 ( 1.132E-06 )
  6.310E+02                                                    4.512E-07 ( 4.512E-07 )
  1.000E+03                                                    1.797E-07 ( 1.797E-07 )
  1.585E+03                                                    7.159E-08 ( 7.159E-08 )
  2.512E+03                                                    2.851E-08 ( 2.851E-08 )
  3.981E+03                                                    1.135E-08 ( 1.135E-08 )
  6.310E+03                                                    4.519E-09 ( 4.519E-09 )
  1.000E+04                                                    1.799E-09 ( 1.799E-09 )
  1.585E+04                                                    7.163E-10 ( 7.163E-10 )
  2.512E+04                                                    2.852E-10 ( 2.852E-10 )
  3.981E+04                                                    1.135E-10 ( 1.135E-10 )
  6.310E+04                                                    4.520E-11 ( 4.520E-11 )
  1.000E+05                                                    1.799E-11 ( 1.799E-11 )
  1.585E+05                                                    7.164E-12 ( 7.164E-12 )
  2.512E+05                                                    2.852E-12 ( 2.852E-12 )
  3.981E+05                                                    1.135E-12 ( 1.135E-12 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-01                2.840E-01                2.011E-01
width Stark         3.384E-01                3.436E-01                3.467E-01
width incl.Dop.     3.384E-01                3.436E-01                3.467E-01

  0.000E+00  3.429E-01 ( 3.429E-01 )  3.286E-01 ( 3.286E-01 )  3.223E-01 ( 3.223E-01 )
  3.981E-02  3.123E-01 ( 3.123E-01 )  2.997E-01 ( 2.997E-01 )  2.941E-01 ( 2.941E-01 )
  6.310E-02  2.959E-01 ( 2.959E-01 )  2.842E-01 ( 2.842E-01 )  2.791E-01 ( 2.791E-01 )
  1.000E-01  2.722E-01 ( 2.722E-01 )  2.618E-01 ( 2.618E-01 )  2.572E-01 ( 2.572E-01 )
  1.585E-01  2.399E-01 ( 2.399E-01 )  2.311E-01 ( 2.311E-01 )  2.275E-01 ( 2.275E-01 )
  2.512E-01  1.990E-01 ( 1.990E-01 )  1.923E-01 ( 1.923E-01 )  1.895E-01 ( 1.895E-01 )
  3.981E-01  1.526E-01 ( 1.526E-01 )  1.478E-01 ( 1.478E-01 )  1.459E-01 ( 1.459E-01 )
  6.310E-01  1.060E-01 ( 1.060E-01 )  1.029E-01 ( 1.029E-01 )  1.017E-01 ( 1.017E-01 )
  1.000E+00  6.579E-02 ( 6.579E-02 )  6.416E-02 ( 6.416E-02 )  6.347E-02 ( 6.347E-02 )
  1.585E+00  3.655E-02 ( 3.655E-02 )  3.578E-02 ( 3.578E-02 )  3.546E-02 ( 3.546E-02 )
  2.512E+00  1.840E-02 ( 1.840E-02 )  1.809E-02 ( 1.809E-02 )  1.796E-02 ( 1.796E-02 )
  3.981E+00  8.580E-03 ( 8.580E-03 )  8.468E-03 ( 8.468E-03 )  8.422E-03 ( 8.422E-03 )
  6.310E+00  3.786E-03 ( 3.786E-03 )  3.749E-03 ( 3.749E-03 )  3.733E-03 ( 3.733E-03 )
  1.000E+01  1.610E-03 ( 1.610E-03 )  1.598E-03 ( 1.598E-03 )  1.593E-03 ( 1.593E-03 )
  1.585E+01  6.682E-04 ( 6.682E-04 )  6.644E-04 ( 6.644E-04 )  6.627E-04 ( 6.627E-04 )
