           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   2.785E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         6.881E-01                6.427E-01                5.881E-01
width incl.Dop.     3.616E+00                5.025E+00                7.000E+00

  0.000E+00  1.280E-01 ( 5.614E-01 )  9.365E-02 ( 5.903E-01 )  6.761E-02 ( 6.396E-01 )
  2.512E-02  1.280E-01 ( 5.608E-01 )  9.365E-02 ( 5.895E-01 )  6.760E-02 ( 6.393E-01 )
  3.981E-02  1.280E-01 ( 5.600E-01 )  9.364E-02 ( 5.883E-01 )  6.760E-02 ( 6.376E-01 )
  6.310E-02  1.280E-01 ( 5.567E-01 )  9.364E-02 ( 5.843E-01 )  6.760E-02 ( 6.328E-01 )
  1.000E-01  1.280E-01 ( 5.493E-01 )  9.362E-02 ( 5.762E-01 )  6.760E-02 ( 6.226E-01 )
  1.585E-01  1.279E-01 ( 5.328E-01 )  9.358E-02 ( 5.577E-01 )  6.758E-02 ( 5.990E-01 )
  2.512E-01  1.276E-01 ( 4.971E-01 )  9.348E-02 ( 5.171E-01 )  6.754E-02 ( 5.474E-01 )
  3.981E-01  1.269E-01 ( 4.251E-01 )  9.323E-02 ( 4.350E-01 )  6.745E-02 ( 4.459E-01 )
  6.310E-01  1.253E-01 ( 3.027E-01 )  9.260E-02 ( 2.998E-01 )  6.721E-02 ( 2.913E-01 )
  1.000E+00  1.213E-01 ( 1.605E-01 )  9.103E-02 ( 1.531E-01 )  6.663E-02 ( 1.416E-01 )
  1.585E+00  1.118E-01 ( 6.340E-02 )  8.722E-02 ( 5.953E-02 )  6.518E-02 ( 5.419E-02 )
  2.512E+00  9.121E-02 ( 2.110E-02 )  7.835E-02 ( 1.992E-02 )  6.167E-02 ( 1.840E-02 )
  3.981E+00  5.501E-02 ( 6.675E-03 )  5.990E-02 ( 6.339E-03 )  5.368E-02 ( 5.958E-03 )
