           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   5.549E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         1.230E+00                1.183E+00                1.100E+00
width incl.Dop.     6.789E+00                9.305E+00                1.308E+01

  0.000E+00  6.886E-02 ( 3.208E-01 )  5.014E-02 ( 3.335E-01 )  3.610E-02 ( 3.547E-01 )
  6.310E-02  6.885E-02 ( 3.200E-01 )  5.013E-02 ( 3.327E-01 )  3.610E-02 ( 3.536E-01 )
  1.000E-01  6.885E-02 ( 3.187E-01 )  5.013E-02 ( 3.313E-01 )  3.610E-02 ( 3.519E-01 )
  1.585E-01  6.883E-02 ( 3.157E-01 )  5.013E-02 ( 3.280E-01 )  3.610E-02 ( 3.477E-01 )
  2.512E-01  6.879E-02 ( 3.086E-01 )  5.011E-02 ( 3.203E-01 )  3.609E-02 ( 3.386E-01 )
  3.981E-01  6.869E-02 ( 2.925E-01 )  5.007E-02 ( 3.025E-01 )  3.608E-02 ( 3.174E-01 )
  6.310E-01  6.844E-02 ( 2.577E-01 )  4.998E-02 ( 2.641E-01 )  3.604E-02 ( 2.723E-01 )
  1.000E+00  6.780E-02 ( 1.936E-01 )  4.973E-02 ( 1.944E-01 )  3.595E-02 ( 1.933E-01 )
  1.585E+00  6.623E-02 ( 1.093E-01 )  4.913E-02 ( 1.060E-01 )  3.573E-02 ( 1.003E-01 )
  2.512E+00  6.245E-02 ( 4.428E-02 )  4.764E-02 ( 4.186E-02 )  3.517E-02 ( 3.876E-02 )
  3.981E+00  5.389E-02 ( 1.459E-02 )  4.411E-02 ( 1.380E-02 )  3.381E-02 ( 1.287E-02 )
  6.310E+00  3.731E-02 ( 4.557E-03 )  3.637E-02 ( 4.308E-03 )  3.062E-02 ( 4.062E-03 )
  1.000E+01  1.511E-02 ( 1.379E-03 )  2.245E-02 ( 1.297E-03 )  2.387E-02 ( 1.276E-03 )
  1.585E+01  1.972E-03 ( 4.465E-04 )  6.839E-03 ( 4.173E-04 )  1.281E-02 ( 3.917E-04 )
  2.512E+01  1.904E-04 ( 1.467E-04 )  5.035E-04 ( 1.366E-04 )  2.759E-03 ( 1.276E-04 )
  3.981E+01  5.245E-05 ( 4.841E-05 )  5.415E-05 ( 4.511E-05 )  1.120E-04 ( 4.200E-05 )
  6.310E+01  1.646E-05 ( 1.596E-05 )  1.590E-05 ( 1.493E-05 )  1.592E-05 ( 1.389E-05 )
  1.000E+02  5.306E-06 ( 5.244E-06 )  5.054E-06 ( 4.935E-06 )  4.839E-06 ( 4.606E-06 )
  1.585E+02  1.719E-06 ( 1.711E-06 )  1.642E-06 ( 1.627E-06 )  1.555E-06 ( 1.526E-06 )
  2.512E+02  5.552E-07 ( 5.542E-07 )  5.351E-07 ( 5.331E-07 )  5.077E-07 ( 5.039E-07 )
  3.981E+02  1.783E-07 ( 1.782E-07 )  1.737E-07 ( 1.734E-07 )  1.662E-07 ( 1.657E-07 )
  6.310E+02  5.556E-08 ( 5.554E-08 )  5.599E-08 ( 5.596E-08 )  5.418E-08 ( 5.412E-08 )
  1.000E+03  1.757E-08 ( 1.757E-08 )  1.758E-08 ( 1.757E-08 )  1.755E-08 ( 1.754E-08 )
  1.585E+03                           5.561E-09 ( 5.561E-09 )  5.641E-09 ( 5.641E-09 )
  2.512E+03                                                    1.761E-09 ( 1.761E-09 )
  3.981E+03                                                    5.580E-10 ( 5.580E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-02                3.067E-02                2.171E-02
width Stark         9.809E-01                8.718E-01                7.448E-01
width incl.Dop.     1.841E+01                2.559E+01                3.605E+01

  0.000E+00  2.583E-02 ( 3.868E-01 )  1.841E-02 ( 4.342E-01 )  1.308E-02 ( 5.025E-01 )
  3.981E-02  2.583E-02 ( 3.862E-01 )  1.841E-02 ( 4.333E-01 )  1.308E-02 ( 5.012E-01 )
  6.310E-02  2.583E-02 ( 3.852E-01 )  1.841E-02 ( 4.320E-01 )  1.308E-02 ( 4.991E-01 )
  1.000E-01  2.583E-02 ( 3.828E-01 )  1.841E-02 ( 4.286E-01 )  1.308E-02 ( 4.940E-01 )
  1.585E-01  2.583E-02 ( 3.776E-01 )  1.841E-02 ( 4.212E-01 )  1.308E-02 ( 4.818E-01 )
  2.512E-01  2.583E-02 ( 3.656E-01 )  1.840E-02 ( 4.037E-01 )  1.308E-02 ( 4.538E-01 )
  3.981E-01  2.582E-02 ( 3.382E-01 )  1.840E-02 ( 3.646E-01 )  1.308E-02 ( 3.942E-01 )
  6.310E-01  2.581E-02 ( 2.814E-01 )  1.840E-02 ( 2.887E-01 )  1.307E-02 ( 2.902E-01 )
  1.000E+00  2.578E-02 ( 1.886E-01 )  1.839E-02 ( 1.790E-01 )  1.307E-02 ( 1.639E-01 )
  1.585E+00  2.570E-02 ( 9.213E-02 )  1.836E-02 ( 8.203E-02 )  1.306E-02 ( 7.079E-02 )
  2.512E+00  2.549E-02 ( 3.500E-02 )  1.828E-02 ( 3.079E-02 )  1.303E-02 ( 2.637E-02 )
  3.981E+00  2.498E-02 ( 1.180E-02 )  1.810E-02 ( 1.057E-02 )  1.297E-02 ( 9.231E-03 )
  6.310E+00  2.375E-02 ( 3.796E-03 )  1.764E-02 ( 3.492E-03 )  1.280E-02 ( 3.135E-03 )
  1.000E+01  2.092E-02 ( 1.208E-03 )  1.654E-02 ( 1.133E-03 )  1.239E-02 ( 1.044E-03 )
  1.585E+01  1.522E-02 ( 3.703E-04 )  1.408E-02 ( 3.657E-04 )  1.143E-02 ( 3.434E-04 )
  2.512E+01  6.861E-03 ( 1.198E-04 )  9.397E-03 ( 1.134E-04 )  9.318E-03 ( 1.081E-04 )
  3.981E+01  9.609E-04 ( 3.926E-05 )  3.413E-03 ( 3.692E-05 )  5.584E-03 ( 3.498E-05 )
  6.310E+01  2.362E-05 ( 1.295E-05 )  2.810E-04 ( 1.212E-05 )  1.548E-03 ( 1.142E-05 )
  1.000E+02  4.760E-06 ( 4.287E-06 )  5.527E-06 ( 3.997E-06 )  6.636E-05 ( 3.748E-06 )
  1.585E+02  1.477E-06 ( 1.421E-06 )  1.435E-06 ( 1.323E-06 )  1.501E-06 ( 1.236E-06 )
  2.512E+02  4.783E-07 ( 4.712E-07 )  4.521E-07 ( 4.387E-07 )  4.353E-07 ( 4.087E-07 )
  3.981E+02  1.569E-07 ( 1.560E-07 )  1.473E-07 ( 1.455E-07 )  1.387E-07 ( 1.355E-07 )
  6.310E+02  5.154E-08 ( 5.142E-08 )  4.846E-08 ( 4.823E-08 )  4.535E-08 ( 4.493E-08 )
  1.000E+03  1.688E-08 ( 1.686E-08 )  1.597E-08 ( 1.594E-08 )  1.496E-08 ( 1.491E-08 )
  1.585E+03  5.491E-09 ( 5.491E-09 )  5.249E-09 ( 5.245E-09 )  4.944E-09 ( 4.937E-09 )
  2.512E+03  1.774E-09 ( 1.774E-09 )  1.716E-09 ( 1.716E-09 )  1.630E-09 ( 1.629E-09 )
  3.981E+03  5.580E-10 ( 5.580E-10 )  5.571E-10 ( 5.571E-10 )  5.352E-10 ( 5.352E-10 )
  6.310E+03  1.770E-10 ( 1.770E-10 )  1.796E-10 ( 1.796E-10 )  1.747E-10 ( 1.747E-10 )
  1.000E+04                           5.626E-11 ( 5.626E-11 )  5.668E-11 ( 5.668E-11 )
  1.585E+04                           1.793E-11 ( 1.793E-11 )  1.793E-11 ( 1.793E-11 )
  2.512E+04                                                    5.742E-12 ( 5.742E-12 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            1.537E-02                1.088E-02                7.703E-03
width Stark         6.009E-01                4.901E-01                3.775E-01
width incl.Dop.     5.120E+01                7.250E+01                1.012E+02

  0.000E+00  9.279E-03 ( 5.992E-01 )  6.577E-03 ( 7.328E-01 )  4.659E-03 ( 9.156E-01 )
  1.585E-02  9.279E-03 ( 5.991E-01 )  6.577E-03 ( 7.326E-01 )  4.659E-03 ( 9.159E-01 )
  2.512E-02  9.279E-03 ( 5.989E-01 )  6.577E-03 ( 7.322E-01 )  4.659E-03 ( 9.132E-01 )
  3.981E-02  9.279E-03 ( 5.969E-01 )  6.577E-03 ( 7.281E-01 )  4.659E-03 ( 9.063E-01 )
  6.310E-02  9.279E-03 ( 5.931E-01 )  6.577E-03 ( 7.211E-01 )  4.659E-03 ( 8.911E-01 )
  1.000E-01  9.279E-03 ( 5.840E-01 )  6.577E-03 ( 7.035E-01 )  4.659E-03 ( 8.566E-01 )
  1.585E-01  9.278E-03 ( 5.624E-01 )  6.577E-03 ( 6.632E-01 )  4.659E-03 ( 7.796E-01 )
  2.512E-01  9.278E-03 ( 5.143E-01 )  6.577E-03 ( 5.790E-01 )  4.659E-03 ( 6.350E-01 )
  3.981E-01  9.278E-03 ( 4.208E-01 )  6.577E-03 ( 4.354E-01 )  4.659E-03 ( 4.290E-01 )
  6.310E-01  9.278E-03 ( 2.816E-01 )  6.576E-03 ( 2.608E-01 )  4.659E-03 ( 2.296E-01 )
  1.000E+00  9.276E-03 ( 1.442E-01 )  6.576E-03 ( 1.222E-01 )  4.659E-03 ( 1.002E-01 )
  1.585E+00  9.272E-03 ( 5.937E-02 )  6.574E-03 ( 4.859E-02 )  4.659E-03 ( 3.899E-02 )
  2.512E+00  9.263E-03 ( 2.203E-02 )  6.571E-03 ( 1.802E-02 )  4.657E-03 ( 1.448E-02 )
  3.981E+00  9.239E-03 ( 7.850E-03 )  6.563E-03 ( 6.516E-03 )  4.654E-03 ( 5.300E-03 )
  6.310E+00  9.179E-03 ( 2.735E-03 )  6.541E-03 ( 2.321E-03 )  4.647E-03 ( 1.921E-03 )
  1.000E+01  9.031E-03 ( 9.366E-04 )  6.488E-03 ( 8.146E-04 )  4.628E-03 ( 6.882E-04 )
  1.585E+01  8.670E-03 ( 3.157E-04 )  6.356E-03 ( 2.816E-04 )  4.580E-03 ( 2.405E-04 )
  2.512E+01  7.825E-03 ( 1.049E-04 )  6.037E-03 ( 9.444E-05 )  4.464E-03 ( 8.371E-05 )
  3.981E+01  6.048E-03 ( 3.342E-05 )  5.305E-03 ( 3.160E-05 )  4.183E-03 ( 2.870E-05 )
  6.310E+01  3.168E-03 ( 1.084E-05 )  3.833E-03 ( 1.044E-05 )  3.554E-03 ( 9.688E-06 )
  1.000E+02  6.264E-04 ( 3.540E-06 )  1.696E-03 ( 3.371E-06 )  2.360E-03 ( 3.228E-06 )
  1.585E+02  1.221E-05 ( 1.161E-06 )  2.195E-04 ( 1.100E-06 )  8.441E-04 ( 1.050E-06 )
