           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   5.549E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.737E-01                1.935E-01
width Stark         1.534E+00                1.557E+00                1.551E+00
width incl.Dop.     1.534E+00                1.557E+00                1.551E+00

  0.000E+00  2.535E-01 ( 2.535E-01 )  2.510E-01 ( 2.510E-01 )  2.530E-01 ( 2.530E-01 )
  6.310E-02  2.531E-01 ( 2.531E-01 )  2.506E-01 ( 2.506E-01 )  2.527E-01 ( 2.527E-01 )
  1.000E-01  2.525E-01 ( 2.525E-01 )  2.500E-01 ( 2.500E-01 )  2.521E-01 ( 2.521E-01 )
  1.585E-01  2.509E-01 ( 2.509E-01 )  2.485E-01 ( 2.485E-01 )  2.505E-01 ( 2.505E-01 )
  2.512E-01  2.471E-01 ( 2.471E-01 )  2.449E-01 ( 2.449E-01 )  2.468E-01 ( 2.468E-01 )
  3.981E-01  2.385E-01 ( 2.385E-01 )  2.366E-01 ( 2.366E-01 )  2.385E-01 ( 2.385E-01 )
  6.310E-01  2.196E-01 ( 2.196E-01 )  2.186E-01 ( 2.186E-01 )  2.205E-01 ( 2.205E-01 )
  1.000E+00  1.819E-01 ( 1.819E-01 )  1.822E-01 ( 1.822E-01 )  1.838E-01 ( 1.838E-01 )
  1.585E+00  1.215E-01 ( 1.215E-01 )  1.226E-01 ( 1.226E-01 )  1.230E-01 ( 1.230E-01 )
  2.512E+00  5.870E-02 ( 5.870E-02 )  5.911E-02 ( 5.911E-02 )  5.831E-02 ( 5.831E-02 )
  3.981E+00  2.114E-02 ( 2.114E-02 )  2.102E-02 ( 2.102E-02 )  2.038E-02 ( 2.038E-02 )
  6.310E+00  6.640E-03 ( 6.640E-03 )  6.555E-03 ( 6.555E-03 )  6.328E-03 ( 6.328E-03 )
  1.000E+01  2.033E-03 ( 2.033E-03 )  2.005E-03 ( 2.005E-03 )  1.945E-03 ( 1.945E-03 )
  1.585E+01  6.153E-04 ( 6.153E-04 )  6.122E-04 ( 6.122E-04 )  6.015E-04 ( 6.015E-04 )
  2.512E+01  1.815E-04 ( 1.815E-04 )  1.817E-04 ( 1.817E-04 )  1.874E-04 ( 1.874E-04 )
  3.981E+01  5.641E-05 ( 5.641E-05 )  5.644E-05 ( 5.644E-05 )  5.645E-05 ( 5.645E-05 )
  6.310E+01  1.780E-05 ( 1.780E-05 )  1.780E-05 ( 1.780E-05 )  1.781E-05 ( 1.781E-05 )
  1.000E+02  5.641E-06 ( 5.641E-06 )  5.642E-06 ( 5.642E-06 )  5.643E-06 ( 5.643E-06 )
  1.585E+02  1.796E-06 ( 1.796E-06 )  1.796E-06 ( 1.796E-06 )  1.796E-06 ( 1.796E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         1.526E+00                1.492E+00                1.451E+00
width incl.Dop.     1.540E+00                1.521E+00                1.508E+00

  0.000E+00  2.562E-01 ( 2.583E-01 )  2.610E-01 ( 2.657E-01 )  2.652E-01 ( 2.747E-01 )
  6.310E-02  2.558E-01 ( 2.580E-01 )  2.607E-01 ( 2.653E-01 )  2.648E-01 ( 2.743E-01 )
  1.000E-01  2.552E-01 ( 2.573E-01 )  2.601E-01 ( 2.645E-01 )  2.642E-01 ( 2.733E-01 )
  1.585E-01  2.538E-01 ( 2.555E-01 )  2.586E-01 ( 2.626E-01 )  2.628E-01 ( 2.712E-01 )
  2.512E-01  2.502E-01 ( 2.516E-01 )  2.551E-01 ( 2.583E-01 )  2.594E-01 ( 2.667E-01 )
  3.981E-01  2.419E-01 ( 2.429E-01 )  2.467E-01 ( 2.493E-01 )  2.511E-01 ( 2.573E-01 )
  6.310E-01  2.234E-01 ( 2.243E-01 )  2.278E-01 ( 2.296E-01 )  2.317E-01 ( 2.361E-01 )
  1.000E+00  1.858E-01 ( 1.859E-01 )  1.882E-01 ( 1.888E-01 )  1.909E-01 ( 1.919E-01 )
  1.585E+00  1.233E-01 ( 1.228E-01 )  1.234E-01 ( 1.223E-01 )  1.238E-01 ( 1.211E-01 )
  2.512E+00  5.744E-02 ( 5.696E-02 )  5.605E-02 ( 5.500E-02 )  5.480E-02 ( 5.259E-02 )
  3.981E+00  1.961E-02 ( 1.949E-02 )  1.865E-02 ( 1.842E-02 )  1.775E-02 ( 1.729E-02 )
  6.310E+00  6.024E-03 ( 6.009E-03 )  5.668E-03 ( 5.639E-03 )  5.324E-03 ( 5.267E-03 )
  1.000E+01  1.857E-03 ( 1.855E-03 )  1.751E-03 ( 1.747E-03 )  1.639E-03 ( 1.633E-03 )
  1.585E+01  5.814E-04 ( 5.812E-04 )  5.534E-04 ( 5.530E-04 )  5.214E-04 ( 5.207E-04 )
  2.512E+01  1.836E-04 ( 1.835E-04 )                          1.650E-04 ( 1.649E-04 )
  3.981E+01  5.742E-05 ( 5.742E-05 )                          5.390E-05 ( 5.388E-05 )
  6.310E+01  1.781E-05 ( 1.781E-05 )                          1.754E-05 ( 1.754E-05 )
  1.000E+02  5.643E-06 ( 5.643E-06 )                          5.676E-06 ( 5.676E-06 )
  1.585E+02  1.796E-06 ( 1.796E-06 )                          1.796E-06 ( 1.796E-06 )
  2.512E+02                                                    5.747E-07 ( 5.747E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.861E-02                3.441E-02                2.436E-02
width Stark         1.401E+00                1.342E+00                1.267E+00
width incl.Dop.     1.516E+00                1.564E+00                1.725E+00

  0.000E+00  2.665E-01 ( 2.857E-01 )  2.615E-01 ( 2.993E-01 )  2.457E-01 ( 3.172E-01 )
  6.310E-02  2.661E-01 ( 2.850E-01 )  2.612E-01 ( 2.985E-01 )  2.455E-01 ( 3.162E-01 )
  1.000E-01  2.656E-01 ( 2.840E-01 )  2.607E-01 ( 2.972E-01 )  2.451E-01 ( 3.147E-01 )
  1.585E-01  2.643E-01 ( 2.816E-01 )  2.595E-01 ( 2.946E-01 )  2.442E-01 ( 3.118E-01 )
  2.512E-01  2.610E-01 ( 2.769E-01 )  2.565E-01 ( 2.896E-01 )  2.418E-01 ( 3.063E-01 )
  3.981E-01  2.529E-01 ( 2.669E-01 )  2.491E-01 ( 2.787E-01 )  2.360E-01 ( 2.934E-01 )
  6.310E-01  2.338E-01 ( 2.435E-01 )  2.317E-01 ( 2.520E-01 )  2.221E-01 ( 2.621E-01 )
  1.000E+00  1.932E-01 ( 1.951E-01 )  1.940E-01 ( 1.980E-01 )  1.912E-01 ( 1.996E-01 )
  1.585E+00  1.252E-01 ( 1.189E-01 )  1.284E-01 ( 1.153E-01 )  1.337E-01 ( 1.097E-01 )
  2.512E+00  5.437E-02 ( 4.980E-02 )  5.595E-02 ( 4.663E-02 )  6.175E-02 ( 4.304E-02 )
  3.981E+00  1.705E-02 ( 1.616E-02 )  1.684E-02 ( 1.508E-02 )  1.772E-02 ( 1.400E-02 )
  6.310E+00  5.026E-03 ( 4.919E-03 )  4.813E-03 ( 4.609E-03 )  4.727E-03 ( 4.321E-03 )
  1.000E+01  1.538E-03 ( 1.525E-03 )  1.390E-03 ( 1.365E-03 )  1.332E-03 ( 1.283E-03 )
  1.585E+01  4.876E-04 ( 4.861E-04 )  4.423E-04 ( 4.398E-04 )  4.158E-04 ( 4.110E-04 )
  2.512E+01  1.548E-04 ( 1.546E-04 )  1.445E-04 ( 1.441E-04 )  1.349E-04 ( 1.342E-04 )
  3.981E+01  5.093E-05 ( 5.091E-05 )  4.763E-05 ( 4.759E-05 )  4.438E-05 ( 4.430E-05 )
  6.310E+01  1.674E-05 ( 1.674E-05 )  1.575E-05 ( 1.575E-05 )  1.470E-05 ( 1.469E-05 )
  1.000E+02  5.485E-06 ( 5.485E-06 )  5.208E-06 ( 5.207E-06 )  4.882E-06 ( 4.881E-06 )
  1.585E+02  1.789E-06 ( 1.789E-06 )  1.718E-06 ( 1.718E-06 )  1.624E-06 ( 1.623E-06 )
  2.512E+02  5.817E-07 ( 5.817E-07 )  5.656E-07 ( 5.656E-07 )  5.394E-07 ( 5.394E-07 )
  3.981E+02  1.852E-07 ( 1.852E-07 )  1.859E-07 ( 1.859E-07 )  1.793E-07 ( 1.793E-07 )
  6.310E+02  6.024E-08 ( 6.024E-08 )  6.024E-08 ( 6.024E-08 )  5.971E-08 ( 5.971E-08 )
  1.000E+03                                                    2.002E-08 ( 2.002E-08 )
  1.585E+03                                                    6.676E-09 ( 6.676E-09 )
  2.512E+03                                                    2.294E-09 ( 2.294E-09 )

T(K)                1.259E+06
RO/Debye            1.725E-02
width Stark         1.166E+00
width incl.Dop.     2.004E+00

  0.000E+00  2.175E-01 ( 3.422E-01 )
  6.310E-02  2.173E-01 ( 3.409E-01 )
  1.000E-01  2.171E-01 ( 3.391E-01 )
  1.585E-01  2.165E-01 ( 3.357E-01 )
  2.512E-01  2.149E-01 ( 3.290E-01 )
  3.981E-01  2.111E-01 ( 3.126E-01 )
  6.310E-01  2.019E-01 ( 2.737E-01 )
  1.000E+00  1.808E-01 ( 1.986E-01 )
  1.585E+00  1.379E-01 ( 1.019E-01 )
  2.512E+00  7.345E-02 ( 3.895E-02 )
  3.981E+00  2.160E-02 ( 1.286E-02 )
  6.310E+00  4.914E-03 ( 4.043E-03 )
  1.000E+01  1.354E-03 ( 1.265E-03 )
  1.585E+01  3.972E-04 ( 3.862E-04 )
  2.512E+01  1.266E-04 ( 1.255E-04 )
  3.981E+01  4.143E-05 ( 4.128E-05 )
  6.310E+01  1.370E-05 ( 1.368E-05 )
  1.000E+02  4.552E-06 ( 4.549E-06 )
  1.585E+02  1.518E-06 ( 1.517E-06 )
  2.512E+02  5.072E-07 ( 5.072E-07 )
  3.981E+02  1.699E-07 ( 1.699E-07 )
  6.310E+02  5.715E-08 ( 5.715E-08 )
  1.000E+03  1.935E-08 ( 1.935E-08 )
  1.585E+03  6.626E-09 ( 6.626E-09 )
  2.512E+03  2.306E-09 ( 2.306E-09 )
  3.981E+03  8.087E-10 ( 8.087E-10 )
  6.310E+03  2.926E-10 ( 2.926E-10 )
