           N LOWER =  3  N UPPER= 16  WAVELENGTH (angstroms)=  8504.87
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   3.971E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         7.254E+00                7.447E+00                7.473E+00
width incl.Dop.     7.254E+00                7.447E+00                7.473E+00

  0.000E+00  5.598E-02 ( 5.598E-02 )  5.473E-02 ( 5.473E-02 )  5.448E-02 ( 5.448E-02 )
  1.585E-02  5.598E-02 ( 5.598E-02 )  5.473E-02 ( 5.473E-02 )  5.447E-02 ( 5.447E-02 )
  2.512E-02  5.597E-02 ( 5.597E-02 )  5.472E-02 ( 5.472E-02 )  5.447E-02 ( 5.447E-02 )
  3.981E-02  5.597E-02 ( 5.597E-02 )  5.472E-02 ( 5.472E-02 )  5.447E-02 ( 5.447E-02 )
  6.310E-02  5.596E-02 ( 5.596E-02 )  5.471E-02 ( 5.471E-02 )  5.446E-02 ( 5.446E-02 )
  1.000E-01  5.594E-02 ( 5.594E-02 )  5.470E-02 ( 5.470E-02 )  5.445E-02 ( 5.445E-02 )
  1.585E-01  5.592E-02 ( 5.592E-02 )  5.469E-02 ( 5.469E-02 )  5.444E-02 ( 5.444E-02 )
  2.512E-01  5.588E-02 ( 5.588E-02 )  5.466E-02 ( 5.466E-02 )  5.442E-02 ( 5.442E-02 )
  3.981E-01  5.579E-02 ( 5.579E-02 )  5.460E-02 ( 5.460E-02 )  5.435E-02 ( 5.435E-02 )
  6.310E-01  5.558E-02 ( 5.558E-02 )  5.440E-02 ( 5.440E-02 )  5.417E-02 ( 5.417E-02 )
  1.000E+00  5.511E-02 ( 5.511E-02 )  5.396E-02 ( 5.396E-02 )  5.376E-02 ( 5.376E-02 )
  1.585E+00  5.401E-02 ( 5.401E-02 )  5.297E-02 ( 5.297E-02 )  5.281E-02 ( 5.281E-02 )
  2.512E+00  5.135E-02 ( 5.135E-02 )  5.055E-02 ( 5.055E-02 )  5.044E-02 ( 5.044E-02 )
  3.981E+00  4.496E-02 ( 4.496E-02 )  4.462E-02 ( 4.462E-02 )  4.455E-02 ( 4.455E-02 )
  6.310E+00  3.212E-02 ( 3.212E-02 )  3.231E-02 ( 3.231E-02 )  3.227E-02 ( 3.227E-02 )
  1.000E+01  1.598E-02 ( 1.598E-02 )  1.628E-02 ( 1.628E-02 )  1.630E-02 ( 1.630E-02 )
  1.585E+01  5.498E-03 ( 5.498E-03 )  5.613E-03 ( 5.613E-03 )  5.628E-03 ( 5.628E-03 )
  2.512E+01  1.608E-03 ( 1.608E-03 )  1.629E-03 ( 1.629E-03 )  1.633E-03 ( 1.633E-03 )
  3.981E+01  4.634E-04 ( 4.634E-04 )  4.656E-04 ( 4.656E-04 )  4.665E-04 ( 4.665E-04 )
  6.309E+01  1.358E-04 ( 1.358E-04 )  1.359E-04 ( 1.359E-04 )  1.361E-04 ( 1.361E-04 )
  1.000E+02  4.224E-05 ( 4.224E-05 )  4.227E-05 ( 4.227E-05 )  4.229E-05 ( 4.229E-05 )
  1.585E+02  1.340E-05 ( 1.340E-05 )  1.340E-05 ( 1.340E-05 )  1.340E-05 ( 1.340E-05 )
  2.512E+02  4.346E-06 ( 4.346E-06 )  4.346E-06 ( 4.346E-06 )  4.347E-06 ( 4.347E-06 )
  3.981E+02  1.438E-06 ( 1.438E-06 )  1.439E-06 ( 1.439E-06 )  1.439E-06 ( 1.439E-06 )
  6.309E+02  1.648E-06 ( 1.648E-06 )  1.648E-06 ( 1.648E-06 )  1.648E-06 ( 1.648E-06 )
  1.000E+03  5.340E-07 ( 5.340E-07 )  5.340E-07 ( 5.340E-07 )  5.340E-07 ( 5.340E-07 )
  1.585E+03  1.751E-07 ( 1.751E-07 )  1.751E-07 ( 1.751E-07 )  1.751E-07 ( 1.751E-07 )
  2.512E+03  5.835E-08 ( 5.835E-08 )  5.835E-08 ( 5.835E-08 )  5.835E-08 ( 5.835E-08 )
  3.981E+03  1.985E-08 ( 1.985E-08 )  1.985E-08 ( 1.985E-08 )  1.985E-08 ( 1.985E-08 )
  6.309E+03  6.923E-09 ( 6.923E-09 )  6.923E-09 ( 6.923E-09 )  6.923E-09 ( 6.923E-09 )
  1.000E+04  2.478E-09 ( 2.478E-09 )  2.478E-09 ( 2.478E-09 )  2.478E-09 ( 2.478E-09 )
  1.585E+04  9.100E-10 ( 9.100E-10 )  9.100E-10 ( 9.100E-10 )  9.100E-10 ( 9.100E-10 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         7.348E+00                7.091E+00                6.733E+00
width incl.Dop.     7.348E+00                7.091E+00                6.733E+00

  0.000E+00  5.515E-02 ( 5.515E-02 )  5.668E-02 ( 5.668E-02 )  5.892E-02 ( 5.892E-02 )
  3.981E-02  5.513E-02 ( 5.513E-02 )  5.665E-02 ( 5.665E-02 )  5.890E-02 ( 5.890E-02 )
  6.310E-02  5.511E-02 ( 5.511E-02 )  5.664E-02 ( 5.664E-02 )  5.888E-02 ( 5.888E-02 )
  1.000E-01  5.509E-02 ( 5.509E-02 )  5.662E-02 ( 5.662E-02 )  5.886E-02 ( 5.886E-02 )
