           N LOWER =  3  N UPPER= 29  WAVELENGTH (angstroms)=  8294.64
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   2.207E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         2.261E+01                2.189E+01                2.097E+01
width incl.Dop.     2.632E+01                2.929E+01                3.399E+01

  0.000E+00  1.561E-02 ( 1.760E-02 )  1.440E-02 ( 1.814E-02 )  1.260E-02 ( 1.892E-02 )
  6.310E-02  1.561E-02 ( 1.760E-02 )  1.440E-02 ( 1.814E-02 )  1.260E-02 ( 1.892E-02 )
  1.000E-01  1.561E-02 ( 1.760E-02 )  1.440E-02 ( 1.814E-02 )  1.260E-02 ( 1.892E-02 )
  1.585E-01  1.561E-02 ( 1.759E-02 )  1.440E-02 ( 1.814E-02 )  1.260E-02 ( 1.891E-02 )
  2.512E-01  1.561E-02 ( 1.759E-02 )  1.440E-02 ( 1.814E-02 )  1.259E-02 ( 1.891E-02 )
  3.981E-01  1.561E-02 ( 1.759E-02 )  1.440E-02 ( 1.813E-02 )  1.259E-02 ( 1.891E-02 )
  6.310E-01  1.561E-02 ( 1.758E-02 )  1.440E-02 ( 1.813E-02 )  1.259E-02 ( 1.890E-02 )
  1.000E+00  1.560E-02 ( 1.757E-02 )  1.439E-02 ( 1.812E-02 )  1.259E-02 ( 1.889E-02 )
  1.585E+00  1.557E-02 ( 1.754E-02 )  1.437E-02 ( 1.808E-02 )  1.258E-02 ( 1.885E-02 )
  2.512E+00  1.551E-02 ( 1.745E-02 )  1.432E-02 ( 1.799E-02 )  1.254E-02 ( 1.874E-02 )
  3.981E+00  1.535E-02 ( 1.725E-02 )  1.420E-02 ( 1.777E-02 )  1.247E-02 ( 1.848E-02 )
  6.310E+00  1.496E-02 ( 1.675E-02 )  1.390E-02 ( 1.719E-02 )  1.228E-02 ( 1.779E-02 )
  1.000E+01  1.403E-02 ( 1.544E-02 )  1.318E-02 ( 1.572E-02 )  1.182E-02 ( 1.608E-02 )
  1.585E+01  1.196E-02 ( 1.242E-02 )  1.156E-02 ( 1.242E-02 )  1.074E-02 ( 1.242E-02 )
  2.512E+01  8.175E-03 ( 7.456E-03 )  8.413E-03 ( 7.282E-03 )  8.484E-03 ( 7.061E-03 )
  3.981E+01  3.669E-03 ( 3.022E-03 )  4.141E-03 ( 2.909E-03 )  4.865E-03 ( 2.762E-03 )
  6.310E+01  1.063E-03 ( 9.295E-04 )  1.191E-03 ( 8.986E-04 )  1.543E-03 ( 8.553E-04 )
  1.000E+02  2.825E-04 ( 2.680E-04 )  2.930E-04 ( 2.627E-04 )  3.234E-04 ( 2.535E-04 )
  1.585E+02  7.929E-05 ( 7.771E-05 )  8.145E-05 ( 7.833E-05 )  8.311E-05 ( 7.670E-05 )
  2.512E+02  2.321E-05 ( 2.304E-05 )  2.389E-05 ( 2.353E-05 )  2.407E-05 ( 2.335E-05 )
  3.981E+02  7.147E-06 ( 7.128E-06 )  7.171E-06 ( 7.129E-06 )  7.215E-06 ( 7.130E-06 )
  6.310E+02  2.231E-06 ( 2.229E-06 )  2.234E-06 ( 2.229E-06 )  2.239E-06 ( 2.229E-06 )
  1.000E+03  7.033E-07 ( 7.030E-07 )  7.036E-07 ( 7.030E-07 )  7.042E-07 ( 7.030E-07 )
  1.585E+03  2.224E-07 ( 2.223E-07 )  2.224E-07 ( 2.223E-07 )  2.225E-07 ( 2.223E-07 )
  2.512E+03  7.047E-08 ( 7.046E-08 )  7.047E-08 ( 7.046E-08 )  7.048E-08 ( 7.046E-08 )
  3.981E+03  2.239E-08 ( 2.239E-08 )  2.239E-08 ( 2.239E-08 )  2.239E-08 ( 2.239E-08 )
  6.310E+03  1.548E-07 ( 1.548E-07 )  7.136E-09 ( 7.136E-09 )  7.136E-09 ( 7.136E-09 )
  1.000E+04  4.908E-08 ( 4.907E-08 )  4.907E-08 ( 4.907E-08 )  2.286E-09 ( 2.285E-09 )
  1.585E+04  1.559E-08 ( 1.559E-08 )  1.559E-08 ( 1.559E-08 )  1.559E-08 ( 1.559E-08 )
  2.512E+04  4.962E-09 ( 4.962E-09 )  4.962E-09 ( 4.962E-09 )  4.962E-09 ( 4.962E-09 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            3.576E-02                2.531E-02                1.792E-02
width Stark         1.996E+01                1.893E+01                1.785E+01
width incl.Dop.     4.207E+01                5.448E+01                7.351E+01

  0.000E+00  1.042E-02 ( 1.985E-02 )  8.194E-03 ( 2.089E-02 )  6.205E-03 ( 2.203E-02 )
  1.000E-01  1.042E-02 ( 1.985E-02 )  8.193E-03 ( 2.089E-02 )  6.205E-03 ( 2.202E-02 )
  1.585E-01  1.042E-02 ( 1.984E-02 )  8.193E-03 ( 2.088E-02 )  6.205E-03 ( 2.202E-02 )
  2.512E-01  1.042E-02 ( 1.984E-02 )  8.193E-03 ( 2.087E-02 )  6.205E-03 ( 2.201E-02 )
  3.981E-01  1.041E-02 ( 1.983E-02 )  8.193E-03 ( 2.086E-02 )  6.205E-03 ( 2.200E-02 )
  6.310E-01  1.041E-02 ( 1.981E-02 )  8.193E-03 ( 2.085E-02 )  6.205E-03 ( 2.198E-02 )
  1.000E+00  1.041E-02 ( 1.979E-02 )  8.192E-03 ( 2.082E-02 )  6.204E-03 ( 2.194E-02 )
  1.585E+00  1.040E-02 ( 1.976E-02 )  8.189E-03 ( 2.078E-02 )  6.203E-03 ( 2.189E-02 )
  2.512E+00  1.039E-02 ( 1.965E-02 )  8.181E-03 ( 2.065E-02 )  6.200E-03 ( 2.172E-02 )
