           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       1.000E+18
                conversion factor for wlengths=f0 1.251E+03
                wings factor                  =   1.018E-01

T(K)                                                                  1.000E+04
RO/Debye                                                              8.982E-01
width Stark                                                           2.418E-01
width incl.Dop.                                                       2.418E-01

  0.000E+00                                                    1.317E+00 ( 1.317E+00 )
  1.000E-02                                                    1.312E+00 ( 1.312E+00 )
  1.585E-02                                                    1.308E+00 ( 1.308E+00 )
  2.512E-02                                                    1.295E+00 ( 1.295E+00 )
  3.981E-02                                                    1.269E+00 ( 1.269E+00 )
  6.310E-02                                                    1.209E+00 ( 1.209E+00 )
  1.000E-01                                                    1.089E+00 ( 1.089E+00 )
  1.585E-01                                                    8.893E-01 ( 8.893E-01 )
  2.512E-01                                                    6.325E-01 ( 6.325E-01 )
  3.981E-01                                                    3.829E-01 ( 3.829E-01 )
  6.310E-01                                                    1.944E-01 ( 1.944E-01 )
  1.000E+00                                                    8.348E-02 ( 8.348E-02 )
  1.585E+00                                                    3.157E-02 ( 3.157E-02 )
  2.512E+00                                                    1.115E-02 ( 1.115E-02 )
  3.981E+00                                                    3.848E-03 ( 3.848E-03 )
  6.310E+00                                                    1.331E-03 ( 1.331E-03 )
  1.000E+01                                                    4.354E-04 ( 4.354E-04 )
  1.585E+01                                                    1.503E-04 ( 1.503E-04 )
  2.512E+01                                                    5.376E-05 ( 5.376E-05 )
  3.981E+01                                                    1.978E-05 ( 1.978E-05 )
  6.310E+01                                                    7.445E-06 ( 7.445E-06 )
  1.000E+02                                                    2.853E-06 ( 2.853E-06 )
  1.585E+02                                                    1.107E-06 ( 1.107E-06 )
  2.512E+02                                                    4.333E-07 ( 4.333E-07 )
  3.981E+02                                                    1.706E-07 ( 1.706E-07 )
  6.310E+02                                                    6.746E-08 ( 6.746E-08 )
  1.000E+03                                                    2.674E-08 ( 2.674E-08 )
  1.585E+03                                                    1.061E-08 ( 1.061E-08 )
  2.512E+03                                                    4.218E-09 ( 4.218E-09 )
  3.981E+03                                                    1.677E-09 ( 1.677E-09 )
  6.310E+03                                                    6.673E-10 ( 6.673E-10 )
  1.000E+04                                                    2.655E-10 ( 2.655E-10 )
  1.585E+04                                                    1.057E-10 ( 1.057E-10 )
  2.512E+04                                                    4.206E-11 ( 4.206E-11 )
  3.981E+04                                                    1.674E-11 ( 1.674E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            6.358E-01                4.501E-01                3.187E-01
width Stark         2.496E-01                2.513E-01                2.484E-01
width incl.Dop.     2.496E-01                2.513E-01                2.484E-01

  0.000E+00  1.257E+00 ( 1.257E+00 )  1.235E+00 ( 1.235E+00 )  1.240E+00 ( 1.240E+00 )
  1.000E-02  1.254E+00 ( 1.254E+00 )  1.233E+00 ( 1.233E+00 )  1.238E+00 ( 1.238E+00 )
  1.585E-02  1.249E+00 ( 1.249E+00 )  1.229E+00 ( 1.229E+00 )  1.233E+00 ( 1.233E+00 )
  2.512E-02  1.238E+00 ( 1.238E+00 )  1.217E+00 ( 1.217E+00 )  1.222E+00 ( 1.222E+00 )
  3.981E-02  1.213E+00 ( 1.213E+00 )  1.192E+00 ( 1.192E+00 )  1.195E+00 ( 1.195E+00 )
  6.310E-02  1.158E+00 ( 1.158E+00 )  1.138E+00 ( 1.138E+00 )  1.139E+00 ( 1.139E+00 )
  1.000E-01  1.048E+00 ( 1.048E+00 )  1.030E+00 ( 1.030E+00 )  1.027E+00 ( 1.027E+00 )
  1.585E-01  8.634E-01 ( 8.634E-01 )  8.493E-01 ( 8.493E-01 )  8.440E-01 ( 8.440E-01 )
  2.512E-01  6.245E-01 ( 6.245E-01 )  6.177E-01 ( 6.177E-01 )  6.130E-01 ( 6.130E-01 )
  3.981E-01  3.885E-01 ( 3.885E-01 )  3.897E-01 ( 3.897E-01 )  3.887E-01 ( 3.887E-01 )
  6.310E-01  2.036E-01 ( 2.036E-01 )  2.082E-01 ( 2.082E-01 )  2.099E-01 ( 2.099E-01 )
  1.000E+00  8.860E-02 ( 8.860E-02 )  9.133E-02 ( 9.133E-02 )  9.233E-02 ( 9.233E-02 )
  1.585E+00  3.318E-02 ( 3.318E-02 )  3.383E-02 ( 3.383E-02 )  3.373E-02 ( 3.373E-02 )
  2.512E+00  1.151E-02 ( 1.151E-02 )  1.155E-02 ( 1.155E-02 )  1.133E-02 ( 1.133E-02 )
  3.981E+00  3.912E-03 ( 3.912E-03 )  3.881E-03 ( 3.881E-03 )  3.771E-03 ( 3.771E-03 )
  6.310E+00  1.284E-03 ( 1.284E-03 )  1.268E-03 ( 1.268E-03 )  1.231E-03 ( 1.231E-03 )
  1.000E+01  4.374E-04 ( 4.374E-04 )  4.339E-04 ( 4.339E-04 )  4.238E-04 ( 4.238E-04 )
