           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       1.000E+11
                conversion factor for wlengths=f0 2.696E-02
                wings factor                  =   1.998E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.224E-01                8.654E-02                6.119E-02
width Stark         3.716E-01                3.233E-01                2.654E-01
width incl.Dop.     8.677E+00                1.230E+01                1.732E+01

  0.000E+00  5.442E-02 ( 9.654E-01 )  3.871E-02 ( 1.106E+00 )  2.747E-02 ( 1.306E+00 )
  1.585E-02  5.442E-02 ( 9.638E-01 )  3.871E-02 ( 1.103E+00 )  2.747E-02 ( 1.301E+00 )
  2.512E-02  5.442E-02 ( 9.606E-01 )  3.871E-02 ( 1.099E+00 )  2.747E-02 ( 1.293E+00 )
  3.981E-02  5.442E-02 ( 9.545E-01 )  3.871E-02 ( 1.088E+00 )  2.747E-02 ( 1.274E+00 )
  6.310E-02  5.442E-02 ( 9.387E-01 )  3.871E-02 ( 1.063E+00 )  2.747E-02 ( 1.234E+00 )
  1.000E-01  5.441E-02 ( 9.020E-01 )  3.871E-02 ( 1.007E+00 )  2.747E-02 ( 1.141E+00 )
  1.585E-01  5.441E-02 ( 8.205E-01 )  3.871E-02 ( 8.878E-01 )  2.747E-02 ( 9.599E-01 )
  2.512E-01  5.439E-02 ( 6.651E-01 )  3.870E-02 ( 6.803E-01 )  2.747E-02 ( 6.815E-01 )
  3.981E-01  5.434E-02 ( 4.426E-01 )  3.868E-02 ( 4.208E-01 )  2.746E-02 ( 3.871E-01 )
  6.310E-01  5.422E-02 ( 2.302E-01 )  3.864E-02 ( 2.062E-01 )  2.745E-02 ( 1.788E-01 )
  1.000E+00  5.391E-02 ( 9.671E-02 )  3.853E-02 ( 8.454E-02 )  2.741E-02 ( 7.172E-02 )
  1.585E+00  5.316E-02 ( 3.543E-02 )  3.826E-02 ( 3.115E-02 )  2.731E-02 ( 2.658E-02 )
  2.512E+00  5.131E-02 ( 1.210E-02 )  3.758E-02 ( 1.086E-02 )  2.706E-02 ( 9.454E-03 )
  3.981E+00  4.693E-02 ( 3.994E-03 )  3.593E-02 ( 3.670E-03 )  2.646E-02 ( 3.275E-03 )
  6.310E+00  3.753E-02 ( 1.298E-03 )  3.210E-02 ( 1.217E-03 )  2.500E-02 ( 1.113E-03 )
  1.000E+01  2.144E-02 ( 4.020E-04 )  2.418E-02 ( 3.990E-04 )  2.168E-02 ( 3.724E-04 )
  1.585E+01  5.317E-03 ( 1.309E-04 )  1.189E-02 ( 1.245E-04 )  1.516E-02 ( 1.231E-04 )
  2.512E+01  2.147E-04 ( 4.300E-05 )  2.027E-03 ( 4.063E-05 )  6.183E-03 ( 3.868E-05 )
  3.981E+01  1.666E-05 ( 1.420E-05 )  4.138E-05 ( 1.334E-05 )  6.622E-04 ( 1.262E-05 )
  6.310E+01  4.976E-06 ( 4.703E-06 )  4.963E-06 ( 4.397E-06 )  7.746E-06 ( 4.138E-06 )
  1.000E+02  1.593E-06 ( 1.560E-06 )  1.520E-06 ( 1.454E-06 )  1.495E-06 ( 1.362E-06 )
  1.585E+02  5.218E-07 ( 5.174E-07 )  4.898E-07 ( 4.816E-07 )  4.656E-07 ( 4.495E-07 )
  2.512E+02  1.721E-07 ( 1.715E-07 )  1.608E-07 ( 1.597E-07 )  1.508E-07 ( 1.488E-07 )
  3.981E+02  5.680E-08 ( 5.673E-08 )  5.313E-08 ( 5.299E-08 )  4.959E-08 ( 4.933E-08 )
  6.310E+02  1.869E-08 ( 1.868E-08 )  1.757E-08 ( 1.755E-08 )  1.640E-08 ( 1.636E-08 )
  1.000E+03  6.114E-09 ( 6.114E-09 )  5.797E-09 ( 5.794E-09 )  5.431E-09 ( 5.426E-09 )
  1.585E+03  1.986E-09 ( 1.986E-09 )  1.903E-09 ( 1.903E-09 )  1.795E-09 ( 1.795E-09 )
  2.512E+03  6.402E-10 ( 6.402E-10 )  6.210E-10 ( 6.210E-10 )  5.916E-10 ( 5.916E-10 )
  3.981E+03  2.007E-10 ( 2.007E-10 )  2.012E-10 ( 2.012E-10 )  1.939E-10 ( 1.939E-10 )
  6.310E+03  6.358E-11 ( 6.358E-11 )  6.358E-11 ( 6.358E-11 )  6.312E-11 ( 6.312E-11 )
  1.000E+04                                                    2.041E-11 ( 2.041E-11 )
  1.585E+04                                                    6.421E-12 ( 6.421E-12 )
  2.512E+04                                                    2.050E-12 ( 2.050E-12 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-02                3.067E-02                2.171E-02
width Stark         2.175E-01                1.731E-01                1.365E-01
width incl.Dop.     2.416E+01                3.429E+01                4.872E+01

  0.000E+00  1.949E-02 ( 1.581E+00 )  1.381E-02 ( 1.955E+00 )  9.785E-03 ( 2.459E+00 )
  1.585E-02  1.949E-02 ( 1.571E+00 )  1.381E-02 ( 1.937E+00 )  9.785E-03 ( 2.421E+00 )
  2.512E-02  1.949E-02 ( 1.556E+00 )  1.381E-02 ( 1.909E+00 )  9.785E-03 ( 2.371E+00 )
  3.981E-02  1.949E-02 ( 1.524E+00 )  1.381E-02 ( 1.850E+00 )  9.785E-03 ( 2.255E+00 )
  6.310E-02  1.949E-02 ( 1.452E+00 )  1.381E-02 ( 1.716E+00 )  9.785E-03 ( 2.008E+00 )
