           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       1.000E+18
                conversion factor for wlengths=f0 1.251E+03
                wings factor                  =   2.785E-01

T(K)                                                                  1.000E+04
RO/Debye                                                              8.982E-01
width Stark                                                           8.669E-01
width incl.Dop.                                                       8.669E-01

  0.000E+00                                                    4.186E-01 ( 4.186E-01 )
  1.000E-01                                                    4.034E-01 ( 4.034E-01 )
  1.585E-01                                                    3.915E-01 ( 3.915E-01 )
  2.512E-01                                                    3.699E-01 ( 3.699E-01 )
  3.981E-01                                                    3.315E-01 ( 3.315E-01 )
  6.310E-01                                                    2.671E-01 ( 2.671E-01 )
  1.000E+00                                                    1.767E-01 ( 1.767E-01 )
  1.585E+00                                                    8.852E-02 ( 8.852E-02 )
  2.512E+00                                                    3.480E-02 ( 3.480E-02 )
  3.981E+00                                                    1.217E-02 ( 1.217E-02 )
  6.310E+00                                                    4.195E-03 ( 4.195E-03 )
  1.000E+01                                                    1.393E-03 ( 1.393E-03 )
  1.585E+01                                                    5.073E-04 ( 5.073E-04 )
  2.512E+01                                                    1.852E-04 ( 1.852E-04 )
  3.981E+01                                                    6.943E-05 ( 6.943E-05 )
  6.310E+01                                                    2.655E-05 ( 2.655E-05 )
  1.000E+02                                                    1.029E-05 ( 1.029E-05 )
  1.585E+02                                                    4.028E-06 ( 4.028E-06 )
  2.512E+02                                                    1.586E-06 ( 1.586E-06 )
  3.981E+02                                                    6.267E-07 ( 6.267E-07 )
  6.310E+02                                                    2.484E-07 ( 2.484E-07 )
  1.000E+03                                                    9.859E-08 ( 9.859E-08 )
  1.585E+03                                                    3.918E-08 ( 3.918E-08 )
  2.512E+03                                                    1.558E-08 ( 1.558E-08 )
  3.981E+03                                                    6.198E-09 ( 6.198E-09 )
  6.310E+03                                                    2.467E-09 ( 2.467E-09 )
  1.000E+04                                                    9.816E-10 ( 9.816E-10 )
  1.585E+04                                                    3.907E-10 ( 3.907E-10 )
  2.512E+04                                                    1.555E-10 ( 1.555E-10 )
  3.981E+04                                                    6.192E-11 ( 6.192E-11 )
  6.310E+04                                                    2.464E-11 ( 2.464E-11 )
  1.000E+05                                                    9.811E-12 ( 9.811E-12 )
  1.585E+05                                                    3.906E-12 ( 3.906E-12 )
  2.512E+05                                                    1.555E-12 ( 1.555E-12 )
  3.981E+05                                                    6.190E-13 ( 6.190E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            6.358E-01                4.501E-01                3.187E-01
width Stark         9.483E-01                1.010E+00                1.055E+00
width incl.Dop.     9.483E-01                1.010E+00                1.055E+00

  0.000E+00  3.838E-01 ( 3.838E-01 )  3.624E-01 ( 3.624E-01 )  3.509E-01 ( 3.509E-01 )
  1.000E-01  3.709E-01 ( 3.709E-01 )  3.544E-01 ( 3.544E-01 )  3.434E-01 ( 3.434E-01 )
  1.585E-01  3.612E-01 ( 3.612E-01 )  3.423E-01 ( 3.423E-01 )  3.320E-01 ( 3.320E-01 )
  2.512E-01  3.436E-01 ( 3.436E-01 )  3.269E-01 ( 3.269E-01 )  3.175E-01 ( 3.175E-01 )
  3.981E-01  3.124E-01 ( 3.124E-01 )  2.995E-01 ( 2.995E-01 )  2.919E-01 ( 2.919E-01 )
  6.310E-01  2.594E-01 ( 2.594E-01 )  2.532E-01 ( 2.532E-01 )  2.490E-01 ( 2.490E-01 )
  1.000E+00  1.809E-01 ( 1.809E-01 )  1.826E-01 ( 1.826E-01 )  1.830E-01 ( 1.830E-01 )
  1.585E+00  9.551E-02 ( 9.551E-02 )  1.000E-01 ( 1.000E-01 )  1.026E-01 ( 1.026E-01 )
  2.512E+00  3.808E-02 ( 3.808E-02 )  4.047E-02 ( 4.047E-02 )  4.192E-02 ( 4.192E-02 )
  3.981E+00  1.315E-02 ( 1.315E-02 )  1.386E-02 ( 1.386E-02 )  1.428E-02 ( 1.428E-02 )
  6.310E+00  4.433E-03 ( 4.433E-03 )  4.602E-03 ( 4.602E-03 )  4.703E-03 ( 4.703E-03 )
  1.000E+01  1.531E-03 ( 1.531E-03 )  1.568E-03 ( 1.568E-03 )  1.590E-03 ( 1.590E-03 )
  1.585E+01  5.192E-04 ( 5.192E-04 )  5.250E-04 ( 5.250E-04 )  5.289E-04 ( 5.289E-04 )
  2.512E+01  1.901E-04 ( 1.901E-04 )  1.916E-04 ( 1.916E-04 )  1.925E-04 ( 1.925E-04 )
  3.981E+01  7.000E-05 ( 7.000E-05 )  7.029E-05 ( 7.029E-05 )  7.043E-05 ( 7.043E-05 )
  6.310E+01  2.676E-05 ( 2.676E-05 )  2.686E-05 ( 2.686E-05 )  2.691E-05 ( 2.691E-05 )
  1.000E+02  1.037E-05 ( 1.037E-05 )  1.041E-05 ( 1.041E-05 )  1.043E-05 ( 1.043E-05 )
  1.585E+02  4.056E-06 ( 4.056E-06 )  4.071E-06 ( 4.071E-06 )  4.078E-06 ( 4.078E-06 )
  2.512E+02  1.597E-06 ( 1.597E-06 )  1.602E-06 ( 1.602E-06 )  1.605E-06 ( 1.605E-06 )
  3.981E+02  6.311E-07 ( 6.311E-07 )  6.333E-07 ( 6.333E-07 )  6.344E-07 ( 6.344E-07 )
  6.310E+02  2.501E-07 ( 2.501E-07 )  2.510E-07 ( 2.510E-07 )  2.514E-07 ( 2.514E-07 )
  1.000E+03  9.927E-08 ( 9.927E-08 )  9.962E-08 ( 9.962E-08 )  9.979E-08 ( 9.979E-08 )
  1.585E+03  3.945E-08 ( 3.945E-08 )  3.959E-08 ( 3.959E-08 )  3.965E-08 ( 3.965E-08 )
  2.512E+03  1.569E-08 ( 1.569E-08 )  1.574E-08 ( 1.574E-08 )  1.577E-08 ( 1.577E-08 )
  3.981E+03  6.241E-09 ( 6.241E-09 )  6.262E-09 ( 6.262E-09 )  6.273E-09 ( 6.273E-09 )
  6.310E+03  2.483E-09 ( 2.483E-09 )  2.492E-09 ( 2.492E-09 )  2.496E-09 ( 2.496E-09 )
  1.000E+04  9.884E-10 ( 9.884E-10 )  9.917E-10 ( 9.917E-10 )  9.933E-10 ( 9.933E-10 )
  1.585E+04  3.934E-10 ( 3.934E-10 )  3.947E-10 ( 3.947E-10 )  3.954E-10 ( 3.954E-10 )
  2.512E+04  1.566E-10 ( 1.566E-10 )  1.571E-10 ( 1.571E-10 )  1.574E-10 ( 1.574E-10 )
  3.981E+04  6.233E-11 ( 6.233E-11 )  6.255E-11 ( 6.255E-11 )  6.265E-11 ( 6.265E-11 )
  6.310E+04  2.481E-11 ( 2.481E-11 )  2.490E-11 ( 2.490E-11 )  2.494E-11 ( 2.494E-11 )
  1.000E+05  9.878E-12 ( 9.878E-12 )  9.913E-12 ( 9.913E-12 )  9.930E-12 ( 9.930E-12 )
  1.585E+05  3.933E-12 ( 3.933E-12 )  3.947E-12 ( 3.947E-12 )  3.953E-12 ( 3.953E-12 )
  2.512E+05  1.566E-12 ( 1.566E-12 )  1.571E-12 ( 1.571E-12 )  1.574E-12 ( 1.574E-12 )
  3.981E+05  6.233E-13 ( 6.233E-13 )  6.254E-13 ( 6.254E-13 )  6.265E-13 ( 6.265E-13 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            2.256E-01                1.597E-01                1.131E-01
width Stark         1.067E+00                1.050E+00                1.013E+00
width incl.Dop.     1.067E+00                1.050E+00                1.013E+00

  0.000E+00  3.479E-01 ( 3.479E-01 )  3.523E-01 ( 3.523E-01 )  3.626E-01 ( 3.626E-01 )
  1.585E-01  3.293E-01 ( 3.293E-01 )  3.329E-01 ( 3.329E-01 )  3.415E-01 ( 3.415E-01 )
  2.512E-01  3.148E-01 ( 3.148E-01 )  3.174E-01 ( 3.174E-01 )  3.242E-01 ( 3.242E-01 )
  3.981E-01  2.893E-01 ( 2.893E-01 )  2.907E-01 ( 2.907E-01 )  2.952E-01 ( 2.952E-01 )
  6.310E-01  2.474E-01 ( 2.474E-01 )  2.479E-01 ( 2.479E-01 )  2.505E-01 ( 2.505E-01 )
  1.000E+00  1.831E-01 ( 1.831E-01 )  1.831E-01 ( 1.831E-01 )  1.832E-01 ( 1.832E-01 )
  1.585E+00  1.032E-01 ( 1.032E-01 )  1.025E-01 ( 1.025E-01 )  1.007E-01 ( 1.007E-01 )
  2.512E+00  4.224E-02 ( 4.224E-02 )  4.166E-02 ( 4.166E-02 )  4.031E-02 ( 4.031E-02 )
  3.981E+00  1.437E-02 ( 1.437E-02 )  1.415E-02 ( 1.415E-02 )  1.364E-02 ( 1.364E-02 )
  6.310E+00  4.723E-03 ( 4.723E-03 )  4.657E-03 ( 4.657E-03 )  4.505E-03 ( 4.505E-03 )
  1.000E+01  1.595E-03 ( 1.595E-03 )  1.577E-03 ( 1.577E-03 )  1.534E-03 ( 1.534E-03 )
  1.585E+01  5.315E-04 ( 5.315E-04 )  5.545E-04 ( 5.545E-04 )  5.421E-04 ( 5.421E-04 )
  2.512E+01  1.931E-04 ( 1.931E-04 )  1.936E-04 ( 1.936E-04 )  1.979E-04 ( 1.979E-04 )
  3.981E+01  7.051E-05 ( 7.051E-05 )  7.229E-05 ( 7.229E-05 )  7.241E-05 ( 7.241E-05 )
  6.310E+01  2.693E-05 ( 2.693E-05 )  2.695E-05 ( 2.695E-05 )  2.761E-05 ( 2.761E-05 )
  1.000E+02  1.044E-05 ( 1.044E-05 )  1.044E-05 ( 1.044E-05 )  1.044E-05 ( 1.044E-05 )
  1.585E+02  4.082E-06 ( 4.082E-06 )  4.083E-06 ( 4.083E-06 )  4.085E-06 ( 4.085E-06 )
  2.512E+02  1.607E-06 ( 1.607E-06 )  1.607E-06 ( 1.607E-06 )  1.608E-06 ( 1.608E-06 )
  3.981E+02  6.349E-07 ( 6.349E-07 )  6.353E-07 ( 6.353E-07 )  6.353E-07 ( 6.353E-07 )
  6.310E+02  2.516E-07 ( 2.516E-07 )  2.517E-07 ( 2.517E-07 )  2.518E-07 ( 2.518E-07 )
  1.000E+03  9.988E-08 ( 9.988E-08 )  9.992E-08 ( 9.992E-08 )  9.994E-08 ( 9.994E-08 )
  1.585E+03  3.969E-08 ( 3.969E-08 )  3.970E-08 ( 3.970E-08 )  3.971E-08 ( 3.971E-08 )
  2.512E+03  1.578E-08 ( 1.578E-08 )  1.579E-08 ( 1.579E-08 )  1.579E-08 ( 1.579E-08 )
  3.981E+03  6.278E-09 ( 6.278E-09 )  6.280E-09 ( 6.280E-09 )  6.282E-09 ( 6.282E-09 )
  6.310E+03  2.498E-09 ( 2.498E-09 )  2.499E-09 ( 2.499E-09 )  2.500E-09 ( 2.500E-09 )
  1.000E+04  9.943E-10 ( 9.943E-10 )  9.946E-10 ( 9.946E-10 )  9.949E-10 ( 9.949E-10 )
  1.585E+04  3.957E-10 ( 3.957E-10 )  3.959E-10 ( 3.959E-10 )  3.960E-10 ( 3.960E-10 )
  2.512E+04  1.575E-10 ( 1.575E-10 )  1.576E-10 ( 1.576E-10 )  1.576E-10 ( 1.576E-10 )
  3.981E+04  6.271E-11 ( 6.271E-11 )  6.274E-11 ( 6.274E-11 )  6.275E-11 ( 6.275E-11 )
  6.310E+04  2.496E-11 ( 2.496E-11 )  2.497E-11 ( 2.497E-11 )  2.498E-11 ( 2.498E-11 )
