           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+18
                conversion factor for wlengths=f0 2.696E+03
                wings factor                  =   2.785E-01

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-01                5.454E-01                3.861E-01
width Stark         8.103E-01                8.701E-01                9.096E-01
width incl.Dop.     8.103E-01                8.701E-01                9.096E-01

  0.000E+00  3.960E-01 ( 3.960E-01 )  3.668E-01 ( 3.668E-01 )  3.489E-01 ( 3.489E-01 )
  1.000E-01  3.719E-01 ( 3.719E-01 )  3.455E-01 ( 3.455E-01 )  3.292E-01 ( 3.292E-01 )
  1.585E-01  3.562E-01 ( 3.562E-01 )  3.320E-01 ( 3.320E-01 )  3.169E-01 ( 3.169E-01 )
  2.512E-01  3.312E-01 ( 3.312E-01 )  3.104E-01 ( 3.104E-01 )  2.972E-01 ( 2.972E-01 )
  3.981E-01  2.920E-01 ( 2.920E-01 )  2.765E-01 ( 2.765E-01 )  2.663E-01 ( 2.663E-01 )
  6.310E-01  2.341E-01 ( 2.341E-01 )  2.263E-01 ( 2.263E-01 )  2.205E-01 ( 2.205E-01 )
  1.000E+00  1.598E-01 ( 1.598E-01 )  1.601E-01 ( 1.601E-01 )  1.595E-01 ( 1.595E-01 )
  1.585E+00  8.699E-02 ( 8.699E-02 )  9.103E-02 ( 9.103E-02 )  9.338E-02 ( 9.338E-02 )
  2.512E+00  3.799E-02 ( 3.799E-02 )  4.090E-02 ( 4.090E-02 )  4.284E-02 ( 4.284E-02 )
  3.981E+00  1.455E-02 ( 1.455E-02 )  1.574E-02 ( 1.574E-02 )  1.655E-02 ( 1.655E-02 )
  6.309E+00  5.336E-03 ( 5.336E-03 )  5.727E-03 ( 5.727E-03 )  6.013E-03 ( 6.013E-03 )
  1.000E+01  1.961E-03 ( 1.961E-03 )  2.090E-03 ( 2.090E-03 )  2.182E-03 ( 2.182E-03 )
  1.585E+01  7.034E-04 ( 7.034E-04 )  7.773E-04 ( 7.773E-04 )  8.072E-04 ( 8.072E-04 )
  2.512E+01  2.663E-04 ( 2.663E-04 )  2.769E-04 ( 2.769E-04 )  2.850E-04 ( 2.850E-04 )
  3.981E+01  1.081E-04 ( 1.081E-04 )  1.067E-04 ( 1.067E-04 )  1.096E-04 ( 1.096E-04 )
  6.309E+01  4.193E-05 ( 4.193E-05 )  4.237E-05 ( 4.237E-05 )  4.257E-05 ( 4.257E-05 )
  1.000E+02  1.642E-05 ( 1.642E-05 )  1.659E-05 ( 1.659E-05 )  1.667E-05 ( 1.667E-05 )
  1.585E+02  6.470E-06 ( 6.470E-06 )  6.535E-06 ( 6.535E-06 )  6.567E-06 ( 6.567E-06 )
  2.512E+02  2.559E-06 ( 2.559E-06 )  2.584E-06 ( 2.584E-06 )  2.597E-06 ( 2.597E-06 )
  3.981E+02  1.014E-06 ( 1.014E-06 )  1.025E-06 ( 1.025E-06 )  1.029E-06 ( 1.029E-06 )
  6.310E+02  4.027E-07 ( 4.027E-07 )  4.068E-07 ( 4.068E-07 )  4.087E-07 ( 4.087E-07 )
  1.000E+03  1.601E-07 ( 1.601E-07 )  1.616E-07 ( 1.616E-07 )  1.624E-07 ( 1.624E-07 )
  1.585E+03  6.364E-08 ( 6.364E-08 )  6.428E-08 ( 6.428E-08 )  6.459E-08 ( 6.459E-08 )
  2.512E+03  2.533E-08 ( 2.533E-08 )  2.557E-08 ( 2.557E-08 )  2.569E-08 ( 2.569E-08 )
  3.981E+03  1.008E-08 ( 1.008E-08 )  1.018E-08 ( 1.018E-08 )  1.023E-08 ( 1.023E-08 )
