           N LOWER =  3  N UPPER= 13  WAVELENGTH (angstroms)=  8667.45
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   2.246E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         3.919E+00                3.822E+00                3.707E+00
width incl.Dop.     5.147E+00                5.852E+00                7.185E+00

  0.000E+00  8.004E-02 ( 9.768E-02 )  7.154E-02 ( 1.006E-01 )  6.069E-02 ( 1.042E-01 )
  1.000E-02  8.004E-02 ( 9.767E-02 )  7.154E-02 ( 1.005E-01 )  6.069E-02 ( 1.042E-01 )
  1.585E-02  8.004E-02 ( 9.767E-02 )  7.154E-02 ( 1.005E-01 )  6.069E-02 ( 1.041E-01 )
  2.512E-02  8.003E-02 ( 9.766E-02 )  7.154E-02 ( 1.005E-01 )  6.069E-02 ( 1.041E-01 )
  3.981E-02  8.003E-02 ( 9.765E-02 )  7.154E-02 ( 1.005E-01 )  6.069E-02 ( 1.041E-01 )
  6.310E-02  8.003E-02 ( 9.763E-02 )  7.153E-02 ( 1.005E-01 )  6.069E-02 ( 1.041E-01 )
  1.000E-01  8.001E-02 ( 9.759E-02 )  7.152E-02 ( 1.004E-01 )  6.068E-02 ( 1.040E-01 )
  1.585E-01  7.998E-02 ( 9.754E-02 )  7.150E-02 ( 1.004E-01 )  6.067E-02 ( 1.040E-01 )
  2.512E-01  7.989E-02 ( 9.740E-02 )  7.144E-02 ( 1.002E-01 )  6.063E-02 ( 1.038E-01 )
  3.981E-01  7.966E-02 ( 9.691E-02 )  7.129E-02 ( 9.968E-02 )  6.055E-02 ( 1.032E-01 )
  6.310E-01  7.910E-02 ( 9.567E-02 )  7.092E-02 ( 9.836E-02 )  6.034E-02 ( 1.017E-01 )
  1.000E+00  7.770E-02 ( 9.267E-02 )  7.000E-02 ( 9.512E-02 )  5.982E-02 ( 9.817E-02 )
  1.585E+00  7.433E-02 ( 8.571E-02 )  6.774E-02 ( 8.761E-02 )  5.852E-02 ( 8.997E-02 )
  2.512E+00  6.663E-02 ( 7.130E-02 )  6.244E-02 ( 7.222E-02 )  5.541E-02 ( 7.332E-02 )
  3.981E+00  5.129E-02 ( 4.786E-02 )  5.114E-02 ( 4.761E-02 )  4.838E-02 ( 4.722E-02 )
  6.310E+00  2.878E-02 ( 2.314E-02 )  3.201E-02 ( 2.244E-02 )  3.474E-02 ( 2.155E-02 )
  1.000E+01  1.023E-02 ( 8.225E-03 )  1.220E-02 ( 7.811E-03 )  1.620E-02 ( 7.340E-03 )
  1.585E+01  2.824E-03 ( 2.550E-03 )  3.022E-03 ( 2.407E-03 )  3.886E-03 ( 2.253E-03 )
  2.512E+01  8.102E-04 ( 7.798E-04 )  8.019E-04 ( 7.409E-04 )  8.290E-04 ( 6.960E-04 )
  3.981E+01  2.448E-04 ( 2.413E-04 )  2.390E-04 ( 2.322E-04 )  2.338E-04 ( 2.203E-04 )
  6.310E+01  7.507E-05 ( 7.464E-05 )  7.414E-05 ( 7.331E-05 )  7.189E-05 ( 7.029E-05 )
  1.000E+02  2.283E-05 ( 2.277E-05 )  2.300E-05 ( 2.289E-05 )  2.257E-05 ( 2.237E-05 )
  1.585E+02  7.171E-06 ( 7.165E-06 )  7.177E-06 ( 7.165E-06 )  7.197E-06 ( 7.173E-06 )
  2.512E+02  2.263E-06 ( 2.262E-06 )  2.263E-06 ( 2.262E-06 )  2.265E-06 ( 2.262E-06 )
  3.981E+02  7.159E-07 ( 7.158E-07 )  7.160E-07 ( 7.158E-07 )  7.162E-07 ( 7.158E-07 )
