           N LOWER =  3  N UPPER= 18  WAVELENGTH (angstroms)=  8440.32
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   5.536E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         9.109E+00                9.358E+00                9.433E+00
width incl.Dop.     9.109E+00                9.358E+00                9.433E+00

  0.000E+00  4.414E-02 ( 4.414E-02 )  4.295E-02 ( 4.295E-02 )  4.254E-02 ( 4.254E-02 )
  2.512E-02  4.413E-02 ( 4.413E-02 )  4.295E-02 ( 4.295E-02 )  4.254E-02 ( 4.254E-02 )
  3.981E-02  4.412E-02 ( 4.412E-02 )  4.294E-02 ( 4.294E-02 )  4.253E-02 ( 4.253E-02 )
  6.310E-02  4.412E-02 ( 4.412E-02 )  4.294E-02 ( 4.294E-02 )  4.253E-02 ( 4.253E-02 )
  1.000E-01  4.411E-02 ( 4.411E-02 )  4.293E-02 ( 4.293E-02 )  4.252E-02 ( 4.252E-02 )
  1.585E-01  4.409E-02 ( 4.409E-02 )  4.292E-02 ( 4.292E-02 )  4.252E-02 ( 4.252E-02 )
  2.512E-01  4.406E-02 ( 4.406E-02 )  4.291E-02 ( 4.291E-02 )  4.250E-02 ( 4.250E-02 )
  3.981E-01  4.402E-02 ( 4.402E-02 )  4.288E-02 ( 4.288E-02 )  4.248E-02 ( 4.248E-02 )
  6.310E-01  4.391E-02 ( 4.391E-02 )  4.281E-02 ( 4.281E-02 )  4.241E-02 ( 4.241E-02 )
  1.000E+00  4.367E-02 ( 4.367E-02 )  4.259E-02 ( 4.259E-02 )  4.220E-02 ( 4.220E-02 )
  1.585E+00  4.314E-02 ( 4.314E-02 )  4.211E-02 ( 4.211E-02 )  4.175E-02 ( 4.175E-02 )
  2.512E+00  4.188E-02 ( 4.188E-02 )  4.099E-02 ( 4.099E-02 )  4.070E-02 ( 4.070E-02 )
  3.981E+00  3.874E-02 ( 3.874E-02 )  3.817E-02 ( 3.817E-02 )  3.800E-02 ( 3.800E-02 )
  6.310E+00  3.145E-02 ( 3.145E-02 )  3.139E-02 ( 3.139E-02 )  3.134E-02 ( 3.134E-02 )
  1.000E+01  1.908E-02 ( 1.908E-02 )  1.938E-02 ( 1.938E-02 )  1.944E-02 ( 1.944E-02 )
  1.585E+01  7.717E-03 ( 7.717E-03 )  7.921E-03 ( 7.921E-03 )  7.987E-03 ( 7.987E-03 )
  2.512E+01  2.357E-03 ( 2.357E-03 )  2.406E-03 ( 2.406E-03 )  2.426E-03 ( 2.426E-03 )
  3.981E+01  6.690E-04 ( 6.690E-04 )  6.755E-04 ( 6.755E-04 )  6.786E-04 ( 6.786E-04 )
  6.310E+01  1.932E-04 ( 1.932E-04 )  1.936E-04 ( 1.936E-04 )  1.938E-04 ( 1.938E-04 )
  1.000E+02  5.953E-05 ( 5.953E-05 )  5.958E-05 ( 5.958E-05 )  5.960E-05 ( 5.960E-05 )
  1.585E+02  1.877E-05 ( 1.877E-05 )  1.877E-05 ( 1.877E-05 )  1.877E-05 ( 1.877E-05 )
  2.512E+02  6.075E-06 ( 6.075E-06 )  6.077E-06 ( 6.077E-06 )  6.078E-06 ( 6.078E-06 )
  3.981E+02  2.009E-06 ( 2.009E-06 )  2.010E-06 ( 2.010E-06 )  2.010E-06 ( 2.010E-06 )
  6.310E+02  5.788E-07 ( 5.788E-07 )  5.788E-07 ( 5.788E-07 )  5.788E-07 ( 5.788E-07 )
  1.000E+03  1.875E-07 ( 1.875E-07 )  1.875E-07 ( 1.875E-07 )  1.875E-07 ( 1.875E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         9.355E+00                9.137E+00                8.812E+00
width incl.Dop.     9.355E+00                9.137E+00                8.812E+00

  0.000E+00  4.280E-02 ( 4.280E-02 )  4.371E-02 ( 4.371E-02 )  4.525E-02 ( 4.525E-02 )
  6.310E-02  4.277E-02 ( 4.277E-02 )  4.369E-02 ( 4.369E-02 )  4.523E-02 ( 4.523E-02 )
  1.000E-01  4.276E-02 ( 4.276E-02 )  4.368E-02 ( 4.368E-02 )  4.521E-02 ( 4.521E-02 )
  1.585E-01  4.274E-02 ( 4.274E-02 )  4.365E-02 ( 4.365E-02 )  4.519E-02 ( 4.519E-02 )
  2.512E-01  4.270E-02 ( 4.270E-02 )  4.362E-02 ( 4.362E-02 )  4.515E-02 ( 4.515E-02 )
  3.981E-01  4.265E-02 ( 4.265E-02 )  4.356E-02 ( 4.356E-02 )  4.509E-02 ( 4.509E-02 )
  6.310E-01  4.256E-02 ( 4.256E-02 )  4.347E-02 ( 4.347E-02 )  4.499E-02 ( 4.499E-02 )
  1.000E+00  4.242E-02 ( 4.242E-02 )  4.333E-02 ( 4.333E-02 )  4.484E-02 ( 4.484E-02 )
  1.585E+00  4.204E-02 ( 4.204E-02 )  4.293E-02 ( 4.293E-02 )  4.438E-02 ( 4.438E-02 )
  2.512E+00  4.097E-02 ( 4.097E-02 )  4.176E-02 ( 4.176E-02 )  4.302E-02 ( 4.302E-02 )
  3.981E+00  3.817E-02 ( 3.817E-02 )  3.869E-02 ( 3.869E-02 )  3.949E-02 ( 3.949E-02 )
  6.310E+00  3.131E-02 ( 3.131E-02 )  3.133E-02 ( 3.133E-02 )  3.136E-02 ( 3.136E-02 )
  1.000E+01  1.930E-02 ( 1.930E-02 )  1.897E-02 ( 1.897E-02 )  1.848E-02 ( 1.848E-02 )
  1.585E+01  7.915E-03 ( 7.915E-03 )  7.703E-03 ( 7.703E-03 )  7.383E-03 ( 7.383E-03 )
  2.512E+01  2.412E-03 ( 2.412E-03 )  2.362E-03 ( 2.362E-03 )  2.276E-03 ( 2.276E-03 )
  3.981E+01  6.887E-04 ( 6.887E-04 )  6.820E-04 ( 6.820E-04 )  6.671E-04 ( 6.671E-04 )
  6.310E+01  2.003E-04 ( 2.003E-04 )  1.999E-04 ( 1.999E-04 )  2.005E-04 ( 2.005E-04 )
  1.000E+02  5.977E-05 ( 5.977E-05 )  5.979E-05 ( 5.979E-05 )  6.124E-05 ( 6.124E-05 )
  1.585E+02  1.887E-05 ( 1.887E-05 )  1.887E-05 ( 1.887E-05 )  1.887E-05 ( 1.887E-05 )
  2.512E+02  6.079E-06 ( 6.079E-06 )  6.079E-06 ( 6.079E-06 )  6.079E-06 ( 6.079E-06 )
  3.981E+02  2.010E-06 ( 2.010E-06 )  2.010E-06 ( 2.010E-06 )  2.010E-06 ( 2.010E-06 )
  6.310E+02  5.788E-07 ( 5.788E-07 )  6.833E-07 ( 6.833E-07 )  6.833E-07 ( 6.833E-07 )
  1.000E+03  1.875E-07 ( 1.875E-07 )  1.875E-07 ( 1.875E-07 )  1.875E-07 ( 1.875E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-02                2.840E-02                2.011E-02
width Stark         8.422E+00                8.002E+00                7.572E+00
width incl.Dop.     8.479E+00                8.134E+00                7.881E+00

  0.000E+00  4.707E-02 ( 4.731E-02 )  4.913E-02 ( 4.975E-02 )  5.086E-02 ( 5.246E-02 )
  3.981E-02  4.707E-02 ( 4.729E-02 )  4.913E-02 ( 4.974E-02 )  5.086E-02 ( 5.244E-02 )
  6.310E-02  4.707E-02 ( 4.729E-02 )  4.913E-02 ( 4.973E-02 )  5.086E-02 ( 5.243E-02 )
  1.000E-01  4.707E-02 ( 4.728E-02 )  4.912E-02 ( 4.971E-02 )  5.086E-02 ( 5.242E-02 )
  1.585E-01  4.706E-02 ( 4.726E-02 )  4.912E-02 ( 4.969E-02 )  5.085E-02 ( 5.239E-02 )
  2.512E-01  4.705E-02 ( 4.723E-02 )  4.910E-02 ( 4.966E-02 )  5.082E-02 ( 5.235E-02 )
  3.981E-01  4.701E-02 ( 4.718E-02 )  4.905E-02 ( 4.961E-02 )  5.077E-02 ( 5.229E-02 )
