           N LOWER =  2  N UPPER=  4  WAVELENGTH (angstroms)=  4862.74
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   7.062E-03

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         7.287E-02                7.388E-02                7.255E-02
width incl.Dop.     8.109E-02                8.859E-02                1.007E-01

  0.000E+00  5.069E+00 ( 5.086E+00 )  4.703E+00 ( 5.092E+00 )  4.207E+00 ( 5.243E+00 )
  3.981E-03  5.061E+00 ( 5.135E+00 )  4.696E+00 ( 5.126E+00 )  4.202E+00 ( 5.286E+00 )
  6.310E-03  5.049E+00 ( 5.198E+00 )  4.686E+00 ( 5.176E+00 )  4.195E+00 ( 5.342E+00 )
  1.000E-02  5.019E+00 ( 5.314E+00 )  4.660E+00 ( 5.304E+00 )  4.177E+00 ( 5.433E+00 )
  1.585E-02  4.944E+00 ( 5.446E+00 )  4.596E+00 ( 5.419E+00 )  4.132E+00 ( 5.520E+00 )
  2.512E-02  4.754E+00 ( 5.385E+00 )  4.437E+00 ( 5.350E+00 )  4.021E+00 ( 5.408E+00 )
  3.981E-02  4.287E+00 ( 4.689E+00 )  4.063E+00 ( 4.684E+00 )  3.756E+00 ( 4.702E+00 )
  6.310E-02  3.271E+00 ( 3.154E+00 )  3.262E+00 ( 3.189E+00 )  3.174E+00 ( 3.183E+00 )
  1.000E-01  1.760E+00 ( 1.526E+00 )  1.944E+00 ( 1.548E+00 )  2.119E+00 ( 1.531E+00 )
  1.585E-01  6.418E-01 ( 5.736E-01 )  7.251E-01 ( 5.716E-01 )  8.868E-01 ( 5.567E-01 )
  2.512E-01  2.020E-01 ( 1.920E-01 )  2.087E-01 ( 1.867E-01 )  2.313E-01 ( 1.796E-01 )
  3.981E-01  6.403E-02 ( 6.280E-02 )  6.231E-02 ( 5.978E-02 )  6.208E-02 ( 5.677E-02 )
  6.310E-01  1.991E-02 ( 1.974E-02 )  1.892E-02 ( 1.859E-02 )  1.810E-02 ( 1.745E-02 )
  1.000E+00  6.510E-03 ( 6.492E-03 )  6.144E-03 ( 6.109E-03 )  5.781E-03 ( 5.714E-03 )
  1.585E+00  2.136E-03 ( 2.133E-03 )  2.021E-03 ( 2.016E-03 )  1.901E-03 ( 1.891E-03 )
  2.512E+00  6.962E-04 ( 6.959E-04 )  6.662E-04 ( 6.656E-04 )  6.265E-04 ( 6.253E-04 )
  3.981E+00  2.258E-04 ( 2.258E-04 )  2.177E-04 ( 2.176E-04 )  2.063E-04 ( 2.062E-04 )
  6.310E+00  7.081E-05 ( 7.080E-05 )  7.057E-05 ( 7.056E-05 )  6.763E-05 ( 6.763E-05 )
  1.000E+01  2.240E-05 ( 2.240E-05 )  2.241E-05 ( 2.240E-05 )  2.203E-05 ( 2.203E-05 )
  1.585E+01                                                    7.094E-06 ( 7.094E-06 )
  2.512E+01                                                    2.249E-06 ( 2.249E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         6.897E-02                6.283E-02                5.743E-02
width incl.Dop.     1.234E-01                1.539E-01                2.047E-01

  0.000E+00  3.580E+00 ( 5.541E+00 )  2.897E+00 ( 6.014E+00 )  2.244E+00 ( 6.661E+00 )
  3.981E-03  3.577E+00 ( 5.587E+00 )  2.895E+00 ( 6.035E+00 )  2.243E+00 ( 6.679E+00 )
  6.310E-03  3.573E+00 ( 5.631E+00 )  2.893E+00 ( 6.070E+00 )  2.242E+00 ( 6.697E+00 )
  1.000E-02  3.562E+00 ( 5.699E+00 )  2.888E+00 ( 6.110E+00 )  2.240E+00 ( 6.694E+00 )
  1.585E-02  3.536E+00 ( 5.737E+00 )  2.875E+00 ( 6.082E+00 )  2.234E+00 ( 6.572E+00 )
