           N LOWER =  2  N UPPER=  5  WAVELENGTH (angstroms)=  4341.73
                electronic density(1/cm**3)       1.000E+10
                conversion factor for wlengths=f0 5.808E-03
                wings factor                  =   1.189E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            8.338E-02                5.896E-02                4.169E-02
width Stark         4.765E-02                3.886E-02                3.235E-02
width incl.Dop.     1.350E+01                1.921E+01                2.710E+01

  0.000E+00  3.512E-02 ( 7.467E+00 )  2.484E-02 ( 8.806E+00 )  1.756E-02 ( 1.065E+01 )
  1.585E-03  3.512E-02 ( 7.458E+00 )  2.484E-02 ( 8.788E+00 )  1.756E-02 ( 1.060E+01 )
  2.512E-03  3.512E-02 ( 7.444E+00 )  2.484E-02 ( 8.762E+00 )  1.756E-02 ( 1.056E+01 )
  3.981E-03  3.512E-02 ( 7.407E+00 )  2.484E-02 ( 8.695E+00 )  1.756E-02 ( 1.048E+01 )
  6.310E-03  3.512E-02 ( 7.320E+00 )  2.484E-02 ( 8.565E+00 )  1.756E-02 ( 1.024E+01 )
  1.000E-02  3.512E-02 ( 7.131E+00 )  2.484E-02 ( 8.247E+00 )  1.756E-02 ( 9.668E+00 )
  1.585E-02  3.512E-02 ( 6.692E+00 )  2.484E-02 ( 7.543E+00 )  1.756E-02 ( 8.506E+00 )
  2.512E-02  3.512E-02 ( 5.794E+00 )  2.484E-02 ( 6.211E+00 )  1.756E-02 ( 6.523E+00 )
  3.981E-02  3.512E-02 ( 4.316E+00 )  2.484E-02 ( 4.278E+00 )  1.756E-02 ( 4.089E+00 )
  6.310E-02  3.512E-02 ( 2.586E+00 )  2.484E-02 ( 2.360E+00 )  1.756E-02 ( 2.075E+00 )
  1.000E-01  3.512E-02 ( 1.237E+00 )  2.484E-02 ( 1.069E+00 )  1.756E-02 ( 8.961E-01 )
  1.585E-01  3.512E-02 ( 5.002E-01 )  2.484E-02 ( 4.239E-01 )  1.756E-02 ( 3.504E-01 )
  2.512E-01  3.512E-02 ( 1.830E-01 )  2.483E-02 ( 1.560E-01 )  1.756E-02 ( 1.297E-01 )
