           N LOWER =  2  N UPPER= 10  WAVELENGTH (angstroms)=  3799.01
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   8.521E-02

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         4.888E-01                4.909E-01                4.840E-01
width incl.Dop.     4.944E-01                5.003E-01                5.015E-01

  0.000E+00  8.081E-01 ( 8.151E-01 )  8.002E-01 ( 8.128E-01 )  8.004E-01 ( 8.239E-01 )
  1.585E-02  8.074E-01 ( 8.120E-01 )  7.996E-01 ( 8.096E-01 )  7.998E-01 ( 8.209E-01 )
  2.512E-02  8.064E-01 ( 8.101E-01 )  7.986E-01 ( 8.078E-01 )  7.988E-01 ( 8.192E-01 )
  3.981E-02  8.039E-01 ( 8.072E-01 )  7.961E-01 ( 8.048E-01 )  7.964E-01 ( 8.164E-01 )
  6.310E-02  7.975E-01 ( 8.025E-01 )  7.900E-01 ( 8.002E-01 )  7.903E-01 ( 8.119E-01 )
  1.000E-01  7.815E-01 ( 7.857E-01 )  7.748E-01 ( 7.838E-01 )  7.753E-01 ( 7.951E-01 )
  1.585E-01  7.428E-01 ( 7.459E-01 )  7.383E-01 ( 7.451E-01 )  7.391E-01 ( 7.543E-01 )
  2.512E-01  6.564E-01 ( 6.585E-01 )  6.552E-01 ( 6.589E-01 )  6.573E-01 ( 6.647E-01 )
  3.981E-01  4.950E-01 ( 4.931E-01 )  4.961E-01 ( 4.943E-01 )  4.978E-01 ( 4.948E-01 )
  6.310E-01  2.751E-01 ( 2.735E-01 )  2.773E-01 ( 2.736E-01 )  2.780E-01 ( 2.702E-01 )
  1.000E+00  1.077E-01 ( 1.069E-01 )  1.079E-01 ( 1.063E-01 )  1.068E-01 ( 1.036E-01 )
  1.585E+00  3.396E-02 ( 3.385E-02 )  3.379E-02 ( 3.354E-02 )  3.306E-02 ( 3.255E-02 )
  2.512E+00  1.017E-02 ( 1.015E-02 )  1.010E-02 ( 1.007E-02 )  9.888E-03 ( 9.827E-03 )
  3.981E+00  2.929E-03 ( 2.927E-03 )  3.033E-03 ( 3.030E-03 )  2.997E-03 ( 2.990E-03 )
  6.309E+00  8.895E-04 ( 8.894E-04 )  8.964E-04 ( 8.959E-04 )  8.953E-04 ( 8.944E-04 )
  1.000E+01  2.755E-04 ( 2.755E-04 )  2.757E-04 ( 2.756E-04 )  2.757E-04 ( 2.756E-04 )
  1.585E+01  8.672E-05 ( 8.672E-05 )  8.673E-05 ( 8.673E-05 )  8.674E-05 ( 8.673E-05 )
  2.512E+01  2.750E-05 ( 2.750E-05 )  2.750E-05 ( 2.750E-05 )  2.750E-05 ( 2.750E-05 )
  3.981E+01  8.762E-06 ( 8.762E-06 )  8.768E-06 ( 8.768E-06 )  8.769E-06 ( 8.768E-06 )
  6.309E+01  2.811E-06 ( 2.811E-06 )  2.812E-06 ( 2.812E-06 )  2.812E-06 ( 2.812E-06 )
  1.000E+02  9.108E-07 ( 9.108E-07 )  9.108E-07 ( 9.108E-07 )  9.108E-07 ( 9.108E-07 )
  1.585E+02  2.993E-07 ( 2.993E-07 )  2.993E-07 ( 2.993E-07 )  2.993E-07 ( 2.993E-07 )
  2.512E+02  1.005E-07 ( 1.005E-07 )  1.005E-07 ( 1.005E-07 )  1.005E-07 ( 1.005E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         4.708E-01                4.542E-01                4.349E-01
width incl.Dop.     5.060E-01                5.228E-01                5.629E-01

  0.000E+00  7.984E-01 ( 8.463E-01 )  7.815E-01 ( 8.757E-01 )  7.366E-01 ( 9.109E-01 )
  1.585E-02  7.978E-01 ( 8.430E-01 )  7.809E-01 ( 8.721E-01 )  7.362E-01 ( 9.069E-01 )
  2.512E-02  7.968E-01 ( 8.411E-01 )  7.800E-01 ( 8.700E-01 )  7.355E-01 ( 9.046E-01 )
  3.981E-02  7.945E-01 ( 8.380E-01 )  7.779E-01 ( 8.667E-01 )  7.338E-01 ( 9.009E-01 )
  6.310E-02  7.886E-01 ( 8.331E-01 )  7.726E-01 ( 8.614E-01 )  7.296E-01 ( 8.951E-01 )
  1.000E-01  7.740E-01 ( 8.147E-01 )  7.594E-01 ( 8.415E-01 )  7.192E-01 ( 8.730E-01 )
  1.585E-01  7.388E-01 ( 7.712E-01 )  7.274E-01 ( 7.936E-01 )  6.937E-01 ( 8.197E-01 )
  2.512E-01  6.588E-01 ( 6.751E-01 )  6.542E-01 ( 6.882E-01 )  6.344E-01 ( 7.038E-01 )
  3.981E-01  5.015E-01 ( 4.952E-01 )  5.072E-01 ( 4.953E-01 )  5.105E-01 ( 4.946E-01 )
  6.310E-01  2.806E-01 ( 2.643E-01 )  2.897E-01 ( 2.564E-01 )  3.095E-01 ( 2.471E-01 )
  1.000E+00  1.058E-01 ( 9.927E-02 )  1.075E-01 ( 9.395E-02 )  1.167E-01 ( 8.819E-02 )
  1.585E+00  3.202E-02 ( 3.102E-02 )  3.115E-02 ( 2.918E-02 )  3.132E-02 ( 2.724E-02 )
  2.512E+00  9.549E-03 ( 9.431E-03 )  9.144E-03 ( 8.919E-03 )  8.803E-03 ( 8.367E-03 )
  3.981E+00  2.922E-03 ( 2.908E-03 )  2.815E-03 ( 2.789E-03 )  2.682E-03 ( 2.632E-03 )
  6.309E+00  9.091E-04 ( 9.074E-04 )  8.855E-04 ( 8.823E-04 )  8.479E-04 ( 8.419E-04 )
  1.000E+01  2.769E-04 ( 2.767E-04 )  2.778E-04 ( 2.774E-04 )  2.691E-04 ( 2.683E-04 )
  1.585E+01  8.675E-05 ( 8.673E-05 )  8.689E-05 ( 8.684E-05 )  8.668E-05 ( 8.658E-05 )
  2.512E+01  2.751E-05 ( 2.751E-05 )  2.751E-05 ( 2.751E-05 )  2.753E-05 ( 2.752E-05 )
  3.981E+01  8.769E-06 ( 8.769E-06 )  8.770E-06 ( 8.769E-06 )  8.770E-06 ( 8.769E-06 )
  6.309E+01  2.812E-06 ( 2.812E-06 )  2.813E-06 ( 2.812E-06 )  2.813E-06 ( 2.812E-06 )
  1.000E+02  9.108E-07 ( 9.108E-07 )  9.109E-07 ( 9.108E-07 )  9.109E-07 ( 9.108E-07 )
  1.585E+02  2.993E-07 ( 2.993E-07 )  2.993E-07 ( 2.993E-07 )  2.993E-07 ( 2.993E-07 )
  2.512E+02  1.005E-07 ( 1.005E-07 )  1.005E-07 ( 1.005E-07 )  1.005E-07 ( 1.005E-07 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.012E-02                2.840E-02                2.011E-02
width Stark         4.131E-01                3.906E-01                3.707E-01
width incl.Dop.     6.449E-01                7.953E-01                1.006E+00

  0.000E+00  6.581E-01 ( 9.509E-01 )  5.540E-01 ( 9.967E-01 )  4.422E-01 ( 1.052E+00 )
  1.000E-02  6.580E-01 ( 9.491E-01 )  5.539E-01 ( 9.947E-01 )  4.422E-01 ( 1.050E+00 )
  1.585E-02  6.578E-01 ( 9.481E-01 )  5.538E-01 ( 9.935E-01 )  4.422E-01 ( 1.048E+00 )
  2.512E-02  6.574E-01 ( 9.464E-01 )  5.536E-01 ( 9.916E-01 )  4.420E-01 ( 1.046E+00 )
  3.981E-02  6.563E-01 ( 9.438E-01 )  5.529E-01 ( 9.885E-01 )  4.417E-01 ( 1.043E+00 )
  6.310E-02  6.535E-01 ( 9.333E-01 )  5.514E-01 ( 9.770E-01 )  4.410E-01 ( 1.030E+00 )
  1.000E-01  6.465E-01 ( 9.081E-01 )  5.475E-01 ( 9.486E-01 )  4.391E-01 ( 9.964E-01 )
  1.585E-01  6.295E-01 ( 8.484E-01 )  5.379E-01 ( 8.808E-01 )  4.345E-01 ( 9.188E-01 )
  2.512E-01  5.888E-01 ( 7.198E-01 )  5.146E-01 ( 7.361E-01 )  4.231E-01 ( 7.527E-01 )
  3.981E-01  4.994E-01 ( 4.919E-01 )  4.609E-01 ( 4.856E-01 )  3.958E-01 ( 4.741E-01 )
  6.310E-01  3.364E-01 ( 2.363E-01 )  3.512E-01 ( 2.236E-01 )  3.351E-01 ( 2.093E-01 )
  1.000E+00  1.419E-01 ( 8.257E-02 )  1.845E-01 ( 7.704E-02 )  2.226E-01 ( 7.148E-02 )
  1.585E+00  3.487E-02 ( 2.542E-02 )  4.924E-02 ( 2.370E-02 )  8.495E-02 ( 2.213E-02 )
  2.512E+00  8.686E-03 ( 7.797E-03 )  9.338E-03 ( 7.274E-03 )  1.365E-02 ( 6.551E-03 )
  3.981E+00  2.556E-03 ( 2.461E-03 )  2.485E-03 ( 2.296E-03 )  2.472E-03 ( 2.071E-03 )
  6.310E+00  7.910E-04 ( 7.793E-04 )  7.507E-04 ( 7.283E-04 )  7.164E-04 ( 6.747E-04 )
  1.000E+01  2.557E-04 ( 2.543E-04 )  2.413E-04 ( 2.388E-04 )  2.275E-04 ( 2.225E-04 )
  1.585E+01  8.348E-05 ( 8.330E-05 )  7.916E-05 ( 7.881E-05 )  7.440E-05 ( 7.376E-05 )
  2.512E+01  2.721E-05 ( 2.718E-05 )  2.604E-05 ( 2.600E-05 )  2.460E-05 ( 2.451E-05 )
  3.981E+01  8.837E-06 ( 8.833E-06 )  8.561E-06 ( 8.556E-06 )  8.158E-06 ( 8.147E-06 )
  6.310E+01  2.818E-06 ( 2.818E-06 )  2.812E-06 ( 2.811E-06 )  2.708E-06 ( 2.706E-06 )
  1.000E+02  9.108E-07 ( 9.107E-07 )  9.116E-07 ( 9.115E-07 )  9.007E-07 ( 9.005E-07 )
  1.585E+02  2.992E-07 ( 2.992E-07 )  2.992E-07 ( 2.992E-07 )  3.015E-07 ( 3.015E-07 )

T(K)                1.259E+06
RO/Debye            1.423E-02
width Stark         2.087E-02
width incl.Dop.     3.041E-01

  0.000E+00  3.384E-01 ( 1.125E+00 )
  1.000E-02  3.384E-01 ( 1.122E+00 )
  1.585E-02  3.384E-01 ( 1.121E+00 )
  2.512E-02  3.384E-01 ( 1.118E+00 )
  3.981E-02  3.382E-01 ( 1.113E+00 )
  6.310E-02  3.379E-01 ( 1.097E+00 )
  1.000E-01  3.371E-01 ( 1.057E+00 )
  1.585E-01  3.351E-01 ( 9.636E-01 )
  2.512E-01  3.301E-01 ( 7.652E-01 )
  3.981E-01  3.180E-01 ( 4.547E-01 )
  6.310E-01  2.894E-01 ( 1.928E-01 )
  1.000E+00  2.289E-01 ( 6.580E-02 )
  1.585E+00  1.284E-01 ( 2.063E-02 )
  2.512E+00  3.321E-02 ( 6.402E-03 )
  3.981E+00  3.430E-03 ( 1.956E-03 )
  6.310E+00  7.163E-04 ( 6.298E-04 )
  1.000E+01  2.170E-04 ( 2.072E-04 )
  1.585E+01  6.989E-05 ( 6.869E-05 )
  2.512E+01  2.304E-05 ( 2.289E-05 )
  3.981E+01  7.668E-06 ( 7.647E-06 )
  6.310E+01  2.563E-06 ( 2.560E-06 )
  1.000E+02  8.617E-07 ( 8.613E-07 )
  1.585E+02  2.918E-07 ( 2.917E-07 )
  2.512E+02  1.002E-07 ( 1.002E-07 )
  3.981E+02  3.488E-08 ( 3.488E-08 )
  6.310E+02  1.268E-08 ( 1.268E-08 )
  1.000E+03  4.930E-09 ( 4.930E-09 )
  1.585E+03  2.074E-09 ( 2.074E-09 )
