           N LOWER =  2  N UPPER= 23  WAVELENGTH (angstroms)=  3674.84
                electronic density(1/cm**3)       3.162E+12
                conversion factor for wlengths=f0 2.696E-01
                wings factor                  =   9.557E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.176E-01                1.539E-01                1.088E-01
width Stark         3.088E+00                3.118E+00                3.092E+00
width incl.Dop.     3.088E+00                3.139E+00                3.129E+00

  0.000E+00  1.372E-01 ( 1.372E-01 )  1.351E-01 ( 1.358E-01 )  1.352E-01 ( 1.364E-01 )
  3.981E-02  1.371E-01 ( 1.371E-01 )  1.351E-01 ( 1.357E-01 )  1.351E-01 ( 1.364E-01 )
  6.310E-02  1.370E-01 ( 1.370E-01 )  1.351E-01 ( 1.357E-01 )  1.351E-01 ( 1.363E-01 )
  1.000E-01  1.369E-01 ( 1.369E-01 )  1.351E-01 ( 1.356E-01 )  1.351E-01 ( 1.363E-01 )
  1.585E-01  1.368E-01 ( 1.368E-01 )  1.349E-01 ( 1.355E-01 )  1.349E-01 ( 1.362E-01 )
  2.512E-01  1.364E-01 ( 1.364E-01 )  1.346E-01 ( 1.352E-01 )  1.346E-01 ( 1.358E-01 )
  3.981E-01  1.355E-01 ( 1.355E-01 )  1.338E-01 ( 1.342E-01 )  1.339E-01 ( 1.350E-01 )
  6.310E-01  1.334E-01 ( 1.334E-01 )  1.318E-01 ( 1.323E-01 )  1.319E-01 ( 1.331E-01 )
  1.000E+00  1.284E-01 ( 1.284E-01 )  1.269E-01 ( 1.275E-01 )  1.269E-01 ( 1.283E-01 )
  1.585E+00  1.155E-01 ( 1.155E-01 )  1.143E-01 ( 1.151E-01 )  1.141E-01 ( 1.153E-01 )
  2.512E+00  8.561E-02 ( 8.561E-02 )  8.586E-02 ( 8.565E-02 )  8.532E-02 ( 8.518E-02 )
  3.981E+00  4.224E-02 ( 4.224E-02 )  4.299E-02 ( 4.260E-02 )  4.307E-02 ( 4.220E-02 )
  6.310E+00  1.374E-02 ( 1.374E-02 )  1.401E-02 ( 1.388E-02 )  1.407E-02 ( 1.379E-02 )
  1.000E+01  3.876E-03 ( 3.876E-03 )  3.917E-03 ( 3.902E-03 )  3.927E-03 ( 3.893E-03 )
  1.585E+01  1.063E-03 ( 1.063E-03 )  1.067E-03 ( 1.066E-03 )  1.121E-03 ( 1.117E-03 )
  2.512E+01  3.201E-04 ( 3.201E-04 )  3.204E-04 ( 3.203E-04 )  3.218E-04 ( 3.213E-04 )
  3.981E+01  9.817E-05 ( 9.817E-05 )  9.819E-05 ( 9.817E-05 )  9.896E-05 ( 9.892E-05 )
  6.310E+01  3.082E-05 ( 3.082E-05 )  3.083E-05 ( 3.083E-05 )  3.085E-05 ( 3.084E-05 )
  1.000E+02  9.753E-06 ( 9.753E-06 )  9.754E-06 ( 9.754E-06 )  9.754E-06 ( 9.754E-06 )
  1.585E+02  3.102E-06 ( 3.102E-06 )  3.103E-06 ( 3.103E-06 )  3.103E-06 ( 3.103E-06 )
  2.512E+02  9.936E-07 ( 9.936E-07 )  9.936E-07 ( 9.936E-07 )  9.936E-07 ( 9.936E-07 )
  3.981E+02  3.204E-07 ( 3.204E-07 )  3.204E-07 ( 3.204E-07 )  3.204E-07 ( 3.204E-07 )
  6.310E+02  1.048E-07 ( 1.048E-07 )  1.048E-07 ( 1.048E-07 )  1.048E-07 ( 1.048E-07 )
  1.000E+03  3.493E-08 ( 3.493E-08 )  3.493E-08 ( 3.493E-08 )  3.493E-08 ( 3.493E-08 )
  1.585E+03  1.199E-08 ( 1.199E-08 )  1.199E-08 ( 1.199E-08 )  1.199E-08 ( 1.199E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            7.703E-02                5.454E-02                3.861E-02
width Stark         3.014E+00                2.891E+00                2.732E+00
width incl.Dop.     3.095E+00                3.074E+00                3.141E+00

  0.000E+00  1.363E-01 ( 1.392E-01 )  1.371E-01 ( 1.439E-01 )  1.348E-01 ( 1.503E-01 )
  1.000E-01  1.362E-01 ( 1.389E-01 )  1.370E-01 ( 1.435E-01 )  1.347E-01 ( 1.499E-01 )
  1.585E-01  1.360E-01 ( 1.386E-01 )  1.369E-01 ( 1.433E-01 )  1.346E-01 ( 1.496E-01 )
  2.512E-01  1.357E-01 ( 1.383E-01 )  1.365E-01 ( 1.430E-01 )  1.342E-01 ( 1.492E-01 )
  3.981E-01  1.349E-01 ( 1.378E-01 )  1.355E-01 ( 1.424E-01 )  1.332E-01 ( 1.486E-01 )
  6.310E-01  1.327E-01 ( 1.357E-01 )  1.331E-01 ( 1.401E-01 )  1.308E-01 ( 1.457E-01 )
  1.000E+00  1.273E-01 ( 1.304E-01 )  1.273E-01 ( 1.339E-01 )  1.251E-01 ( 1.383E-01 )
  1.585E+00  1.139E-01 ( 1.163E-01 )  1.133E-01 ( 1.177E-01 )  1.116E-01 ( 1.195E-01 )
  2.512E+00  8.472E-02 ( 8.437E-02 )  8.432E-02 ( 8.322E-02 )  8.443E-02 ( 8.178E-02 )
  3.981E+00  4.291E-02 ( 4.113E-02 )  4.314E-02 ( 3.954E-02 )  4.469E-02 ( 3.761E-02 )
  6.310E+00  1.402E-02 ( 1.346E-02 )  1.403E-02 ( 1.292E-02 )  1.446E-02 ( 1.223E-02 )
  1.000E+01  3.914E-03 ( 3.846E-03 )  3.879E-03 ( 3.747E-03 )  3.855E-03 ( 3.593E-03 )
  1.585E+01  1.121E-03 ( 1.114E-03 )  1.115E-03 ( 1.100E-03 )  1.101E-03 ( 1.073E-03 )
  2.512E+01  3.223E-04 ( 3.214E-04 )  3.231E-04 ( 3.213E-04 )  3.317E-04 ( 3.285E-04 )
  3.981E+01  9.900E-05 ( 9.891E-05 )  9.909E-05 ( 9.891E-05 )  9.950E-05 ( 9.910E-05 )
