           N LOWER =  2  N UPPER= 24  WAVELENGTH (angstroms)=  3672.56
                electronic density(1/cm**3)       3.162E+10
                conversion factor for wlengths=f0 1.251E-02
                wings factor                  =   1.084E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.010E-01                7.143E-02                5.051E-02
width Stark         2.942E+00                2.815E+00                2.664E+00
width incl.Dop.     6.397E+00                8.445E+00                1.145E+01

  0.000E+00  6.999E-02 ( 1.398E-01 )  5.426E-02 ( 1.450E-01 )  4.071E-02 ( 1.515E-01 )
  3.981E-02  6.999E-02 ( 1.397E-01 )  5.426E-02 ( 1.449E-01 )  4.071E-02 ( 1.514E-01 )
  6.310E-02  6.999E-02 ( 1.397E-01 )  5.426E-02 ( 1.449E-01 )  4.071E-02 ( 1.514E-01 )
  1.000E-01  6.998E-02 ( 1.396E-01 )  5.425E-02 ( 1.448E-01 )  4.070E-02 ( 1.513E-01 )
  1.585E-01  6.996E-02 ( 1.395E-01 )  5.424E-02 ( 1.447E-01 )  4.070E-02 ( 1.512E-01 )
  2.512E-01  6.992E-02 ( 1.391E-01 )  5.422E-02 ( 1.442E-01 )  4.069E-02 ( 1.506E-01 )
  3.981E-01  6.980E-02 ( 1.380E-01 )  5.417E-02 ( 1.430E-01 )  4.067E-02 ( 1.492E-01 )
  6.310E-01  6.951E-02 ( 1.353E-01 )  5.404E-02 ( 1.399E-01 )  4.062E-02 ( 1.456E-01 )
  1.000E+00  6.878E-02 ( 1.287E-01 )  5.371E-02 ( 1.324E-01 )  4.048E-02 ( 1.368E-01 )
  1.585E+00  6.699E-02 ( 1.130E-01 )  5.290E-02 ( 1.148E-01 )  4.015E-02 ( 1.168E-01 )
  2.512E+00  6.271E-02 ( 8.176E-02 )  5.092E-02 ( 8.103E-02 )  3.932E-02 ( 8.013E-02 )
  3.981E+00  5.319E-02 ( 4.125E-02 )  4.628E-02 ( 3.966E-02 )  3.731E-02 ( 3.783E-02 )
  6.310E+00  3.551E-02 ( 1.427E-02 )  3.647E-02 ( 1.354E-02 )  3.273E-02 ( 1.270E-02 )
  1.000E+01  1.382E-02 ( 4.234E-03 )  2.033E-02 ( 4.048E-03 )  2.359E-02 ( 3.813E-03 )
  1.585E+01  2.385E-03 ( 1.251E-03 )  5.272E-03 ( 1.213E-03 )  1.055E-02 ( 1.157E-03 )
  2.512E+01  4.492E-04 ( 3.778E-04 )  6.049E-04 ( 3.715E-04 )  1.689E-03 ( 3.596E-04 )
  3.981E+01  1.196E-04 ( 1.121E-04 )  1.308E-04 ( 1.152E-04 )  1.565E-04 ( 1.133E-04 )
  6.310E+01  3.547E-05 ( 3.471E-05 )  3.653E-05 ( 3.475E-05 )  3.845E-05 ( 3.473E-05 )
  1.000E+02  1.101E-05 ( 1.091E-05 )  1.110E-05 ( 1.091E-05 )  1.130E-05 ( 1.091E-05 )
  1.585E+02  3.454E-06 ( 3.442E-06 )  3.467E-06 ( 3.442E-06 )  3.491E-06 ( 3.442E-06 )
  2.512E+02  1.089E-06 ( 1.088E-06 )  1.091E-06 ( 1.088E-06 )  1.094E-06 ( 1.088E-06 )
  3.981E+02  3.442E-07 ( 3.441E-07 )  3.444E-07 ( 3.441E-07 )  3.448E-07 ( 3.441E-07 )
  6.310E+02  1.090E-07 ( 1.089E-07 )  1.090E-07 ( 1.089E-07 )  1.090E-07 ( 1.089E-07 )
  1.000E+03  3.454E-08 ( 3.453E-08 )  3.454E-08 ( 3.453E-08 )  3.455E-08 ( 3.453E-08 )
