           N LOWER =  1  N UPPER=  2  WAVELENGTH (angstroms)=  1215.68
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   6.731E-06

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         1.216E-04                9.755E-05                8.036E-05
width incl.Dop.     3.758E-01                5.348E-01                7.607E-01

  0.000E+00  1.258E+00 ( 2.713E+03 )  8.879E-01 ( 3.296E+03 )  6.279E-01 ( 4.084E+03 )
  6.310E-06  1.258E+00 ( 2.703E+03 )  8.879E-01 ( 3.269E+03 )  6.279E-01 ( 4.028E+03 )
  1.000E-05  1.258E+00 ( 2.688E+03 )  8.879E-01 ( 3.229E+03 )  6.279E-01 ( 3.992E+03 )
  1.585E-05  1.258E+00 ( 2.651E+03 )  8.879E-01 ( 3.181E+03 )  6.279E-01 ( 3.900E+03 )
  2.512E-05  1.258E+00 ( 2.584E+03 )  8.879E-01 ( 3.064E+03 )  6.279E-01 ( 3.685E+03 )
  3.981E-05  1.258E+00 ( 2.428E+03 )  8.879E-01 ( 2.804E+03 )  6.279E-01 ( 3.234E+03 )
  6.310E-05  1.258E+00 ( 2.105E+03 )  8.879E-01 ( 2.309E+03 )  6.279E-01 ( 2.471E+03 )
  1.000E-04  1.258E+00 ( 1.581E+03 )  8.879E-01 ( 1.601E+03 )  6.279E-01 ( 1.554E+03 )
  1.585E-04  1.258E+00 ( 9.730E+02 )  8.879E-01 ( 9.048E+02 )  6.279E-01 ( 8.046E+02 )
  2.512E-04  1.258E+00 ( 4.962E+02 )  8.879E-01 ( 4.313E+02 )  6.279E-01 ( 3.648E+02 )
  3.981E-04  1.258E+00 ( 2.215E+02 )  8.879E-01 ( 1.870E+02 )  6.279E-01 ( 1.531E+02 )
  6.310E-04  1.258E+00 ( 9.293E+01 )  8.879E-01 ( 7.683E+01 )  6.279E-01 ( 6.220E+01 )
  1.000E-03  1.258E+00 ( 3.751E+01 )  8.879E-01 ( 3.091E+01 )  6.279E-01 ( 2.490E+01 )
  1.585E-03  1.258E+00 ( 1.488E+01 )  8.879E-01 ( 1.225E+01 )  6.279E-01 ( 9.871E+00 )
  2.512E-03  1.258E+00 ( 5.798E+00 )  8.879E-01 ( 4.779E+00 )  6.279E-01 ( 3.880E+00 )
  3.981E-03  1.258E+00 ( 2.219E+00 )  8.878E-01 ( 1.839E+00 )  6.279E-01 ( 1.491E+00 )
  6.310E-03  1.258E+00 ( 8.234E-01 )  8.878E-01 ( 6.892E-01 )  6.279E-01 ( 5.631E-01 )
  1.000E-02  1.257E+00 ( 2.975E-01 )  8.877E-01 ( 2.524E-01 )  6.278E-01 ( 2.089E-01 )
  1.585E-02  1.256E+00 ( 1.047E-01 )  8.873E-01 ( 9.060E-02 )  6.277E-01 ( 7.600E-02 )
  2.512E-02  1.254E+00 ( 3.610E-02 )  8.865E-01 ( 3.189E-02 )  6.274E-01 ( 2.726E-02 )
  3.981E-02  1.248E+00 ( 1.219E-02 )  8.844E-01 ( 1.104E-02 )  6.267E-01 ( 9.638E-03 )
  6.310E-02  1.233E+00 ( 3.927E-03 )  8.792E-01 ( 3.749E-03 )  6.248E-01 ( 3.355E-03 )
  1.000E-01  1.197E+00 ( 1.278E-03 )  8.663E-01 ( 1.254E-03 )  6.202E-01 ( 1.150E-03 )
  1.585E-01  1.112E+00 ( 4.176E-04 )  8.346E-01 ( 3.994E-04 )  6.088E-01 ( 3.873E-04 )
  2.512E-01  9.220E-01 ( 1.369E-04 )  7.602E-01 ( 1.302E-04 )  5.810E-01 ( 1.248E-04 )
  3.981E-01  5.765E-01 ( 4.500E-05 )  6.011E-01 ( 4.255E-05 )  5.166E-01 ( 4.057E-05 )
  6.310E-01  1.772E-01 ( 1.484E-05 )  3.333E-01 ( 1.396E-05 )  3.847E-01 ( 1.323E-05 )
  1.000E+00  9.164E-03 ( 4.906E-06 )  7.575E-02 ( 4.594E-06 )  1.834E-01 ( 4.332E-06 )
  1.585E+00  7.355E-06 ( 1.625E-06 )  1.835E-03 ( 1.516E-06 )  2.853E-02 ( 1.423E-06 )
  2.512E+00  5.778E-07 ( 5.390E-07 )  7.446E-07 ( 5.017E-07 )  2.669E-04 ( 4.689E-07 )
  3.981E+00  1.836E-07 ( 1.788E-07 )  1.756E-07 ( 1.663E-07 )  1.764E-07 ( 1.550E-07 )
  6.310E+00  5.987E-08 ( 5.926E-08 )  5.637E-08 ( 5.521E-08 )  5.359E-08 ( 5.135E-08 )
  1.000E+01  1.965E-08 ( 1.957E-08 )  1.846E-08 ( 1.831E-08 )  1.732E-08 ( 1.703E-08 )
  1.585E+01  6.436E-09 ( 6.426E-09 )  6.077E-09 ( 6.057E-09 )  5.689E-09 ( 5.653E-09 )
  2.512E+01  2.097E-09 ( 2.096E-09 )  1.998E-09 ( 1.995E-09 )  1.878E-09 ( 1.873E-09 )
  3.981E+01  6.737E-10 ( 6.737E-10 )  6.537E-10 ( 6.534E-10 )  6.195E-10 ( 6.189E-10 )
  6.310E+01  2.132E-10 ( 2.132E-10 )  2.122E-10 ( 2.122E-10 )  2.034E-10 ( 2.033E-10 )
  1.000E+02                           6.747E-11 ( 6.747E-11 )  6.635E-11 ( 6.634E-11 )
  1.585E+02                                                    2.137E-11 ( 2.137E-11 )
  2.512E+02                                                    6.771E-12 ( 6.771E-12 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-02                3.716E-02                2.630E-02
width Stark         6.230E-05                5.014E-05                3.820E-05
width incl.Dop.     1.071E+00                1.499E+00                2.131E+00

  0.000E+00  4.439E-01 ( 5.133E+03 )  3.144E-01 ( 6.532E+03 )  2.225E-01 ( 8.396E+03 )
  3.981E-06  4.439E-01 ( 5.055E+03 )  3.144E-01 ( 6.436E+03 )  2.225E-01 ( 8.257E+03 )
  6.310E-06  4.439E-01 ( 5.028E+03 )  3.144E-01 ( 6.376E+03 )  2.225E-01 ( 8.127E+03 )
  1.000E-05  4.439E-01 ( 4.954E+03 )  3.144E-01 ( 6.227E+03 )  2.225E-01 ( 7.814E+03 )
  1.585E-05  4.439E-01 ( 4.778E+03 )  3.144E-01 ( 5.875E+03 )  2.225E-01 ( 7.096E+03 )
  2.512E-05  4.439E-01 ( 4.383E+03 )  3.144E-01 ( 5.145E+03 )  2.225E-01 ( 5.809E+03 )
  3.981E-05  4.439E-01 ( 3.627E+03 )  3.144E-01 ( 3.916E+03 )  2.225E-01 ( 4.000E+03 )
  6.310E-05  4.439E-01 ( 2.529E+03 )  3.144E-01 ( 2.451E+03 )  2.225E-01 ( 2.243E+03 )
