           N LOWER =  1  N UPPER=  3  WAVELENGTH (angstroms)=  1025.73
                electronic density(1/cm**3)       1.000E+15
                conversion factor for wlengths=f0 1.251E+01
                wings factor                  =   3.586E-05

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            5.680E-01                4.017E-01                2.840E-01
width Stark         2.083E-03                2.158E-03                2.185E-03
width incl.Dop.     2.645E-03                3.180E-03                3.870E-03

  0.000E+00  1.572E+02 ( 1.726E+02 )  1.355E+02 ( 1.666E+02 )  1.128E+02 ( 1.667E+02 )
  1.000E-04  1.570E+02 ( 1.741E+02 )  1.354E+02 ( 1.678E+02 )  1.127E+02 ( 1.681E+02 )
  1.585E-04  1.568E+02 ( 1.761E+02 )  1.352E+02 ( 1.696E+02 )  1.126E+02 ( 1.701E+02 )
  2.512E-04  1.561E+02 ( 1.803E+02 )  1.348E+02 ( 1.742E+02 )  1.124E+02 ( 1.739E+02 )
  3.981E-04  1.546E+02 ( 1.865E+02 )  1.339E+02 ( 1.804E+02 )  1.119E+02 ( 1.796E+02 )
  6.310E-04  1.507E+02 ( 1.893E+02 )  1.315E+02 ( 1.844E+02 )  1.106E+02 ( 1.829E+02 )
  1.000E-03  1.415E+02 ( 1.738E+02 )  1.258E+02 ( 1.722E+02 )  1.075E+02 ( 1.713E+02 )
  1.585E-03  1.209E+02 ( 1.267E+02 )  1.126E+02 ( 1.291E+02 )  9.998E+01 ( 1.298E+02 )
  2.512E-03  8.274E+01 ( 6.705E+01 )  8.593E+01 ( 6.942E+01 )  8.358E+01 ( 7.057E+01 )
  3.981E-03  3.711E+01 ( 2.726E+01 )  4.596E+01 ( 2.788E+01 )  5.418E+01 ( 2.804E+01 )
  6.310E-03  1.143E+01 ( 9.657E+00 )  1.421E+01 ( 9.579E+00 )  2.067E+01 ( 9.396E+00 )
  1.000E-02  3.472E+00 ( 3.250E+00 )  3.642E+00 ( 3.141E+00 )  4.387E+00 ( 3.012E+00 )
  1.585E-02  1.111E+00 ( 1.083E+00 )  1.047E+00 ( 9.873E-01 )  1.059E+00 ( 9.315E-01 )
  2.512E-02  3.451E-01 ( 3.412E-01 )  3.308E-01 ( 3.244E-01 )  3.177E-01 ( 3.052E-01 )
  3.981E-02  1.121E-01 ( 1.117E-01 )  1.077E-01 ( 1.068E-01 )  1.024E-01 ( 1.008E-01 )
  6.310E-02  3.624E-02 ( 3.618E-02 )  3.508E-02 ( 3.497E-02 )  3.354E-02 ( 3.334E-02 )
  1.000E-01  1.138E-02 ( 1.137E-02 )  1.140E-02 ( 1.139E-02 )  1.096E-02 ( 1.093E-02 )
  1.585E-01  3.594E-03 ( 3.593E-03 )  3.596E-03 ( 3.594E-03 )  3.557E-03 ( 3.554E-03 )
  2.512E-01                                                    1.136E-03 ( 1.136E-03 )
  3.981E-01                                                    3.596E-04 ( 3.596E-04 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            2.011E-01                1.424E-01                1.008E-01
width Stark         2.159E-03                2.080E-03                1.934E-03
width incl.Dop.     5.019E-03                6.587E-03                8.889E-03

  0.000E+00  9.027E+01 ( 1.721E+02 )  6.957E+01 ( 1.829E+02 )  5.210E+01 ( 1.989E+02 )
  1.585E-04  9.021E+01 ( 1.753E+02 )  6.955E+01 ( 1.858E+02 )  5.209E+01 ( 2.019E+02 )
  2.512E-04  9.011E+01 ( 1.787E+02 )  6.950E+01 ( 1.888E+02 )  5.207E+01 ( 2.036E+02 )
  3.981E-04  8.986E+01 ( 1.836E+02 )  6.939E+01 ( 1.922E+02 )  5.203E+01 ( 2.054E+02 )
  6.310E-04  8.923E+01 ( 1.856E+02 )  6.912E+01 ( 1.914E+02 )  5.191E+01 ( 2.009E+02 )
  1.000E-03  8.769E+01 ( 1.722E+02 )  6.844E+01 ( 1.740E+02 )  5.164E+01 ( 1.774E+02 )
  1.585E-03  8.393E+01 ( 1.297E+02 )  6.675E+01 ( 1.282E+02 )  5.094E+01 ( 1.258E+02 )
  2.512E-03  7.523E+01 ( 7.007E+01 )  6.271E+01 ( 6.807E+01 )  4.924E+01 ( 6.447E+01 )
  3.981E-03  5.738E+01 ( 2.750E+01 )  5.365E+01 ( 2.644E+01 )  4.522E+01 ( 2.474E+01 )
  6.310E-03  2.990E+01 ( 9.086E+00 )  3.644E+01 ( 8.698E+00 )  3.654E+01 ( 8.193E+00 )
  1.000E-02  7.416E+00 ( 2.874E+00 )  1.440E+01 ( 2.736E+00 )  2.153E+01 ( 2.595E+00 )
