           N LOWER =  1  N UPPER=  5  WAVELENGTH (angstroms)=   949.75
                electronic density(1/cm**3)       3.162E+15
                conversion factor for wlengths=f0 2.696E+01
                wings factor                  =   1.563E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            6.882E-01                4.866E-01                3.441E-01
width Stark         6.146E-03                6.549E-03                6.743E-03
width incl.Dop.     6.197E-03                6.710E-03                7.011E-03

  0.000E+00  6.107E+01 ( 6.055E+01 )  5.787E+01 ( 5.699E+01 )  5.670E+01 ( 5.512E+01 )
  2.512E-04  6.112E+01 ( 6.070E+01 )  5.789E+01 ( 5.712E+01 )  5.670E+01 ( 5.539E+01 )
  3.981E-04  6.118E+01 ( 6.092E+01 )  5.793E+01 ( 5.731E+01 )  5.670E+01 ( 5.580E+01 )
  6.310E-04  6.130E+01 ( 6.134E+01 )  5.801E+01 ( 5.779E+01 )  5.668E+01 ( 5.660E+01 )
  1.000E-03  6.135E+01 ( 6.182E+01 )  5.823E+01 ( 5.899E+01 )  5.657E+01 ( 5.781E+01 )
  1.585E-03  6.052E+01 ( 6.115E+01 )  5.780E+01 ( 5.896E+01 )  5.596E+01 ( 5.818E+01 )
  2.512E-03  5.623E+01 ( 5.657E+01 )  5.457E+01 ( 5.522E+01 )  5.327E+01 ( 5.470E+01 )
  3.981E-03  4.581E+01 ( 4.573E+01 )  4.548E+01 ( 4.547E+01 )  4.532E+01 ( 4.537E+01 )
  6.310E-03  2.990E+01 ( 2.979E+01 )  3.080E+01 ( 3.049E+01 )  3.131E+01 ( 3.091E+01 )
  1.000E-02  1.461E+01 ( 1.453E+01 )  1.527E+01 ( 1.512E+01 )  1.573E+01 ( 1.539E+01 )
  1.585E-02  5.485E+00 ( 5.464E+00 )  5.685E+00 ( 5.643E+00 )  5.766E+00 ( 5.670E+00 )
  2.512E-02  1.803E+00 ( 1.799E+00 )  1.836E+00 ( 1.829E+00 )  1.829E+00 ( 1.815E+00 )
  3.981E-02  5.736E-01 ( 5.732E-01 )  5.739E-01 ( 5.731E-01 )  5.658E-01 ( 5.641E-01 )
  6.310E-02  1.625E-01 ( 1.624E-01 )  1.630E-01 ( 1.629E-01 )  1.730E-01 ( 1.728E-01 )
  1.000E-01  5.055E-02 ( 5.054E-02 )  5.058E-02 ( 5.057E-02 )  5.065E-02 ( 5.062E-02 )
  1.585E-01  1.574E-02 ( 1.574E-02 )  1.576E-02 ( 1.576E-02 )  1.576E-02 ( 1.576E-02 )
  2.512E-01  4.972E-03 ( 4.972E-03 )  4.975E-03 ( 4.975E-03 )  4.976E-03 ( 4.976E-03 )
  3.981E-01                           1.574E-03 ( 1.574E-03 )  1.574E-03 ( 1.574E-03 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            2.436E-01                1.725E-01                1.221E-01
width Stark         6.766E-03                6.676E-03                6.506E-03
width incl.Dop.     7.174E-03                7.391E-03                7.817E-03

  0.000E+00  5.629E+01 ( 5.454E+01 )  5.561E+01 ( 5.505E+01 )  5.355E+01 ( 5.651E+01 )
