           N LOWER =  1  N UPPER=  8  WAVELENGTH (angstroms)=   926.24
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   6.238E-04

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         1.476E-02                1.461E-02                1.429E-02
width incl.Dop.     1.372E-01                1.933E-01                2.708E-01

  0.000E+00  3.425E+00 ( 2.638E+01 )  2.456E+00 ( 2.686E+01 )  1.751E+00 ( 2.761E+01 )
  6.310E-04  3.425E+00 ( 2.635E+01 )  2.456E+00 ( 2.681E+01 )  1.751E+00 ( 2.756E+01 )
  1.000E-03  3.425E+00 ( 2.628E+01 )  2.456E+00 ( 2.674E+01 )  1.751E+00 ( 2.749E+01 )
  1.585E-03  3.425E+00 ( 2.611E+01 )  2.456E+00 ( 2.657E+01 )  1.751E+00 ( 2.732E+01 )
  2.512E-03  3.425E+00 ( 2.569E+01 )  2.456E+00 ( 2.615E+01 )  1.751E+00 ( 2.688E+01 )
  3.981E-03  3.423E+00 ( 2.475E+01 )  2.455E+00 ( 2.520E+01 )  1.751E+00 ( 2.587E+01 )
  6.310E-03  3.420E+00 ( 2.266E+01 )  2.454E+00 ( 2.304E+01 )  1.750E+00 ( 2.358E+01 )
  1.000E-02  3.413E+00 ( 1.848E+01 )  2.451E+00 ( 1.872E+01 )  1.749E+00 ( 1.901E+01 )
  1.585E-02  3.393E+00 ( 1.198E+01 )  2.444E+00 ( 1.200E+01 )  1.747E+00 ( 1.192E+01 )
  2.512E-02  3.345E+00 ( 5.556E+00 )  2.427E+00 ( 5.436E+00 )  1.740E+00 ( 5.232E+00 )
  3.981E-02  3.228E+00 ( 1.944E+00 )  2.383E+00 ( 1.859E+00 )  1.724E+00 ( 1.762E+00 )
  6.310E-02  2.951E+00 ( 6.149E-01 )  2.276E+00 ( 5.804E-01 )  1.685E+00 ( 5.455E-01 )
  1.000E-01  2.357E+00 ( 1.848E-01 )  2.029E+00 ( 1.735E-01 )  1.589E+00 ( 1.625E-01 )
