           N LOWER =  3  N UPPER=  4  WAVELENGTH (angstroms)= 18756.27
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   1.018E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         2.168E-01                2.152E-01                2.073E-01
width incl.Dop.     4.017E-01                5.118E-01                6.523E-01

  0.000E+00  9.994E-01 ( 1.582E+00 )  8.316E-01 ( 1.602E+00 )  6.708E-01 ( 1.669E+00 )
  1.000E-02  9.989E-01 ( 1.578E+00 )  8.314E-01 ( 1.598E+00 )  6.707E-01 ( 1.668E+00 )
  1.585E-02  9.982E-01 ( 1.572E+00 )  8.310E-01 ( 1.591E+00 )  6.705E-01 ( 1.660E+00 )
  2.512E-02  9.964E-01 ( 1.556E+00 )  8.301E-01 ( 1.574E+00 )  6.700E-01 ( 1.644E+00 )
  3.981E-02  9.919E-01 ( 1.523E+00 )  8.278E-01 ( 1.540E+00 )  6.689E-01 ( 1.605E+00 )
  6.310E-02  9.807E-01 ( 1.445E+00 )  8.220E-01 ( 1.461E+00 )  6.662E-01 ( 1.518E+00 )
  1.000E-01  9.532E-01 ( 1.284E+00 )  8.078E-01 ( 1.297E+00 )  6.593E-01 ( 1.337E+00 )
  1.585E-01  8.883E-01 ( 1.009E+00 )  7.732E-01 ( 1.017E+00 )  6.425E-01 ( 1.031E+00 )
  2.512E-01  7.483E-01 ( 6.621E-01 )  6.937E-01 ( 6.638E-01 )  6.022E-01 ( 6.579E-01 )
  3.981E-01  5.039E-01 ( 3.558E-01 )  5.332E-01 ( 3.535E-01 )  5.127E-01 ( 3.419E-01 )
  6.310E-01  2.299E-01 ( 1.602E-01 )  2.928E-01 ( 1.574E-01 )  3.471E-01 ( 1.494E-01 )
  1.000E+00  7.586E-02 ( 6.247E-02 )  9.596E-02 ( 6.076E-02 )  1.440E-01 ( 5.722E-02 )
  1.585E+00  2.382E-02 ( 2.188E-02 )  2.554E-02 ( 2.117E-02 )  3.223E-02 ( 1.999E-02 )
  2.512E+00  7.484E-03 ( 7.227E-03 )  7.494E-03 ( 6.967E-03 )  7.751E-03 ( 6.625E-03 )
  3.981E+00  2.383E-03 ( 2.351E-03 )  2.314E-03 ( 2.250E-03 )  2.276E-03 ( 2.147E-03 )
  6.310E+00  7.712E-04 ( 7.671E-04 )  7.365E-04 ( 7.286E-04 )  7.103E-04 ( 6.949E-04 )
  1.000E+01  2.474E-04 ( 2.468E-04 )  2.332E-04 ( 2.321E-04 )  2.210E-04 ( 2.189E-04 )
  1.585E+01  8.219E-05 ( 8.212E-05 )  7.689E-05 ( 7.677E-05 )  7.216E-05 ( 7.193E-05 )
  2.512E+01  2.733E-05 ( 2.733E-05 )  2.552E-05 ( 2.550E-05 )  2.382E-05 ( 2.379E-05 )
  3.981E+01  9.067E-06 ( 9.066E-06 )  8.476E-06 ( 8.473E-06 )  7.897E-06 ( 7.893E-06 )
  6.310E+01  2.991E-06 ( 2.991E-06 )  2.810E-06 ( 2.810E-06 )  2.621E-06 ( 2.621E-06 )
  1.000E+02  9.805E-07 ( 9.804E-07 )  9.287E-07 ( 9.287E-07 )  8.697E-07 ( 8.696E-07 )
  1.585E+02  3.191E-07 ( 3.191E-07 )  3.055E-07 ( 3.055E-07 )  2.880E-07 ( 2.880E-07 )
  2.512E+02  1.031E-07 ( 1.031E-07 )  9.990E-08 ( 9.990E-08 )  9.509E-08 ( 9.509E-08 )
  3.981E+02  3.261E-08 ( 3.261E-08 )  3.249E-08 ( 3.249E-08 )  3.128E-08 ( 3.128E-08 )
  6.310E+02                           1.051E-08 ( 1.051E-08 )  1.023E-08 ( 1.023E-08 )
  1.000E+03                           3.324E-09 ( 3.324E-09 )  3.336E-09 ( 3.336E-09 )
  1.585E+03                           1.070E-09 ( 1.070E-09 )  1.070E-09 ( 1.070E-09 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         1.902E-01                1.640E-01                1.406E-01
width incl.Dop.     8.613E-01                1.169E+00                1.578E+00

  0.000E+00  5.237E-01 ( 1.816E+00 )  3.963E-01 ( 2.051E+00 )  2.928E-01 ( 2.396E+00 )
  6.310E-03  5.237E-01 ( 1.814E+00 )  3.963E-01 ( 2.048E+00 )  2.928E-01 ( 2.396E+00 )
  1.000E-02  5.237E-01 ( 1.812E+00 )  3.963E-01 ( 2.043E+00 )  2.928E-01 ( 2.380E+00 )
  1.585E-02  5.236E-01 ( 1.801E+00 )  3.963E-01 ( 2.035E+00 )  2.928E-01 ( 2.367E+00 )
  2.512E-02  5.234E-01 ( 1.783E+00 )  3.962E-01 ( 2.001E+00 )  2.927E-01 ( 2.320E+00 )
  3.981E-02  5.229E-01 ( 1.735E+00 )  3.960E-01 ( 1.932E+00 )  2.926E-01 ( 2.211E+00 )
  6.310E-02  5.217E-01 ( 1.623E+00 )  3.955E-01 ( 1.780E+00 )  2.925E-01 ( 1.981E+00 )
  1.000E-01  5.186E-01 ( 1.402E+00 )  3.942E-01 ( 1.487E+00 )  2.920E-01 ( 1.571E+00 )
  1.585E-01  5.111E-01 ( 1.047E+00 )  3.911E-01 ( 1.052E+00 )  2.907E-01 ( 1.034E+00 )
  2.512E-01  4.925E-01 ( 6.400E-01 )  3.833E-01 ( 6.060E-01 )  2.876E-01 ( 5.544E-01 )
  3.981E-01  4.491E-01 ( 3.202E-01 )  3.644E-01 ( 2.893E-01 )  2.800E-01 ( 2.521E-01 )
  6.310E-01  3.571E-01 ( 1.367E-01 )  3.211E-01 ( 1.205E-01 )  2.619E-01 ( 1.027E-01 )
  1.000E+00  2.045E-01 ( 5.203E-02 )  2.344E-01 ( 4.569E-02 )  2.213E-01 ( 3.889E-02 )
  1.585E+00  5.890E-02 ( 1.835E-02 )  1.088E-01 ( 1.632E-02 )  1.455E-01 ( 1.408E-02 )
  2.512E+00  9.250E-03 ( 6.180E-03 )  2.000E-02 ( 5.611E-03 )  5.215E-02 ( 4.947E-03 )
  3.981E+00  2.295E-03 ( 2.032E-03 )  2.528E-03 ( 1.886E-03 )  5.687E-03 ( 1.703E-03 )
  6.310E+00  6.917E-04 ( 6.614E-04 )  6.843E-04 ( 6.235E-04 )  7.079E-04 ( 5.756E-04 )
  1.000E+01  2.117E-04 ( 2.077E-04 )  2.115E-04 ( 2.043E-04 )  2.059E-04 ( 1.918E-04 )
  1.585E+01  6.821E-05 ( 6.777E-05 )  6.527E-05 ( 6.430E-05 )  6.331E-05 ( 6.147E-05 )
  2.512E+01  2.235E-05 ( 2.229E-05 )  2.112E-05 ( 2.102E-05 )  2.018E-05 ( 1.997E-05 )
  3.981E+01  7.375E-06 ( 7.367E-06 )  6.925E-06 ( 6.910E-06 )  6.555E-06 ( 6.527E-06 )
