           N LOWER =  3  N UPPER=  7  WAVELENGTH (angstroms)= 10052.19
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   4.001E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         1.014E+00                9.931E-01                9.601E-01
width incl.Dop.     1.956E+00                2.453E+00                3.265E+00

  0.000E+00  2.252E-01 ( 3.810E-01 )  1.815E-01 ( 3.899E-01 )  1.406E-01 ( 4.048E-01 )
  3.981E-02  2.251E-01 ( 3.807E-01 )  1.815E-01 ( 3.895E-01 )  1.406E-01 ( 4.045E-01 )
  6.310E-02  2.250E-01 ( 3.802E-01 )  1.814E-01 ( 3.889E-01 )  1.405E-01 ( 4.038E-01 )
  1.000E-01  2.248E-01 ( 3.787E-01 )  1.813E-01 ( 3.873E-01 )  1.405E-01 ( 4.019E-01 )
  1.585E-01  2.241E-01 ( 3.747E-01 )  1.810E-01 ( 3.829E-01 )  1.403E-01 ( 3.968E-01 )
  2.512E-01  2.224E-01 ( 3.639E-01 )  1.802E-01 ( 3.712E-01 )  1.400E-01 ( 3.837E-01 )
  3.981E-01  2.183E-01 ( 3.376E-01 )  1.781E-01 ( 3.433E-01 )  1.391E-01 ( 3.530E-01 )
  6.310E-01  2.084E-01 ( 2.827E-01 )  1.731E-01 ( 2.864E-01 )  1.368E-01 ( 2.914E-01 )
  1.000E+00  1.855E-01 ( 1.929E-01 )  1.613E-01 ( 1.932E-01 )  1.314E-01 ( 1.916E-01 )
  1.585E+00  1.396E-01 ( 9.538E-02 )  1.351E-01 ( 9.348E-02 )  1.187E-01 ( 8.967E-02 )
  2.512E+00  7.206E-02 ( 3.499E-02 )  8.774E-02 ( 3.366E-02 )  9.211E-02 ( 3.182E-02 )
  3.981E+00  1.987E-02 ( 1.120E-02 )  3.254E-02 ( 1.065E-02 )  4.957E-02 ( 1.008E-02 )
  6.310E+00  4.309E-03 ( 3.530E-03 )  5.731E-03 ( 3.327E-03 )  1.216E-02 ( 3.138E-03 )
  1.000E+01  1.174E-03 ( 1.091E-03 )  1.199E-03 ( 1.021E-03 )  1.475E-03 ( 9.560E-04 )
  1.585E+01  3.656E-04 ( 3.571E-04 )  3.505E-04 ( 3.336E-04 )  3.466E-04 ( 3.111E-04 )
