           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   5.549E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         1.293E+00                1.267E+00                1.217E+00
width incl.Dop.     3.485E+00                4.672E+00                6.257E+00

  0.000E+00  1.295E-01 ( 3.051E-01 )  9.914E-02 ( 3.130E-01 )  7.378E-02 ( 3.260E-01 )
  6.310E-02  1.295E-01 ( 3.045E-01 )  9.912E-02 ( 3.123E-01 )  7.377E-02 ( 3.252E-01 )
  1.000E-01  1.294E-01 ( 3.034E-01 )  9.910E-02 ( 3.111E-01 )  7.376E-02 ( 3.239E-01 )
  1.585E-01  1.293E-01 ( 3.007E-01 )  9.905E-02 ( 3.083E-01 )  7.374E-02 ( 3.209E-01 )
  2.512E-01  1.290E-01 ( 2.944E-01 )  9.893E-02 ( 3.018E-01 )  7.369E-02 ( 3.138E-01 )
  3.981E-01  1.283E-01 ( 2.804E-01 )  9.861E-02 ( 2.872E-01 )  7.357E-02 ( 2.976E-01 )
  6.310E-01  1.265E-01 ( 2.500E-01 )  9.783E-02 ( 2.550E-01 )  7.325E-02 ( 2.620E-01 )
  1.000E+00  1.221E-01 ( 1.924E-01 )  9.590E-02 ( 1.944E-01 )  7.247E-02 ( 1.956E-01 )
  1.585E+00  1.116E-01 ( 1.129E-01 )  9.121E-02 ( 1.114E-01 )  7.054E-02 ( 1.079E-01 )
  2.512E+00  8.945E-02 ( 4.710E-02 )  8.045E-02 ( 4.532E-02 )  6.592E-02 ( 4.272E-02 )
  3.981E+00  5.216E-02 ( 1.565E-02 )  5.888E-02 ( 1.488E-02 )  5.563E-02 ( 1.403E-02 )
  6.310E+00  1.549E-02 ( 4.896E-03 )  2.751E-02 ( 4.624E-03 )  3.645E-02 ( 4.362E-03 )
  1.000E+01  2.327E-03 ( 1.487E-03 )  5.113E-03 ( 1.393E-03 )  1.298E-02 ( 1.309E-03 )
  1.585E+01  5.415E-04 ( 4.829E-04 )  6.090E-04 ( 4.508E-04 )  1.407E-03 ( 4.210E-04 )
  2.512E+01  1.654E-04 ( 1.584E-04 )  1.619E-04 ( 1.480E-04 )  1.697E-04 ( 1.378E-04 )
  3.981E+01  5.283E-05 ( 5.199E-05 )  5.040E-05 ( 4.879E-05 )  4.868E-05 ( 4.548E-05 )
  6.310E+01  1.710E-05 ( 1.699E-05 )  1.629E-05 ( 1.608E-05 )  1.544E-05 ( 1.504E-05 )
  1.000E+02  5.527E-06 ( 5.513E-06 )  5.302E-06 ( 5.276E-06 )  5.022E-06 ( 4.971E-06 )
  1.585E+02  1.776E-06 ( 1.774E-06 )  1.723E-06 ( 1.720E-06 )  1.644E-06 ( 1.638E-06 )
  2.512E+02  5.559E-07 ( 5.557E-07 )  5.567E-07 ( 5.562E-07 )  5.369E-07 ( 5.361E-07 )
