           N LOWER =  3  N UPPER= 15  WAVELENGTH (angstroms)=  8547.78
                electronic density(1/cm**3)       1.000E+14
                conversion factor for wlengths=f0 2.696E+00
                wings factor                  =   3.320E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.870E-01                2.736E-01                1.935E-01
width Stark         6.204E+00                6.495E+00                6.629E+00
width incl.Dop.     6.204E+00                6.495E+00                6.629E+00

  0.000E+00  6.409E-02 ( 6.409E-02 )  6.188E-02 ( 6.188E-02 )  6.093E-02 ( 6.093E-02 )
  3.981E-02  6.405E-02 ( 6.405E-02 )  6.184E-02 ( 6.184E-02 )  6.090E-02 ( 6.090E-02 )
  6.310E-02  6.402E-02 ( 6.402E-02 )  6.182E-02 ( 6.182E-02 )  6.088E-02 ( 6.088E-02 )
  1.000E-01  6.398E-02 ( 6.398E-02 )  6.179E-02 ( 6.179E-02 )  6.085E-02 ( 6.085E-02 )
  1.585E-01  6.392E-02 ( 6.392E-02 )  6.173E-02 ( 6.173E-02 )  6.081E-02 ( 6.081E-02 )
  2.512E-01  6.382E-02 ( 6.382E-02 )  6.165E-02 ( 6.165E-02 )  6.073E-02 ( 6.073E-02 )
  3.981E-01  6.367E-02 ( 6.367E-02 )  6.152E-02 ( 6.152E-02 )  6.061E-02 ( 6.061E-02 )
  6.310E-01  6.342E-02 ( 6.342E-02 )  6.131E-02 ( 6.131E-02 )  6.043E-02 ( 6.043E-02 )
  1.000E+00  6.282E-02 ( 6.282E-02 )  6.080E-02 ( 6.080E-02 )  5.997E-02 ( 5.997E-02 )
  1.585E+00  6.120E-02 ( 6.120E-02 )  5.941E-02 ( 5.941E-02 )  5.870E-02 ( 5.870E-02 )
  2.512E+00  5.725E-02 ( 5.725E-02 )  5.595E-02 ( 5.595E-02 )  5.546E-02 ( 5.546E-02 )
  3.981E+00  4.799E-02 ( 4.799E-02 )  4.761E-02 ( 4.761E-02 )  4.747E-02 ( 4.747E-02 )
  6.310E+00  3.128E-02 ( 3.128E-02 )  3.181E-02 ( 3.181E-02 )  3.197E-02 ( 3.197E-02 )
  1.000E+01  1.387E-02 ( 1.387E-02 )  1.437E-02 ( 1.437E-02 )  1.454E-02 ( 1.454E-02 )
  1.585E+01  4.481E-03 ( 4.481E-03 )  4.623E-03 ( 4.623E-03 )  4.681E-03 ( 4.681E-03 )
  2.512E+01  1.296E-03 ( 1.296E-03 )  1.315E-03 ( 1.315E-03 )  1.344E-03 ( 1.344E-03 )
  3.981E+01  3.734E-04 ( 3.734E-04 )  3.745E-04 ( 3.745E-04 )  3.894E-04 ( 3.894E-04 )
  6.310E+01  1.150E-04 ( 1.150E-04 )  1.152E-04 ( 1.152E-04 )  1.155E-04 ( 1.155E-04 )
  1.000E+02  3.633E-05 ( 3.633E-05 )  3.636E-05 ( 3.636E-05 )  3.660E-05 ( 3.660E-05 )
  1.585E+02  1.187E-05 ( 1.187E-05 )  1.188E-05 ( 1.188E-05 )  1.188E-05 ( 1.188E-05 )
  2.512E+02  3.983E-06 ( 3.983E-06 )  3.985E-06 ( 3.985E-06 )  3.985E-06 ( 3.985E-06 )
  3.981E+02  3.697E-06 ( 3.697E-06 )  1.384E-06 ( 1.384E-06 )  1.384E-06 ( 1.384E-06 )
  6.310E+02  1.207E-06 ( 1.207E-06 )  5.060E-07 ( 5.060E-07 )  5.060E-07 ( 5.060E-07 )
  1.000E+03  3.997E-07 ( 3.997E-07 )  3.997E-07 ( 3.997E-07 )  3.997E-07 ( 3.997E-07 )
  1.585E+03  1.350E-07 ( 1.350E-07 )  1.350E-07 ( 1.350E-07 )  1.350E-07 ( 1.350E-07 )
  2.512E+03  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )
  3.981E+03  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )
  6.310E+03  6.026E-09 ( 6.026E-09 )  6.026E-09 ( 6.026E-09 )  6.026E-09 ( 6.026E-09 )
  1.000E+04  2.246E-09 ( 2.246E-09 )  2.246E-09 ( 2.246E-09 )  2.246E-09 ( 2.246E-09 )
  1.585E+04  8.535E-10 ( 8.535E-10 )  8.535E-10 ( 8.535E-10 )  8.535E-10 ( 8.535E-10 )
  2.512E+04  3.292E-10 ( 3.292E-10 )  3.292E-10 ( 3.292E-10 )  3.292E-10 ( 3.292E-10 )
  3.981E+04  1.283E-10 ( 1.283E-10 )  1.283E-10 ( 1.283E-10 )  1.283E-10 ( 1.283E-10 )
  0.000E+00                           5.038E-11 ( 5.038E-11 )  5.038E-11 ( 5.038E-11 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.370E-01                9.698E-02                6.866E-02
width Stark         6.595E+00                6.402E+00                6.155E+00
width incl.Dop.     6.595E+00                6.402E+00                6.155E+00

  0.000E+00  6.103E-02 ( 6.103E-02 )  6.213E-02 ( 6.213E-02 )  6.414E-02 ( 6.414E-02 )
  3.981E-02  6.100E-02 ( 6.100E-02 )  6.210E-02 ( 6.210E-02 )  6.410E-02 ( 6.410E-02 )
  6.310E-02  6.098E-02 ( 6.098E-02 )  6.208E-02 ( 6.208E-02 )  6.409E-02 ( 6.409E-02 )
  1.000E-01  6.095E-02 ( 6.095E-02 )  6.205E-02 ( 6.205E-02 )  6.406E-02 ( 6.406E-02 )
  1.585E-01  6.091E-02 ( 6.091E-02 )  6.201E-02 ( 6.201E-02 )  6.401E-02 ( 6.401E-02 )
  2.512E-01  6.084E-02 ( 6.084E-02 )  6.194E-02 ( 6.194E-02 )  6.393E-02 ( 6.393E-02 )
  3.981E-01  6.073E-02 ( 6.073E-02 )  6.182E-02 ( 6.182E-02 )  6.382E-02 ( 6.382E-02 )
  6.310E-01  6.055E-02 ( 6.055E-02 )  6.165E-02 ( 6.165E-02 )  6.363E-02 ( 6.363E-02 )
  1.000E+00  6.011E-02 ( 6.011E-02 )  6.118E-02 ( 6.118E-02 )  6.311E-02 ( 6.311E-02 )
  1.585E+00  5.882E-02 ( 5.882E-02 )  5.981E-02 ( 5.981E-02 )  6.153E-02 ( 6.153E-02 )
  2.512E+00  5.554E-02 ( 5.554E-02 )  5.626E-02 ( 5.626E-02 )  5.748E-02 ( 5.748E-02 )
  3.981E+00  4.742E-02 ( 4.742E-02 )  4.759E-02 ( 4.759E-02 )  4.788E-02 ( 4.788E-02 )
  6.310E+00  3.185E-02 ( 3.185E-02 )  3.149E-02 ( 3.149E-02 )  3.094E-02 ( 3.094E-02 )
  1.000E+01  1.449E-02 ( 1.449E-02 )  1.417E-02 ( 1.417E-02 )  1.365E-02 ( 1.365E-02 )
  1.585E+01  4.670E-03 ( 4.670E-03 )  4.576E-03 ( 4.576E-03 )  4.407E-03 ( 4.407E-03 )
  2.512E+01  1.343E-03 ( 1.343E-03 )  1.329E-03 ( 1.329E-03 )  1.296E-03 ( 1.296E-03 )
  3.981E+01  3.898E-04 ( 3.898E-04 )  3.886E-04 ( 3.886E-04 )  3.882E-04 ( 3.882E-04 )
  6.310E+01  1.156E-04 ( 1.156E-04 )  1.157E-04 ( 1.157E-04 )  1.187E-04 ( 1.187E-04 )
  1.000E+02  3.660E-05 ( 3.660E-05 )  3.661E-05 ( 3.661E-05 )  3.661E-05 ( 3.661E-05 )
  1.585E+02  1.188E-05 ( 1.188E-05 )  1.188E-05 ( 1.188E-05 )  1.188E-05 ( 1.188E-05 )
  2.512E+02  3.985E-06 ( 3.985E-06 )  3.985E-06 ( 3.985E-06 )  3.985E-06 ( 3.985E-06 )
  3.981E+02  1.384E-06 ( 1.384E-06 )  1.384E-06 ( 1.384E-06 )  1.384E-06 ( 1.384E-06 )
  6.310E+02  5.060E-07 ( 5.060E-07 )  5.060E-07 ( 5.060E-07 )  5.060E-07 ( 5.060E-07 )
  1.000E+03  3.997E-07 ( 3.997E-07 )  3.997E-07 ( 3.997E-07 )  3.997E-07 ( 3.997E-07 )
  1.585E+03  1.350E-07 ( 1.350E-07 )  1.350E-07 ( 1.350E-07 )  1.350E-07 ( 1.350E-07 )
  2.512E+03  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )
  3.981E+03  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )
  6.310E+03  6.026E-09 ( 6.026E-09 )  6.026E-09 ( 6.026E-09 )  6.026E-09 ( 6.026E-09 )
  1.000E+04  2.246E-09 ( 2.246E-09 )  2.246E-09 ( 2.246E-09 )  2.246E-09 ( 2.246E-09 )
  1.585E+04  8.535E-10 ( 8.535E-10 )  8.535E-10 ( 8.535E-10 )  8.535E-10 ( 8.535E-10 )
  2.512E+04  3.292E-10 ( 3.292E-10 )  3.292E-10 ( 3.292E-10 )  3.292E-10 ( 3.292E-10 )
  3.981E+04  1.283E-10 ( 1.283E-10 )  1.283E-10 ( 1.283E-10 )  1.283E-10 ( 1.283E-10 )
  6.310E+04  5.038E-11 ( 5.038E-11 )  5.038E-11 ( 5.038E-11 )  5.038E-11 ( 5.038E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            4.861E-02                3.441E-02                2.436E-02
width Stark         5.896E+00                5.621E+00                5.349E+00
width incl.Dop.     5.896E+00                5.658E+00                5.435E+00

  0.000E+00  6.690E-02 ( 6.690E-02 )  6.988E-02 ( 7.024E-02 )  7.301E-02 ( 7.396E-02 )
  2.512E-02  6.689E-02 ( 6.689E-02 )  6.988E-02 ( 7.023E-02 )  7.301E-02 ( 7.394E-02 )
  3.981E-02  6.688E-02 ( 6.688E-02 )  6.988E-02 ( 7.022E-02 )  7.301E-02 ( 7.393E-02 )
  6.310E-02  6.687E-02 ( 6.687E-02 )  6.988E-02 ( 7.020E-02 )  7.300E-02 ( 7.391E-02 )
  1.000E-01  6.684E-02 ( 6.684E-02 )  6.987E-02 ( 7.017E-02 )  7.299E-02 ( 7.388E-02 )
  1.585E-01  6.681E-02 ( 6.681E-02 )  6.985E-02 ( 7.013E-02 )  7.296E-02 ( 7.384E-02 )
  2.512E-01  6.676E-02 ( 6.676E-02 )  6.979E-02 ( 7.007E-02 )  7.290E-02 ( 7.376E-02 )
  3.981E-01  6.667E-02 ( 6.667E-02 )  6.965E-02 ( 6.996E-02 )  7.273E-02 ( 7.365E-02 )
  6.310E-01  6.643E-02 ( 6.643E-02 )  6.931E-02 ( 6.967E-02 )  7.230E-02 ( 7.330E-02 )
  1.000E+00  6.571E-02 ( 6.571E-02 )  6.842E-02 ( 6.879E-02 )  7.124E-02 ( 7.220E-02 )
  1.585E+00  6.383E-02 ( 6.383E-02 )  6.618E-02 ( 6.651E-02 )  6.860E-02 ( 6.945E-02 )
  2.512E+00  5.908E-02 ( 5.908E-02 )  6.058E-02 ( 6.089E-02 )  6.228E-02 ( 6.285E-02 )
  3.981E+00  4.826E-02 ( 4.826E-02 )  4.867E-02 ( 4.864E-02 )  4.902E-02 ( 4.899E-02 )
  6.310E+00  3.025E-02 ( 3.025E-02 )  2.960E-02 ( 2.944E-02 )  2.897E-02 ( 2.855E-02 )
  1.000E+01  1.299E-02 ( 1.299E-02 )  1.236E-02 ( 1.225E-02 )  1.171E-02 ( 1.149E-02 )
  1.585E+01  4.178E-03 ( 4.178E-03 )  3.933E-03 ( 3.913E-03 )  3.675E-03 ( 3.636E-03 )
  2.512E+01  1.244E-03 ( 1.244E-03 )  1.179E-03 ( 1.177E-03 )  1.106E-03 ( 1.101E-03 )
  3.981E+01  3.784E-04 ( 3.784E-04 )  3.633E-04 ( 3.630E-04 )  3.442E-04 ( 3.436E-04 )
  6.310E+01  1.174E-04 ( 1.174E-04 )  1.153E-04 ( 1.152E-04 )  1.107E-04 ( 1.106E-04 )
  1.000E+02  3.662E-05 ( 3.662E-05 )  3.702E-05 ( 3.701E-05 )  3.610E-05 ( 3.609E-05 )
  1.585E+02  1.188E-05 ( 1.188E-05 )  1.188E-05 ( 1.188E-05 )  1.192E-05 ( 1.192E-05 )
  2.512E+02  3.984E-06 ( 3.984E-06 )  3.984E-06 ( 3.984E-06 )  4.039E-06 ( 4.039E-06 )
  3.981E+02  1.384E-06 ( 1.384E-06 )  1.384E-06 ( 1.384E-06 )  1.384E-06 ( 1.384E-06 )
  6.310E+02  5.059E-07 ( 5.059E-07 )  5.059E-07 ( 5.059E-07 )  5.059E-07 ( 5.059E-07 )
  1.000E+03  3.996E-07 ( 3.996E-07 )  3.996E-07 ( 3.996E-07 )  3.996E-07 ( 3.996E-07 )
  1.585E+03  1.349E-07 ( 1.349E-07 )  1.349E-07 ( 1.349E-07 )  1.349E-07 ( 1.349E-07 )
  2.512E+03  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )  4.665E-08 ( 4.665E-08 )
  3.981E+03  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )  1.655E-08 ( 1.655E-08 )
  6.310E+03  6.025E-09 ( 6.025E-09 )  6.025E-09 ( 6.025E-09 )  6.025E-09 ( 6.025E-09 )
  1.000E+04  2.246E-09 ( 2.246E-09 )
  1.585E+04  8.534E-10 ( 8.534E-10 )
  2.512E+04  3.291E-10 ( 3.291E-10 )
  3.981E+04  1.283E-10 ( 1.283E-10 )

T(K)                1.259E+06
RO/Debye            1.725E-02
width Stark         5.928E-02
width incl.Dop.     1.577E-01

  0.000E+00  7.558E-02 ( 7.797E-02 )
  2.512E-02  7.558E-02 ( 7.795E-02 )
  3.981E-02  7.558E-02 ( 7.793E-02 )
  6.310E-02  7.557E-02 ( 7.791E-02 )
  1.000E-01  7.556E-02 ( 7.787E-02 )
  1.585E-01  7.553E-02 ( 7.782E-02 )
  2.512E-01  7.545E-02 ( 7.773E-02 )
  3.981E-01  7.526E-02 ( 7.759E-02 )
  6.310E-01  7.477E-02 ( 7.717E-02 )
  1.000E+00  7.355E-02 ( 7.584E-02 )
  1.585E+00  7.058E-02 ( 7.256E-02 )
  2.512E+00  6.365E-02 ( 6.485E-02 )
