           N LOWER =  3  N UPPER= 25  WAVELENGTH (angstroms)=  8325.76
                electronic density(1/cm**3)       3.162E+11
                conversion factor for wlengths=f0 5.808E-02
                wings factor                  =   1.428E+01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.483E-01                1.048E-01                7.413E-02
width Stark         1.772E+01                1.738E+01                1.669E+01
width incl.Dop.     1.798E+01                1.790E+01                1.781E+01

  0.000E+00  2.267E-02 ( 2.287E-02 )  2.273E-02 ( 2.316E-02 )  2.284E-02 ( 2.381E-02 )
  3.981E-02  2.267E-02 ( 2.287E-02 )  2.273E-02 ( 2.316E-02 )  2.284E-02 ( 2.381E-02 )
  6.310E-02  2.267E-02 ( 2.287E-02 )  2.273E-02 ( 2.316E-02 )  2.284E-02 ( 2.381E-02 )
  1.000E-01  2.267E-02 ( 2.287E-02 )  2.273E-02 ( 2.316E-02 )  2.284E-02 ( 2.381E-02 )
  1.585E-01  2.267E-02 ( 2.286E-02 )  2.273E-02 ( 2.315E-02 )  2.284E-02 ( 2.380E-02 )
  2.512E-01  2.267E-02 ( 2.286E-02 )  2.273E-02 ( 2.315E-02 )  2.284E-02 ( 2.380E-02 )
  3.981E-01  2.266E-02 ( 2.285E-02 )  2.273E-02 ( 2.314E-02 )  2.283E-02 ( 2.379E-02 )
  6.310E-01  2.265E-02 ( 2.284E-02 )  2.271E-02 ( 2.313E-02 )  2.282E-02 ( 2.378E-02 )
  1.000E+00  2.263E-02 ( 2.281E-02 )  2.269E-02 ( 2.310E-02 )  2.279E-02 ( 2.375E-02 )
  1.585E+00  2.256E-02 ( 2.273E-02 )  2.261E-02 ( 2.303E-02 )  2.271E-02 ( 2.367E-02 )
  2.512E+00  2.238E-02 ( 2.256E-02 )  2.243E-02 ( 2.285E-02 )  2.251E-02 ( 2.347E-02 )
  3.981E+00  2.195E-02 ( 2.213E-02 )  2.198E-02 ( 2.241E-02 )  2.203E-02 ( 2.298E-02 )
  6.310E+00  2.087E-02 ( 2.105E-02 )  2.086E-02 ( 2.126E-02 )  2.084E-02 ( 2.170E-02 )
  1.000E+01  1.820E-02 ( 1.834E-02 )  1.817E-02 ( 1.840E-02 )  1.811E-02 ( 1.853E-02 )
  1.585E+01  1.288E-02 ( 1.279E-02 )  1.283E-02 ( 1.269E-02 )  1.282E-02 ( 1.251E-02 )
  2.512E+01  6.177E-03 ( 6.082E-03 )  6.186E-03 ( 5.986E-03 )  6.206E-03 ( 5.801E-03 )
  3.981E+01  2.039E-03 ( 2.012E-03 )  2.038E-03 ( 1.984E-03 )  2.030E-03 ( 1.921E-03 )
  6.310E+01  5.794E-04 ( 5.761E-04 )  5.786E-04 ( 5.718E-04 )  5.738E-04 ( 5.602E-04 )
  1.000E+02  1.639E-04 ( 1.635E-04 )  1.640E-04 ( 1.632E-04 )  1.660E-04 ( 1.646E-04 )
  1.585E+02  4.781E-05 ( 4.777E-05 )  4.788E-05 ( 4.779E-05 )  4.911E-05 ( 4.894E-05 )
  2.512E+02  1.472E-05 ( 1.471E-05 )  1.473E-05 ( 1.472E-05 )  1.474E-05 ( 1.472E-05 )
