           N LOWER =  3  N UPPER=  5  WAVELENGTH (angstroms)= 12821.67
                electronic density(1/cm**3)       1.000E+13
                conversion factor for wlengths=f0 5.808E-01
                wings factor                  =   1.998E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.637E-01                1.864E-01                1.318E-01
width Stark         6.208E-01                6.104E-01                5.819E-01
width incl.Dop.     7.810E-01                8.872E-01                1.072E+00

  0.000E+00  5.332E-01 ( 6.197E-01 )  4.772E-01 ( 6.323E-01 )  4.078E-01 ( 6.648E-01 )
  2.512E-02  5.328E-01 ( 6.197E-01 )  4.769E-01 ( 6.327E-01 )  4.076E-01 ( 6.651E-01 )
  3.981E-02  5.321E-01 ( 6.196E-01 )  4.765E-01 ( 6.328E-01 )  4.073E-01 ( 6.650E-01 )
  6.310E-02  5.305E-01 ( 6.195E-01 )  4.754E-01 ( 6.328E-01 )  4.067E-01 ( 6.643E-01 )
  1.000E-01  5.265E-01 ( 6.182E-01 )  4.727E-01 ( 6.311E-01 )  4.051E-01 ( 6.608E-01 )
  1.585E-01  5.166E-01 ( 6.094E-01 )  4.659E-01 ( 6.209E-01 )  4.012E-01 ( 6.461E-01 )
  2.512E-01  4.925E-01 ( 5.732E-01 )  4.495E-01 ( 5.815E-01 )  3.915E-01 ( 5.972E-01 )
  3.981E-01  4.375E-01 ( 4.733E-01 )  4.110E-01 ( 4.764E-01 )  3.682E-01 ( 4.783E-01 )
  6.310E-01  3.289E-01 ( 3.024E-01 )  3.301E-01 ( 3.009E-01 )  3.164E-01 ( 2.936E-01 )
  1.000E+00  1.756E-01 ( 1.394E-01 )  1.983E-01 ( 1.368E-01 )  2.191E-01 ( 1.309E-01 )
  1.585E+00  6.045E-02 ( 5.013E-02 )  7.212E-02 ( 4.867E-02 )  9.584E-02 ( 4.639E-02 )
  2.512E+00  1.763E-02 ( 1.624E-02 )  1.872E-02 ( 1.561E-02 )  2.291E-02 ( 1.488E-02 )
  3.981E+00  5.349E-03 ( 5.187E-03 )  5.260E-03 ( 4.927E-03 )  5.408E-03 ( 4.692E-03 )
  6.310E+00  1.640E-03 ( 1.619E-03 )  1.563E-03 ( 1.522E-03 )  1.515E-03 ( 1.433E-03 )
  1.000E+01  5.365E-04 ( 5.342E-04 )  5.035E-04 ( 4.992E-04 )  4.752E-04 ( 4.668E-04 )
  1.585E+01  1.771E-04 ( 1.768E-04 )  1.657E-04 ( 1.651E-04 )  1.551E-04 ( 1.539E-04 )
  2.512E+01  5.839E-05 ( 5.834E-05 )  5.478E-05 ( 5.470E-05 )  5.112E-05 ( 5.098E-05 )
  3.981E+01  1.915E-05 ( 1.915E-05 )  1.809E-05 ( 1.808E-05 )  1.692E-05 ( 1.690E-05 )
  6.310E+01  6.236E-06 ( 6.235E-06 )  5.950E-06 ( 5.949E-06 )  5.598E-06 ( 5.596E-06 )
  1.000E+02  2.014E-06 ( 2.014E-06 )  1.945E-06 ( 1.945E-06 )  1.847E-06 ( 1.846E-06 )
  1.585E+02  6.342E-07 ( 6.342E-07 )  6.314E-07 ( 6.313E-07 )  6.061E-07 ( 6.060E-07 )
  2.512E+02  2.009E-07 ( 2.009E-07 )  2.034E-07 ( 2.034E-07 )  1.978E-07 ( 1.978E-07 )
  3.981E+02                           6.375E-08 ( 6.375E-08 )  6.405E-08 ( 6.405E-08 )
  6.310E+02                           2.026E-08 ( 2.026E-08 )  2.026E-08 ( 2.026E-08 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            9.333E-02                6.607E-02                4.678E-02
width Stark         5.375E-01                4.789E-01                3.994E-01
width incl.Dop.     1.351E+00                1.784E+00                2.379E+00

  0.000E+00  3.315E-01 ( 7.203E-01 )  2.576E-01 ( 8.004E-01 )  1.935E-01 ( 9.174E-01 )
  6.310E-02  3.309E-01 ( 7.159E-01 )  2.573E-01 ( 7.926E-01 )  1.934E-01 ( 9.012E-01 )
  1.000E-01  3.301E-01 ( 7.091E-01 )  2.570E-01 ( 7.798E-01 )  1.933E-01 ( 8.771E-01 )
  1.585E-01  3.282E-01 ( 6.864E-01 )  2.561E-01 ( 7.430E-01 )  1.929E-01 ( 8.160E-01 )
  2.512E-01  3.232E-01 ( 6.210E-01 )  2.539E-01 ( 6.505E-01 )  1.920E-01 ( 6.805E-01 )
  3.981E-01  3.112E-01 ( 4.788E-01 )  2.484E-01 ( 4.742E-01 )  1.898E-01 ( 4.600E-01 )
  6.310E-01  2.831E-01 ( 2.805E-01 )  2.352E-01 ( 2.609E-01 )  1.842E-01 ( 2.353E-01 )
  1.000E+00  2.238E-01 ( 1.216E-01 )  2.052E-01 ( 1.095E-01 )  1.709E-01 ( 9.566E-02 )
  1.585E+00  1.271E-01 ( 4.315E-02 )  1.463E-01 ( 3.908E-02 )  1.418E-01 ( 3.438E-02 )
  2.512E+00  3.702E-02 ( 1.402E-02 )  6.475E-02 ( 1.297E-02 )  8.919E-02 ( 1.171E-02 )
  3.981E+00  6.324E-03 ( 4.455E-03 )  1.168E-02 ( 4.195E-03 )  2.914E-02 ( 3.881E-03 )
  6.310E+00  1.527E-03 ( 1.356E-03 )  1.731E-03 ( 1.346E-03 )  3.120E-03 ( 1.268E-03 )
  1.000E+01  4.551E-04 ( 4.385E-04 )  4.539E-04 ( 4.146E-04 )  4.802E-04 ( 3.949E-04 )
  1.585E+01  1.460E-04 ( 1.438E-04 )  1.391E-04 ( 1.351E-04 )  1.360E-04 ( 1.278E-04 )
  2.512E+01  4.776E-05 ( 4.749E-05 )  4.494E-05 ( 4.440E-05 )  4.280E-05 ( 4.177E-05 )
  3.981E+01  1.577E-05 ( 1.574E-05 )  1.474E-05 ( 1.467E-05 )  1.386E-05 ( 1.374E-05 )
  6.310E+01  5.226E-06 ( 5.221E-06 )  4.872E-06 ( 4.863E-06 )  4.553E-06 ( 4.536E-06 )
  1.000E+02  1.732E-06 ( 1.731E-06 )  1.615E-06 ( 1.614E-06 )  1.505E-06 ( 1.502E-06 )
  1.585E+02  5.730E-07 ( 5.729E-07 )  5.357E-07 ( 5.356E-07 )  4.989E-07 ( 4.987E-07 )
  2.512E+02  1.888E-07 ( 1.888E-07 )  1.776E-07 ( 1.776E-07 )  1.657E-07 ( 1.657E-07 )
  3.981E+02  6.188E-08 ( 6.187E-08 )  5.873E-08 ( 5.873E-08 )  5.505E-08 ( 5.505E-08 )
  6.310E+02  2.016E-08 ( 2.016E-08 )  1.935E-08 ( 1.935E-08 )  1.827E-08 ( 1.827E-08 )
  1.000E+03  6.536E-09 ( 6.536E-09 )  6.347E-09 ( 6.347E-09 )  6.053E-09 ( 6.053E-09 )
  1.585E+03  2.068E-09 ( 2.068E-09 )  2.075E-09 ( 2.075E-09 )  2.001E-09 ( 2.001E-09 )
  2.512E+03  6.667E-10 ( 6.667E-10 )  6.667E-10 ( 6.667E-10 )  6.613E-10 ( 6.613E-10 )
  3.981E+03                                                    2.189E-10 ( 2.189E-10 )
  6.310E+03                                                    7.163E-11 ( 7.163E-11 )
  1.000E+04                                                    2.408E-11 ( 2.408E-11 )

T(K)                1.585E+05                3.162E+05                6.310E+05
RO/Debye            3.311E-02                2.344E-02                1.660E-02
width Stark         3.396E-01                2.744E-01                2.179E-01
width incl.Dop.     3.296E+00                4.605E+00                6.369E+00

  0.000E+00  1.421E-01 ( 1.079E+00 )  1.028E-01 ( 1.304E+00 )  7.366E-02 ( 1.611E+00 )
  1.000E-02  1.421E-01 ( 1.078E+00 )  1.028E-01 ( 1.303E+00 )  7.366E-02 ( 1.612E+00 )
  1.585E-02  1.421E-01 ( 1.077E+00 )  1.028E-01 ( 1.302E+00 )  7.366E-02 ( 1.606E+00 )
  2.512E-02  1.421E-01 ( 1.075E+00 )  1.028E-01 ( 1.294E+00 )  7.366E-02 ( 1.591E+00 )
  3.981E-02  1.421E-01 ( 1.068E+00 )  1.028E-01 ( 1.281E+00 )  7.366E-02 ( 1.562E+00 )
  6.310E-02  1.420E-01 ( 1.049E+00 )  1.028E-01 ( 1.245E+00 )  7.365E-02 ( 1.490E+00 )
  1.000E-01  1.420E-01 ( 1.004E+00 )  1.027E-01 ( 1.160E+00 )  7.365E-02 ( 1.334E+00 )
  1.585E-01  1.418E-01 ( 9.007E-01 )  1.027E-01 ( 9.852E-01 )  7.363E-02 ( 1.049E+00 )
  2.512E-01  1.415E-01 ( 7.014E-01 )  1.025E-01 ( 7.010E-01 )  7.358E-02 ( 6.698E-01 )
  3.981E-01  1.406E-01 ( 4.323E-01 )  1.022E-01 ( 3.905E-01 )  7.346E-02 ( 3.384E-01 )
  6.310E-01  1.384E-01 ( 2.054E-01 )  1.014E-01 ( 1.737E-01 )  7.316E-02 ( 1.428E-01 )
  1.000E+00  1.331E-01 ( 8.130E-02 )  9.936E-02 ( 6.741E-02 )  7.240E-02 ( 5.474E-02 )
  1.585E+00  1.206E-01 ( 2.947E-02 )  9.442E-02 ( 2.464E-02 )  7.055E-02 ( 2.016E-02 )
  2.512E+00  9.415E-02 ( 1.028E-02 )  8.308E-02 ( 8.766E-03 )  6.609E-02 ( 7.294E-03 )
  3.981E+00  5.089E-02 ( 3.498E-03 )  6.029E-02 ( 3.062E-03 )  5.611E-02 ( 2.603E-03 )
  6.310E+00  1.152E-02 ( 1.171E-03 )  2.711E-02 ( 1.052E-03 )  3.721E-02 ( 9.160E-04 )
  1.000E+01  7.528E-04 ( 3.870E-04 )  3.934E-03 ( 3.559E-04 )  1.335E-02 ( 3.175E-04 )
  1.585E+01  1.410E-04 ( 1.219E-04 )  1.809E-04 ( 1.187E-04 )  1.131E-03 ( 1.084E-04 )
  2.512E+01  4.155E-05 ( 3.961E-05 )  4.224E-05 ( 3.785E-05 )  4.707E-05 ( 3.645E-05 )
  3.981E+01  1.320E-05 ( 1.295E-05 )  1.278E-05 ( 1.231E-05 )  1.281E-05 ( 1.179E-05 )
  6.310E+01  4.287E-06 ( 4.256E-06 )  4.083E-06 ( 4.022E-06 )  3.948E-06 ( 3.831E-06 )
  1.000E+02  1.408E-06 ( 1.404E-06 )  1.328E-06 ( 1.320E-06 )  1.266E-06 ( 1.251E-06 )
  1.585E+02  4.652E-07 ( 4.647E-07 )  4.361E-07 ( 4.351E-07 )  4.120E-07 ( 4.101E-07 )
  2.512E+02  1.543E-07 ( 1.542E-07 )  1.440E-07 ( 1.439E-07 )  1.353E-07 ( 1.350E-07 )
  3.981E+02  5.129E-08 ( 5.128E-08 )  4.777E-08 ( 4.775E-08 )  4.467E-08 ( 4.463E-08 )
  6.310E+02  1.708E-08 ( 1.708E-08 )  1.590E-08 ( 1.589E-08 )  1.482E-08 ( 1.482E-08 )
  1.000E+03  5.691E-09 ( 5.691E-09 )  5.308E-09 ( 5.308E-09 )  4.941E-09 ( 4.940E-09 )
  1.585E+03  1.897E-09 ( 1.897E-09 )  1.776E-09 ( 1.776E-09 )  1.655E-09 ( 1.655E-09 )
  2.512E+03  6.330E-10 ( 6.330E-10 )  5.969E-10 ( 5.969E-10 )  5.577E-10 ( 5.577E-10 )
  3.981E+03  2.118E-10 ( 2.118E-10 )  2.014E-10 ( 2.014E-10 )  1.890E-10 ( 1.890E-10 )
  6.310E+03  7.136E-11 ( 7.136E-11 )  6.846E-11 ( 6.846E-11 )  6.463E-11 ( 6.463E-11 )
  1.000E+04  2.431E-11 ( 2.431E-11 )  2.353E-11 ( 2.353E-11 )  2.238E-11 ( 2.238E-11 )
  1.585E+04  8.280E-12 ( 8.280E-12 )  8.228E-12 ( 8.228E-12 )  7.869E-12 ( 7.869E-12 )
