           N LOWER =  3  N UPPER=  6  WAVELENGTH (angstroms)= 10941.16
                electronic density(1/cm**3)       3.162E+17
                conversion factor for wlengths=f0 5.808E+02
                wings factor                  =   2.785E-01

T(K)                                                                  1.000E+04
RO/Debye                                                              7.413E-01
width Stark                                                           9.380E-01
width incl.Dop.                                                       9.380E-01

  0.000E+00                                                    4.045E-01 ( 4.045E-01 )
  1.000E-01                                                    3.953E-01 ( 3.953E-01 )
  1.585E-01                                                    3.868E-01 ( 3.868E-01 )
  2.512E-01                                                    3.698E-01 ( 3.698E-01 )
  3.981E-01                                                    3.368E-01 ( 3.368E-01 )
  6.310E-01                                                    2.773E-01 ( 2.773E-01 )
  1.000E+00                                                    1.871E-01 ( 1.871E-01 )
  1.585E+00                                                    9.302E-02 ( 9.302E-02 )
  2.512E+00                                                    3.489E-02 ( 3.489E-02 )
  3.981E+00                                                    1.152E-02 ( 1.152E-02 )
  6.310E+00                                                    3.507E-03 ( 3.507E-03 )
  1.000E+01                                                    1.170E-03 ( 1.170E-03 )
  1.585E+01                                                    3.958E-04 ( 3.958E-04 )
  2.512E+01                                                    1.390E-04 ( 1.390E-04 )
  3.981E+01                                                    5.037E-05 ( 5.037E-05 )
  6.310E+01                                                    1.874E-05 ( 1.874E-05 )
  1.000E+02                                                    7.119E-06 ( 7.119E-06 )
  1.585E+02                                                    2.745E-06 ( 2.745E-06 )
  2.512E+02                                                    1.070E-06 ( 1.070E-06 )
  3.981E+02                                                    4.202E-07 ( 4.202E-07 )
  6.310E+02                                                    1.658E-07 ( 1.658E-07 )
  1.000E+03                                                    6.565E-08 ( 6.565E-08 )
  1.585E+03                                                    2.604E-08 ( 2.604E-08 )
  2.512E+03                                                    1.034E-08 ( 1.034E-08 )
  3.981E+03                                                    4.112E-09 ( 4.112E-09 )
  6.310E+03                                                    1.636E-09 ( 1.636E-09 )
  1.000E+04                                                    6.507E-10 ( 6.507E-10 )
  1.585E+04                                                    2.590E-10 ( 2.590E-10 )
  2.512E+04                                                    1.031E-10 ( 1.031E-10 )
  3.981E+04                                                    4.103E-11 ( 4.103E-11 )
  6.310E+04                                                    1.633E-11 ( 1.633E-11 )
  1.000E+05                                                    6.502E-12 ( 6.502E-12 )
  1.585E+05                                                    2.588E-12 ( 2.588E-12 )
  2.512E+05                                                    1.030E-12 ( 1.030E-12 )
  3.981E+05                                                    4.102E-13 ( 4.102E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            5.248E-01                3.715E-01                2.630E-01
width Stark         1.012E+00                1.070E+00                1.091E+00
width incl.Dop.     1.012E+00                1.070E+00                1.091E+00

  0.000E+00  3.787E-01 ( 3.787E-01 )  3.645E-01 ( 3.645E-01 )  3.595E-01 ( 3.595E-01 )
  1.585E-01  3.636E-01 ( 3.636E-01 )  3.507E-01 ( 3.507E-01 )  3.458E-01 ( 3.458E-01 )
  2.512E-01  3.494E-01 ( 3.494E-01 )  3.376E-01 ( 3.376E-01 )  3.329E-01 ( 3.329E-01 )
  3.981E-01  3.218E-01 ( 3.218E-01 )  3.126E-01 ( 3.126E-01 )  3.083E-01 ( 3.083E-01 )
  6.310E-01  2.716E-01 ( 2.716E-01 )  2.673E-01 ( 2.673E-01 )  2.650E-01 ( 2.650E-01 )
  1.000E+00  1.912E-01 ( 1.912E-01 )  1.931E-01 ( 1.931E-01 )  1.937E-01 ( 1.937E-01 )
  1.585E+00  9.870E-02 ( 9.870E-02 )  1.022E-01 ( 1.022E-01 )  1.036E-01 ( 1.036E-01 )
  2.512E+00  3.729E-02 ( 3.729E-02 )  3.876E-02 ( 3.876E-02 )  3.932E-02 ( 3.932E-02 )
  3.981E+00  1.210E-02 ( 1.210E-02 )  1.246E-02 ( 1.246E-02 )  1.257E-02 ( 1.257E-02 )
  6.310E+00  3.865E-03 ( 3.865E-03 )  3.926E-03 ( 3.926E-03 )  3.942E-03 ( 3.942E-03 )
  1.000E+01  1.200E-03 ( 1.200E-03 )  1.207E-03 ( 1.207E-03 )  1.272E-03 ( 1.272E-03 )
  1.585E+01  4.042E-04 ( 4.042E-04 )  4.056E-04 ( 4.056E-04 )  4.066E-04 ( 4.066E-04 )
  2.512E+01  1.395E-04 ( 1.395E-04 )  1.398E-04 ( 1.398E-04 )  1.419E-04 ( 1.419E-04 )
  3.981E+01  5.054E-05 ( 5.054E-05 )  5.063E-05 ( 5.063E-05 )  5.065E-05 ( 5.065E-05 )
  6.310E+01  1.879E-05 ( 1.879E-05 )  1.882E-05 ( 1.882E-05 )  1.883E-05 ( 1.883E-05 )
  1.000E+02  7.135E-06 ( 7.135E-06 )  7.147E-06 ( 7.147E-06 )  7.149E-06 ( 7.149E-06 )
  1.585E+02  2.752E-06 ( 2.752E-06 )  2.755E-06 ( 2.755E-06 )  2.757E-06 ( 2.757E-06 )
