           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       1.000E+17
                conversion factor for wlengths=f0 2.696E+02
                wings factor                  =   5.549E-01

T(K)                                         5.000E+03                1.000E+04
RO/Debye                                     8.654E-01                6.119E-01
width Stark                                  1.530E+00                1.712E+00
width incl.Dop.                              1.530E+00                1.712E+00

  0.000E+00                           2.523E-01 ( 2.523E-01 )  2.317E-01 ( 2.317E-01 )
  1.585E-01                           2.472E-01 ( 2.472E-01 )  2.287E-01 ( 2.287E-01 )
  2.512E-01                           2.428E-01 ( 2.428E-01 )  2.242E-01 ( 2.242E-01 )
  3.981E-01                           2.338E-01 ( 2.338E-01 )  2.173E-01 ( 2.173E-01 )
  6.310E-01                           2.155E-01 ( 2.155E-01 )  2.033E-01 ( 2.033E-01 )
  1.000E+00                           1.795E-01 ( 1.795E-01 )  1.748E-01 ( 1.748E-01 )
  1.585E+00                           1.206E-01 ( 1.206E-01 )  1.242E-01 ( 1.242E-01 )
  2.512E+00                           5.847E-02 ( 5.847E-02 )  6.347E-02 ( 6.347E-02 )
  3.981E+00                           2.146E-02 ( 2.146E-02 )  2.335E-02 ( 2.335E-02 )
  6.309E+00                           7.026E-03 ( 7.026E-03 )  7.449E-03 ( 7.449E-03 )
  1.000E+01                           2.140E-03 ( 2.140E-03 )  2.348E-03 ( 2.348E-03 )
  1.585E+01                           7.100E-04 ( 7.100E-04 )  7.286E-04 ( 7.286E-04 )
  2.512E+01                           2.384E-04 ( 2.384E-04 )  2.433E-04 ( 2.433E-04 )
  3.981E+01                           8.297E-05 ( 8.297E-05 )  8.338E-05 ( 8.338E-05 )
  6.309E+01                           2.981E-05 ( 2.981E-05 )  2.993E-05 ( 2.993E-05 )
  1.000E+02                           1.101E-05 ( 1.101E-05 )  1.105E-05 ( 1.105E-05 )
  1.585E+02                           4.156E-06 ( 4.156E-06 )  4.169E-06 ( 4.169E-06 )
  2.512E+02                           1.596E-06 ( 1.596E-06 )  1.600E-06 ( 1.600E-06 )
  3.981E+02                           6.201E-07 ( 6.201E-07 )  6.218E-07 ( 6.218E-07 )
  6.310E+02                           2.430E-07 ( 2.430E-07 )  2.436E-07 ( 2.436E-07 )
  1.000E+03                           9.574E-08 ( 9.574E-08 )  9.599E-08 ( 9.599E-08 )
  1.585E+03                           3.786E-08 ( 3.786E-08 )  3.796E-08 ( 3.796E-08 )
  2.512E+03                           1.501E-08 ( 1.501E-08 )  1.505E-08 ( 1.505E-08 )
  3.981E+03                           5.960E-09 ( 5.960E-09 )  5.976E-09 ( 5.976E-09 )
  6.310E+03                           2.369E-09 ( 2.369E-09 )  2.375E-09 ( 2.375E-09 )
  1.000E+04                           9.421E-10 ( 9.421E-10 )  9.445E-10 ( 9.445E-10 )
  1.585E+04                           3.748E-10 ( 3.748E-10 )  3.757E-10 ( 3.757E-10 )
  2.512E+04                           1.491E-10 ( 1.491E-10 )  1.495E-10 ( 1.495E-10 )
  3.981E+04                           5.936E-11 ( 5.936E-11 )  5.952E-11 ( 5.952E-11 )
  6.310E+04                           2.363E-11 ( 2.363E-11 )  2.369E-11 ( 2.369E-11 )
  1.000E+05                           9.405E-12 ( 9.405E-12 )  9.430E-12 ( 9.430E-12 )
  1.585E+05                           3.744E-12 ( 3.744E-12 )  3.753E-12 ( 3.753E-12 )
  2.512E+05                           1.490E-12 ( 1.490E-12 )  1.494E-12 ( 1.494E-12 )
  3.981E+05                           5.934E-13 ( 5.934E-13 )  5.949E-13 ( 5.949E-13 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            4.332E-01                3.067E-01                2.171E-01
width Stark         1.847E+00                1.928E+00                1.962E+00
width incl.Dop.     1.847E+00                1.928E+00                1.962E+00

  0.000E+00  2.185E-01 ( 2.185E-01 )  2.105E-01 ( 2.105E-01 )  2.072E-01 ( 2.072E-01 )
  2.512E-01  2.121E-01 ( 2.121E-01 )  2.047E-01 ( 2.047E-01 )  2.017E-01 ( 2.017E-01 )
  3.981E-01  2.063E-01 ( 2.063E-01 )  1.996E-01 ( 1.996E-01 )  1.968E-01 ( 1.968E-01 )
  6.310E-01  1.946E-01 ( 1.946E-01 )  1.891E-01 ( 1.891E-01 )  1.869E-01 ( 1.869E-01 )
  1.000E+00  1.706E-01 ( 1.706E-01 )  1.677E-01 ( 1.677E-01 )  1.665E-01 ( 1.665E-01 )
  1.585E+00  1.259E-01 ( 1.259E-01 )  1.265E-01 ( 1.265E-01 )  1.267E-01 ( 1.267E-01 )
  2.512E+00  6.700E-02 ( 6.700E-02 )  6.912E-02 ( 6.912E-02 )  6.990E-02 ( 6.990E-02 )
  3.981E+00  2.486E-02 ( 2.486E-02 )  2.588E-02 ( 2.588E-02 )  2.626E-02 ( 2.626E-02 )
  6.309E+00  7.779E-03 ( 7.779E-03 )  8.003E-03 ( 8.003E-03 )  8.095E-03 ( 8.095E-03 )
  1.000E+01  2.403E-03 ( 2.403E-03 )  2.440E-03 ( 2.440E-03 )  2.458E-03 ( 2.458E-03 )
  1.585E+01  7.333E-04 ( 7.333E-04 )  7.362E-04 ( 7.362E-04 )  7.382E-04 ( 7.382E-04 )
  2.512E+01  2.443E-04 ( 2.443E-04 )  2.449E-04 ( 2.449E-04 )  2.453E-04 ( 2.453E-04 )
  3.981E+01  8.359E-05 ( 8.359E-05 )  8.368E-05 ( 8.368E-05 )  8.374E-05 ( 8.374E-05 )
  6.309E+01  3.000E-05 ( 3.000E-05 )  3.003E-05 ( 3.003E-05 )  3.004E-05 ( 3.004E-05 )
  1.000E+02  1.107E-05 ( 1.107E-05 )  1.108E-05 ( 1.108E-05 )  1.108E-05 ( 1.108E-05 )
  1.585E+02  4.175E-06 ( 4.175E-06 )  4.179E-06 ( 4.179E-06 )  4.180E-06 ( 4.180E-06 )
  2.512E+02  1.603E-06 ( 1.603E-06 )  1.604E-06 ( 1.604E-06 )  1.604E-06 ( 1.604E-06 )
  3.981E+02  6.227E-07 ( 6.227E-07 )  6.231E-07 ( 6.231E-07 )  6.233E-07 ( 6.233E-07 )
  6.310E+02  2.440E-07 ( 2.440E-07 )  2.441E-07 ( 2.441E-07 )  2.442E-07 ( 2.442E-07 )
  1.000E+03  9.612E-08 ( 9.612E-08 )  9.618E-08 ( 9.618E-08 )  9.622E-08 ( 9.622E-08 )
  1.585E+03  3.801E-08 ( 3.801E-08 )  3.804E-08 ( 3.804E-08 )  3.805E-08 ( 3.805E-08 )
  2.512E+03  1.507E-08 ( 1.507E-08 )  1.508E-08 ( 1.508E-08 )  1.508E-08 ( 1.508E-08 )
  3.981E+03  5.984E-09 ( 5.984E-09 )  5.988E-09 ( 5.988E-09 )  5.990E-09 ( 5.990E-09 )
  6.310E+03  2.378E-09 ( 2.378E-09 )  2.380E-09 ( 2.380E-09 )  2.380E-09 ( 2.380E-09 )
  1.000E+04  9.457E-10 ( 9.457E-10 )  9.463E-10 ( 9.463E-10 )  9.466E-10 ( 9.466E-10 )
  1.585E+04  3.762E-10 ( 3.762E-10 )  3.765E-10 ( 3.765E-10 )  3.766E-10 ( 3.766E-10 )
