           N LOWER =  3  N UPPER=  8  WAVELENGTH (angstroms)=  9548.65
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   5.549E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         1.489E+00                1.495E+00                1.483E+00
width incl.Dop.     1.489E+00                1.513E+00                1.518E+00

  0.000E+00  2.609E-01 ( 2.609E-01 )  2.587E-01 ( 2.613E-01 )  2.596E-01 ( 2.650E-01 )
  6.310E-02  2.606E-01 ( 2.606E-01 )  2.583E-01 ( 2.609E-01 )  2.592E-01 ( 2.647E-01 )
  1.000E-01  2.599E-01 ( 2.599E-01 )  2.576E-01 ( 2.601E-01 )  2.587E-01 ( 2.639E-01 )
  1.585E-01  2.581E-01 ( 2.581E-01 )  2.561E-01 ( 2.584E-01 )  2.572E-01 ( 2.621E-01 )
  2.512E-01  2.539E-01 ( 2.539E-01 )  2.524E-01 ( 2.542E-01 )  2.536E-01 ( 2.577E-01 )
  3.981E-01  2.444E-01 ( 2.444E-01 )  2.435E-01 ( 2.448E-01 )  2.451E-01 ( 2.483E-01 )
  6.310E-01  2.236E-01 ( 2.236E-01 )  2.238E-01 ( 2.247E-01 )  2.258E-01 ( 2.279E-01 )
  1.000E+00  1.831E-01 ( 1.831E-01 )  1.845E-01 ( 1.846E-01 )  1.862E-01 ( 1.867E-01 )
  1.585E+00  1.201E-01 ( 1.201E-01 )  1.216E-01 ( 1.209E-01 )  1.225E-01 ( 1.211E-01 )
  2.512E+00  5.691E-02 ( 5.691E-02 )  5.708E-02 ( 5.653E-02 )  5.662E-02 ( 5.544E-02 )
  3.981E+00  2.034E-02 ( 2.034E-02 )  1.996E-02 ( 1.983E-02 )  1.929E-02 ( 1.902E-02 )
  6.310E+00  6.431E-03 ( 6.431E-03 )  6.239E-03 ( 6.221E-03 )  5.949E-03 ( 5.913E-03 )
  1.000E+01  1.989E-03 ( 1.989E-03 )  1.930E-03 ( 1.928E-03 )  1.842E-03 ( 1.837E-03 )
  1.585E+01  6.102E-04 ( 6.102E-04 )  5.986E-04 ( 5.984E-04 )  5.779E-04 ( 5.774E-04 )
  2.512E+01  1.813E-04 ( 1.813E-04 )  1.868E-04 ( 1.868E-04 )  1.827E-04 ( 1.826E-04 )
  3.981E+01  5.625E-05 ( 5.625E-05 )  5.627E-05 ( 5.627E-05 )  5.715E-05 ( 5.714E-05 )
  6.310E+01  1.772E-05 ( 1.772E-05 )  1.772E-05 ( 1.772E-05 )  1.772E-05 ( 1.772E-05 )
  1.000E+02  5.600E-06 ( 5.600E-06 )  5.601E-06 ( 5.600E-06 )  5.601E-06 ( 5.601E-06 )
  1.585E+02  1.775E-06 ( 1.775E-06 )  1.775E-06 ( 1.775E-06 )  1.775E-06 ( 1.775E-06 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         1.458E+00                1.423E+00                1.379E+00
width incl.Dop.     1.527E+00                1.556E+00                1.651E+00

  0.000E+00  2.604E-01 ( 2.713E-01 )  2.585E-01 ( 2.796E-01 )  2.502E-01 ( 2.901E-01 )
  6.310E-02  2.601E-01 ( 2.710E-01 )  2.581E-01 ( 2.791E-01 )  2.499E-01 ( 2.894E-01 )
  1.000E-01  2.595E-01 ( 2.701E-01 )  2.576E-01 ( 2.782E-01 )  2.494E-01 ( 2.883E-01 )
  1.585E-01  2.582E-01 ( 2.681E-01 )  2.564E-01 ( 2.760E-01 )  2.484E-01 ( 2.859E-01 )
  2.512E-01  2.548E-01 ( 2.635E-01 )  2.533E-01 ( 2.712E-01 )  2.457E-01 ( 2.810E-01 )
  3.981E-01  2.466E-01 ( 2.538E-01 )  2.457E-01 ( 2.611E-01 )  2.393E-01 ( 2.704E-01 )
  6.310E-01  2.278E-01 ( 2.326E-01 )  2.280E-01 ( 2.386E-01 )  2.239E-01 ( 2.456E-01 )
  1.000E+00  1.884E-01 ( 1.893E-01 )  1.902E-01 ( 1.922E-01 )  1.903E-01 ( 1.952E-01 )
  1.585E+00  1.238E-01 ( 1.208E-01 )  1.261E-01 ( 1.198E-01 )  1.301E-01 ( 1.177E-01 )
  2.512E+00  5.627E-02 ( 5.379E-02 )  5.676E-02 ( 5.161E-02 )  5.951E-02 ( 4.899E-02 )
  3.981E+00  1.859E-02 ( 1.805E-02 )  1.808E-02 ( 1.700E-02 )  1.813E-02 ( 1.592E-02 )
  6.310E+00  5.626E-03 ( 5.557E-03 )  5.331E-03 ( 5.198E-03 )  5.125E-03 ( 4.868E-03 )
  1.000E+01  1.737E-03 ( 1.729E-03 )  1.634E-03 ( 1.619E-03 )  1.540E-03 ( 1.510E-03 )
  1.585E+01  5.493E-04 ( 5.483E-04 )  5.178E-04 ( 5.159E-04 )  4.850E-04 ( 4.816E-04 )
  2.512E+01  1.726E-04 ( 1.725E-04 )  1.637E-04 ( 1.635E-04 )  1.536E-04 ( 1.532E-04 )
  3.981E+01  5.577E-05 ( 5.576E-05 )  5.346E-05 ( 5.343E-05 )  5.046E-05 ( 5.041E-05 )
