           N LOWER =  3  N UPPER=  9  WAVELENGTH (angstroms)=  9231.60
                electronic density(1/cm**3)       1.000E+12
                conversion factor for wlengths=f0 1.251E-01
                wings factor                  =   8.885E-01

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            1.796E-01                1.270E-01                8.982E-02
width Stark         1.997E+00                1.966E+00                1.917E+00
width incl.Dop.     2.513E+00                2.956E+00                3.542E+00

  0.000E+00  1.632E-01 ( 1.986E-01 )  1.457E-01 ( 2.029E-01 )  1.238E-01 ( 2.090E-01 )
  2.512E-02  1.632E-01 ( 1.985E-01 )  1.456E-01 ( 2.028E-01 )  1.238E-01 ( 2.089E-01 )
  3.981E-02  1.632E-01 ( 1.985E-01 )  1.456E-01 ( 2.027E-01 )  1.238E-01 ( 2.088E-01 )
  6.310E-02  1.631E-01 ( 1.984E-01 )  1.456E-01 ( 2.026E-01 )  1.237E-01 ( 2.087E-01 )
  1.000E-01  1.630E-01 ( 1.983E-01 )  1.455E-01 ( 2.025E-01 )  1.237E-01 ( 2.085E-01 )
  1.585E-01  1.627E-01 ( 1.977E-01 )  1.453E-01 ( 2.019E-01 )  1.236E-01 ( 2.078E-01 )
  2.512E-01  1.620E-01 ( 1.961E-01 )  1.448E-01 ( 2.003E-01 )  1.233E-01 ( 2.061E-01 )
  3.981E-01  1.601E-01 ( 1.921E-01 )  1.436E-01 ( 1.960E-01 )  1.226E-01 ( 2.014E-01 )
  6.310E-01  1.556E-01 ( 1.827E-01 )  1.407E-01 ( 1.861E-01 )  1.209E-01 ( 1.908E-01 )
  1.000E+00  1.449E-01 ( 1.618E-01 )  1.335E-01 ( 1.643E-01 )  1.168E-01 ( 1.677E-01 )
  1.585E+00  1.219E-01 ( 1.226E-01 )  1.173E-01 ( 1.237E-01 )  1.070E-01 ( 1.247E-01 )
  2.512E+00  8.163E-02 ( 7.011E-02 )  8.585E-02 ( 6.950E-02 )  8.624E-02 ( 6.822E-02 )
  3.981E+00  3.627E-02 ( 2.844E-02 )  4.277E-02 ( 2.743E-02 )  5.152E-02 ( 2.619E-02 )
  6.310E+00  1.085E-02 ( 9.321E-03 )  1.241E-02 ( 8.831E-03 )  1.713E-02 ( 8.314E-03 )
  1.000E+01  3.085E-03 ( 2.908E-03 )  3.106E-03 ( 2.733E-03 )  3.475E-03 ( 2.561E-03 )
  1.585E+01  9.339E-04 ( 9.134E-04 )  9.015E-04 ( 8.617E-04 )  8.863E-04 ( 8.050E-04 )
  2.512E+01  2.922E-04 ( 2.898E-04 )  2.800E-04 ( 2.752E-04 )  2.675E-04 ( 2.584E-04 )
  3.981E+01  9.062E-05 ( 9.030E-05 )  8.760E-05 ( 8.699E-05 )  8.357E-05 ( 8.242E-05 )
  6.310E+01  2.889E-05 ( 2.885E-05 )  2.822E-05 ( 2.815E-05 )  2.710E-05 ( 2.696E-05 )
  1.000E+02  8.959E-06 ( 8.954E-06 )  9.056E-06 ( 9.046E-06 )  8.796E-06 ( 8.777E-06 )
  1.585E+02  2.831E-06 ( 2.830E-06 )  2.832E-06 ( 2.830E-06 )  2.840E-06 ( 2.838E-06 )
  2.512E+02  8.965E-07 ( 8.964E-07 )  8.968E-07 ( 8.966E-07 )  8.970E-07 ( 8.967E-07 )
  3.981E+02  2.846E-07 ( 2.846E-07 )  2.846E-07 ( 2.846E-07 )  2.847E-07 ( 2.846E-07 )
  6.310E+02  9.066E-08 ( 9.066E-08 )  9.066E-08 ( 9.066E-08 )  9.066E-08 ( 9.066E-08 )
  1.000E+03  2.829E-08 ( 2.829E-08 )  2.899E-08 ( 2.899E-08 )  2.899E-08 ( 2.899E-08 )
  1.585E+03  8.980E-09 ( 8.980E-09 )  8.980E-09 ( 8.980E-09 )  9.334E-09 ( 9.334E-09 )
  2.512E+03                           2.857E-09 ( 2.857E-09 )  2.857E-09 ( 2.857E-09 )
