           N LOWER =  3  N UPPER= 15  WAVELENGTH (angstroms)=  8547.78
                electronic density(1/cm**3)       3.162E+13
                conversion factor for wlengths=f0 1.251E+00
                wings factor                  =   3.320E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            3.194E-01                2.259E-01                1.597E-01
width Stark         6.224E+00                6.373E+00                6.368E+00
width incl.Dop.     6.224E+00                6.373E+00                6.368E+00

  0.000E+00  6.369E-02 ( 6.369E-02 )  6.241E-02 ( 6.241E-02 )  6.233E-02 ( 6.233E-02 )
  1.585E-02  6.368E-02 ( 6.368E-02 )  6.241E-02 ( 6.241E-02 )  6.233E-02 ( 6.233E-02 )
  2.512E-02  6.367E-02 ( 6.367E-02 )  6.241E-02 ( 6.241E-02 )  6.233E-02 ( 6.233E-02 )
  3.981E-02  6.367E-02 ( 6.367E-02 )  6.240E-02 ( 6.240E-02 )  6.232E-02 ( 6.232E-02 )
  6.310E-02  6.365E-02 ( 6.365E-02 )  6.239E-02 ( 6.239E-02 )  6.231E-02 ( 6.231E-02 )
  1.000E-01  6.363E-02 ( 6.363E-02 )  6.238E-02 ( 6.238E-02 )  6.230E-02 ( 6.230E-02 )
  1.585E-01  6.359E-02 ( 6.359E-02 )  6.236E-02 ( 6.236E-02 )  6.228E-02 ( 6.228E-02 )
  2.512E-01  6.354E-02 ( 6.354E-02 )  6.232E-02 ( 6.232E-02 )  6.225E-02 ( 6.225E-02 )
  3.981E-01  6.342E-02 ( 6.342E-02 )  6.223E-02 ( 6.223E-02 )  6.216E-02 ( 6.216E-02 )
  6.310E-01  6.312E-02 ( 6.312E-02 )  6.196E-02 ( 6.196E-02 )  6.190E-02 ( 6.190E-02 )
  1.000E+00  6.244E-02 ( 6.244E-02 )  6.131E-02 ( 6.131E-02 )  6.129E-02 ( 6.129E-02 )
  1.585E+00  6.082E-02 ( 6.082E-02 )  5.984E-02 ( 5.984E-02 )  5.984E-02 ( 5.984E-02 )
  2.512E+00  5.687E-02 ( 5.687E-02 )  5.620E-02 ( 5.620E-02 )  5.619E-02 ( 5.619E-02 )
  3.981E+00  4.770E-02 ( 4.770E-02 )  4.752E-02 ( 4.752E-02 )  4.747E-02 ( 4.747E-02 )
  6.310E+00  3.124E-02 ( 3.124E-02 )  3.150E-02 ( 3.150E-02 )  3.144E-02 ( 3.144E-02 )
  1.000E+01  1.395E-02 ( 1.395E-02 )  1.420E-02 ( 1.420E-02 )  1.417E-02 ( 1.417E-02 )
  1.585E+01  4.509E-03 ( 4.509E-03 )  4.583E-03 ( 4.583E-03 )  4.579E-03 ( 4.579E-03 )
  2.512E+01  1.310E-03 ( 1.310E-03 )  1.323E-03 ( 1.323E-03 )  1.322E-03 ( 1.322E-03 )
  3.981E+01  3.811E-04 ( 3.811E-04 )  3.825E-04 ( 3.825E-04 )  3.829E-04 ( 3.829E-04 )
  6.309E+01  1.125E-04 ( 1.125E-04 )  1.126E-04 ( 1.126E-04 )  1.127E-04 ( 1.127E-04 )
  1.000E+02  3.516E-05 ( 3.516E-05 )  3.519E-05 ( 3.519E-05 )  3.519E-05 ( 3.519E-05 )
  1.585E+02  1.118E-05 ( 1.118E-05 )  1.118E-05 ( 1.118E-05 )  1.118E-05 ( 1.118E-05 )
  2.512E+02  3.629E-06 ( 3.629E-06 )  3.629E-06 ( 3.629E-06 )  3.629E-06 ( 3.629E-06 )
  3.981E+02  1.201E-06 ( 1.201E-06 )  1.201E-06 ( 1.201E-06 )  1.201E-06 ( 1.201E-06 )
  6.309E+02  3.470E-07 ( 3.470E-07 )  3.470E-07 ( 3.470E-07 )  3.470E-07 ( 3.470E-07 )
  1.000E+03  1.124E-07 ( 1.124E-07 )  1.124E-07 ( 1.124E-07 )  1.124E-07 ( 1.124E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            1.131E-01                8.005E-02                5.667E-02
width Stark         6.233E+00                6.034E+00                5.793E+00
width incl.Dop.     6.233E+00                6.034E+00                5.840E+00

  0.000E+00  6.332E-02 ( 6.332E-02 )  6.527E-02 ( 6.527E-02 )  6.750E-02 ( 6.797E-02 )
  3.981E-02  6.329E-02 ( 6.329E-02 )  6.524E-02 ( 6.524E-02 )  6.750E-02 ( 6.793E-02 )
  6.310E-02  6.327E-02 ( 6.327E-02 )  6.521E-02 ( 6.521E-02 )  6.750E-02 ( 6.791E-02 )
  1.000E-01  6.324E-02 ( 6.324E-02 )  6.518E-02 ( 6.518E-02 )  6.749E-02 ( 6.787E-02 )
  1.585E-01  6.319E-02 ( 6.319E-02 )  6.513E-02 ( 6.513E-02 )  6.747E-02 ( 6.781E-02 )
  2.512E-01  6.311E-02 ( 6.311E-02 )  6.504E-02 ( 6.504E-02 )  6.742E-02 ( 6.771E-02 )
  3.981E-01  6.299E-02 ( 6.299E-02 )  6.491E-02 ( 6.491E-02 )  6.730E-02 ( 6.756E-02 )
  6.310E-01  6.279E-02 ( 6.279E-02 )  6.469E-02 ( 6.469E-02 )  6.700E-02 ( 6.732E-02 )
  1.000E+00  6.227E-02 ( 6.227E-02 )  6.411E-02 ( 6.411E-02 )  6.621E-02 ( 6.665E-02 )
  1.585E+00  6.071E-02 ( 6.071E-02 )  6.235E-02 ( 6.235E-02 )  6.421E-02 ( 6.457E-02 )
  2.512E+00  5.680E-02 ( 5.680E-02 )  5.794E-02 ( 5.794E-02 )  5.915E-02 ( 5.947E-02 )
  3.981E+00  4.759E-02 ( 4.759E-02 )  4.785E-02 ( 4.785E-02 )  4.818E-02 ( 4.820E-02 )
  6.310E+00  3.112E-02 ( 3.112E-02 )  3.059E-02 ( 3.059E-02 )  3.010E-02 ( 2.993E-02 )
  1.000E+01  1.390E-02 ( 1.390E-02 )  1.341E-02 ( 1.341E-02 )  1.290E-02 ( 1.278E-02 )
  1.585E+01  4.493E-03 ( 4.493E-03 )  4.329E-03 ( 4.329E-03 )  4.130E-03 ( 4.105E-03 )
  2.512E+01  1.308E-03 ( 1.308E-03 )  1.275E-03 ( 1.275E-03 )  1.226E-03 ( 1.223E-03 )
  3.981E+01  3.816E-04 ( 3.816E-04 )  3.810E-04 ( 3.810E-04 )  3.712E-04 ( 3.708E-04 )
  6.310E+01  1.128E-04 ( 1.128E-04 )  1.156E-04 ( 1.156E-04 )  1.152E-04 ( 1.152E-04 )
  1.000E+02  3.520E-05 ( 3.520E-05 )  3.520E-05 ( 3.520E-05 )  3.594E-05 ( 3.593E-05 )
  1.585E+02  1.118E-05 ( 1.118E-05 )  1.118E-05 ( 1.118E-05 )  1.119E-05 ( 1.118E-05 )
