           N LOWER =  3  N UPPER= 16  WAVELENGTH (angstroms)=  8504.87
                electronic density(1/cm**3)       1.000E+13
                conversion factor for wlengths=f0 5.808E-01
                wings factor                  =   3.971E+00

T(K)                2.500E+03                5.000E+03                1.000E+04
RO/Debye            2.637E-01                1.864E-01                1.318E-01
width Stark         7.193E+00                7.254E+00                7.149E+00
width incl.Dop.     7.193E+00                7.254E+00                7.149E+00

  0.000E+00  5.619E-02 ( 5.619E-02 )  5.574E-02 ( 5.574E-02 )  5.629E-02 ( 5.629E-02 )
  1.585E-02  5.618E-02 ( 5.618E-02 )  5.573E-02 ( 5.573E-02 )  5.629E-02 ( 5.629E-02 )
  2.512E-02  5.618E-02 ( 5.618E-02 )  5.573E-02 ( 5.573E-02 )  5.629E-02 ( 5.629E-02 )
  3.981E-02  5.617E-02 ( 5.617E-02 )  5.573E-02 ( 5.573E-02 )  5.628E-02 ( 5.628E-02 )
  6.310E-02  5.616E-02 ( 5.616E-02 )  5.572E-02 ( 5.572E-02 )  5.628E-02 ( 5.628E-02 )
  1.000E-01  5.615E-02 ( 5.615E-02 )  5.571E-02 ( 5.571E-02 )  5.627E-02 ( 5.627E-02 )
  1.585E-01  5.613E-02 ( 5.613E-02 )  5.570E-02 ( 5.570E-02 )  5.625E-02 ( 5.625E-02 )
  2.512E-01  5.609E-02 ( 5.609E-02 )  5.567E-02 ( 5.567E-02 )  5.623E-02 ( 5.623E-02 )
  3.981E-01  5.600E-02 ( 5.600E-02 )  5.560E-02 ( 5.560E-02 )  5.616E-02 ( 5.616E-02 )
  6.310E-01  5.579E-02 ( 5.579E-02 )  5.540E-02 ( 5.540E-02 )  5.597E-02 ( 5.597E-02 )
  1.000E+00  5.531E-02 ( 5.531E-02 )  5.493E-02 ( 5.493E-02 )  5.549E-02 ( 5.549E-02 )
  1.585E+00  5.417E-02 ( 5.417E-02 )  5.385E-02 ( 5.385E-02 )  5.437E-02 ( 5.437E-02 )
  2.512E+00  5.141E-02 ( 5.141E-02 )  5.118E-02 ( 5.118E-02 )  5.158E-02 ( 5.158E-02 )
  3.981E+00  4.486E-02 ( 4.486E-02 )  4.476E-02 ( 4.476E-02 )  4.489E-02 ( 4.489E-02 )
  6.310E+00  3.193E-02 ( 3.193E-02 )  3.196E-02 ( 3.196E-02 )  3.179E-02 ( 3.179E-02 )
  1.000E+01  1.590E-02 ( 1.590E-02 )  1.596E-02 ( 1.596E-02 )  1.577E-02 ( 1.577E-02 )
  1.585E+01  5.493E-03 ( 5.493E-03 )  5.518E-03 ( 5.518E-03 )  5.447E-03 ( 5.447E-03 )
  2.512E+01  1.608E-03 ( 1.608E-03 )  1.613E-03 ( 1.613E-03 )  1.599E-03 ( 1.599E-03 )
  3.981E+01  4.611E-04 ( 4.611E-04 )  4.620E-04 ( 4.620E-04 )  4.607E-04 ( 4.607E-04 )
  6.309E+01  1.343E-04 ( 1.343E-04 )  1.344E-04 ( 1.344E-04 )  1.345E-04 ( 1.345E-04 )
  1.000E+02  4.148E-05 ( 4.148E-05 )  4.151E-05 ( 4.151E-05 )  4.152E-05 ( 4.152E-05 )
  1.585E+02  1.302E-05 ( 1.302E-05 )  1.302E-05 ( 1.302E-05 )  1.302E-05 ( 1.302E-05 )
  2.512E+02  4.154E-06 ( 4.154E-06 )  4.155E-06 ( 4.155E-06 )  4.155E-06 ( 4.155E-06 )
  3.981E+02  1.340E-06 ( 1.340E-06 )  1.340E-06 ( 1.340E-06 )  1.341E-06 ( 1.341E-06 )
  6.309E+02  4.055E-07 ( 4.055E-07 )  4.055E-07 ( 4.055E-07 )  4.055E-07 ( 4.055E-07 )
  1.000E+03  1.298E-07 ( 1.298E-07 )  1.298E-07 ( 1.298E-07 )  1.298E-07 ( 1.298E-07 )

T(K)                1.995E+04                3.981E+04                7.943E+04
RO/Debye            9.333E-02                6.607E-02                4.678E-02
width Stark         6.910E+00                6.564E+00                6.203E+00
width incl.Dop.     6.988E+00                6.713E+00                6.472E+00

  0.000E+00  5.742E-02 ( 5.773E-02 )  5.920E-02 ( 5.992E-02 )  6.097E-02 ( 6.265E-02 )
  3.981E-02  5.742E-02 ( 5.771E-02 )  5.920E-02 ( 5.989E-02 )  6.097E-02 ( 6.262E-02 )
  6.310E-02  5.742E-02 ( 5.769E-02 )  5.920E-02 ( 5.987E-02 )  6.096E-02 ( 6.260E-02 )
  1.000E-01  5.741E-02 ( 5.767E-02 )  5.919E-02 ( 5.985E-02 )  6.096E-02 ( 6.257E-02 )
  1.585E-01  5.740E-02 ( 5.763E-02 )  5.918E-02 ( 5.981E-02 )  6.094E-02 ( 6.252E-02 )
  2.512E-01  5.737E-02 ( 5.757E-02 )  5.915E-02 ( 5.974E-02 )  6.090E-02 ( 6.244E-02 )
  3.981E-01  5.730E-02 ( 5.747E-02 )  5.906E-02 ( 5.963E-02 )  6.080E-02 ( 6.232E-02 )
